"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC010	RCFDC436	RCFDJ448	RCFDJ449	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC010	RCONC436	RCONJ448	RCONJ449	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
30418																CONF				0	0	0	13680	753	4375	0	0	0	0	0	9305	1868	0	0	CONF	0	0	0				
30502																CONF				0	5341	4268	18201	3219	5857	0	0	0	0	0	2735	0	0	0	CONF	0	0	0				
30650																CONF				0	1305	939	2859	94	144	19	0	0	0	0	471	0	0	0	CONF	0	0	0	accrued taxes payable 201750			
30810	0	142967	1177744	2077067	117234	313434	0	0	0	0	0	442922	0	0	0	CONF	0	0	0		142967														CONF							
31134																CONF				0	631	0	2835	212	427	0	0	0	0	0	797	0	0	0	CONF	980	0	0				
31255																CONF				0	955	185	12148	0	1594	0	0	0	0	0	1874	0	0	0	CONF	5977	0	1563				
31657																CONF				31	159	0	3227	42	279	0	46	0	0	0	568	0	0	0	CONF	0	0	2221		Late Fees		
31826																CONF				707	733	1658	5482	0	2008	0	0	0	0	0	1083	0	0	0	CONF	0	0	0				
31835																CONF				0	1083	1712	10900	178	494	0	0	0	0	0	1296	0	0	0	CONF	6315	0	0				
32234																CONF				0	82	0	1161	346	532	20	0	0	0	0	547	0	0	0	CONF	0	0	0	Pending insurance claim			
32766																CONF				0	24	44	544	45	176	0	0	0	0	0	300	0	0	113	CONF	0	0	0				
33147																CONF				16	1391	1010	6510	1433	1971	0	0	0	0	0	2138	0	0	0	CONF	0	0	0				
33259																CONF				0	770	12761	16108	387	720	306	0	0	0	0	1857	0	0	0	CONF	0	0	0	Misc Other Assets			
33268																CONF				0	0	0	2232	127	375	0	0	0	0	0	1089	0	0	248	CONF	768	0	0				
33754																CONF				0	0	0	415	37	183	101	0	0	0	0	232	0	0	0	CONF	0	0	0	Federal Income Tax Refund			
33839																CONF				0	122	0	395	27	91	0	0	0	0	0	182	0	0	0	CONF	0	0	0				
33857																CONF				0	979	0	3997	681	2040	1237	0	0	0	0	978	0	5	0	CONF	0	0	0	Return item suspense			
34153																CONF				0	1649	336	6199	746	2704	0	0	0	0	0	1510	0	0	0	CONF	0	0	0				
34359																CONF				0	425	0	1749	98	132	0	0	0	0	0	219	0	0	0	CONF	973	0	0				
34425																CONF				0	1991	0	5015	0	1863	0	0	0	0	0	1161	0	0	0	CONF	0	0	0				
34434																CONF				0	635	0	3369	717	1557	0	0	0	0	0	1177	0	0	0	CONF	0	0	0				
34452																CONF				0	57	0	2568	231	798	0	0	0	0	0	489	0	0	0	CONF	319	0	905				
