"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDJA29	RCFDJF76	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONJA29	RCONJF76	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONN517	RCONN518	RCONN519	RCONN520	RCONN521	RCONN522	RCONN523	RCONN524	RCONN527	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
36456																																		1510	140	5300	1382	0	5300	true	0	0	140	0	0	1820	1	0	false	0	0	5300	0	0	0	0	0	0	0	0	0	0	true	false			0	128																	0	0			true	true	false	false																						www.cfbne.com	
36933																																		0	285	0	0	0	0	true	10	15	0	0	260	1553	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false			0	0																	0	0			true	false	false	false																						http://www.firstate.net	
37051																																		5008	0	0	4109	0	0	true	0	0	0	0	0	585	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false			0	899																	0	0			false	false	false	false																						www.oakwoodbank.net	
37341																																		0	94	2598	0	0	5048	true	0	0	0	0	94	99	0	0	false	0	1200	2598	1000	0	0	0	1200	250	0	0	0	0	false	false			0	0																	0	0			true	false	false	false																						www.myvernoncountybank.com	
37435																																		4972	94	0	2941	2031	0	true	0	0	70	0	24	6681	2	2031	true	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						www.accessunited.com	
37640																																		114640	286	226000	103681	995	285149	true	228	0	58	0	0	7946	3	995	true	0	0	226000	55627	0	0	25000	141	330	408	2643	9500	3522	true	true	0	0		9964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false		1	82	1820	0																	http://www.germanamerican.com	
37659																																		0	291	0	0	0	0	true	0	256	35	0	0	867	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						http://www.fsballen.com	
37949																																		443	0	0	443	0	2600	true	0	0	0	0	0	97	0	0	true	0	0	0	0	2600	0	0	0	0	0	0	0	0	true	false				0																	0	0			false	false	false	false																						https://www.bankofrantoul.bank	
38740																																		0	0	5000	0	0	15000	true	0	0	0	0	0	2894	1	0	false	0	0	5000	5000	0	5000	5000	0	0	0	0	0	0	true	false			0	0																	0	0			true	false	false	false																						www.ocsbank.com	
39327																																		0	0	0	0	0	0	true	0	0	0	0	0	35012	8	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false				0																	0	0			false	false	false	false							Calvin B. Taylor Bank		Taylor Bank													WWW.TAYLORBANK.COM	
39756																																		710	666	1623	710	0	14548	true	0	0	666	0	0	10946	3	0	false	0	0	1623	1365	1345	10215	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4384	0			true	false	true	false																						www.nbc.bank	
40033																																		0	105	0	0	0	0	true	0	0	105	0	0	3023	2	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false				0																	0	0			false	false	false	false																						www.richtonbank.com	
40499																																		100785	556	380000	70088	22217	519936	true	0	0	556	0	0	201	0	22217	true	0	0	420000	98750	199	987	40000	0	0	0	0	0	0	true	false	0	0	0	8480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false		1	350	5166	350																	www.harborone.com	
40855																																		326	3750	1000	200	0	10177	true	0	3750	0	0	0	539	1	0	false	0	0	5000	2000	0	3000	0	0	0	0	177	0	0	true	false				126																	0	0			true	false	false	false																						http://www.esbbanking.com	
41245																																		0	0	0	0	0	0	true	0	0	0	0	0	338	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false			0	0																	0	0			true	false	false	false																						www.orfordbank.com	
41553																																		0	0	0	0	0	0	true	0	0	0	0	0	5	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false				0																	0	0			false	false	false	false																						http://www.fsbanadarko.com	
41629																																		360	487	0	360	0	5875	true	0	0	106	0	381	2177	1	0	true	0	0	0	3375	0	2500	0	0	0	0	0	0	0	true	false			0	0																	0	0			true	false	false	false																						www.pioneerbks.com	
