"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
339858	505953	2385	702984	2137994	0	3766466	0	0	2296691	0	18658271	0	788409		553014	15983614	300942	2874208	17862566	186889	7296	140667	2219386	1973730	343096	695806	174493	196130	1038902	118535	175429	107509	357706	856511	759179	77305	293964	140	true	663686	709961	6024313	9959300	490482	15471	
339876	1149	0	0	0	0	0	0	0	0	0	29054	0	245		11598	2729	2169	0	25778	0	3031	884	0	0	2519	7902	9960	2989	10421	513	259	1034	0	11772	1806	0	772	0	false							
340135	525218	152	20620	64389	0	97538	0	0	47690	0	925431	0	135197		74445	268298	16827	76283	781580	483	8654	5850	47690	24601	28112	48791	27052	5899	76050	2437	12717	4785	2122	35409	22061	0	14896	0	true	13286	24338	107389	76411	277503	193379	
340144	317666	25	4670	33973	0	57171	0	0	55291	0	638487	163	43041		117710	145363	27176	52184	589039	292	6244	8839	55291	1935	20295	102896	25729	7836	56395	3421	6770	7619	891	39046	18701	0	8435	5847	false							
340256	132212	0	808	13451	0	19970	0	0	107565	0	368441	0	6187		149550	81685	10625	19162	362254	0	0	2204	107565	102698	69021	65372	17068	623	133212	0	2460	0	0	2534	2460	0	2460	0	false							
340443	14478	0	5828	13666	0	42741	0	0	0	0	39723	0	8621		7004	15402	1541	36913	31102	0	0	751	0	0	2312	3580	2171	984	5892	0	447	350	0	2043	797	0	447	0	true							
340742	16854	0	1124	80084	0	114741	0	0	25793	0	375203	0	9619		111409	164114	22671	113337	364640	280	944	7832	25793	2500	21223	90609	41829	23424	62559	1555	10854	2072	2668	65677	17149	0	12409	0	false							
340751	200313	0	13178	32450	0	41348	0	0	50993	0	449094	0	34030		27361	95415	12566	28143	415063	27	1	5315	50993	50993	31026	70557	9953	439	101582	25637	15434	322	0	84612	41393	0	41070	0	false							
341310	385186	0	0	15842	0	38477	0	0	0	0	461334	0	0		34239	25734	12162	38477	461334	0	0	2016	0	0	12673	17010	14040	2747	29683	0	1376	2568	0	12231	3944	0	1376	0	true							
342054	201084	0	3210	12666	0	36079	0	0	0	0	297471	0	41361		20418	64719	11661	32869	256110	0	0	3676	0	0	5441	12099	7290	3936	17540	260	971	1150	521	8348	2902	0	1231	0	false							
342362	50694	0	10127	77890	0	122557	0	0	0	0	503869	0	115012		37419	243133	25588	112430	388607	0	250	0	0	0	29027	101568	12106	4948	130595	17319	41082	2951	1041	110230	62393	0	58401	0	true							
342410	99746	0	43227	96861	0	147808	0	0	151627	0	1153536	0	226516		204192	764326	28956	104581	913058	0	13962	6833	151627	57617	43288	69875	150092	6414	105016	7562	7412	4567	254	65476	19796	0	14974	42929	true	0	19887	237638	526688	86763	12983	
