"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF601	RCFDF608	RCFDF609	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK195	RCFDK196	RCFDK203	RCFDK204	RCFDK207	RCFDK208	RCFDK209	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF601	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK195	RCONK196	RCONK203	RCONK204	RCONK207	RCONK208	RCONK209	RCONK256	RIADG377	
2769972																																																																												0	546	369		0			1913	9	0	234	20773	0	0	0	7465	48	0	3296	15	177	724	1100	4762	567	1054	2050	2914	2805	3436	178								0	22			0	0	272	83	5209	1441			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	205							0	1019	0	0	0	0	0			0	0				0	0	1938			0	0	
2771694																																																																												0	375	3229		0			52745	4853	0	0	118328	0	0	0	15830	330	5041	6896	480	1286	2933	7866	638	2366	58969	12002	10920	16496	3979	70								0	0			0	0	1707	2826	20159	15595			0			343	260																							0	0	0	0	0	0	0	0	0	0	0	0		18150		0	36							0	48	0	0	0	102	222			0	0				0	0	595			0		
2774707																																																																												0	0	0		0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0			0	0	0	0	0	0			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0							0	0	0	0	0	0	0			0	0				0	0	0			0	0	
2775151																																																																												0	9897	2034		7497			24687	9943	0	0	126175	0	0	0	25103	513	4003	28342	1481	956	6769	10795	1574	3528	31148	12758	20352	20215	16600	0								0	2555		0	0	0	128	2045	21590	18263			0			230	0																							0	0	0	0	0	0	0	0	0	0	0	0		23215		0	7							0	192	0	144	0	590	0			0	0				0	0	1721			0		
2775179																																																																												0	813	5069	0	1378	37238	0	37238	10245	0	0	240703	65	0	0	82129	3314	5168	65355	4273	6696	20394	19559	27766	2953	27201	28296	43407	37775	17865	2760		0	0	0		0	0	64	198	0		0	0	8842	15019	37025	26383	0	0	0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	78							0	3512	0	0	0	1522	0	0	0	0	0	0			0	0	9461			0	0	
2775692																																																																												0	170	95		77			20949	821	0	0	58308	0	0	0	9365	678	5129	19375	536	1773	1274	1146	2130	2356	4214	15082	7890	7293	8194	6225								0	0			0	0	2752	1454	12677	4736			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	5055		0	148							0	1569	0	0	0	0	0			0	0				0	0	2817			0	0	
2781152																																																																												385	18	11117		0			12228	14001	0	0	243531	1076	0	0	114082	792	23990	17038	6169	19452	1178	1582	19979	64971	11862	10508	9125	9596	46276	42920								564	463			0	0	12673	8227	26049	43522			0			200	401																							0	0	0	0	0	0	0	0	0	0	0	0		114874		0	0							0	72	187	54	0	229	203			0	0				0	0	414			0		
2785477																																																																												0	0	3663		0			612	345	0	0	120410	0	0	0	19053	0	1011	6995	239	899	1313	713	15889	0	6350	4382	3118	4572	81556	0								45	0			0	0	0	1212	39467	55995			0			57	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	114596		0	18							0	0	0	0	0	336	728			0	0				0	0	0			0	0	
2785646																																																																												0	95961	2691	196	34192	36941	0	36941	2055	0	100	288826	54	0	3996	49785	288	4215	85890	6330	4519	10075	24994	1858	1317	68698	42852	52354	59034	15329	437		0	0	0		0	0	0	4	0		0	0	12126	3964	9951	32526	0	0	0			17	180																							0	0	0	0	0	0	0	0	0	0	0	0		121120	183	1750	379							0	5109	0	489	0	1029	430	106	0	697	0	697			0	0	1058			106		
2787770																																																																												0	4603	32781	0	7	62978	0	62978	61479	0	0	465137	0	0	5782	112918	9663	71186	57427	12045	19321	31672	31845	13642	3240	138554	17346	82762	73657	36567	2049		0	0	0		0	0	93	4312	0		0	0	26328	10227	85118	51658	0	0	0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	34630	15	0	15							0	964	0	0	0	440	0	17	0	0	0	0			0	0	1993			17	0	
2788656																																																																												0	2881	6216		157			22446	0	0	0	162355	87	0	0	33417	1077	1532	47494	2029	671	8910	10493	10996	317	25432	19396	27818	30438	24545	1260								0	0			0	0	25004	13193	19417	35757			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	34							0	670	0	0	0	0	0			0	0				0	0	2173			0	0	
2791085																																																																												0	465	1965		0			1726	1878	0	0	109040	0	0	0	51459	8	48776	6883	2932	6115	86	212	5223	36651	8037	3597	4885	7509	32827	0								0	0			0	0	3219	1120	5268	41821			0			85	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	41727		0	0							0	18	0	0	0	61	771			0	0				0	0	93			0	0	
2791517																																																																												0	18928	3663		23368			53332	2195	0	0	174532	45	0	0	13954	1284	1638	56815	1276	386	4428	4984	1751	279	46264	21079	26562	53943	10460	850								0	348			0	0	658	5862	28908	21635			0			192	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	14572		0	21							0	52	0	0	0	0	0			0	0	0			0	0	369			145	0	
2793593																																																																												0	5297	5071		97			18931	15163	0	305	176154	93	0	67	53640	1125	28700	39474	5743	6160	9928	6073	16790	8946	35368	13463	22858	19559	29988	1371								0	29			579	329	13520	13699	19807	26523			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		145893		0	22							0	958	0	0	0	0	0			0	0				0	0	2060			0		
2794732																																																																												0	0	454		0			2321	556	0	0	34096	0	0	0	6926	622	309	11315	1873	161	570	2648	248	148	8830	939	6121	5109	2103	0								0	58			0	0	0	1023	17795	4096			0			996	845																							0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0							0	226	0	0	454	3599	182			0	0				0	0	19			47	0	
2796277																																																																												0	0	0		0			362	0	0	0	4492	0	0	0	958	0	883	1590	6	0	953	0	0	0	407	1177	212	1737	0	0								0	0			0	0	0	0	0	1457			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	225							0	0	0	0	0	0	0			0	0				0	0	1490			0	0	
2797162																																																																												0	32381	7302	16	49923	34485	0	34485	7989	0	0	251875	0	0	0	42285	584	16264	69644	636	1423	6852	4602	9923	18804	19399	48265	37367	69098	32677	1396		0	0	0		0	0	0	102	0		0	0	431	363	44729	29252	0	0	0			192	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16							0	795	0	0	0	104	0	0	0	0	0	0			0	0	1238			0	0	
2797210																																																																												0	0	0		0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0			0	0	0	0	0	0			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0							0	0	0	0	0	0	0			0	0				0	0	0			0	0	
2797359																																																																												0	0	21073	0	0	67111	0	67111	5646	0	0	401105	71	0	0	60059	0	36447	43115	710	16779	5096	1497	14222	19032	27743	31591	92239	141920	45728	0		0	0	0		0	0	0	0	0		0	0	0	2664	84047	160417	0	0	0			1805	2463																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	80							0	0	0	0	0	1587	0	13179	0	0	0	0			0	0	79			13179	0	
2797724																																																																												14929	8249	206623	0	27	735356	0	735356	407792	0	259112	6091251	0	0	56873	1210510	29307	314117	1244169	520385	73416	135917	134995	244220	98051	1923545	315427	716823	876028	930914	110193		0	14929	0		0	0	0	21247	0		121874	92468	484390	336063	905870	1275370	0	0	0			8362	1356																							657641	765416	5726	125574	141020	1546	6168	7183	56	0	0	0	209303	1074860	128	24401	128							0	141495	741	4500	0	7950	6228	193	0	26	0	0			0	0	30382			193	965	
2800491																																																																												0	25004	1738	0	16199	11274	0	11274	4039	0	882	153689	0	0	0	31711	2567	3920	33034	399	1435	5658	13862	2441	6409	17022	15480	36788	41738	7681	1375		0	0	0		0	0	0	2253	0		0	0	2459	5791	35245	9039	0	0	0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	31711	11	0	11							0	1356	0	0	0	0	0	0	0	982	982	0			0	0	4121			0	0	
2802664																																																																												0	2400	6317	0	1138	84658	0	84658	2054	0	0	310488	894	0	751	10797	173	9440	72956	1689	580	1770	4360	1892	507	60575	49536	63500	48953	55727	18755		0	0	0		0	0	0	890	0		0	0	22394	21156	95174	60172	0	0	0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	84116	3119	0	3119							0	27	0	0	0	0	0	68	0	0	0	0			0	0	913			68	0	
