"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	
86349	2879	180	54	0	2785	140	0					
86358	309	-304	391	0	222	0	0			0	0	
86554	240	319	35	0	216	330	0					
86675	5338	518	141	0	5163	484	0					
87047	1050	55	3	0	996	4	0					
87159	936	53	11	0	925	53	0					
87234	3365	0	358	0	3090	83	0					
87476	7071	0	148	0	6928	5	0					
87579	4321	0	67	0	4254	0	0				0	
88231	6346	221	188	0	6015	78	0			0	0	
88240	62	61	1	0	208	0	-208					
88259	666	65	0	0	601	0	0					
88352	1307	231	25	0	1309	258	0			0	0	
88455	3822	270	3	0	3557	8	0					
88950	639	50	3	0	586	0	0					
89032	642	120	12	0	611	101	0			0	0	
89135	982	-14	29	0	978	11	0					
89854	1511	88	44	0	1383	4	0					
89957	804	47	5	0	759	7	0					
90047	200	0	0	0	200	0	0					
90177	896	287	12	0	1002	405	0					
90328	3443	258	150	0	3453	418	0					
90337	12279	5825	88	0	11878	5512	0			0	0	
90579	3194	0	0	0	3194	0	0					
91615	772	3	5	0	828	64	0				0	
91754	2722	45	10	0	2721	54	0			0	0	
91950	370	0	13	0	359	2	0					
92144	202	90	1	0	201	90	0					
92676	3030	35	13	0	3175	193	0				0	
92706	2213	232	177	0	2259	455	0					
92902	129	0	4	0	138	13	0					
93244	2690	0	76	0	2614	0	0					
93543	3911	669	104	0	3471	333	0					
93619	0	0	0	0	0	0	0			0	0	
93758	226	226	3	0	648	3	-648			0	0	
94139	2955	738	206	0	2478	467	0					
94522	5198	706	98	0	4703	309	0					
94755	1873	510	84	0	1656	377	0					
94858	1229	445	39	0	966	221	0					
