"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONJH84	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	Total reciprocal deposits as of June	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
962313	21787	0	5237	28727	0	70854	0	0	0	0	47556	0	1578		14223	1492	5437	65617	45978	0	0	1754	0	0	4233	4686	13296	421	7815	0	271	1371	0	8413	1642	0	0	0	271	0	true							
962890	97330	8	26221	285780	0	287091	0	0	50368	0	519798	1	33592		195157	109314	33206	260862	427817	0	58388	8424	49768	45035	40308	128680	105053	9474	168988	1371	8757	19257	254	88358	29639	0	0	499	10128	8019	true							
962966	19810	0	1864	52319	0	59910	0	0	0	0	54038	0	1864		4394	19015	1715	58046	52174	0	0	678	0	0	2258	3914	2211	139	6172	290	4810	1591	0	4128	6691	0	0	0	5100	0	true							
963002	64354	0	0	51538	0	80892	0	0	19654	0	239075	0	18342		53690	59040	13700	80892	220733	0	0	5053	19654	18602	17707	33161	37543	2460	50868	1519	11186	11515	590	37181	24810	0	0	0	12705	0	true							
963730	18583	0	1760	55407	0	60143	0	0	0	0	211785	0	8917		4304	47475	1610	58383	84614	0	118254	423	0	0	30827	55889	41892	9035	86716	1288	6137	659	0	133339	8084	0	0	0	7425	126323	true							
963945	284581	0	27	1227111	0	1570322	0	0	843687	0	1696019	0	113439		530532	839019	0	1570295	1582580	0	0	0	727988	727238	430495	104591	6138	60	8062	18621	8806	3710	0	10752	31137	177720	111886	0	27426	0	false							
963954	12320	0	9922	34024	0	34024	0	0	0	0	51762	0	6278		17485	9921	3860	24102	45484	0	0	1348	0	0	6796	8813	8362	1298	14171	2372	1880	0	0	7784	4252	0	0	0	4252	0	false							
964157	28277	0	4320	101930	0	140620	0	0	0	0	78443	0	577		10285	21834	1703	135864	77866	436	0	551	0	0	4182	12111	4366	0	16293	2969	3812	892	0	10374	7673	0	0	0	6781	0	true							
964250	8156	0	7016	13087	0	27952	0	0	0	0	42984	0	8089		10853	12476	1811	20936	34895	0	0	127	0	0	3474	10550	1486	396	13817	4401	1018	317	710	5052	6446	0	0	0	5419	0	true							
964700	2431892	0	178	183417	0	214382	0	0	529933	0	6609543	0	4424		260134	3412848	91833	214204	6604878	0	241	9080	470927	411203	63290	213953	68527	330	277243	119402	241438	57517	346	85966	418703	330175	293784	59006	360840	1249	true	12291	17236	924537	2488311	667039	1764468	
965051	10570	0	986	21268	0	33838	0	0	0	0	43407	0	2392		5656	19564	1589	32852	41015	0	0	373	0	0	4135	5927	466	0	9637	1129	1615	0	0	4873	2744	0	0	0	2480	0	true							
965789	11881	0	0	83949	0	90656	0	0	8366	0	471362	0	23381		43122	152340	17172	90656	401816	0	46165	10941	8366	8366	31076	130212	62877	6471	157127	4407	52479	18044	1575	187514	76505	9244	8020	0	56886	58178	true							
966272	10887	0	1656	5873	0	17286	0	0	747	0	72243	0	8910		20688	22014	3003	15630	63275	0	58	887	747	0	2773	6666	12273	10980	9439	2374	3049	977	251	12004	6651	0	0	0	5423	0	true							
966722	44348	0	33552	49305	0	98452	0	0	5000	0	197120	0	33232		42231	40862	10637	64900	163888	0	0	3620	0	0	7515	22457	38189	7361	29972	3479	18323	7523	7064	33291	36389	0	0	0	21802	0	false							
966731	32112	0	16907	37715	0	71954	0	0	0	0	115150	0	16128		33446	12946	28195	55047	99022	0	0	17869	0	0	15707	26770	12198	1431	40763	4049	7291	1693	952	22661	13985	0	0	0	10422	0	true							
966973	7908	0	0	226	0	6831	0	0	0	0	53075	0	230		20589	3401	14231	6831	52845	0	0	8964	0	0	5060	12799	11957	6918	17859	261	1181	3035	554	16146	5031	0	0	0	1442	0	true							
967046	279517	0	3211	18366	0	37378	0	0	3901	0	411970	0	47493		42036	20613	16633	34167	364477	0	0	6100	3901	1483	23737	19553	27395	15272	32517	9848	6429	4013	5593	43920	25883	0	0	0	15131	8310	true							
967943	7469	0	5770	15342	0	29312	0	0	0	0	29387	0	2784		10250	773	2772	23542	26603	0	0	263	0	0	3597	7642	6966	1174	11239	611	252	302	601	9129	1766	0	0	0	863	0	true							
967952	8249	0	8864	20013	0	29808	0	0	0	0	49184	0	10503		16144	13322	1640	20944	38681	0	0	107	0	0	3109	8997	10954	824	10991	0	2424	1305	0	7740	3729	0	0	0	2424	0	false							
968070	432784	2472	19685	172877	0	372180	0	0	0	0	5454548	1585	411515		1509931	2084711	587183	350023	5041448	0	0	201946	0	0	329669	580260	908729	457361	818869	174362	256192	167311	63172	766087	661037	49571	0	0	410990	0	true	86251	154794	1916859	149340	349500	65335	
968155	16449	0	9936	26523	0	51466	0	0	0	0	37892	0	1693		5540	7006	1835	41530	36199	0	0	447	0	0	1914	4222	3740	1698	6136	306	1414	1143	0	6035	2863	0	0	0	1720	0	false							
968249	37827	0	18606	54725	0	89842	0	0	3123	0	183701	0	38365		30085	47539	6507	70501	145336	735	0	6507	83	83	13224	26047	18307	3622	39271	7941	23169	5444	581	31115	37135	21917	13623	3040	31110	249	true							
968557	42000	0	54	5531	0	10344	0	0	498	0	73000	0	294		7112	13438	1976	10290	72208	0	498	1052	498	249	2517	4977	4206	1960	7494	1134	791	1386	591	6549	3902	0	0	0	1924	0	true							
968744	19601	0	36535	105517	0	131328	0	0	2468	0	126311	0	9370		36750	10100	19414	94303	116700	490	241	7657	2468	2468	14588	40028	16614	10289	54616	7416	2385	3712	1578	44769	15091	22716	0	0	9801	0	true							
969059	9895	0	8809	14159	0	32460	0	0	0	0	22599	0	1122		4032	8460	931	23651	21477	0	0	0	0	0	840	2610	716	81	3450	0	0	0	0	213	0	0	0	0	0	0	false							
969255	14122	0	21170	71867	0	112388	0	0	0	0	84675	0	7119		20599	3209	4031	91218	77556	0	0	1569	0	0	10829	19823	11843	550	24299	5254	11273	7772	0	22446	24299	0	0	0	16526	0	true							
969424	91736	9	19009	154864	0	209832	0	0	0	0	285898	0	15123		79406	72266	44211	190814	270775	0	0	13294	0	0	15555	38646	31555	26367	54201	1107	4677	2728	1262	32716	9774	0	0	0	5784	0	false							
969639	22388	0	11380	35702	0	55505	0	0	18173	0	96626	0	1432		26018	10146	9190	42548	95194	1577	0	3547	498	498	5717	13418	14329	8338	19135	0	4971	9806	7513	15784	22290	0	0	4351	4618	0	true							
969844	12115	0	10693	21336	0	47652	0	0	9775	0	45143	0	1228		8042	10803	1820	36959	43915	0	0	819	0	0	1114	5898	4149	1026	7011	4264	2000	0	3775	4144	10039	0	0	6000	6264	0	false							
969956	6184	0	9461	19013	0	31643	0	0	0	0	22416	0	1161		5454	3840	1271	22182	21255	0	0	136	0	0	2631	7007	983	0	9638	300	1471	0	0	5167	1771	0	0	0	1771	0	false							
