"IDRSSD"	RCFD2221	RCFD3210	RCFD3792	RCFD4336	RCFD5306	RCFD5310	RCFD5311	RCFD5610	RCFD7204	RCFD7205	RCFD7206	RCFD7273	RCFD7274	RCFD7275	RCFD8274	RCFD8275	RCFD8434	RCFDA221	RCFDB503	RCFDB504	RCFDB505	RCFDB588	RCFDB589	RCFDB590	RCFDB591	RCFDB592	RCFDB593	RCFDB594	RCFDB595	RCFDC227	RCFDC228	RCFDF264	RCFDL136	RCFDL137	RCFDL138	RCON2221	RCON3210	RCON3792	RCON4336	RCON5306	RCON5310	RCON5311	RCON5610	RCON7204	RCON7205	RCON7206	RCON7273	RCON7274	RCON7275	RCON8274	RCON8275	RCON8434	RCONA221	RCONB503	RCONB504	RCONB505	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONC227	RCONC228	RCONF264	RCONL136	RCONL137	RCONL138	
137915																																				18389	995299	1078579	-20305	0	57999	76388	7844	0.158440	0.233974	0.217403	0.000000	0.000000	0.000000	1002191	76388	-4672	0	0	0	0	0	6086	10205	286	-5836	0	0	0	1016157	0	0	6416632	-72950	6325347	
138051																																				0	13968	14396	0	0	1112	1112	0	0.1030	0.1478	0.1364	0.0000	0.0000	0.0000	13284	1112	0	0	0	0	0	0	0	684	0	0	0	0	0	13284	0	0	129708	0	129024	
138257																																				0	9830	10791	772	0	295	295	0	0.156433	0.461390	0.448777	0	0	0	10496	295	-1438	0	0	0	0	0	0	0	0	0	0	0	0	10496	0	0	67096	0	67096	
138556																																				0	7681	8141	0	0	439	439	0	0.0892	0.1739	0.1645	0.0000	0.0000	0.0000	7702	439	-257	36	0	0	0	0	0	200	0	0	0	0	0	7702	0	0	86555	0	86355	
138725																																				0	3938	4050	0	0	172	172	0	0.0867	0.2694	0.2579	0.0000	0.0000	0.0000	3878	172	60	0	0	0	0	0	0	0	0	0	0	0	0	3878	0	0	44715	0	44715	
138752																																				0	2434	2594	0	0	160	160	0	0.0974	0.2050	0.1924	0.0000	0.0000	0.0000	2434	160	0	0	0	0	0	0	0	0	0	0	0	0	0	2434	0	0	24985	0	24985	
139133																																				0	14347	15717	0	0	1226	1226	0	0.0989	0.1605	0.1480	0.0000	0.0000	0.0000	14491	1226	-292	148	0	0	0	0	0	0	0	0	0	0	0	14491	0	0	146467	0	146467	
139478																																				0	62756	66052	0	0	3311	3311	0	0.078734	0.140323	0.133289	0.000000	0.000000	0.000000	62741	3311	15	0	0	0	0	0	0	0	0	0	0	0	0	62741	0	0	796872	0	796872	
139553																																				0	56279	65199	0	0	6687	6687	0	0.0803	0.1220	0.1095	0.0000	0.0000	0.0000	58512	6687	-2312	0	0	0	0	0	0	79	0	0	0	0	0	58512	0	0	728383	0	728304	
139656																																				0	133177	123263	0	0	5764	5764	0	0.1044	0.1577	0.1503	0.0000	0.0000	0.0000	117499	5764	-2612	13	0	0	0	0	0	18277	0	0	0	0	0	117499	0	0	1143289	0	1125012	
