"IDRSSD"	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP849	RCFAP850	RCFAP851	RCFAP852	RCFAP853	RCFAP854	RCFAP855	RCFAP856	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFD3368	RCFD3632	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWP793	RCFWP870	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP849	RCOAP850	RCOAP851	RCOAP852	RCOAP853	RCOAP854	RCOAP855	RCOAP856	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCON3368	RCON3632	RCOW3792	RCOW5310	RCOW5311	RCOW7205	RCOW7206	RCOWA223	RCOWP793	RCOWP870	
49344																																																																																																		128143	5376									
49643																																																																																																		38740	6127									
49652																																																																																																		152155	11919									
49821																																																																																																		812161	79679									
49858																																																																																																		82356	76									
49951																																																																																																		114966	8498									
50144																																																																																																		70039	10235									
50461																																																																																																		100897	21593									
50546																																																																																																		37964	2147									
50854																																																																																																		65488	3226									
50872																																																																																																		157728	14726									
50957																																																																																																		235810	4144									
51253																																																																																																		332163	28202									
51356																																																																																																		80749	12102									
51459																																																																																																		254481	15876									
51730																																																																																																		54213	5152									
51842																																																																																																		282677	26068									
52719																																																																																																		2647916	226665									
52951																																																																																																		155716	12507									
53033																																																																																																		4534818	-2383									
53051																																																																																																		71488	4881									
53752																																																																																																		54338	3954									
54049																																																																																																		99612	7318									
54058																																																																																																		320318	36569									
54375																																																																																																		729135	32041									
54441																																																																																																		141534	9923									
54656																																																																																																		704163	54390									
54973																																																																																																		5433688	209522									
55336																																																																																																		355064	25725									
55635																																																																																																		98204	3640									
55653																																																																																																		100979	7095									
55970																																																																																																		381360	42063									
56258																																																																																																		202468	1469									
56351																																																																																																		1305153	37192									
56427																																																																																																		80296	7081									
56548																																																																																																		330671	18213									
56557																																																																																																		2939143	177919									
56717																																																																																																		607383	60140									
57040																																																																																																		98993	13517									
57228																																																																																																		285711	5960									
57451																																																																																																		516531	25466									
58177																																																																																																		66169	7367									
58207																																																																																																		258979	16943									
58225																																																																																																		256116	25540									
58243																																																																																																		3864211	20211									
58355																																																																																																		13055	-70									
58551																																																																																																		192104	16872									
