"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
75558								15337	4537		0	0	5296		0	1190	4314	
75633	16519924	1479077	0	2496259	0	60213	12484375	16519924	1137308	2496259			341769	60213			12484375	
75651								2664										
76135								9929										
76153								457										
76443								13413										
76854								3198										
77150								3268										
77253																		
77422								5209										
77851								42796	5712		0	0	2730		0	6561	27793	
78157								17263										
78241								4755										
78559								4970										
78858								63514	4320		0	0	1333		0	12076	45785	
79042								10351										
79127								4304										
79145								6702										
79257								7709										
79855								32460										
80020								4068										
80150								24686	0		0	0	1457		12623	0	10606	
80374																		
80431								3577										
80552																		
80936								5954										
81175								17181										
81429								19181										
82033								7305										
82257								7624										
82350								5667										
82659								9561										
83151								11316										
83236								5412										
83375								16973	3025		0	0	3073		0	327	10548	
83638	189217	10887	0	566	0	33091	144673	189217	5874	566			5013	33091			144673	
83834								30274										
83852								8690										
83955								4287										
84046								1645										
84251								6337										
84541								37600	0		0	0	7629		0	17408	12563	
84804								2675										
85052								4435										
85258																		
85454								12460										
85472								37519	19153		0	0	6510		0	4389	7467	
85931								2179										
86349								18961										
86358								3451										
86554								14741										
86675								49066	58		0	0	1861		0	9653	37494	
87047								3404										
87159								25868										
87177								14589										
87234								14567	0		0	0	1835		0	2243	10489	
87476								11678										
87579								15433	0		0	0	2167		0	10944	2322	
88231								27540	0		0	0	2619		0	7720	17201	
88240								2176	0		0	0	262		0	1914	0	
88259								8432										
88352								19229										
88455								13540	0		0	0	2797		0	5999	4744	
88530								15281										
88772								20314	0		0	0	2387		0	12758	5169	
88950								3903										
89032								17664										
89135								11431										
89751								14663	7238		0	0	4341		0	1716	1369	
89854								19964										
89957								1478										
90047								1862										
90177																		
90328								7556	0		0	0	3621		1175	0	2760	
90337								13498	3222		0	0	4649		0	1090	4537	
90579								36038	1485		0	0	2411		0	10210	21932	
90645								17829										
90739								3676										
91101								51575	9860		0	0	6144		0	9700	25871	
91156								5110										
91615								3521										
91651								9585										
91754								16329	0		0	0	763		0	10630	4936	
91950								4543										
92050								11377										
92144								821										
92676								7741	3919		0	0	1569		0	2100	153	
92706								14643										
92902								2277										
93244								28925										
93543								13653										
93619								19340										
93721								1578554	5728		0	0	108437		0	110526	1353863	
93758								12681										
94139								49375	2377		0	0	9648		0	4300	33050	
94456																		
94522								28518	5373		0	0	3786		0	9396	9963	
94755								19918										
94858								10429										
95051								4696										
95659								5270										
95677																		
96553								5680										
97055																		
97279																		
97457								4868										
97804								20375	1864		0	0	2963		0	7275	8273	
97943								6420										
98351								16244										
98463								103612	9534		0	0	1958		0	9210	82910	
98717								17059										
99143								17214										
99255								9001										
99376								217709	4882		0	0	1912		0	24042	186873	
99442								6610										
99536								56610	4495		0	0	1910		0	2753	47452	
99853								15946										
99974								17610										
100236								41194										
100357								13899	6533		0	0	4567		0	1078	1721	
100562								610728	13319		0	0	34840		0	56165	506404	
100777								22108	0		0	0	3101		0	14194	4813	
100843								8900	150		0	0	2643		0	5171	936	
101019	313409	16756	0	49517	0	1846	245290	313409	14861	49517			1895	1846			245290	
101037								61619	1935		0	0	8899		0	2536	48249	
101439								12950										
101671								9672	29		0	16	3959		0	433	5235	
101738								25237										
101952								12379										
102155								1577										
102173								5096										
102333								4453										
102342								17801										
102539								14805										
102557								1202										
102874								29790										
103134								2343										
103255								46349	15860		0	0	24421		0	3168	2900	
103563								7964										
103602								68										
104234								10489										
104542								2840										
104971								3716										
105026								12576	2222		0	0	1937		0	6059	2358	
105053								15401										
105071								9407										
105222																		
105473								62134	13120		0	0	12094		0	2999	33921	
105530								4454										
106359								40535	18638		0	0	12725		0	3337	5835	
106377								26809	8479		0	0	6767		0	10644	919	
106452								42495	2524		0	0	2428		0	12701	24842	
106676								6094										
107226								19297										
107244								150204	1736		0	0	38582		0	98519	11367	
107459								3585										
107570								18698										
107758								1214										
108072								2220										
108269								7034										
108474								5261	1250		0	0	958		0	1261	1792	
108652								3271										
108746								11522										
108951								20677										
109136								28422	1148		0	0	1775		0	11991	13508	
109154								6071										
109453								4116										
109574								26667	0		0	0	2226		0	3007	21434	
109659								10197										
109686								11825	1034		0	0	8103		0	188	2500	
110413								23480	0		0	0	1597		0	3446	18437	
110936								85436										
110945																		
110972								15231										
111157								3810										
111205								7731	9		0	0	2087		0	1289	4346	
111661								4316										
111942								55431	0		0	0	1508		6782	0	47141	
111979								151972	2783		0	0	2850		0	14981	131358	
112163								59648	1564		0	0	13809		0	44265	10	
112332								8821										
112444								9266										
112510								3832										
112556								3961										
112837	37717087	2439030	0	3753	0	32260395	3013909	37717015	536148	3681			1902882	32260395			3013909	
113003								41989										
113030								4566										
113441								62939	4970		0	0	5120		0	17948	34901	
113601								65446	2198		0	0	1605		0	4604	57039	
113740								19320	3185		0	0	3110		0	11739	1286	
113937								14224										
114149								13580										
114158								18031	0		0	0	4768		0	13109	154	
114251								9022										
114260								95391	55		0	0	24936		0	1475	68925	
114457								18948	125		0	0	1228		0	3998	13597	
114774								1662										
114840								26001										
114859								2879										
115100								34378										
115146								12151										
115575								13122										
116077								4276										
116358																		
116554								779										
116639								14302										
116732								14338										
116741								9701										
116871								29308	0		0	0	1466		0	16348	11494	
117038								15129										
117074								6776										
117458								30858										
117672								6976										
117775								1222										
118156								6732										
118660								11552										
118736								6288										
119153								5797	4007		0	0	1492		0	131	167	
119528								11852	0		0	0	2386		4812	0	4654	
119779								12113	3004		0	0	2185		0	2793	4131	
119872								7137										
120476								1116	0		0	0	706		0	410	0	
120542								10820										
120609								27073	9		0	0	2706		0	9813	14545	
120953								3083										
121642								100230	114		0	0	19725		0	79632	759	
121651								16922										
121679								11133	2370		0	0	3616		0	5009	138	
121914								10021	3		0	0	3310		0	6708	0	
122153								13683	12133		0	0	892		0	658	0	
122546								2593	0		0	0	436		0	1993	164	
122573								7336	0		0	0	631		6705	0	0	
122854								324047	29940		0	0	11300		0	282793	14	
123075								10395										
123374								9466										
123646								79263	11019		0	0	11609		0	1338	55297	
124344								43344	0		0	0	2202		0	27542	13600	
124830								14286										
125154								55015	1662		0	0	40495		0	919	11939	
125471								125730	142		0	0	15787		0	37227	72574	
125855								42072	6216		0	0	13653		0	607	21596	
125873								10954										
125958								429										
126012								5096										
126049								6235										
126254								37112	16460		0	0	15542		0	5110	0	
126375								53313										
126553								38523										
126740								29031	0		0	0	2902		0	10109	16020	
126834								14363	0		0	0	2990		0	11373	0	
127055								9152										
127224								21300										
127701								3403										
128258								22504										
128511	268697	0	0	0	2	244013	24682	268697	0	0			0	244015			24682	
128904								849560	78537		583	0	32328		0	34480	703632	
129349								6716										
129358								532										
129479								107119	3843		0	0	1949		0	76044	25283	
129732								156652	0		0	0	22663		0	4518	129471	
129853																		
129910								27253	0		0	0	4240		0	5304	17709	
130345								38207	15		0	0	2867		0	9267	26058	
130541								39932	48		0	0	9135		0	27755	2994	
130671								506										
130813								3936										
131034								14258										
131155								5822										
131173								12817	120		0	0	3186		0	6074	3437	
131418								5631	39		0	0	1836		0	2652	1104	
131436								29109										
131650								428186	112734		0	0	54437		0	2798	258217	
131717								2613										
131940								4954										
132107								13710	5152		0	0	2947		0	2803	2808	
132152								4978										
132451								5059										
132554								27191	0		0	754	3631		0	12006	10800	
132778																		
132938								52132										
133579								17361	0		0	0	3391		0	4846	9124	
133850								44555	7447		0	0	7293		0	3857	25958	
133971								29223	765		0	0	958		0	27500	0	
134156								6552										
134437								19505	0		0	0	4682		0	14766	57	
134455								6179										
134848																		
135836								3225										
135854								3130										
136048								1187										
136338								12806	3708		0	0	2904		0	6194	0	
136459								1136										
136655								1181										
137205								70779	9602		0	362	5586		0	2271	52958	
137447								12977										
137456								3464										
137559																		
137643								6806										
137652								9683										
137821								6117										
137915								118036	1356		0	0	596		0	51071	65013	
138051								16659										
138257								6004										
138556								8401										
138725								3768										
138752								2872										
139133								4928										
139478								16655	5699		0	0	2242		0	7401	1313	
139553								22190	5588		0	0	6554		0	6941	3107	
139656								37428	13723		0	0	9454		500	7613	6138	
139740								29776	23841		0	0	3712		0	303	1920	
139834								4070										
139843								70190	14898		0	0	8689		0	4618	41985	
139955								2081										
140018								95882	18		0	0	7123		0	8599	80142	
140157																		
140362								19182	1730		0	0	1075		0	1291	15086	
140634								4348	0		0	0	1117		3231	0	0	
141211								8499	0		0	0	1296		0	5450	1753	
141341																		
141350								911										
141453								2265										
141556								70386	7944		0	0	2592		0	13113	46737	
141677								5522										
141958								6749										
142049								5903										
142179								8732										
142571								5271										
142656								2505										
142955								35376	9329		0	0	4766		0	263	21018	
143073								32961										
143372								13768										
143662								1603456	129505		129	1883	89464		21285	42606	1318584	
143859																		
143952								14479										
144034								28970										
144052								44833	5579		0	0	2492		0	71	36691	
144155								28476	3917		0	0	2021		0	8855	13683	
144436																		
144678								97944	752		0	0	4279		0	11570	81343	
144856								17630										
144913								3069										
145059								3545										
145545								11156	2392		0	0	1711		0	5319	1734	
145554								21714										
145741								10079										
145750								7942										
145844								16352										
145956																		
146056								5249										
146618								11176										
146654								27453	49		0	0	2670		0	24734	0	
146663								40782	6050		0	0	5887		0	998	27847	
146672								136014	24326		0	0	19780		0	4494	87414	
146850								4101										
147633								9232										
147651								2794										
147679								4722										
147857								11181										
147923								35187										
148171								15833										
148238								4778										
148340								6821										
148470								30901										
148715								13533										
