"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDK178	RCFDK179	RCFDK180	RCFDK181	RCFDK182	RCFDK183	RCFDK184	RCFDK185	RCFDK186	RCFDK192	RCFDK193	RCFDK194	RCFDK273	RCFN5513	RCFNK260	RCFNK290	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK178	RCONK179	RCONK180	RCONK181	RCONK182	RCONK183	RCONK184	RCONK185	RCONK186	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONK273	RCONL133	RCONL135	TEXT4087	
2372774																																											315	61584	89884	0	172643	true	315	43101	0	3780	176	14527	17773	7	0	0	true	0	0	0	89884	81526	401	832	17000	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://mysummit.com	
2376464																																											109	7718	1312	0	1560	true	109	4696	0	1419	245	1358	782	0	0	0	false	0	0	0	1312	248	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			WWW.COMMUNITYBANK.NET	
2380470																																											139	1089	0	0	0	true	0	139	0	0	0	950	85	0	0	139	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.premierbankusa.com	
2382308																																											0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			WWW.CRESTMARK.COM	
2385514																																											2584	6386	0	0	13310	true	2584	1675	0	2934	0	1777	12450	6	0	0	false	0	0	0	3003	5798	3000	0	0	126	262	285	836	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			www.thefirstbank.com	
2388784																																											0	4948	2000	0	2000	true	0	1311	0	741	0	2896	639	1	0	0	false	0	0	0	2000	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.gwbt.com	
2389857																																											0	4912	0	0	0	true	0	1804	0	1312	0	1796	1683	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			www.selectbank.com	
2390929																																											126	2535	6108	0	7886	true	126	459	0	417	0	1659	22365	7	0	0	false	0	0	0	6108	0	1336	0	0	442	0	0	0	0	0	false	false	0	0	1477	1012	0	4343	3632	605	2335	10768	6869	0	10427	0	18	1262	7	0	0	0	249	0	417	0	1455	2121	0	0	7			www.bankofannarbor.com	
2391494																																											0	1307	6850	0	16350	true	0	1105	0	97	0	105	7054	3	0	0	true	0	0	0	6850	2500	7000	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.communitybankcbd.com	
2391588																																											17	2634	0	0	0	true	17	2634	0	0	0	0	636	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			www.bankononb.com	
2392950																																											0	3035	0	0	1000	true	0	2280	0	755	0	0	8285	5	0	0	false	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.concordbank.com	
2396547																																											96	2535	0	0	0	true	96	1488	0	772	0	275	10477	5	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			www.fcbebanking.com	
2396592																																											0	257	0	0	0	true	0	0	0	257	0	0	121	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			peoplesbankofseneca.com	
2396604																																											0	517	0	0	0	true	0	187	144	38	0	148	1606	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			www.bosv.com	
2398596																																											19	18957	10000	19	40000	true	0	5376	0	2169	335	11077	1551	1	84	0	false	0	0	0	15000	15000	10000	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.cscbank.com	
2398701	1021	6626	0	0	0	true	1021	774	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0			0	0	6626	0	0								0										0		true	true			0	0	0	0	0	0	0	0	0										0	0	0	0	0							www.modernbank.com	
2399119																																											0	2102	0	0	62698	true	0	375	0	585	0	1142	9201	2	0	0	false	0	0	0	0	38525	0	24173	27600	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.fcbok.com	
2413510																																											0	33	2531	0	4531	true	0	0	0	33	0	0	0	0	0	0	false	0	0	0	2531	0	0	2000	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.acommunitybank.com	
2434113																																											20851	1603	10063	0	200310	true	20851	0	0	1011	0	592	8793	3	0	0	true	0	0	0	10063	42615	142316	5316	143641	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			www.bankri.com	
2435660																																											0	2412	0	0	0	true	0	835	0	1447	0	130	1826	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			www.centralbank.com	
2445052																																											0	360	0	0	0	true	0	0	0	360	0	0	30342	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			www.cboprf.com	
2446152																																											0	1141	0	0	0	true	0	0	0	0	0	1141	7987	4	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			www.valleybusinessbank.net	
2451240																																											37	1678	10000	0	20000	false	37	0	0	0	1678	0	0	0	0	0	false	0	0	0	10000	10000	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.pcbb.com	
2454607																																											0	0	0	0	1608	true	0	0	0	0	0	0	1262	1	0	0	true	0	0	0	0	0	0	1608	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://oibank.com	
2454867																																											0	0	0	0	6000	true	0	0	0	0	0	0	867	0	0	0	false	0	0	0	0	2000	4000	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.nevadacb.com	
2465881																																											0	858	4000	0	11000	true	0	16	759	83	0	0	10521	4	0	0	false	0	0	0	4000	0	7000	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			www.pvbankne.com	
2467670																																											0	0	0	0	0	true	0	0	0	0	0	0	116	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			WWW.APPLIEDBANK.COM	
2468097																																											0	7070	0	0	0	true	0	1624	0	1093	0	4353	220	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.firstbankmiami.com	
2471239																																											39399	2446	0	39399	0	true	0	934	0	1512	0	0	15	0	39399	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.cfgcommunitybank.com	
2472508																																											3123	292	0	3123	2490	true	0	0	0	193	0	99	4028	2	3252	0	true	0	0	0	0	2000	0	0	0	0	0	0	490	0	490	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.valleybankne.com	
2473354																																											0	9069	2000	0	5000	true	0	3608	0	2792	0	2669	1050	1	0	0	false	0	0	0	2000	3000	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.idahobankingco.com	
2479477																																											0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			www.firstcitizensnb.com	
2482824																																											0	646	0	0	0	true	0	0	0	318	0	328	262	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://gpnbank.com	
2483120																																											0	438	350	0	8100	true	0	0	0	438	0	0	12015	7	0	0	true	0	0	0	1100	1500	5500	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.surreybank.com	
2483438																																											0	107	0	0	8000	true	0	107	0	0	0	0	0	0	0	0	false	0	0	0	1000	7000	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			www.communitybankbay.com	
2485544																																											0	12655	0	0	4355	false	0	4248	0	8129	0	278	4549	2	0	0	false	0	0	0	0	0	0	4355	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			www.the-bank.com	
2488956																																											0	14755	29	0	461	true	0	10063	0	1522	0	3170	3607	3	0	0	false	0	0	0	29	432	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			www.thevillagebank.com	
2489805																																											0	0	0	0	38216	false	0	0	0	0	0	0	0	0	0	0	false	0	38216	0	0	0	0	0	0	38216	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
2490285																																											0	0	0	0	0	true	0	0	0	0	0	0	1745	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	2505	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			www.fnbrotan.com	
2491291																																											0	27793	0	0	15000	true	0	18379	0	3297	0	6117	10640	3	0	0	true	0	0	0	0	0	0	15000	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.firstsouthbancorp.com	
2493110																																											0	14651	936	0	9174	true	0	6366	311	2770	0	5204	546	0	0	0	false	0	0	0	936	795	1285	6158	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.simmonsfirst.com	
2493697																																											0	438	0	0	52	true	0	438	0	0	0	0	1488	2	0	0	false	0	0	0	0	0	0	0	0	0	0	52	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.myambank.com	
2496081																																											0	309	0	0	0	false	0	167	0	65	0	77	982	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			www.metrobankky.com	
2497181																																											0	143	18000	0	56129	true	0	133	0	10	0	0	24039	6	0	0	false	0	0	0	18000	22824	11000	4305	1000	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			www.plantersbankonline.com	
2502656																																											0	0	0	0	9740081	true	0	0	0	0	0	0	4523	0	0	0	false	0	6370081	0	0	0	0	0	0	6370081	3325000	45000	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			www.usaa.com	
2502825																																											0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
2505424																																											0	1145	4875	0	15380	true	0	520	0	277	0	348	181	0	0	0	false	0	0	0	4875	8190	2315	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.wolfriverbank.com	
2505451																																											0	3327	2770	0	9573	true	0	842	0	28	0	2457	8430	4	0	0	false	0	0	0	2770	884	2739	3180	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.citizbank.com	
2505460																																											0	0	0	0	0	true	0	0	0	0	0	0	1469	1	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://thebank-online.org	
