"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF601	RCFDF608	RCFDF609	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK167	RCFDK168	RCFDK195	RCFDK196	RCFDK203	RCFDK204	RCFDK207	RCFDK208	RCFDK209	RCFDK212	RCFDK267	RCFNK289	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF601	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK167	RCONK168	RCONK195	RCONK196	RCONK203	RCONK204	RCONK207	RCONK208	RCONK209	RCONK212	RCONK256	RCONK267	RIADG377	
192857																																																																							0	5828	0		6388			10418	0	0	0	57730	0	0	0	5012	115	1451	8797	649	1518	659	741	657	788	6224	6030	5303	3856	27949	3211								349	0			0	0	307	53	10570	16681			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		14168		0	49							0	1171	0	0	0	0	0			0	0	0	0			0	0	789			0	0	0		
193162																																																																							0	2106	0		1949			6109	0	0	0	24090	0	0	0	6972	0	5243	7564	33	151	515	431	2786	2514	4303	3431	2826	2502	2652	1344								0	0			0	0	177	23	1170	1186			0			0	22																							0	0	0	0	0	0	0	0	0	0	0	0		0		0	71							0	640	0	0	0	0	0			0	0	0	0			0	0	3687			0	0	0		
193247																																																																							0	806	2159		1179			4175	2393	0	418	43256	0	0	0	17495	1301	5265	16595	3255	2294	7374	2081	762	1124	1983	9063	8627	3385	1753	950								0	1			0	0	7651	195	2286	2458			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	12191		0	5							0	734	0	0	0	0	0			0	0	0				0	0	0			0	0	0	0	
193537																																																																							0	16174	0		11879			3602	25	0	0	68005	0	0	0	25034	334	0	39863	5633	13588	3228	334	446	1182	7406	19303	5337	2411	2352	5121								0	0			0	0	544	0	2078	2226			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		0		0	381							0	3816	0	0	0	0	0			0	0	0	0			0	0	1912			0	0	0		
193649																																																																							0	18086	4330		22658			14439	1294	0	428	102020	164	808	0	20459	805	0	36934	312	329	9451	9004	1098	88	9912	30279	16106	21858	3348	0								0	0			0	0	328	0	6917	0			0			162	144																							0	0	0	0	0	0	0	0	0	0	0	0		0		6157	40							0	2444	0	0	0	0	0			33	33	0	0			0	0	2991			0	0	0		
193809																																																																							0	0	17686	0	0	14055	0	14055	18933	0	0	742218	0	0	0	496157	10295	240182	26369	6844	26712	62062	116991	103741	174873	28683	17577	58232	49322	69193	13618	0	0	0	0	0	0	0	0	524	0		0	0	36440	9967	22287	114156	0	0	0			0	1335																							0	0	0	0	0	0	0	0	0	0	0	0		429445	1	0	1							0	575	269	0	0	888	0	0	0	4	0	0	0			0	0	1142			0	0	0		
194253																																																																							0	8096	0		17277			10538	529	0	0	43485	0	0	0	1919	65	17	20962	263	55	521	863	217	0	10761	9883	8853	7208	4093	768								0	59			0	0	250	479	0	2552			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		0		0	32							0	105	0	0	0	0	0			0	0	0	0			0	0	1584			0	0	0		
194440																																																																							0	9434	0		4459			14964	1606	0	292	76645	0	0	50	18534	3147	88	29034	988	5009	9898	1630	951	58	13173	12298	19360	8219	2986	482								0	0			0	0	1157	735	19456	0			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		18534		0	0							0	1650	0	0	0	0	0			0	0	0	0			0	0	1211			0	0	0		
194936																																																																							0	261	0		236			9419	13247	0	406	175590	459	0	0	72300	517	1452	43780	12807	18469	18406	12271	10199	0	68911	6505	15668	10445	1331	0								0	98			0	0	8878	0	66426	0			0			2894	0																							0	0	0	0	0	0	0	0	0	0	0	0		72300		0	0							0	1452	0	0	0	3010	0			130	0	0				0	0	2809			0	302	0		
195111																																																																							0	0	4709	0	983	36662	0	36662	22104	0	0	380697	0	0	0	47876	9619	30316	27058	1926	12563	8929	3519	13679	2944	59423	11500	73100	110484	66822	0	0	0	0	0	0	0	0	0	534	0		0	0	2236	6007	93955	43823	0	0	0			84	4838																							0	0	0	0	0	0	0	0	0	0	0	0		17393	0	0	0							0	110719	0	0	0	2747	0	36	0	0	0	0	0			0	0	1470			0	36	0		
195157																																																																							0	6953	0		662			3174	0	0	0	18996	0	0	0	3266	76	0	7085	271	682	1910	300	38	0	3762	3300	5851	1975	533	129								0	0			0	0	0	0	790	2817			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		0		0	55							0	340	0	0	0	0	0			0	0	0	0			0	0	863			0	0	0		
195456																																																																							0	22909	259		1896			1878	171	0	0	51736	0	39	176	11990	937	10645	5562	406	2315	2415	503	3600	2347	2585	3522	5628	3186	20010	4302								0	0			0	0	963	387	3520	2949			0			0	355																							0	0	0	0	0	0	0	0	0	0	0	0		15107		0	89							0	1671	0	0	0	0	0			0	0	0	0			0	0	2078			0	0	0		
196257																																																																							0	329	0		49			1663	0	0	0	12233	2	0	0	3438	42	819	4569	351	1017	652	960	348	110	1219	3180	1812	590	749	1247								0	0			0	0	193	1151	1847	2766			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		4626		0	2							0	377	0	0	0	0	0			0	0	0				0	0	378			0	0	0		
