"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDJA29	RCFDJF76	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONJA29	RCONJF76	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL58	RCONLL59	RCONLL60	RCONLL61	RCONN517	RCONN518	RCONN519	RCONN520	RCONN521	RCONN522	RCONN523	RCONN524	RCONN527	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
14155																																		0	84	3000	0	0	4500		0	0	78	0	6	627	1	0			0	3000	1500	0	0	0	0	0	0	0	0	0						0																					185	7489	0	0	0	0	0	0																										https://www.fandcbank.com	
14650																																		90	0	0	90	0	0		0	0	0	0	0	18	0	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					10	325	0	0	0	0	0	0																											
14753																																		0	0	0	0	0	0		0	0	0	0	0	1270	1	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					37	1097	0	0	0	0	0	0																											
14865																																		1450	0	0	0	0	83775		0	0	0	0	0	1174	0	0			0	0	0	0	0	0	0	76533	7242	0	0	83775					0	1450																					825	93886	83775	81350	0	0	83775	0																											
14977																																		0	0	0	0	0	0		0	0	0	0	0	1794	2	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					43	1344	0	0	0	0	0	0																										http://firstfedlfd.com	
16551																																		4828	323	0	2433	2333	3000		0	0	123	0	200	354	0	2333			0	0	3000	0	0	0	0	0	0	0	0	0					0	62																					205	13038	0	0	0	0	0	0																											
16748																																		246	680	0	0	246	0		0	0	0	0	680	20	0	246			0	0	0	0	0	0	0	0	0	0	0	0						0																					75	7157	0	0	0	0	0	0																										http://www.esbanc.com	
17110																																		0	0	0	0	0	0		0	0	0	0	0	2292	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0	78813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0																										http://www.haverfordquality.com	
17147																																		576361	6942	75000	543471	2439	399522	true	6214	0	264	96	368	12021	3	2439	true	0	0	75000	190000	25000	109522	0	0	0	0	0	0	0	true	false	0	0		30451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					5241	901384	0	0	0	0	0	0											First Merchants Private Wealth Advisors, A Division of First Merchants															http://www.firstmerchants.com	
17259																																		0	0	0	0	0	0		0	0	0	0	0	581	1	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					71	1569	0	0	0	0	0	0																											
17950																																		5799	1429	0	3676	0	0		0	796	26	0	607	5264	1	0			0	0	0	0	0	0	0	0	0	0	0	0						2123																					510	30182	0	0	0	0	0	0																											
17978																																		0	1088	392	0	0	581		480	0	233	0	375	0	0	0			0	392	177	12	0	0	0	0	0	0	0	0					0	0																			2	true	0	0	0	0	0	0	0	0																											
18050																																		0	0	0	0	0	0		0	0	0	0	0	3222	3	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					253	19157	0	0	0	0	0	0																											
18827																																		10577	164	0	9122	0	70000		0	0	97	0	67	18390	3	0			0	0	45000	25000	0	0	0	0	0	0	0	0						1455																					1149	123753	0	0	0	0	0	0																										http://www.nextierbank.com	
18836																																		0	1672	0	0	0	3541		103	0	169	0	1400	1158	1	0			0	0	0	1388	2153	0	0	0	0	0	0	0					0	0																					56	4121	0	0	0	0	0	0																											
18854																																		623	0	0	0	0	0		0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	623	0	0	1036	0	0	0	0	2037	48	1092	0	0	0	0	0	0					333	64272	0	0	0	0	0	0																										www.bank7.com	
19356																																		800	0	0	762	0	2000		0	0	0	0	0	10	0	0			0	0	2000	0	0	0	0	0	0	0	0	0						38																					62	4691	0	0	0	0	0	0																										https://www.sbtmiami.com	
19936																																		0	587	1000	0	0	7587		32	0	0	0	555	2818	2	0			0	1099	1198	5199	91	0	0	0	0	0	0	0					0	0																					201	18296	0	0	0	0	0	0																											
19972																																		0	0	0	0	0	0		0	0	0	0	0	719	0	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																											
20053																																		0	0	4000	0	0	4000		0	0	0	0	0	0	0	0			0	4000	0	0	0	0	0	0	0	0	0	0						0																					145	5234	0	0	0	0	0	0																											
20633																																		0	9122	5000	0	0	9004		244	0	1675	7203	0	997	1	0			0	5000	2250	0	1754	0	0	0	0	0	0	0					0	0																					80	7644	0	0	0	0	0	0																										www.mcnbbanks.com	
20857																																		142	0	3419	142	0	8334		0	0	0	0	0	0	0	0			0	3419	398	418	3895	2614	0	0	20	184	0	0						0																					169	10732	0	0	0	0	0	0																											
21256																																		0	0	0	0	0	0		0	0	0	0	0	197	2	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					11	254	0	0	0	0	0	0																											
21359																																		123	0	0	0	0	8		0	0	0	0	0	26	0	0			4	0	0	0	0	0	4	4	0	0	0	0						123																					50	1362	0	0	0	0	0	0																										http://www.asbgrygla.com	
21658																																		0	78	0	0	0	5506		0	28	0	0	50	868	0	0	true	0	0	0	0	0	5506	0	0	0	0	0	0	0	true	true	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					110	2032	0	0	0	0	0	0																										www.alliancebank.us	
22048																																		0	119	0	0	0	9792		0	0	119	0	0	7533	4	0			0	0	4092	3447	2253	0	0	0	0	0	0	0					0	0																					304	19500	0	0	0	0	0	0																											
22543																																		2097	208	0	0	2097	20000		0	0	0	0	208	3764	3	2097			0	0	0	20000	0	0	0	0	0	0	0	0					1166	0																					205	17655	0	0	0	0	0	0																											
22552																																		0	200	2000	0	0	9800		0	0	0	0	200	586	0	0			0	2000	2000	5000	800	0	0	0	0	0	0	0					0	0																					105	2882	0	0	0	0	0	0																										http://www.firstsoutheastbank.com	
22730																																		0	0	0	0	0	344		0	0	0	0	0	1328	1	0			0	0	0	0	344	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																										http://www.westunionbank.com	
23456																																		0	0	0	0	0	312		0	0	0	0	0	817	0	0			0	0	0	0	0	0	0	0	312	0	0	0						0																					186	8387	0	0	0	0	0	0																											
23504																																		109398	0	215000	105950	1598	215000		0	0	0	0	0	18015	6	1933	true	0	0	215000	0	0	0	0	0	0	0	0	0	0	true	false	0	0		1850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					4248	938547	0	0	0	0	0	0																										http://www.bnbbank.com	
23643																																		0	577	0	0	0	0		91	0	18	0	468	3300	4	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					141	5582	0	0	0	0	0	0																										http://www.commercial-bank.net	
23755																																		1281	703	4000	0	1252	4000		0	0	0	0	703	2227	2	1921			0	4000	0	0	0	0	0	0	0	0	0	0					81	29																					233	9488	0	0	0	0	0	0																											
24006																																		6315	0	40000	6106	0	117682		0	0	0	0	0	0	0	0			0	40000	57500	5000	3556	0	11626	0	0	0	0	11626					0	209																					183	35687	0	0	0	0	0	0																										www.PCSB.com	
24378																																		0	0	0	0	0	0		0	0	0	0	0	633	0	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					44	2091	0	0	0	0	0	0																										www.gblbank.com	
24453																																		2150	0	0	2150	0	0		0	0	0	0	0	1440	1	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					257	26761	0	0	0	0	0	0																										http://www.rockymountainbank.com	
24659																																		2058	0	0	1765	0	0		0	0	0	0	0	193	0	0			0	0	0	0	0	0	0	0	0	0	0	0					0	293																					82	2468	0	0	0	0	0	0																											
24668																																		974	200	0	328	646	0		0	0	0	0	200	699	1	646			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					398	83600	0	0	0	0	0	0																											
24949																																		914	123	0	0	914	33885		0	0	38	0	85	78	0	943			0	0	0	5000	5000	0	0	23885	0	0	0	23885						0																					239	23978	23885	23210	0	0	23885	0																										http://www.baraboobank.com	
25357																																		2598	922	0	1838	0	0		0	715	111	0	96	433	0	0			0	0	0	0	0	0	0	0	0	0	0	0					0	760																					0	0	0	0	0	0	0	0																										https://www.allamerica.bank	
25647																																		0	0	4000	0	0	104070		0	0	0	0	0	0	0	0	false	0	0	4000	3000	0	0	0	0	97070	0	0	0	97070	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1030	131741	97070	97070	0	0	97070	0																										www.firstsecurebank.com	
26176																																		8	0	27500	0	8	115500		0	0	0	0	0	0	0	8			0	27500	53000	35000	0	0	0	0	0	0	0	0					0	0																			1	true	0	0	0	0	0	0	0	0																											
26457																																		0	0	0	0	0	0		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					1	10	0	0	0	0	0	0																											
26765																																		11317	3262	0	3454	0	0		323	0	0	0	2939	32565	3	0			0	0	0	0	0	0	0	0	0	0	0	0					0	7863																					891	153286	0	0	0	0	0	0																											
27070																																		29776	0	5000	27751	314	13000		0	0	0	0	0	4416	1	314			0	5000	2000	6000	0	0	0	0	0	0	0	0					0	1711																			2	true	214	22438	0	861	0	0	0	0																										www.prevail.bank	
27548																																		15541	1	0	10228	3416	29000		1	0	0	0	0	20901	4	3449	true	0	0	0	0	0	10000	10000	0	19000	0	0	0	19000	true	false	0	0	2461	1897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					824	83971	0	0	0	0	0	0										www.blackhawkbank.com																www.blackhawkbank.com	
27614																																		2906	0	7500	2654	0	20000		0	0	0	0	0	1051	0	0			0	7500	12500	0	0	0	0	0	0	0	0	0					0	252																					335	16453	0	0	0	0	0	0																											
27847																																		0	735	71	0	0	10071		7	0	501	0	227	376	0	0			0	71	0	0	10000	0	0	0	0	0	0	0					0	0																					350	18348	0	0	0	0	0	0																											
28013																																		42395	0	170000	41594	97	611891		0	0	0	0	0	765	0	97	true	0	8741	170000	182500	137500	45000	0	8741	4977	3838	59335	0	54996	true	false	0	0	4502	704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			1	true	1012	118454	0	0	0	0	0	0																										www.enorthfield.com	
28152																																		0	220	709	0	0	849		0	0	0	0	220	271	0	0	true	0	0	709	19	20	101	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					172	8068	0	0	0	0	0	0										www.facebook.com/harvestbankmn																www.harvestbankmn.com	
28675																																		508	0	8500	0	508	30000		0	0	0	0	0	598	1	508	false	0	0	10500	19500	0	0	11000	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			1	true	93	6171	0	0	0	0	0	0																										www.cumberlandfederal.com	
28732																																		0	0	0	0	0	0		0	0	0	0	0	2486	1	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					68	3503	0	0	0	0	0	0																											
29476																																		199	171	1000	199	0	2653		0	0	171	0	0	4862	2	0			0	1000	34	1619	0	0	0	0	0	0	0	0					0	0																					97	2868	0	0	0	0	0	0																											
29636																																		13687	3413	15000	13030	0	15000		218	199	68	0	2928	159	0	0			0	15000	0	0	0	0	0	0	0	0	0	0					500	657																					590	48829	0	0	0	0	0	0																										www.thecitizensbankphila.com	
29878																																		0	4080	0	0	0	12000		0	0	2019	1568	493	2857	3	0	false	0	0	0	12000	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			1	true	0	0	0	0	0	0	0	0																										www.maspethfederal.com	
30052																																		0	0	0	0	0	117		0	0	0	0	0	332	0	0			0	0	0	0	117	0	0	0	0	0	0	0						0																					30	2105	0	0	0	0	0	0																										http://www.amistadbank.com	
30502																																		10657	0	0	9934	723	0		0	0	0	0	0	1102	1	723			0	0	0	0	0	0	0	0	0	0	0	0					16976	0																					704	69503	0	0	0	0	0	0																										http://www.northwaybank.com	
30650																																		0	0	8000	0	0	8000		0	0	0	0	0	1499	2	0			0	8000	0	0	0	0	0	0	0	0	0	0						0																					108	12001	0	0	0	0	0	0																										www.lcbankmn.com	
30810	2300	21	0	0	0	28360963		700	0	0	false	0	15473999	0	0	0	0	0	18954651	5364746	1192924	2848642	22125326	0	0	576380	2300	0	0												0	0	21	0	0																0		true	false					0	0	0	0	0	0	0	0	0		0	0	0	0	0						0	0	0	0	0	0	0	0										www.mydiscoverbank.com		aaa.discoverbank.com		aaii.discoverbank.com		nea.discoverbank.com										www.discover.com	
31134																																		0	0	0	0	0	0		0	0	0	0	0	6191	3	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					94	3688	0	0	0	0	0	0																										www.fnbwaynesboro.com	
31255																																		1064	0	0	1064	0	0		0	0	0	0	0	1913	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					247	26412	0	0	0	0	0	0																										http://www.centralbankhouston.com	
31657																																		0	0	0	0	0	0		0	0	0	0	0	715	1	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																											
31826																																		865	537	0	865	0	15000		0	0	159	0	378	577	0	0	true	19028	0	0	0	0	15000	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					415	25276	0	0	0	0	0	0																										www.powellvalleybank.com	
31835																																		0	710	3000	0	0	6130		0	436	75	0	199	5276	3	0			0	3000	1600	0	0	0	0	1530	0	0	0	1530						0																					104	2289	1530	1530	0	0	1530	0																										http://www.bankofanguilla.com	
32234																																		846	37	4000	0	0	11303		0	0	37	0	0	1725	1	0			0	4000	0	0	0	0	0	7303	0	0	0	7303					0	846																					69	7368	7303	7368	0	0	7303	0																											
32766																																		2552	0	0	1062	0	0		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0						1490																					228	28292	0	0	0	0	0	0																										http://www.LBTEXAS.com	
32971																																		500	0	0	0	500	15000		0	0	0	0	0	1109	0	500			0	0	5000	10000	0	0	0	0	0	0	0	0						0																			1	true	200	16826	0	0	0	0	0	0																											
33147																																		0	207	0	0	0	0		0	0	207	0	0	2851	1	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					257	23761	0	0	0	0	0	0																											
33259																																		0	3532	0	0	0	0		1835	0	0	0	1697	4941	3	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					440	63177	0	0	0	0	0	0																											
33268																																		0	0	0	0	0	0		0	0	0	0	0	613	0	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					111	4330	0	0	0	0	0	0																											
33370																																		0	0	0	0	0	2828		0	0	0	0	0	698	0	0			0	0	0	0	2828	0	0	0	0	0	0	0					0	0																			1	true	0	0	0	0	0	0	0	0																											
33839																																		0	0	0	0	0	2000		0	0	0	0	0	287	1	0			2000	0	0	0	0	0	2000	0	0	0	0	0						0																					23	779	0	0	0	0	0	0																										http://www.psbofcolfax.com	
33857																																		15213	145	7245	15213	0	96229		0	0	0	0	145	1095	1	0	false	0	0	7245	8876	41378	38730	0	0	0	0	0	0	0	true	true	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					563	52720	0	0	0	0	0	0																										www.frontbank.com	
34425																																		1939	1113	15000	0	845	60830		625	0	228	0	260	3878	3	845			822	15000	0	0	10000	10000	822	33784	548	676	0	35830						1094																					696	56788	32637	32637	0	0	32637	0																										http://www.vcb.bank	
34434																																		603	1670	0	603	0	0		654	0	0	0	1016	1165	0	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					278	20453	0	0	0	0	0	0																											
34537																																		242959	15890	0	224797	2164	35000		6490	0	1158	0	8242	2221	1	2164	true	0	0	0	35000	0	0	35000	0	0	0	0	0	0	true	true	0	0		15998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					5586	638800	0	0	0	0	0	0																										www.seacoastbank.com	
