"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RIADG377	
1864197																																																															0	71641	46705	0	24670	57913	0	57913	11150		8411	759312	797	0	1000	28733	1033	14523	86395	1348	3181	2553	5394	15086	1034	117838	54466	127346	202319	218541	10043	0	0	0	0	564	0				1886	55548	150007	297736	0	0				0	0														760109				0	3575	0	3575							0	0	0	0	0	0	0	0	0	0	0	0	0	0	537	0		
1867983																																																															0	1379	5533	0	0	213002	0	213002	67420		44144	774041	0	0	0	182828	0	85714	45330	22389	33574	23175	28284	36423	38387	239495	5360	51124	52694	116390	126033	0	0	0	0	324	0				1260	79768	64897	111331	0	0				0	0														175097				0	87	0	87							0	629	0	0	0	0	0	0	0	0	0	0	0	0	1439	0		
1872941																																																															0	60929	5281		51499			66174	18648		3879	332624	94	0	0	51172	1962		99156	25420	1654	7623	11084	5345	0	57834	31176	71463	81487	39027	200				0	738					3703	3146	22131	38971							0														122207				4512		0	313								2142													2030			
1872996																																																																21282	90822		5209			93736	37629		25701	795604	0	990	0	109058	5325		266614	2129	14029	24480	31592	16227	19239	165616	84840	170343	152831	102312	9633				3587	66					8170	38058	104035	233121							0														401123				47		16246	550								1162													857			
1879016																																																															0	10103	6505		625			22763	340		0	182097	0	0	0	45313	626		42332	2581	3037	22162	10488	6649	91	20470	16244	58708	23073	16560	1489				0	0					11202	11521	17151	51732							238													0	52122				0		0	87								1817													2312		0	
1883321																																																																0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0				0	0														0				0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1885932																																																															0	0	0	0	0	26234	0	26234	0		0	847383	0	0	0	22555	25	12234	58851	4882	3775	3141	196	3318	7243	24019	30390	164820	297948	287516	0	0	0	0	0	0	0				0	1361	2796	13224	0	0				0	0														692136				6842	1053	0	1053							0	773210	0	0	0	0	0	0	0	6842	0	0	6842	0	6925	0		
1890525																																																																80	0		0			84807	66878		0	1441925	0	0	0	471378	21668		96660	44900	74032	147557	66551	78489	53312	216956	33357	70691	130219	164844	351362				0	220					83687	53408	395136	262815							4315														632804				694		0	967								326													555			
1892154																																																																18495	11962		0			9780	2033		0	149771	0	0	0	29974	654		24348	1931	4509	12009	6887	4366	271	20281	10100	17594	17305	47843	6133				0	33					3384	2814	26396	42588							0													0	5509				0		0	0								858													800		0	
1893049		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0													0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0		0	0	0	0	0	0							0	0	0	0	0					0	0	0	0						0	0													0						0	0									0	0	0	0	0	0				0				0		0	
1914421																																																																48862	8507	0	11035	56271	0	56271	22699		0	420291	0	0	0	17413	4219	6991	154385	4241	3171	3151	0	1678	5172	113393	69667	101038	18707	94318	5188	0	0	0	0	101	0				13167	57782	114598	64574	0	0				0	0													31241	78105				390	115	0	115							0	505	0	0	0	390	0	0	0	0	0	0	0	0	443	0	303	
1917301	817829			11471	0	1649664	413388		0	6026	3292316	0	21891			1379558	1928811	871886	157337	167941	44647	1148	0	0	0	0	0	0	633	0								0	46266													779487	7731	0	87	1698	0	0	0	0	0	346952		389	70004	0	0	1649664	0		49775	0	6026	2842810	0	46266		105859	3048	81031		15042	5360	6936	31422	35395	9837							0	0	0	0	633					6765	75095	151693	355201						2194	828																			8245	3226									87	0	0	0	1246	2593				0				310834			
1918344																																																															20000	0	234225	0	0	1268957	0	1268957	1569		0	3910241	0	0	0	457171	29245	440947	1481500	442130	0	10619	740	2379	946	1313596	608446	721224	634183	170201	3651	20000	0	0	0	0	0				176555	230150	243087	1249190	0	0				0	0														859619				0	92	0	92							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1929247																																																															0	94312	214399	1540	8358	1214708	160	1214868	673684		423197	12215482	0	1167	0	2020457	32965	1051264	4830160	167914	263100	339733	339197	428184	466255	3745885	653261	1787817	2016903	1505049	423052	0	0	0	0	26539	58656				376328	611827	2590725	3566003	0	1167				2301	3369														7521703				3589	145439	0	146979							0	25608	471	47	0	526	0	18	0	226	0	0	0	38	188066	18		
1940747																																																															0	0	7527		0			5016	15641		0	181002	0	0	0	140956	0		21891	14500	44235	40910	6223	9954	24579	20442	7599	5082	5388	790	745				0	0					0	0	0	2282							0														29460				756		0	49								0													9531			
1945247																																																															0	0	37		0			5721	11		0	31814	0	0	0	3438	592		8783	968	518	648	0	996	0	20501	956	1337	642	1252	522				52	44					0	1948	18335	1081							0														0				751		0	0								0													555			
2002222																																																															0	23458	0		8511			28182	147		667	156010	1	0	259	38208	4437		60351	6692	11019	7222	3556	1967	7294	18176	43133	26681	9451	8059	10516				0	33					8426	14917	12319	8411							0														0				0		0	169								3951													4175			
2006024																																																																878	20534		0			38731	446		0	459831	0	0	0	131153	5006		131975	7216	35685	56638	28483	811	1328	53248	43642	103874	96925	5637	3948				0	23					1855	33707	90058	136899							165														142406				3588		0	425								3													113			
2007991																																																															0	41836	23221		8401			22143	6684		6599	250760	0	69	0	39370	735		67318	1442	3784	10592	14135	4604	4640	20314	41950	53927	53135	39902	0				0	126					9427	20450	22643	44881							219													0	32695				5579		0	34								1133													3008		0	
2009605																																																															0	77160	83192	2024	79659	148153	0	148153	13657		24540	930133	0	14480	0	92012	11915	19384	200671	4143	7116	15851	22182	30735	10838	115817	112454	211563	292837	95715	964	0	0	0	0	6624	0				8339	60933	114028	169398	0	14480				0	0													0	408996				3447	2418	0	4442							0	15643	0	0	3447	0	0	0	0	0	0	0	0	0	5958	0	0	
2010722																																																															0	981	11578		655			41331	9251		27	204499	0	0	0	26797	705		46466	725	4037	8703	9667	3099	525	14753	26951	44297	37254	47591	6190				0	174					12561	9331	45759	42328							0														69916				2624		0	41								1884													1096			
2037185																																																															0	1030	735		0			10850	2522		858	112710	0	0	907	36299	563		20703	1041	2149	526	3030	24601	4530	15406	7998	12851	22480	16520	480				0	87					1935	10009	16399	22549							0													0	35472				0		5201	0								298													3375		0	
2044811																																																																0	32963	425	0	521275	0	521275	44510		11357	1448978	0	35962	63	86948	1974	61309	775327	6589	4232	17290	19721	28518	10459	596309	538604	91422	79512	46612	390	0	0	0	0	50	0				2757	39840	131168	159678	0	35962				2486	661														369486				2488	879	0	1303							0	21	0	0	0	0	0	2	0	0	0	0	0	0	379172	2		
2044820																																																															0	0	354		0			12045	15861		509	85724	0	0	0	22563	290		35345	2567	2163	5533	8151	2950	802	28150	2465	19246	10393	2866	51				0	23					4493	0	29431	0							0														0				0		0	0								89													66			
2047504																																																																0	3912534	0	0	551608	0	551608	2969		305516	5990516	0	17279	7256	48126	1049	42252	169833	14865	24454	1207	188	1157	6180	749472	219916	196023	361528	4174325	235434	0	0	0	0	3	12486				0	49253	338958	763085	0	17279				0	0														3968223				0	136	0	136							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2051127																																																															0	352	2799		855			67151	3736		0	226939	0	0	0	15734	901		43147	297	2720	2505	8730	759	723	27177	18020	56981	57856	35307	15864				0	0					809	5481	78080	50562							0													0	43389				2285		0	3								280													196		0	
2059990																																																															0	3433	0		551			3033	731		0	80305	0	0	0	61368	355		27008	4422	11921	15854	8573	4527	14237	4929	6712	6198	1025	65	0				0	0					5314	2393	1827	0							440														60908				0		0	0								468													832			
2068107																																																															0	162	18163		0			26401	223		0	321075	1218	22	0	3462	226		57848	866	884	247	1465	0	0	63591	45782	52474	140974	9762	0				0	90					11063	21529	88660	34671							0														117374				0		0	29								1177													116415			
2078290																																																																302515	349068	241	452929	2254245	24556	2278801	301480		511588	8943021	0	139	82098	384017	14719	165979	1520952	26950	29471	34797	48287	181580	62220	2334542	398700	860434	1070647	3524312	323435	0	0	0	10	23447	0				121664	186033	1948666	1671256	0	139				1966	330														3522078				7476	128899	250511	129139							0	3811	0	0	0	677	0	3278	0	1555	624	903	0	28	13228	3278		
2107181																																																																0	0		0			1127	0		0	1406	0	0	0	0	0		1406	0	0	0	0	0	0	1406	0	0	0	0	0				279	0					0	0	0	0							0													0	1406				0		0	0								0													0		0	
2107341																																																																4375	186		395			4189	1657		0	77370	0	213	0	27858	9		14792	613	1187	3650	2586	2797	16097	3477	9515	15702	5806	10562	4450				0	6					1559	2992	17627	14226							0													0	50732				553		0	0								1104													974		0	
2119773																																																																1260	198391	0	0	965931	0	965931	50732		1040	2503415	0	41911	21991	197429	3836	124018	1313650	48585	6382	15780	42421	54916	26776	1139842	638112	204457	198787	102167	4946	0	0	0	0	2708	0				144504	99578	230530	234231	0	41911				2067	0														585489				2136	2127	0	2127							0	24	0	0	0	0	68	1	0	0	0	0	0	0	329183	1		
2121196																																																															0	0	25989	0	0	329049	0	329049	121		15000	9801552	0	0	4693	2511	0	184	42976	125	3	0	0	279	1110	9540275	10650	194904	27087	16329	4084	0	0	0	9359630	0	0	187139			0	47494	967	5586	0	0				0	355													0	0				118567	1835	13370	1835							118567	0	0	0	0	0	0	0	0	118567	0	0	0	0	0	0	0	
2122997																																																															0	0	0		0			0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0					0	0	0	0						0	0														0				0		0	0							0	0	0	0	0	0	0			0	0		0	0	0	0		
2123930																																																																2366	493		944			6756	1577		27	40741	0	0	881	15347	137		7146	169	1628	1964	3269	8049	269	4861	2091	6704	7920	3818	0				0	117					0	0	10520	1500							0													0	0				0		0	12								328													617		0	
2132594																																																															0	0	46384		0			30502	1700		0	336837	0	0	2075	33559	624		29545	2	86	154	1341	11036	20882	21910	10344	30824	50121	140239	49046				0	209					0	32898	53665	134627							59														69678				1449		1750	85								594													240			
