"IDRSSD"	RCONF066	RCONF067	RCONF068	RCONF069	RCONF070	RCONF071	RCONF072	RCONF073	RCONF670	RCONF671	RCONF672	RCONF673	RCONF674	RCONF675	RCONF676	RCONF677	RCONF678	RCONF679	RCONF680	RCONF681	RCONL191	RCONL192	RIADF184	RIADF560	
	RETAIL ORGTNS CLSD-END 1-4 FAM:1ST L	RETAIL ORGTNS CLSD-END 1-4 FAM: JR L	WHSL ORG PRCH 1T4 FIRST	WHSL ORG PRCH 1T4 JR	CLSD-END 1-4 FAM RESDTL MTGS:FIRST L	CLSD-END 1-4 FAM RESIDTL MTGS:JR LIE	CLOSED-END 1-4 FAM RESDTL MTGS:FST L	CLOSED-END 1-4 FAM RESDTL MTG:JR LIE	RTL ORGTN QTR 1-4 RES MTG LN TOT CMI	RTL ORGTN QTR 1-4 RES MTG LN PRNPL A	WHOL ORGTN QTR 1-4 RES MTG LN TOT CM	WHOL ORGTN QTR 1-4 RES MTG LN PRNPL 	1-4 RES MTG LN HLD SALE QTR TOT CMTM	1-4 RES MTG LN HLD SALE QTR PRNPL AM	1-4 RES MTG LN HLD SALE TOT CMTM CR	1-4 RES MTG LN HLD SALE QTR PRNPL CR	RPRH INDMN 1-4 RES MTG CL 1ST LIEN	RPRH INDMN 1-4 RES MTG CL JR LIEN	RPRH INDMN 1-4 RES MTG TOT CMTM OL	RPRH INDMN 1-4 RES MTG PRNPL AMT OL	REP AND WARRNTY TO US GOVT AGCY	REP AND WARRNTY TO OTHR PARTIES	NONINT INC FOR QTR FROM SALE 1-4 MTG	NONINT INC FROM SALE OE 1 TO 4 RES M	
63050																					CONF	CONF			
63069	0	0	0	0	6176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	102	0	
63078	32822	0	0	0	29030	0	12521	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	752	0	
63201																					CONF	CONF			
63573																					CONF	CONF			
63733																					CONF	CONF			
63742																					CONF	CONF			
63751																					CONF	CONF			
64150	16036	1	0	0	18213	1	3585	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	0	
64543																					CONF	CONF			
64552																					CONF	CONF			
64619	110367	0	8053	0	116006	0	30287	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	2384	0	
64730																					CONF	CONF			
65205																					CONF	CONF			
65241																					CONF	CONF			
65513																					CONF	CONF			
65559																					CONF	CONF			
65746	23946	0	0	0	22761	0	6168	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	508	0	
65858	1564	0	2720	0	4526	0	446	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	72	0	
66015																					CONF	CONF			
66154																					CONF	CONF			
66172																					CONF	CONF			
66275																					CONF	CONF			
66677																					CONF	CONF			
67142																					CONF	CONF			
67151																					CONF	CONF			
67209																					CONF	CONF			
67254																					CONF	CONF			
67311	207154	0	0	0	230429	0	18267	0	0	0	0	0	0	0	0	0	124	0	0	0	CONF	CONF	4252	0	
67656																					CONF	CONF			
67870																					CONF	CONF			
68345																					CONF	CONF			
68448																					CONF	CONF			
68671	13294	0	2364	0	16647	0	3280	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	526	0	
68756																					CONF	CONF			
68831																					CONF	CONF			
68840																					CONF	CONF			
68859																					CONF	CONF			
68943																					CONF	CONF			
69333	8817	0	0	0	8747	0	1298	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	0	
69678																					CONF	CONF			
69847																					CONF	CONF			
70049																					CONF	CONF			
70058																					CONF	CONF			
70218																					CONF	CONF			
70414																					CONF	CONF			
70638																					CONF	CONF			
70955																					CONF	CONF			
71073																					CONF	CONF			
71318																					CONF	CONF			
71457																					CONF	CONF			
71859																					CONF	CONF			
72258																					CONF	CONF			
72351																					CONF	CONF			
72454																					CONF	CONF			
72678																					CONF	CONF			
73116																					CONF	CONF			
73152																					CONF	CONF			
73554																					CONF	CONF			
73956																					CONF	CONF			
74056																					CONF	CONF			
74140	20420	0	0	0	21469	0	2347	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	453	0	
74159																					CONF	CONF			
74403	8325	0	0	0	10734	0	2018	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	276	0	
74449																					CONF	CONF			
74458																					CONF	CONF			
75053																					CONF	CONF			
75259																					CONF	CONF			
75446																					CONF	CONF			
75455																					CONF	CONF			
75558																					CONF	CONF			
75633	531016	0	0	0	519827	0	159051	0	0	0	0	0	0	0	0	0	2281	0	0	0	CONF	CONF	18103	0	
75651																					CONF	CONF			
76135																					CONF	CONF			
76153																					CONF	CONF			
76443																					CONF	CONF			
76854																					CONF	CONF			
77150																					CONF	CONF			
77253																					CONF	CONF			
77422																					CONF	CONF			
77758																					CONF	CONF			
77851	21952	0	0	0	21177	0	2824	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	624	0	
78036																					CONF	CONF			
78157																					CONF	CONF			
78241																					CONF	CONF			
78559																					CONF	CONF			
78858	131722	0	0	0	128576	0	36350	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	0	
79042																					CONF	CONF			
79127																					CONF	CONF			
79145																					CONF	CONF			
79257																					CONF	CONF			
79855																					CONF	CONF			
80020																					CONF	CONF			
80150																					CONF	CONF			
80374																					CONF	CONF			
80431																					CONF	CONF			
80552																					CONF	CONF			
80776																					CONF	CONF			
80936																					CONF	CONF			
81175																					CONF	CONF			
81429																					CONF	CONF			
82033																					CONF	CONF			
82079																					CONF	CONF			
82257																					CONF	CONF			
82350																					CONF	CONF			
82659																					CONF	CONF			
83151																					CONF	CONF			
83236																					CONF	CONF			
83375	13729	0	0	0	10667	0	5762	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	282	0	
