"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLG24	RCONLG25	RIADG377	
1669																																																																0	1633		5345			25378	0		1584	197535	0	0	0	88509	3051		22050	867	2680	624	2498	27377	54116	3734	15809	23167	19769	19184	27255				0	0					7638	893	38038	4446							35														0				0		0	92								8928													12000		CONF	CONF		
1856																																																															240	1600	1100		1382			10364	0		129	35966	4	0	0	10293	0		12311	375	1017	5715	305	696	2185	10937	4930	3314	797	4135	463				0	0					346	4792	620	1042							0														12212				0		0	0								428													3634		CONF	CONF		
2161																																																															0	7734	4162		2461			56011	0		0	167561	0	0	0	53760	545	40421	29647	880	11336	13572	22638	5145	188	4994	12437	63757	23531	5480	455				273	63					1815	15325	10668	12086						829	0														45621				1578		0	68							0	955	0	0	0	594	0			10	0	0	0	10	1635	145	CONF	CONF		
2732																																																																0	164495		0			55904	3924		0	424956	765	0	7709	23328	225		51701	1795	3835	8367	6195	2940	0	55922	31831	149324	156134	7701	0				0	0					4232	13663	40971	118346							0													0	0				7		0	266								11													356		CONF	CONF	0	
2750																																																																6978	469		22500			2821	0		1309	44969	0	0	0	1930	16		23846	52	101	200	1577	0	0	16726	7379	8631	7730	645	741				0	40					0	868	873	4857							0													0	19646				0		0	1711								305													292		CONF	CONF	0	
3252																																																															0	29108	0		46154			13293	0		6414	106940	0	882	0	191	0		0	91	75	3	22	0	0	31642	50100	16673	6191	156	0				0	0					0	887	0	3274							0														34942				0		0	1689								1448													3600		CONF	CONF		
3458																																																																9165	0		9600			10978	0		0	44582	0	0	0	7901	28		7626	111	343	2567	4541	300	38	2818	4365	14264	12839	2230	0				0	0					780	709	2203	418							0													0	0				275		0	0								1481													1319		CONF	CONF	0	
3720																																																																9435	1661		6720			26602	1750		1130	158204	0	0	124	32835	464		24694	906	2784	10812	13392	2962	1935	7732	13649	44610	49571	9200	506				0	243					2702	9891	25485	31541							0														71395				552		0	162								3114													4469		CONF	CONF		
3971																																																																21660	69936		4562			149762	19918		0	679372	0	30149	2366	86701	2593		106355	2645	7063	12458	21493	28003	13850	105784	41121	193371	158678	75887	14597				0	385					25654	39056	39985	186683							554														243246				6541		0	1531								257													540		CONF	CONF		
4156																																																																20408	6245		5200			28315	6366		0	174000	0	352	0	53022	719		24095	808	925	4097	8433	22826	15907	4510	24791	24064	22426	38804	6171				0	0					826	1456	4702	44679							40														24365				0		0	0								960													750		CONF	CONF		
4231																																																															0	3212	965		509			4496	0		1856	46169	0	0	0	12291	31		19053	710	2188	4494	3200	1393	0	10855	5300	12813	4388	165	0				0	0					298	4085	5435	10178							43													0	0				714		0	39								686													2088		CONF	CONF	0	
5069																																																																4450	5423		0			6661	1349		0	243758	2082	0	0	28079	5324		190719	21302	80	5906	0	0	0	81535	110528	17126	1759	0	0				0	0					53117	40607	33404	67426							0														49638				3304		0	0								0													0		CONF	CONF		
5135																																																															0	75868	5044		115069			49252	0		1811	387533	0	0	0	66704	870		223975	9350	14760	27048	13077	2248	147	71278	129058	94832	9706	6328	3247				572	0					2686	9152	33832	15408							0														47447				165		0	107								4566													6592		CONF	CONF		
5210																																																															0	74699	46519		6608			278219	109292		59342	1710926	0	0	0	398935	32191		95874	26731	30462	43085	57843	115116	125597	129231	74230	421653	338446	293009	48638				0	5677					20035	37728	319150	313707							509													0	863976				3707		0	842								836													7146		CONF	CONF	0	
5461																																																																39231	67921		20668			100369	4740		0	532002	1406	0	8186	35600	736		37845	1786	950	4569	3404	10235	13055	23279	40838	168095	96844	165514	296				0	84					2500	1877	59391	185351							0													0	299666				0		0	6663								75													8202		CONF	CONF	0	
5751																																																																23517	4845		23563			46994	2107		488	157252	0	910	0	24256	232		29393	843	1526	1367	3333	7150	9910	12641	26429	32696	18380	26758	13458				0	25					1304	1481	8173	14965							0													0	21311				0		0	58								2828													1506		CONF	CONF	0	
6039																																																															0	35370	1826		3513			38480	1732		0	240508	0	0	0	35529	435	161	31696	2428	2364	8357	11396	6130	4820	43843	21852	67857	32920	24340	10585				496	253					4581	7981	54530	46856						427	0													0	7050				427		0	3317							0	792	0	0	0	0	0			0	0	0	0	0	4817	0	CONF	CONF	0	
6329																																																																4579	10993	0	1034	144577	0	144577	3967		847	882667	0	0	0	145437	3624	2280	140382	13435	16866	42051	67997	1446	186	28613	81892	259259	265537	95849	2747	0	0	0	0	1166	0				39631	76483	101880	50272	0	0				136	1921													1544	45319				218	502	20	502							0	228275	0	0	0	0	0	82	0	0	0	0	0	0	69380	82	CONF	CONF	0	
7009																																																															0	0	0		0			97316	0		0	374080	0	0	0	0	0		368020	0	0	0	0	0	0	368020	0	6060	0	0	0				0	0					0	0	0	0							0														0				0		0	12972								0													263792		CONF	CONF		
7045																																																															0	6144	0		6841			5034	566		1081	87264	0	0	0	43780	241	39423	4551	629	745	2765	3228	3822	32152	1543	3894	14541	11318	4569	7005				457	11					1581	0	4587	6386						0	0													0	38988				0		0	0							0	5492	0	0	0	0	0			0	0	0	0	0	5063	0	CONF	CONF	0	
7072																																																																1230	16474		147			17638	5562		0	269395	0	0	4	159004	4250		11104	8936	11025	5134	4681	46536	81677	10882	4677	12284	15134	28285	38792				0	2494					2513	7002	27026	24550							595														120742				6316		0	0								19													1486		CONF	CONF		
7456																																																															0	12448	0		30558			13416	0		36	71925	0	0	0	5133	118		36090	623	786	1238	2486	0	0	30984	4179	13798	14133	1113	2585				0	4					1291	428	2785	3855							0														43989				0		0	3								1063													787		CONF	CONF		
7634																																																																1334	0		6705			7314	0		0	54660	0	0	0	15625	200		11014	301	680	3647	5203	5750	0	2673	7422	13972	10513	4023	314				0	0					1666	111	0	14424							0														1346				0		0	63								198													7020		CONF	CONF		
8033																																																																11519	6565		8186			34170	0		0	283983	0	0	0	114063	3953		100034	9907	19776	28760	54843	451	0	21613	48738	38263	52779	3903	1956				0	0					24795	32223	35170	7573							188													0	114657				0		0	95								1430													4241		CONF	CONF	0	
8462																																																															0	10115	0		10456			20561	0		0	61768	0	0	0	8874	0		11920	1417	451	28	142	2456	4380	11625	12805	11797	11669	3764	249				0	0					0	0	2928	1183							0														0				0		0	0								5668													1983		CONF	CONF		
8631																																																																198	0		789			3747	0		960	38388	0	0	0	18206	218		3268	13	341	434	1257	4983	11178	621	2294	3185	4815	5632	2926				0	0					0	1576	1132	6136							0													0	0				75		0	70								2685													2671		CONF	CONF	0	
9357																																																																612	19076		0			224826	1350		0	842564	0	12176	0	60	98		546262	0	0	0	0	60	0	125236	459592	167972	54498	35206	0				0	2463					3036	0	35819	34574							0													0	249851				0		507655	22								67													730		CONF	CONF	0	
9553																																																															0	37126	2774		57251			10262	0		0	120925	0	0	0	5931	373		57258	112	520	1661	2339	912	387	58930	3084	11998	21756	13269	5955				0	0					2291	0	2456	0							0														56359				0		0	904								985													572		CONF	CONF		
9807																																																																0	402078	0	0	128088	0	128088	41772		0	1689573	4249	0	0	284995	17461	62147	342999	9592	10232	18953	33245	101730	102238	120615	324078	467656	188323	305102	542	0	0	0	0	21	0				67194	275471	86224	389916	0	0				4221	4619													0	497083				82946	308	0	308							0	0	23265	11927	5900	11109	26524	0	0	0	0	0	0	0	294	0	CONF	CONF	0	
9955																																																																21086	586		5916			16548	736		0	94594	0	6664	0	3639	0		39038	38	1688	719	852	136	187	14005	23307	25843	18096	8291	0				0	0					0	0	4210	34185							0														37231				0		0	19								443													562		CONF	CONF		
10250																																																																1401	16295		0			143665	13010		0	369516	0	0	0	39422	3158		38851	700	2594	12090	8081	13943	2014	25342	23022	128653	97471	54888	718				125	347					7868	22931	64658	46779							0														133664				0		0	35								5849													3973		CONF	CONF		
10849																																																															0	19048	13760		10663			15805	286		491	161546	262	0	0	34689	451		32780	2385	10339	10847	10601	517	0	13967	28481	47566	33671	3435	0				0	0					4924	6500	35260	18716							0														0				0		0	215								464													536		CONF	CONF		
11145																																																																2305	0		51			35561	5560		1792	229483	0	0	0	52142	145	9787	26422	3095	7041	7788	10992	22446	0	14376	15913	48675	50294	46068	1390				0	17					2963	4563	49163	19570						783	329													0	25395				1637		0	0							0	3487	0	0	0	596	30			228	228		0	0	52164	0	CONF	CONF	0	
11640																																																															0	18163	4790		62767			29930	3200		0	218311	0	0	0	25522	701		92837	1778	2639	3895	2451	7212	7449	28552	65494	35319	31458	15723	15729				0	0					3117	27505	22247	9839							0														74188				713		0	108								3150													7272		CONF	CONF		
11837																																																																1304	3261		105			8520	667		3449	52934	84	0	0	17193	222		8103	1344	1903	5726	6229	1131	860	9104	4403	12625	4453	5240	0				74	0					106	3424	7420	6443							0														238				0		0	74								366													390		CONF	CONF		
12030																																																															0	59539	1234		3624			60908	0		0	339815	0	0	0	66972	304		53660	3267	6142	27695	9165	20484	204	24919	51038	138631	27713	20948	9561				431	171					2782	8076	91411	21957							0														0				0		0	498								11830													10078		CONF	CONF		
12142																																																																3265	9360		4851			33967	1255		0	142913	0	247	0	38853	1410		36270	3078	3695	11629	18367	1798	286	10044	19453	32064	37361	3930	1208				0	0					3193	7969	3939	22431							0													0	0				695		0	0								4115													8058		CONF	CONF	0	
12311		107507	1201828	1742161	81932	26128214	62907	7282690	0	962417	82390140	0	364352	14385299	179283	11077670	32465870	2044833	11450598	9210470	10372766	1990182	0	100	50	0	546502	593095	379494	0	7208			177396	1031335	4151238	3524880	0	2360001													43423144	674890	0	13024332	109426	0	70035	0	0	0	4467479		107507	1201828	24562	81932	26128214	62907		7282690	0	962417	82390140	0	2360001		14385299	179283	7854725		217320	441769	563310	1241317	8302764	3511516							100	50	546502	593095	379494					177396	1031335	4151238	3524880						391155	67382																			1043538	674061									13024332	212	14283	27582	37435	24762				0				4467479		CONF	CONF		
12647																																																															0	13482	7850		5929			19012	1764		5618	116581	0	0	0	27000	153		22594	5148	6540	10384	3198	1594	73	16838	10447	42753	11687	7799	0				342	38					873	2866	6507	24561							0														77480				0		0	4								207													375		CONF	CONF		
12656																																																															0	1549	0		947			1232	0		0	11776	0	0	0	6246	0		1650	209	160	73	429	3555	1697	813	468	1101	1410	1546	192				0	0					146	0	157	108							0														0				255		0	15								965													411		CONF	CONF		
12946																																																																75099	21427		21227			268115	0		2185	1384189	0	0	0	291538	9221		410529	20359	38132	91461	109268	16982	12421	90693	283935	453190	182374	55764	12814				1491	0					15130	123379	162842	359912							675													0	863145				373		0	10046								8043													14534		CONF	CONF	0	
13103																																																																0	70718	0	0	315105	0	315105	31529		0	2105553	0	0	0	769029	6843	137576	19987	2723	12833	24228	44516	56885	625688	97435	52257	298977	359751	277556	248567	0	0	0	0	108	0				34473	52627	307837	219454	0	0				3201	222														924756				7823	1805	0	1805							0	289087	0	0	0	407	1802	2401	0	12	0	0	0	0	6938	2401	CONF	CONF		
13251																																																																3226	198		2310			4508	0		0	33919	0	0	0	9502	329		9261	49	499	3887	4852	0	127	4493	4220	7256	7619	393	144				0	0					2438	1026	788	6116							0														0				40		0	0								1381													2097		CONF	CONF		
13457																																																																5370	0		4731			766	0		0	11359	0	0	0	6	0		3869	0	0	5	0	0	0	5882	139	3149	599	1585	0				0	0					0	0	234	0							0													0	0				0		0	9								111													132		CONF	CONF	0	
14155																																																															0	53060	1289		31345			17463	3216		50	212072	0	0	15149	56015	621		80358	6711	14908	12909	15477	3989	1923	16379	42360	45810	42506	6593	1106				0	0					14086	6310	14318	7760							0														144647				1477		0	1237								1730													3572		CONF	CONF		
14650																																																																87	0		883			13492	0		0	34419	0	0	0	1615	0		3574	41	109	22	284	383	717	2778	1448	3374	3420	19888	1680				0	0					0	0	969	406							0														1615				191		0	105								2583													14279		CONF	CONF		
14753																																																																3592	0		12641			4289	0		115	22237	0	163	0	590	0		9273	26	177	162	225	0	0	3461	6930	2349	5691	3216	0				0	0					0	0	287	108							0														0				0		0	1								191													260		CONF	CONF		
14865																																																																128543	9042		110016			137527	1099		12456	523310	2298	0	0	21071	1418		117518	812	2451	3135	5875	4166	4605	51240	73225	128448	78804	72094	90351				809	1312					10754	11437	43665	34893							0														223941				181		0	58								352													1156		CONF	CONF		
14977																																																															0	8145	0		11662			6418	0		0	40009	7	0	0	7975	187	1393	6786	330	14	102	903	6337	289	4797	6259	4828	5754	8548	1855				0	0					0	85	182	43						0	0													0	0				0		0	2							0	3129	0	0	0	0	0			0	0	0	0	0	2188	0	CONF	CONF	0	
16551																																																																6665	657		4100			30815	9891		2242	249757	0	481	0	72111	845		21525	3098	6468	20486	18116	20385	3048	12115	13552	58190	35731	48846	8018				446	107					8488	62050	10311	28303							0													0	62781				338		0	0								3667													8578		CONF	CONF	0	
16748																																																															0	14004	36		957			10047	4132		43	46207	0	0	0	7380	46		3744	251	235	1679	2144	1038	2033	3010	3373	11897	7339	8548	2875				0	0					119	51	8441	447							0													0	0				156		0	13								371													120		CONF	CONF	0	
17110																																																															0	0	0		0			1289	0		0	64156	0	0	0	760	0	760	28691	760	0	0	0	0	0	63396	0	0	0	0	0				0	0					0	0	0	0						0	0														7363				0		0	2226							0	0	0	0	0	0	0			0	0		0	0	59881	0	CONF	CONF		
17147																																																															0	218102	718999	48	83090	2875331	0	2875331	503085		577713	9247016	0	556	0	1147496	24373	95583	1498800	95643	117762	105064	98214	541439	184459	4174819	318876	1633540	814350	685941	420170	0	0	0	0	15228	1273				47267	574817	931815	1379590	0	556				2261	2736														1574725				2278	37230	0	37278							0	60618	0	0	0	0	0	0	0	17	0	0	17	0	51658	0	CONF	CONF		
17259																																																																5379	0		1653			4844	0		1508	33748	29	76	0	8557	10		13821	1045	2501	2571	2153	61	183	5831	4444	6868	5075	3002	0				0	0					42	870	0	6052							0														8258				0		0	4								1148													3634		CONF	CONF		
17950																																																																72990	0		47534			64066	2712		1618	342129	0	318	125	45019	1682		63432	2305	4754	10355	14299	9217	3847	14508	41865	69583	63431	53640	52199				0	286					7582	6392	38964	38628							0													0	122060				519		0	92								6298													7948		CONF	CONF	0	
