"IDRSSD"	RIAD3210	RIAD3217	RIAD4340	RIAD4356	RIAD4415	RIAD4460	RIAD4470	RIADB507	RIADB508	RIADB509	RIADB510	RIADB511	
	TOTAL EQUITY CAPITAL	TOTAL EQUITY CAPITAL, ADJ PREV YR	NET INCOME	CHANGES IN TOTAL EQUITY CAP.-MERGERS	OTH TRANS WITH STCK HLDRS INCL PRNT 	LESS CASH DIV DECLRD-COMMON STOCK	LESS CASH DIV DECLRD-PREFERRED STOCK	RESTATEMENTS DUE TO CORRECTIONS, ETC	EQUITY CAP: END BAL PREV YR (RESTAT)	SALE,CONVRSN,ACQUSTN,RETIRE: CAP STK	TREASURY STOCK TRANSACTIONS, NET	OTHER COMPREHENSIVE INCOME	
352820	15472	15327	258	0	0	135	0	0	15327	0	0	22	
353238	28833	28206	822	0	0	516	0	0	28206	0	0	321	
353546	13482	13440	-55	0	0	0	0	0	13440	0	0	97	
353555	473332	465065	17052	0	0	9048	0	0	465065	0	0	263	
353724	12675	15156	-2481	0	0	0	0	0	15156	0	0	0	
353957	8807	8721	172	0	0	277	0	-74	8647	0	0	265	
354057	16723	16355	325	0	0	506	0	0	16355	0	0	549	
354253	7316	7131	279	0	0	125	0	0	7131	0	0	31	
354310	590922	587531	11094	0	0	8000	0	0	587531	0	0	297	
354552	35498	33611	2248	0	0	1331	0	0	33611	0	0	970	
354851	6686	6422	251	0	0	0	0	0	6422	0	0	13	
355120	51242	50772	821	0	0	411	0	0	50772	0	0	60	
355559	32702	31875	602	0	0	250	0	0	31875	0	0	475	
355737	1763	1764	2	0	0	0	0	0	1764	0	0	-3	
355858	223457	219219	5011	0	0	971	0	0	219219	0	0	198	
356239	30366	29778	1026	0	0	657	0	0	29778	0	0	219	
356659	27985	28228	1108	0	0	1348	0	0	28228	0	0	-3	
356752	6744	6708	20	0	0	0	0	0	6708	0	0	16	
357049	33375	32346	94	0	0	0	0	0	32346	0	0	935	
357151	18418	17993	425	0	0	0	0	0	17993	0	0	0	
357526	14906	14684	221	0	0	0	0	-35	14649	0	0	36	
357553	22945	22622	414	0	0	190	0	0	22622	0	0	99	
357777	30671	30266	405	0	0	0	0	0	30266	0	0	0	
357937	29261	29007	460	0	0	210	0	0	29007	0	0	4	
358112	20619	19835	658	0	0	0	0	0	19835	0	0	126	
358149	5729	5649	80	0	0	0	0	0	5649	0	0	0	
358233	14655	14548	268	0	0	500	0	0	14548	0	0	339	
358448	9115	8958	117	0	0	76	0	0	8958	0	0	116	
358756	5453	5368	94	0	0	160	0	0	5368	0	0	151	
359324	12799	12358	432	0	0	0	0	0	12358	0	0	9	
359472	15070	14985	91	0	0	0	0	0	14985	0	0	-6	
359650	2295	2294	-1	0	0	0	0	0	2294	0	0	2	
359744	5962	5953	103	0	0	150	0	0	5953	0	0	56	
359838	10168	9789	170	0	0	0	0	0	9789	0	0	209	
360777	6554	6523	31	0	0	0	0	0	6523	0	0	0	
361055	80632	79025	1910	0	0	802	0	0	79025	0	0	499	
361167	646186	625046	16744	0	0	0	0	0	625046	494	0	3902	
361279	13002	12631	355	0	0	0	0	0	12631	0	0	16	
361354	8794	8608	84	0	0	0	0	0	8608	0	0	102	
361439	34124	33847	803	0	0	700	25	0	33847	0	0	199	
361653	60546	59071	2515	0	0	1073	0	0	59071	0	0	33	
362043	3788	3772	113	0	0	150	0	0	3772	0	0	53	
362155	17504	17114	348	0	0	0	0	0	17114	0	0	42	
362717	102702	100732	2145	0	0	776	0	0	100732	0	0	601	
362753	14512	14181	231	0	0	80	0	0	14181	0	0	180	
362856	16929	17078	426	0	0	1261	0	0	17078	0	0	686	
362940	9084	8830	164	0	0	0	0	0	8830	0	0	90	
363442	4438	4428	5	0	0	0	0	0	4428	0	0	5	
363648	21945	21246	339	0	0	0	0	0	21246	0	0	360	
363657	90920	90095	2936	0	0	3210	0	0	90095	0	0	1099	
363778	7017	6965	62	0	0	0	0	0	6965	0	0	-10	
364131	9666	9457	136	0	0	0	0	0	9457	0	0	73	
364270	16097	15967	130	0	0	0	0	0	15967	0	0	0	
364430	12106	11908	234	0	0	180	0	0	11908	0	0	144	
364449	127712	139093	3256	0	0	17000	0	0	139093	556	0	1807	
364850	7534	7553	71	0	0	100	0	0	7553	0	0	10	
365325	1735561	1729656	23099	0	0	20000	0	0	1729656	0	0	2806	
365576	51487	52358	-965	0	0	0	0	0	52358	24	0	70	
365745	25015	24183	679	0	0	0	0	0	24183	0	0	153	
365848	12947	12917	51	0	0	48	0	0	12917	0	0	27	
365950	10470	10386	22	0	0	0	0	0	10386	0	0	62	
366078	37211	36880	723	0	0	500	0	0	36880	0	0	108	
366238	97392	94594	3592	0	0	1750	0	0	94594	0	0	956	
366247	17046	16703	306	0	0	0	0	0	16703	0	0	37	
366359	5336	5282	176	0	0	184	0	0	5282	0	0	62	
366658	9871	9738	186	0	0	150	0	0	9738	0	0	97	
366854	3765	3724	40	0	0	0	0	0	3724	0	0	1	
367150	5471	5339	203	0	0	140	0	0	5339	0	0	69	
367178	17851	17659	194	0	0	0	0	0	17659	0	0	-2	
367431	25055	24668	349	0	0	0	0	0	24668	0	0	38	
367543	41832	40652	842	0	0	80	0	0	40652	0	0	418	
367954	18763	18759	295	0	0	600	0	0	18759	0	0	309	
368054	18416	17811	412	0	0	0	0	0	17811	0	0	193	
368344	13865	13398	612	0	0	325	0	0	13398	0	0	180	
368522	16370	16200	307	0	0	255	0	0	16200	0	0	118	
368933	13646	13430	270	0	0	100	0	0	13430	0	0	46	
368951	18792	18235	575	0	0	228	0	0	18235	0	0	210	
369453	14244	13898	261	0	0	50	0	0	13898	0	0	135	
369659	72076	70316	3972	0	0	2534	0	0	70316	0	0	322	
370020	35500	34614	758	0	0	0	0	0	34614	0	0	128	
370271	3290544	3153590	95004	0	0	0	0	0	3153590	161	0	41789	
370347	11159	10876	374	0	0	180	0	0	10876	0	0	89	
370721	18465	18242	305	0	0	70	0	0	18242	0	0	-12	
370758	1901	1895	69	0	0	63	0	0	1895	0	0	0	
370833	3644	3590	51	0	0	0	0	0	3590	0	0	3	
370954	7115	7328	381	0	0	625	0	0	7328	0	0	31	
371223	15372	14619	369	0	0	0	0	0	14619	0	0	384	
371232	16863	16629	172	0	0	0	0	0	16629	0	0	62	
371362	42932	43816	651	0	0	1900	0	0	43816	0	0	365	
371559	13185	12789	404	0	0	176	0	0	12789	0	0	168	
371755	6536	6344	-109	0	0	0	0	0	6344	0	0	301	
371849	5881	5795	22	0	0	37	0	0	5795	0	0	101	
371924	88031	87098	1664	0	0	899	0	0	87098	0	0	168	
371942	10076	9834	225	0	0	26	0	0	9834	0	0	43	
372444	8301	8116	206	0	0	70	0	0	8116	0	0	49	
372538	103424	102459	739	0	0	0	0	0	102459	0	0	226	
372640	13765	13269	372	0	0	0	0	0	13269	0	0	124	
372855	6521	6564	65	0	0	116	0	0	6564	0	0	8	
373058	7465	7347	437	0	0	400	0	0	7347	0	0	81	
373115	103400	100748	3077	0	0	1200	0	0	100748	40	0	735	
373272	5220	5043	70	0	0	0	0	0	5043	0	0	107	
373553	7326	7264	255	0	0	193	0	0	7264	0	0	0	
373601	229828	227227	2408	0	0	0	0	0	227227	0	0	193	
374130	12822	12639	131	0	0	29	0	0	12639	0	0	81	
374354	5730	5729	176	0	0	211	0	0	5729	0	0	36	
374653	238022	233484	6690	0	0	3000	0	0	233484	0	0	848	
374774	12056	11526	328	0	0	0	0	0	11526	0	0	202	
375034	205682	203016	3737	0	0	1800	0	0	203016	0	0	729	
375043	109088	107533	3332	0	0	2178	0	0	107533	0	0	401	
375379	4349	4364	-35	0	0	0	0	20	4384	0	0	0	
375502	102726	100426	1794	0	0	0	0	0	100426	345	0	161	
375566	44503	43409	1073	0	0	61	0	0	43409	0	0	82	
375650	4566	4498	45	0	0	0	0	0	4498	0	0	23	
376237	6744	6508	145	0	0	0	0	0	6508	0	0	91	
376273	228684	226968	1644	0	0	0	0	0	226968	0	0	72	
376442	46644	45623	938	0	0	0	0	0	45623	0	0	83	
376947	21169	20692	461	0	0	0	0	0	20692	0	0	16	
377663	7553	7303	255	0	0	82	0	0	7303	0	0	77	
377850	4495	4377	165	0	0	29	0	0	4377	0	0	-18	
377908	269596	263070	6285	0	0	500	0	0	263070	0	0	741	
378044	2601	2592	-13	0	0	0	0	0	2592	0	0	22	
378110	5330	5219	69	0	0	0	0	0	5219	0	0	42	
378558	8797	8776	109	0	0	94	0	0	8776	0	0	6	
379050	2637	2586	50	0	0	15	0	0	2586	0	0	16	
379153	7282	6969	317	0	0	0	0	0	6969	0	0	-4	
379171	50592	50232	1287	0	0	1100	0	0	50232	105	0	68	
379470	17232	17096	75	0	0	0	0	0	17096	0	0	61	
379649	54609	53999	499	0	0	0	0	0	53999	0	0	111	
379920	4426976	2518520	20442	1909940	0	26212	0	0	2518520	0	0	4286	
380346	15065	14667	379	0	0	0	0	0	14667	0	0	19	
380458	78807	52226	914	0	25406	0	0	0	52226	0	0	261	
380533	17631	17398	483	0	0	250	0	0	17398	0	0	0	
380654	20421	19987	427	0	0	100	0	0	19987	0	0	107	
380841	2965	2835	26	0	0	0	0	0	2835	0	0	104	
