"IDRSSD"	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH311	RCFAH313	RCFAH314	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP845	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP851	RCFAP852	RCFAP853	RCFAP854	RCFAP855	RCFAP856	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFD3368	RCFD3632	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP870	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH311	RCOAH313	RCOAH314	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP845	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP851	RCOAP852	RCOAP853	RCOAP854	RCOAP855	RCOAP856	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCON3368	RCON3632	RCOW3792	RCOW5310	RCOW5311	RCOW7205	RCOW7206	RCOWA223	RCOWH312	RCOWP793	RCOWP870	
799612																																																															232576	21205	21205	9.5468%	13.0992%	11.9049%	211371	1775492	2214060	-5499	445	5.0992%			48266	11.9049%	1	0	207799	814	0	668	3601	0	0	-8616	-484		0	0	211816	0	0	0	0	445	445	211371	0	0	0	0	445	0	0	0	0	21205	0	1482	0	0	2215987	165032										
799751																																																															20550	1995	1995	9.4788%	12.8826%	11.6320%	18555	159517	195752	366	0	4.8826%			14596	11.6320%	1	0	22848	3818	109	0	366	0	0	0	0		0	0	18555	0	0	0	0	0	0	18555	0	0	0	0	0	0	0	0	0	1995	0	3927	0	0	199679	7886										
799854																																																															12449	525	525	9.6220%	19.0483%	18.2450%	11924	65355	123924	387	0	11.0483%			2750	18.2450%	1	0	12311	0	0	0	387	0	0	0	0		0	0	11924	0	0	0	0	0	0	11924	0	0	0	0	0	0	0	0	0	525	0	0	0	0	123924	9174										
799939																																																															1777	136	136	10.8668%	16.4812%	15.2198%	1641	10782	15101	46	0	8.4812%			1040	15.2198%	1	0	1687	0	0	0	46	0	0	0	0		0	0	1641	0	0	0	0	0	0	1641	0	0	0	0	0	0	0	0	0	136	0	0	0	0	15101	601										
799948																																																															22584	1400	1400	10.2413%	16.8508%	15.8062%	21184	134023	206849	332	0	8.8508%			2000	15.8062%	1	0	21516	0	0	0	332	0	0	0	0		0	0	21184	0	0	0	0	0	0	21184	0	0	0	0	0	0	0	0	0	1400	0	0	0	0	206849	19184										
800134																																																															23064	1497	1497	10.1922%	18.8505%	17.6270%	21567	122352	211603	1270	0	10.8505%			9448	17.6270%	1	0	25162	2141	184	0	1270	0	0	0	0		0	0	21567	0	0	0	0	0	0	21567	0	0	0	0	0	0	0	0	0	1497	0	2325	0	0	213928	14444										
800442																																																															12336	602	602	9.9997%	20.1799%	19.1952%	11734	61130	117343	1718	0	12.1799%			7350	19.1952%	1	0	13452	0	0	0	2020	0	0	-302	0		0	0	11734	0	0	0	0	0	0	11734	0	0	0	0	0	0	0	0	0	602	0	0	0	0	117343	4384										
800479																																																															6505	111	111	14.7192%	25.9112%	25.4690%	6394	25105	43440	3	0	17.9112%			0	25.4690%	1	0	6394	0	0	0	0	0	0	0	0		0	0	6394	0	0	0	0	0	0	6394	0	0	0	0	0	0	0	0	0	111	0	0	0	0	43440	6391										
800657																																																															1083382	109716	109716	8.9367%	12.3463%	11.0959%	973666	8774972	10895191	22884	-31275	4.3463%			442796	11.0959%	1	0	1086392	88115	1727	0	54855	0	-696	-31275	0		0	0	973666	0	0	0	0	0	0	973666	0	0	0	0	0	0	0	0	0	109716	0	89842	0	0	10953758	620712										
800853																																																															20215	1078	1078	9.0018%	23.5716%	22.3146%	19137	85760	212591	1081	0	15.5716%			5178	22.3146%	1	0	20218	0	0	0	1081	0	0	0	0		0	0	19137	0	0	0	0	0	0	19137	0	0	0	0	0	0	0	0	0	1078	0	0	0	0	212591	13959										
