"IDRSSD"	RCON8725	RCONA126	RCONC391	RCONC407	RCONFT00	RCONFT01	RCONFT02	RCONFT03	RCONFT04	RCONFT05	RCONFT06	RCONFT07	RCONFT08	RCONFT09	RCONFT10	RCONFT11	RCONFT12	RCONFT13	RCONFT14	RCONFT15	RCONFT16	RCONFT17	RCONFT18	RCONFT19	RCONFT20	RCONFT21	RCONFT22	RCONHK18	RCONHK19	RCONK102	RCONK103	RCONK104	RCONK192	RIADC388	RIADC389	RIADC390	RIADF551	RIADF553	
	TOTL INT RATE CONTRCS-MKD TO MARKET	TOTAL INT RATE CONTRACTS TRADING	OTSTDNG CRED CD FEES & FIN CHGS	OUTSTNG CRD CRD FEES & FIN CHRGS	DOES THE INSTITUTION HAVE ANY DERIVA	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	FOR THE TWO CALENDAR QUARTERS PRECED	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	DOES THE INSTITUTION USE THE FAIR VA	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION SERVICE ANY CLO	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY CONSOL	TOTAL ASSETS OF CONSOLIDATED VARIABL	TOTAL LIABILITIES OF CONSOLIDATED VA	DOES THE INSTITUTION, TOGETHER WITH	DOES THE INSTITUTION HAVE ASSETS COV	LOANS AND LEASES COVERED BY LOSS SHA	PAST DUE AND NONACCRUAL LOANS AND LE	PAST DUE AND NONACCRUAL LOANS AND LE	PAST DUE AND NONACCRUAL LOANS AND LE	OTHER REAL ESTATE OWNED COVERED BY F	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	LS SHR FDIC CVRD LS SHAR PD 30 - 89	LS SHR FDIC CVRD LS SHAR PD 90	LS SHR FDIC CVRD LS SHAR NACRL	ASSET CVR LS SHR FDIC OREO PRTN PROT	UNCOLLBLE CRED CRD FEE&FIN CHGS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	NET GAINS(LOSS) ERN RPT AT FV	NET GN LS ERN ON LIABILITY RPT AT FV	
85052					false			false			false	false		false		false		false			false	false																	
85258					false			false			false	false		false		false		false			false	false																	
85454					false			false			false	false		false		false		false			false	false																	
85472	39893	0																												0	0	0	0						
85931					false			false			false	false		false		false		false			false	false																	
86349					false			false			false	false		false		false		false			false	false																	
86358	0	0																												0	0	0	0						
86554					false			false			false	false		false		false		false			false	false																	
86675					false			false			false	false		false		false		false			false	false																	
87047					false			false			false	false		false		false		false			false	false																	
87159					false			false			false	false		false		false		false			false	false																	
87234	0	39500			true	164	0	true	34480	17568	false	false		false		false		false			false	false																	
87476					false			false			false	false		false		true	627	false			false	false																	
87579	0	0																												0	0	0	0						
88231	429837	0																												0	0	0	0				-304	-10	
88240					false			false			false	false		false		false		false			false	false																	
88259					false			false			false	false		false		false		false			false	false																	
88352	0	0																												0	0	0	0						
88455					false			false			false	false		true	1809	false		false			false	false																	
88772	1438	0			true	0	0	false			true	false		false		true	83094	false			false	false						134058	0								77	0	
88950					false			false			false	false		false		false		false			false	false																	
89032	0	0																												0	0	0	0				0	0	
89135					false			false			false	false		false		false		false			false	false																	
89854					false			false			false	false		false		false		false			false	false																	
89957					false			false			false	false		false		false		false			false	false																	
90047					false			false			false	false		false		false		false			false	false																	
90177					false			false			false	false		false		true	1315	false			false	false																	
90328					false			false			false	false		false		false		false			false	false																	
90337	0	0																												0	0	0	0						
90579					false			false			false	false		false		false		false			false	false																	
91615	0	0																												0	0	0	0						
91651					false			false			false	false		false		false		false			false	false																	
91754	0	0																												0	0	0	0						
91950					false			false			false	false		false		false		false			false	false																	
92144					false			false			false	false		false		false		false			false	false																	
92676	0	0																												0	0	0	0						
92706					false			false			false	false		true	11155	true	39204	false			false	false																	
92902					false			false			false	false		false		false		false			false	false																	
93244	1952	0			true	0	0	false			false	false		true	3298	true	55769	false			false	false																	
93543	2150	0			true	0	0	false			false	false		false		true	80462	false			false	false																	
93619	0	0																												0	0	0	0						
93758	0	0																												0	0	0	0						
94139					false			false			false	false		false		false		false			false	false																	
94522					false			false			false	false		false		false		false			false	false																	
94755					false			false			false	false		false		false		false			false	false																	
94858					false			false			false	false		false		false		false			false	false																	
95051	15316	0																												0	0	0	0						
95659	0	0																												0	0	0	0						
95677					false			false			false	false		true	10857	true	8667	false			false	false																	
96553	0	0			true	0	0	false			false	false		false		true	25556	false			false	false																	
97055					false			false			false	false		false		false		false			false	false																	
97279					false			false			false	false		false		false		false			false	false																	
97457					false			false			false	false		false		false		false			false	false																	
97804	51310	0			true	0	0	true	27007	4026	true	false		true	7049	true	74902	false			false	false						5549	1574								165	0	
97943	3624	0			true	0	0	false			false	false		true	264	false		false			false	false																	
98351					false			false			false	false		false		false		false			false	false																	
98463	0	0																												0	0	0	0						
98717	0	0																												0	0	0	0						
99143	6055	0			true	0	0	false			false	false		false		false		false			false	false																	
99255	0	0																												0	0	0	0						
99376	256950	0																												0	0	0	0				629	0	
99442					false			false			false	false		false		false		false			false	false																	
99536					false			false			false	false		false		false		false			false	false																	
99853					false			false			false	false		false		false		false			false	false																	
100236					false			false			false	false		false		false		false			false	false																	
100357					false			false			false	false		false		false		false			false	false																	
100562	0	0																												0	0	0	0						
100777					false			false			false	false		false		false		false			false	false																	
100843	71259	0			true	0	0	false			false	false		true	5335	true	21295	false			false	false																	
101019																																					0	0	
101037	0	0																												0	0	0	0						
101439	0	0																												0	0	0	0						
101671	0	0																												0	0	0	0						
101738					false			false			false	false		false		false		false			false	false																	
101952					false			false			false	false		false		false		false			false	false																	
102155					false			false			false	false		false		false		false			false	false																	
102333					false			false			false	false		false		false		false			false	false																	
102342	200	0			true	0	0	false			false	false		true	38414	true	38414	false			false	false																	
102539					false			false			false	false		false		false		false			false	false																	
102557					false			false			false	false		true	127	false		false			false	false																	
102874	0	0																												0	0	0	0						
103134	0	0																												0	0	0	0						
103255	2944	0																												0	0	0	0						
103563					false			false			false	false		false		false		false			false	false																	
