"IDRSSD"	RCON8774	RCON8775	RCON8776	RCON8777	RCON8778	RCON8779	RCONA000	RCONA001	RCONA002	RCONA167	RCONA221	RCONA222	RCONA223	RCONA224	RCONA250	RCONB503	RCONB504	RCONB505	RCONB520	RCONB528	RCONB541	RCONB542	RCONB543	RCONB546	RCONB547	RCONB548	RCONB581	RCONB582	RCONB583	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB596	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	RCONC063	RCONC064	RCONC225	RCONC227	RCONC228	RCONC869	RCONF264	RCONG591	RCONG592	RCONG593	RCONG594	RCONG595	RCONG596	RCONG597	RCONG598	RCONG599	RCONG600	RCONG601	RCONG602	
827346	0	0	0	0	0	0	0	0	0	0	0	0	9276	23230	0	0	0	0	0	2728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3160	0	0	0	0	0	0	135	926	6958	8447	0	0	0	0	0	0	0	0	0	746	1982	0	0	0	0	0	185	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	926	12561	9193	2167	0	2512	4597	2167	9276	0	2443	2443	3873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
827355	0	0	0	0	0	0	0	0	0	0	0	49	44091	84097	0	0	0	0	0	38259	0	0	0	25	25	0	0	0	25	0	0	0	0	0	0	0	0	0	760	2441	0	0	0	0	0	0	1475	0	33980	3235	0	0	0	0	0	0	0	0	0	13330	24929	0	0	0	0	0	2211	0	72	0	0	875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494	0	0	0	494	0	0	0	832	41348	16565	27587	0	8270	8283	27587	44140	0	4927	4927	10598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
827458	0	0	0	0	0	0	0	0	0	0	0	136	138254	194315	0	0	0	0	0	123250	0	0	0	44	44	0	0	0	44	0	0	5	0	0	0	0	0	0	12340	680	0	0	0	0	0	0	1395	16762	27435	9124	1127	0	0	0	0	0	0	0	3244	5011	114996	0	0	0	0	0	9216	5	630	663	0	-466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	833	0	0	0	833	0	0	0	29732	32022	14135	124918	0	6404	7068	124918	138390	0	0	0	17238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
827560																																																																																																																																																	
827953	0	0	0	0	0	0	0	0	0	0	0	643	40588	51107	0	0	0	0	0	38082	0	0	0	0	0	0	0	0	0	0	0	2997	0	0	0	0	0	0	8653	2910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	968	6725	30389	0	0	0	0	0	6403	2997	200	27	0	1839	0	0	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3981	0	586	0	3395	0	0	0	8853	4491	6725	36970	0	898	3363	36970	41231	0	0	0	5413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
828053	0	0	0	0	0	0	0	0	0	0	0	0	42449	74834	0	0	0	0	0	44758	0	0	0	25	25	25	0	0	0	0	0	0	0	0	0	0	0	0	7154	881	0	0	0	1222	0	0	124	2357	17460	0	0	0	0	0	0	0	0	0	0	18890	25868	0	0	0	0	0	3659	0	169	217	186	-286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9705	19780	19076	28955	0	3956	9538	28955	42449	0	0	0	6486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
828110	0	0	0	0	0	0	0	0	0	0	0	0	94445	202150	0	0	0	0	0	62055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3730	9603	1	0	0	0	0	0	5233	2042	92956	0	22418	0	0	0	0	0	0	0	0	37111	24944	0	0	0	0	0	7001	0	0	0	0	4428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1585	0	0	1144	441	0	0	0	5772	102559	38255	54805	0	20512	19128	54805	94445	0	0	0	15738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
828651	0	0	0	0	0	0	0	0	0	0	0	5541	817829	1737268	0	0	0	0	0	444216	0	0	0	5727	5727	4281	0	0	1446	0	0	0	0	0	0	0	0	0	62594	30665	0	0	0	0	0	0	17030	131766	846261	874	100037	0	0	0	0	0	0	5179	4053	69189	365795	0	0	0	0	0	127052	0	8747	3097	210	1260	3985	3150	0	0	835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23832	23832	0	0	23692	140	0	0	0	0	0	0	16875	0	0	1108	15767	0	0	0	215717	884076	95073	599018	0	176815	47537	599018	823370	0	0	0	160020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
828745	0	0	0	0	0	0	0	0	0	0	0	0	17067	22917	0	0	0	0	0	13058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6860	0	0	0	0	0	1969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13058	0	0	0	0	0	624	0	0	0	0	-184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7080	0	15651	0	1416	0	15651	17067	0	220	220	3365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
829032	0	0	0	0	0	0	0	0	0	0	0	95	77419	111729	0	0	0	0	0	62997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7007	2529	0	0	0	0	0	0	222	0	26972	634	0	0	0	0	0	0	0	0	0	9822	53175	0	0	0	0	0	13832	566	40	415	0	-276	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	226	0	0	0	226	0	0	0	0	0	0	87	0	0	0	87	0	0	0	7047	29916	10456	66303	0	5983	5228	66303	77514	0	0	0	11375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
