"IDRSSD"	RIADA491	RIADB904	RIADB905	RIADB906	RIADB907	RIADB909	RIADB910	RIADB911	RIADB912	RIADB947	RIADB948	RIADB949	RIADB950	RIADB951	RIADB952	RIADB953	RIADB954	RIADB955	RIADB956	RIADB957	RIADB958	RIADB959	RIADB960	RIADB961	RIADC058	RIADJ315	RIADJ316	
	NET TRUST INCOME (LOSS)	PERSONAL TRUST AND AGENCY ACCOUNTS	EMPLOYEE BENEFIT-DEFINED CONTRIBUTN	EMPLOYEE BENEFIT-DEFINED BENEFIT	OTHER RETIREMENT ACCOUNTS	CUSTODY AND SAFEKEEPING ACCOUNTS	OTH FIDUCIARY/RELATED SERVICES INCME	PLUS:INTRACMPNY INCM CRDTS FOR FIDUC	FIDUCIARY/RELTD SRVCS INCM-FRGN OFFS	PRSNL TRST/AGCY ACCTS-GROSS LOSS,ETC	PRSNL TRST/AGCY ACCTS-GROSS LOSS NON	PERSONAL TRUST/AGCY ACCTS-RECOVERIES	RETIREMT RLTD TRST,ETC-GROSS LOSS MN	RETIREMT RLTD TRST,ETC-GROSS LOS NON	RETIREMT RELATED TRST,ETC-RECOVERIES	INVMT MNGEMT AGCY ACCTS-GROS LOS MNG	INVMT MNGEMT AGCY ACCTS-GROS LOS NON	INVTMT MNGEMT AGCY ACCTS-RECOVERIES	OTH FIDU ACCTS/RLTD SVCS-GROS LOS MN	OTH FID ACCTS/RLTD SVCS-GROS LOS NON	OTH FIDU ACCTS/RLTD SVCS-RECOVERIES	TOT FIDU SETTLEMTS,ETC-GROS LOSS MN	TOT FIDU SETTLEMTS,ETC-GROS LOSS NON	TOT FIDU SETTLEMENTS,ETC-RECOVERIES	LESS: EXPENSES	FID REL SRVC INC INV MGMT ADVIS AGY 	FID REL SRVC INC FOUND ENDW TR AGY A	
136338																												
136459																												
136655																												
137205																												
137447																												
137456																												
137559																												
137643																												
137652																												
137821																												
137915		247	0	0	0	21	112																			217	0	
138051																												
138257																												
138556																												
138725																												
139133																												
139478																												
139553																												
139656																												
139740																												
139834																												
139843																												
139955																												
140018																												
140157																												
140362																												
140634																												
141211																												
141341																												
141350																												
141453																												
141556																												
141677																												
141958																												
142049																												
142179																												
142571																												
142656																												
142955																												
143073																												
143372																												
143662		687	3	0	192	1	0																			493	130	
143859																												
143952																												
144034																												
144052																												
144155																												
144436																												
144678																												
144856		933	13	17	0	217	103																			0	127	
144913																												
145059																												
145545																												
145554																												
145741																												
145750																												
145844																												
145956																												
146056																												
146618																												
146654		28	0	0	16	11	0																			295	205	
146663																												
146672																												
146850																												
147633																												
147651																												
147679																												
147857																												
147923																												
148171																												
148238																												
148340																												
148470																												
148715																												
148809																												
148920																												
149150																												
149253																												
150035		423	156	348	315	250	1																			367	51	
150044																												
150156																												
150352																												
150727																												
151546																												
151555																												
151751																												
151872																												
151957																												
152057																												
152253																												
152374																												
152431																												
152440																												
153054																												
153353																												
154154																												
154257																												
154770																												
155245																												
155517																												
155759																												
155777																												
156457																												
156635																												
156952																												
156970																												
157155																												
157379																												
157650																												
157744																												
157856																												
158376																												
158741																												
158750																												
159636																												
159645																												
159953																												
159971																												
160360		1276	0	0	29	41	0																			300	0	
160454																												
160557																												
160650																												
160959																												
161273																												
161602		3318	321	41	1907	538	106																			2736	95	
162337																												
163343																												
163370																												
163549																												
163857																												
164153																												
164331																												
164377																												
164854																												
164957																												
164975																												
165039																												
165628		5717	705	96	1071	264	0		0																	2158	0	
165758																												
165806																												
166111																												
166531																												
166652																												
166803		542	53	14	489	52	0																			1319	196	
166849																												
167060																												
167453																												
167565																												
167752																												
167864																												
168357																												
168571																												
169327																												
169354																												
169653		975	475	0	265	64	0																			981	0	
169756																												
170051																												
170257																												
170275																												
170332																												
170640																												
171133																												
171656																												
171759																												
171768																												
172158																												
172251																												
172457																												
172475																												
172859																												
173306																												
173342																												
173548																												
173557																												
173575																												
173641																												
173959																												
174321																												
174367																												
174572																												
175056																												
175140																												
175458																												
175609																												
175672																												
176053																												
176101																												
176325																												
176437																												
176464																												
176642																												
177135																												
177443																												
177500																												
177546																												
177555																												
177751																												
177920																												
177957																												
178057																												
178150																												
178244																												
178271																												
178356																												
178851																												
179148																												
179335																												
179700																												
179755																												
180144																												
180443																												
180537																												
180845																												
181347																												
181963																												
182353																												
182652																												
182951																												
183668																												
183770																												
183846																												
183958																												
184142																												
184245																												
184656																												
184759																												
185251																												
185448																												
185859																												
186221																												
186548																												
186717																												
186744		684	62	0	102	31	402																			265	82	
186838																												
186856																												
187648																												
187899																												
187947																												
188056																												
188177																												
188430																												
188449																												
188720																												
188739																												
188917																												
188926																												
189044		3032	21	9	569	174	0																			659	129	
189129																												
189549																												
189745																												
189820																												
189866		149	1409	0	0	9118	0																			0	0	
189950																												
190246																												
190451																												
190563																												
190648																												
190947																												
190956																												
191355																												
191449																												
191935																												
192147																												
192558		724	0	0	0	269	5																			325	101	
192651																												
192857																												
193162																												
193247																												
193537																												
193649																												
193809																												
194440																												
194570																												
194936																												
195111																												
195157																												
195456																												
196743																												
196752																												
196800																												
197142																												
197254																												
197302																												
197478																												
197759																												
198046																												
198073																												
198149																												
198251																												
198859																												
198961																												
199052																												
199137																												
199351																												
199436																												
199463																												
200042																												
200378																												
200435																												
200640																												
201254																												
201647																												
201834																												
202514																												
202541																												
202907		1638	47	189	435	166	32																			910	394	
203043																												
203052																												
203070																												
203418																												
203575																												
204004		1815	61	38	426	159	0																			4197	121	
204077																												
204237																												
204376																												
204826																												
205243																												
205346																												
205458																												
205542																												
205654		513	0	0	0	0	8																			1459	0	
206156																												
206174																												
206473																												
206772																												
206950																												
207041																												
207050																												
207452																												
207470																												
207555																												
207845		737	1	12	202	24	1																			487	56	
207872																												
207957																												
208057																												
208244		13835	1633	267	3357	461	1015		0																	3957	1661	
208347																												
208440																												
208459																												
208570																												
208655																												
208972																												
209148																												
209362																												
209447																												
209559																												
209830																												
209858																												
210238																												
210256																												
210434		267842	40539	170503	82246	814617	68682		551360																	596984	48588	
210452																												
210779																												
211114																												
211271																												
211338																												
211851																												
212018																												
212335																												
212344																												
212465		24329	32	13	1062	15339	0		0																	0	2353	
212522		1020	30	65	298	64	18																			60	153	
212577																												
213471																												
213538																												
213912																												
213958																												
214106																												
214414																												
214722																												
214807		32000	0	0	0	10000	37000		0																	26000	0	
214843																												
215251																												
215345																												
215354																												
215653																												
215662																												
215710																												
216164																												
216230																												
216632																												
216922																												
217059																												
218131																												
218261																												
218757																												
218775																												
218850																												
218878																												
219044																												
219259																												
219343		828	263	367	453	95	4																			788	234	
219651																												
219679																												
219857																												
220059																												
220527																												
220844																												
220974																												
221476																												
221775																												
222156																												
222446																												
222558																												
222754																												
223005																												
223322																												
223331																												
223452																												
223751																												
223845																												
224552																												
224954																												
225054																												
225157																												
225241																												
225335																												
225559																												
225942																												
226949																												
227151																												
227179																												
227357																												
227656																												
227777																												
228000																												
228055																												
228158																												
228279																												
228345																												
229070																												
229173																												
229342																												
229454																												
229801		635	0	0	14	100	29																			293	5	
229874																												
229913																												
229940																												
230254																												
230423																												
230610																												
230759																												
231149																												
231242																												
231279																												
231336																												
231671																												
232258																												
232847																												
232856																												
233031		68050	3440	3755	12826	1568	2403		0																	32505	9752	
233246																												
233358																												
233442																												
233451																												
233527																												
233554																												
234355																												
234506																												
234739																												
234841																												
235174																												
235231																												
235316																												
235446																												
235530																												
235558																												
235950																												
236153		1805	414	0	156	123	2																			680	124	
236256																												
236603																												
236706		5242	7	33	955	546	1265																			4151	63	
236957																												
237066																												
237619																												
237954																												
238139																												
238250																												
238737																												
239275																												
239556		801	0	0	0	0	0																			0	0	
239613																												
239659																												
239752																												
240002																												
240459																												
240954																												
241009																												
241157																												
241559																												
241607																												
242257																												
242444																												
242949																												
242958																												
242976																												
243375																												
243414																												
243955																												
244037																												
244149																												
244158																												
244251		809	160	0	55	111	0																			182	31	
245016																												
245276	8419	158	2576	0	5316	0	87	0																		203	0	
245351																												
245557		58	30	0	161	21	46																			533	0	
246022																												
246134																												
246237																												
246451																												
246657		419	68	0	42	1596	0																			446	0	
246947																												
246956																												
247140																												
247355																												
247476																												
247551																												
247908																												
248240																												
248352																												
248455		755	114	0	94	58	0																			198	6	
248633																												
248745																												
249416																												
249564																												
249612																												
249658																												
249957																												
250047																												
250430																												
250476																												
250850																												
251352																												
251558																												
251745																												
251857																												
251978																												
252041		34	317	0	582	2	22																			647	0	
252256																												
