"IDRSSD"	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP845	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP851	RCFAP852	RCFAP853	RCFAP854	RCFAP855	RCFAP856	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFD3368	RCFD3632	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWP793	RCFWP870	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP845	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP851	RCOAP852	RCOAP853	RCOAP854	RCOAP855	RCOAP856	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCON3368	RCON3632	RCOW3792	RCOW5310	RCOW5311	RCOW7205	RCOW7206	RCOWA223	RCOWP793	RCOWP870	
3177																																																											101918	3190	3207	9.30%	18.52%	17.94%	98711	550301	1061394	-1031	0	60160	17.94%	1	0	102486	4630	176	0	-900	2	0	-133	0		0	0	98711	0	0	0	0	0	0	98711	0	0	0	0	0	0	0	0	0	3207	0	4806	17	0	1066200	43357									
3252																																																											24728	1373	1373	12.99%	22.85%	21.58%	23355	108230	179768	427	0	500	21.58%	1	0	23782	0	0	0	427	0	0	0	0		0	0	23355	0	0	0	0	0	0	23355	0	0	0	0	0	0	0	0	0	1373	0	0	0	0	179768	22855									
3458																																																											4366	331	331	9.91%	15.71%	14.52%	4035	27790	40726	-4	0	1201	14.52%	1	0	4031	0	0	0	-4	0	0	0	0		0	0	4035	0	0	0	0	0	0	4035	0	0	0	0	0	0	0	0	0	331	0	0	0	0	40726	2834									
3720																																																											34876	1685	1685	14.07%	23.35%	22.22%	33191	149366	235912	85	0	21000	22.22%	1	0	33279	0	0	0	88	0	0	0	0		0	0	33191	0	0	0	0	0	0	33191	0	0	0	0	0	0	0	0	0	1685	0	0	0	0	235912	12194									
3971																																																											108163	7988	7992	13.53%	17.02%	15.76%	100171	635683	740582	205	0	176278	15.76%	1	0	110241	9460	117	112	205	0	0	0	0		8	0	100339	0	0	0	0	168	168	100171	0	0	0	0	168	0	0	0	0	7992	0	9865	4	0	750447	-66242									
4156																																																											22923	1949	1949	10.00%	14.70%	13.45%	20974	155904	209810	9	0	7857	13.45%	1	0	22766	1783	0	0	9	0	0	0	0		0	0	20974	0	0	0	0	0	0	20974	0	0	0	0	0	0	0	0	0	1949	0	1783	0	0	211593	14900									
4231																																																											16108	743	743	13.49%	27.21%	25.96%	15365	59193	113935	-94	0	12600	25.96%	1	0	15514	0	0	97	-94	0	0	0	0		0	0	15511	0	0	0	0	146	146	15365	0	0	0	0	146	0	0	0	0	743	0	243	0	0	114178	3008									
4437																																																											25979	1997	1997	9.98%	16.07%	14.84%	23982	161653	240343	229	0	4712	14.84%	1	0	24959	0	0	748	196	0	0	33	0		0	0	23982	0	0	0	0	0	0	23982	0	0	0	0	1	0	0	0	0	1997	0	748	0	0	241091	20018									
4839																																																											41932	3232	3232	11.43%	16.31%	15.05%	38700	257068	338693	-421	0	16715	15.05%	1	0	38279	0	0	0	-421	0	0	0	0		0	0	38700	0	0	0	0	0	0	38700	0	0	0	0	0	0	0	0	0	3232	0	0	0	0	338693	21985									
5069																																																											177804	4795	4924	42.97%	47.31%	46.00%	172880	375828	402358	2960	0	8628	46.00%	1	0	175840	0	0	0	2960	0	0	0	0		0	0	172880	0	0	0	0	0	0	172880	0	0	0	0	0	0	0	0	0	4924	0	0	129	0	402358	164252									
