"IDRSSD"	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
5135	20160630	First State Bank of Blakely	15496	Blakely	GA	39823	
5210	20160630	ACNB Bank	7506	Gettysburg	PA	173250000	
5461	20160630	BAC COMMUNITY BANK	19434	STOCKTON	CA	95207	
5751	20160630	Kearny County Bank	15194	Lakin	KS	67860	
6039	20160630	ALMA EXCHANGE BANK & TRUST	15699	ALMA	GA	31510	
6141	20160630	TALLAHATCHIE COUNTY BANK	16567	CHARLESTON	MS	38921	
6329	20160630	Anderson Brothers Bank	9923	Mullins	SC	295740310	
7009	20160630	Bessemer Trust Company	20015	Woodbridge	NJ	70951191	
7045	20160630	The Peoples Bank	5779	Brownstown	IN	47220	
7072	20160630	Wallkill Valley Federal Savings And Loan Association	28870	Wallkill	NY	12589	
7157	20160630	State Bank of Blue Rapids	15057	Blue Rapids	KS	66411	
7456	20160630	Bank of Hartington	13962	Hartington	NE	68739-0077	
7634	20160630	THE FOUR COUNTY BANK	15904	ALLENTOWN	GA	31003	
8033	20160630	Peoples Bank & Trust Company of Pointe Coupee Parish	23090	New Roads	LA	70760	
8462	20160630	Perryton National Bank	3388	Perryton	TX	79070	
8631	20160630	Pleasants County Bank	847	St. Marys	WV	261700240	
9357	20160630	Fidelity Bank	20268	Edina	MN	55435	
9553	20160630	ADAMS COUNTY BANK	14311	KENESAW	NE	689560149	
9807	20160630	Amboy Bank	6423	Old Bridge	NJ	08857	
9955	20160630	First State Bank And Trust Company Of Larned, The	15899	Larned	KS	67550	
10250	20160630	Bank Of Elk River, The	1607	Elk River	MN	55330	
10849	20160630	FIRST STATE BANK	15050	LONOKE	AR	72086	
11145	20160630	LAKE-OSCEOLA STATE BANK	8172	BALDWIN	MI	49304	
11275	20160630	Pulaski Bank, National Association	30284	Saint Louis	MO	63141	
11640	20160630	First National Bank of Clarksdale	19070	Clarksdale	MS	38614	
11837	20160630	Farmers Bank, The	5709	Greensboro	GA	30642	
12030	20160630	First National Bank South	17011	Alma	GA	31510	
12142	20160630	The Cleveland State Bank	12201	Cleveland	MS	387321000	
12179	20160630	American Savings Bank	29899	Middletown	OH	45042	
12311	20160630	The Huntington National Bank	6560	Columbus	OH	43215	
12647	20160630	The Portage County Bank	10012	Almond	WI	54909	
12656	20160630	EMERALD BANK	14944	BURDEN	KS	67019	
12937	20160630	Oak Bank	20226	Chicago	IL	60611	
12946	20160630	Farmers Bank and Trust Company	1291	Magnolia	AR	71753	
12955	20160630	Bank of Nebraska	21704	La Vista	NE	68128	
13103	20160630	Bristol County Savings Bank	23622	Taunton	MA	02780	
13251	20160630	Elysian Bank	10185	Elysian	MN	56028	
13457	20160630	Bank Of Lewellen	5425	Lewellen	NE	69147	
14052	20160630	Lincoln Community Bank	09042	Merrill	WI	54452	
14155	20160630	F & C Bank	9378	Holden	MO	64040	
14650	20160630	Bank Of Locust Grove	16795	Locust Grove	OK	74352	
14753	20160630	Farmers State Bank Of Bucklin, Kansas, The	18101	Bucklin	KS	67834	
14865	20160630	Bank of Eastern Oregon	16243	Heppner	OR	97836	
14977	20160630	First Federal Bank Littlefield Texas ssb	30291	Littlefield	TX	793391390	
16551	20160630	Northview Bank	10956	Sandstone	MN	55072	
16748	20160630	The Elberfeld State Bank	13104	Elberfeld	IN	47613	
17110	20160630	The Haverford Trust Company	26189	Radnor	PA	19087	
17147	20160630	First Merchants Bank	4365	Muncie	IN	47305	
17259	20160630	The First National Bank In Marlow	26260	Marlow	OK	73055	
17464	20160630	Bank of the Cascades	22407	Bend	OR	977099906	
17950	20160630	Bank Of Bridger, National Association	2224	Bridger	MT	59014	
17978	20160630	Elizabethton Federal Savings Bank	29904	Elizabethton	TN	37643	
18050	20160630	First National Bank of Bastrop	3091	Bastrop	TX	78602	
18135	20160630	South Central Bank, NA	19536	Chicago	IL	60607	
18377	20160630	Bally Savings Bank	34440	Bally	PA	19503	
18827	20160630	NexTier Bank, N.A.	7900	Kittanning	PA	16201	
18836	20160630	CAPON VALLEY BANK	9998	WARDENSVILLE	WV	26851	
18854	20160630	Bank 7	4147	Oklahoma City	OK	73116	
19356	20160630	SECURITY BANK AND TRUST COMPANY	9881	MIAMI	OK	74354	
19730	20160630	Standard Bank and Trust Company	16606	Hickory Hills	IL	604572298	
19936	20160630	Citizens Bank of Americus	15477	Americus	GA	31709	
19972	20160630	FARMERS BUILDING AND SAVINGS BANK	34711	ROCHESTER	PA	15074	
20053	20160630	Security Bank	10015	New Auburn	WI	54757	
20633	20160630	MCNB Bank And Trust Co.	6803	Welch	WV	24801	
20857	20160630	Granite Falls Bank	10998	Granite Falls	MN	56241	
21256	20160630	State Bank Of Burrton	16583	Burrton	KS	67020	
21359	20160630	AMERICAN STATE BANK OF GRYGLA	22263	GRYGLA	MN	56727	
21630	20160630	Teche Bank & Trust Company	20041	St. Martinville	LA	70582	
21658	20160630	ALLIANCE BANK	12511	MONDOVI	WI	54755	
22048	20160630	Union Bank & Trust Company	1753	Monticello	AR	71655	
22543	20160630	State Savings Bank	8162	Frankfort	MI	496351169	
22552	20160630	First Southeast Bank	10576	Harmony	MN	55939	
22730	20160630	West Union Bank	2452	West Union	WV	26456	
22936	20160630	Farmers & Merchants Bank	16673	Statesboro	GA	304592789	
23045	20160630	West Michigan Bank & Trust	24471	Frankfort	MI	49635	
23456	20160630	The First National Bank of Henning	5162	Henning	MN	565510096	
23504	20160630	Bridgehampton National Bank	6976	Bridgehampton	NY	11932	
23643	20160630	COMMERCIAL BANK & TRUST COMPANY	90	MONTICELLO	AR	71655	
23755	20160630	First National Community Bank	5357	New Richmond	WI	54017	
24006	20160630	PCSB Bank	15995	Yorktown Heights	NY	105980712	
24378	20160630	Galion Building and Loan Bank	32307	Galion	OH	44833	
24453	20160630	ROCKY MOUNTAIN BANK	24334	JACKSON	WY	83001	
24659	20160630	Produce State Bank	10178	Hollandale	MN	56045	
24668	20160630	BTH Bank, National Association	3402	Quitman	TX	75783	
24949	20160630	THE BARABOO NATIONAL BANK	12788	BARABOO	WI	53913	
25357	20160630	All America Bank	20093	Mustang	OK	73064	
25647	20160630	FirstSecure Bank and Trust Co	22536	Palos Hills	IL	60465	
26176	20160630	Broadway Federal Bank, F.S.B	30306	Los Angeles	CA	90036	
26242	20160630	Integrity First Bank, National Association	18979	Mountain Home	AR	726541928	
26457	20160630	La Monte Community Bank	16423	La Monte	MO	65337	
26765	20160630	Vantage Bank Texas	3405	San Antonio	TX	78216	
27070	20160630	Time Federal Savings Bank	29294	Medford	WI	54451	
27548	20160630	Blackhawk Bank	14078	Beloit	WI	53511	
27614	20160630	The Andover Bank	10663	Andover	OH	440031300	
27847	20160630	DIAMOND BANK	1527	MURFREESBORO	AR	71958	
28013	20160630	Northfield Bank	28710	Staten Island	NY	10314	
28152	20160630	Harvest Bank	11415	Kimball	MN	55353	
28255	20160630	The First National Bank of Beeville	3095	Beeville	TX	78102	
28349	20160630	ALLIED BANK	91	MULBERRY	AR	72947	
28406	20160630	Blue Hills Bank	90160	Hyde Park	MA	021369935	
28675	20160630	Cumberland Federal Bank, Federal Savings Bank	29293	Cumberland	WI	54829	
28732	20160630	Peoples Bank & Trust Co	1475	Manchester	TN	37355	
29476	20160630	RiverBank Savings And Loan Association	31711	Corning	AR	72422	
29636	20160630	The Citizens Bank	12204	Philadelphia	MS	393500209	
29878	20160630	Maspeth Federal Savings And Loan Association	30303	Maspeth	NY	11378	
30052	20160630	Amistad Bank	26658	Del Rio	TX	78840	
30502	20160630	NORTHWAY BANK	14240	BERLIN	NH	3570	
30650	20160630	Lake Community Bank	8193	Long Lake	MN	55356	
30810	20160630	Discover Bank	5649	New Castle	DE	19720	
30874	20160630	Fox Chase Bank	28888	Hatboro	PA	19040	
31134	20160630	First National Bank Of Waynesboro, The	2160	Waynesboro	GA	30830	
31255	20160630	Central Bank	17612	Houston	TX	77041	
31657	20160630	First State Bank of Ben Wheeler, Texas	11904	Ben Wheeler	TX	75754	
31826	20160630	Powell Valley National Bank	6863	Jonesville	VA	24263	
31835	20160630	BANK OF ANGUILLA	8243	ANGUILLA	MS	38721	
32234	20160630	First National Bank & Trust Company	3639	Clinton	IL	61727	
32766	20160630	LAKESIDE NATIONAL BANK	21693	ROCKWALL	TX	75032	
32971	20160630	Security Federal Savings Bank	28894	Logansport	IN	46947	
33147	20160630	Farmers Bank & Trust Co.	1027	Blytheville	AR	723150688	
33259	20160630	Premier Bank	21714	Maplewood	MN	55109	
33268	20160630	THE ROSCOE STATE BANK	1213	ROSCOE	TX	795450609	
33370	20160630	Home Savings Bank, Fsb	31723	Ludlow	KY	41016	
33839	20160630	Peoples State Bank of Colfax	10075	Colfax	IL	617280527	
33857	20160630	Frontier Bank	15545	Omaha	NE	68118	
34425	20160630	Bank of Lancaster	11200	Kilmarnock	VA	22482	
34434	20160630	MAGNOLIA STATE BANK	22081	BAY SPRINGS	MS	39422	
34452	20160630	First National Bank of Park Falls	5358	Park Falls	WI	54552	
34537	20160630	Seacoast National Bank	131	Stuart	FL	34994	
34555	20160630	MACON-ATLANTA STATE BANK	14695	MACON	MO	635520128	
34742	20160630	First Western Bank	13083	Booneville	AR	729270238	
34836	20160630	THE WOODBURY BANKING COMPANY	11297	WOODBURY	GA	30293	
35057	20160630	Alliant Bank	1946	Madison	MO	65263	
35301	20160630	State Street Bank and Trust Company	14	Boston	MA	02110	
35570	20160630	Investors Bank	28892	Short Hills	NJ	07078	
35646	20160630	BONDUEL STATE BANK	11235	BONDUEL	WI	54107	
35879	20160630	East Wisconsin Savings Bank S.A.	30313	Kaukauna	WI	54130	
36456	20160630	Community First Bank	15907	Maywood	NE	69038	
36933	20160630	First State Bank	19163	Wrens	GA	30833	
37051	20160630	Pigeon Falls State Bank	13030	Pigeon Falls	WI	54760	
37341	20160630	Bank Of Ontario	21085	Ontario	WI	54651	
37435	20160630	United Bank	172	Zebulon	GA	30295	
37640	20160630	GERMAN AMERICAN BANCORP	17393	JASPER	IN	47547	
37659	20160630	FARMERS STATE BANK	12758	ALLEN	OK	748250467	
37949	20160630	Bank of Rantoul	11711	Rantoul	IL	61866	
38740	20160630	Owen County State Bank	13112	Spencer	IN	47460	
39327	20160630	Calvin B. Taylor Banking Company of Berlin, Maryland	5874	Berlin	MD	218110005	
39756	20160630	NBC Oklahoma	4032	Oklahoma City	OK	73120	
40033	20160630	Richton Bank & Trust Company	11817	Richton	MS	39476	
40350	20160630	Murray State Bank	10653	Murray	NE	68409	
40499	20160630	HarborOne Bank	59070	Brockton	MA	02301	
40855	20160630	Eitzen State Bank	10980	Eitzen	MN	55921	
41245	20160630	Farmers   Merchants Bank of Orfordville	15173	Orfordville	WI	53576	
41553	20160630	First State Bank	12283	Anadarko	OK	73005	
41629	20160630	Pioneer Bank	6913	Stanley	VA	22851	
41825	20160630	Middletown Valley Bank	14017	Middletown	MD	217690075	
41937	20160630	Farmers State Bank of Danforth	10802	Danforth	IL	609300168	
41955	20160630	Bank of Newman Grove	5447	Newman Grove	NE	68758	
42037	20160630	Peoples Exchange Bank of Monroe County	70	Monroeville	AL	36461	
42354	20160630	THE COMMERCIAL NATIONAL BANK OF BRADY	3110	BRADY	TX	768250591	
42372	20160630	First Federal Savings Bank Of Lincolnton	30315	Lincolnton	NC	28092	
42420	20160630	FIRST COMMONWEALTH BANK	7468	INDIANA	PA	157010400	
42448	20160630	FIRST NATIONAL BANK	3887	PARAGOULD	AR	72451	
42457	20160630	Commercial Bank	12246	Nelson	NE	68961	
43052	20160630	Security State Bank	9036	Iron River	WI	54847	
43351	20160630	Leonardville State Bank	17685	Leonardville	KS	66449	
43856	20160630	THE MINERS NATIONAL BANK OF EVELETH	5141	EVELETH	MN	55734	
43959	20160630	Bridge City State Bank	18155	Bridge City	TX	77611	
44040	20160630	First National Bank Of Monterey, The	4364	Monterey	IN	46960	
44433	20160630	Intercredit Bank, National Association	25258	Miami	FL	33131	
44741	20160630	Citizens Bank	9647	Mooresville	IN	46158	
44750	20160630	Citizens Bank of Newburg	16126	Newburg	MO	65550	
44929	20160630	First National Bank	6637	McConnelsville	OH	437560208	
45038	20160630	STATE BANK OF DAVIS	5740	DAVIS	IL	61019	
45047	20160630	The First National Bank at Paris	14534	Paris	AR	72855	
45056	20160630	Platte Valley Bank	9818	North Bend	NE	686490500	
45430	20160630	Johnson County Bank	22070	Mountain City	TN	37683	
45458	20160630	Vintage Bank Kansas	17927	Leon	KS	67074	
45551	20160630	Bank Midwest	5170	Spirit Lake	IA	51360	
45560	20160630	Jefferson Bank	16470	San Antonio	TX	782010190	
45775	20160630	Iron Workers Bank	28908	Aston	PA	19014	
46053	20160630	The State Bank of Faribault	1610	Faribault	MN	55021	
46941	20160630	Farmers Bank And Trust Company	2765	Princeton	KY	42445	
47247	20160630	The Dart Bank	5033	Mason	MI	48854	
47256	20160630	Community Financial Bank	27053	Prentice	WI	54556	
47452	20160630	FIRST NATIONAL BANK OF BENTON	25065	BENTON	LA	71006	
47500	20160630	Claremont Savings Bank	18038	Claremont	NH	03743	
48057	20160630	Prairie Bank of Kansas	04775	Stafford	KS	67578	
48150	20160630	Franklin State Bank	16778	Franklin	MN	55333	
48374	20160630	First Financial Bank	28905	El Dorado	AR	71730	
48440	20160630	Cleveland State Bank	9517	Cleveland	WI	53015	
49054	20160630	Commerce Bank	10212	Geneva	MN	56035	
49148	20160630	RUSHVILLE STATE BANK	9265	RUSHVILLE	IL	626810050	
49241	20160630	Relyance Bank, National Association	19371	Pine Bluff	AR	71601	
49344	20160630	Mason State Bank	1001	Mason	MI	48854	
49652	20160630	First Bank	16473	Sterling	KS	67579	
49821	20160630	High Point Bank and Trust Company	12267	High Point	NC	27261	
49858	20160630	Bank of South Texas	26727	McAllen	TX	78504	
49951	20160630	The First Security Bank	4041	Beaver	OK	739320947	
50144	20160630	State Bank of Medora	14561	Medora	IN	47260	
50461	20160630	California Pacific Bank	23242	San Francisco	CA	94104	
50546	20160630	LITTLE RIVER BANK	1298	LEPANTO	AR	72354	
50854	20160630	WILBURTON STATE BANK	2332	WILBURTON, OK  74578	OK	74578	
50872	20160630	Winchester Federal Bank	29313	Winchester	KY	40391	
50957	20160630	Alterra Bank	1149	Leawood	KS	66211	
51253	20160630	APEX BANK	9176	CAMDEN	TN	38320	
51356	20160630	latimer state bank	22839	wilburton	OK	745780070	
51459	20160630	Centera Bank	16436	Sublette	KS	67877	
51842	20160630	FARMERS & MERCHANTS UNION BANK	14445	COLUMBUS	WI	53925	
52719	20160630	The Depository Trust Company	90544	New York	NY	100410099	
52951	20160630	Security State Bank Of Wewoka, Oklahoma	8980	Wewoka	OK	74884	
53033	20160630	Sabadell United Bank, N.A.	21837	Miami	FL	331313128	
53051	20160630	The Buckholts State Bank	11916	Buckholts	TX	76518	
53752	20160630	First State Bank	16182	Hemphill	TX	75948	
54049	20160630	United Community Bank	11603	Poynette	WI	53955	
54058	20160630	The Bank of Tescott	1868	Tescott	KS	67484	
54375	20160630	YOUR COMMUNITY BANK	28915	NEW ALBANY	IN	471510939	
54441	20160630	American Bank & Trust Wisconsin	6183	Cuba City	WI	53807	
54656	20160630	Citizens State Bank	12501	Buffalo	TX	75831	
54973	20160630	American Savings Bank, FSB	32526	Honolulu	HI	96813	
55336	20160630	METAIRIE BANK & TRUST	16539	METAIRIE	LA	70001	
55635	20160630	Citizens Savings Bank & Trust	10319	Nashville	TN	37208	
55653	20160630	Fidelity State Bank And Trust Company	1150	Topeka	KS	66603	
55970	20160630	Evergreen Federal Savings And Loan Association	28914	Grants Pass	OR	97526	
56258	20160630	Citizens Bank & Trust Co., Hutchinson, Minn.	10218	Hutchinson	MN	553500339	
56351	20160630	Citizens National Bank	3250	Henderson	TX	75652	
56548	20160630	DMB Community Bank	14769	DeForest	WI	53532	
56557	20160630	CoBiz Bank	22683	Denver	CO	80202	
56717	20160630	The Dime Bank	9888	Honesdale	PA	18431	
57040	20160630	First National Bank at Darlington	14468	Darlington	WI	535300050	
57228	20160630	New Windsor State Bank	5866	New Windsor	MD	217760489	
57451	20160630	Dairy State Bank	17162	Rice Lake	WI	54868	
58177	20160630	Ripley Federal Savings Bank	29323	Ripley	OH	45167	
58207	20160630	Granite Bank	6212	Colebrook	NH	3576	
58225	20160630	FARMERS BANK & SAVINGS CO.	769	Pomeroy	OH	45769	
58243	20160630	Johnson Bank	20296	Racine	WI	53403	
58355	20160630	Vantage Bank	9733	Kent	MN	56553	
58551	20160630	Security State Bank	421	Cheyenne	OK	73628	
58636	20160630	CENTURY BANK	11448	LUCEDALE	MS	39452	
58757	20160630	Kensington Bank	1409	Kensington	MN	56343	
58971	20160630	Washington Trust Bank	1281	Spokane	WA	992102127	
59316	20160630	Wayne Bank	698	Honesdale	PA	18431	
59352	20160630	Citizens National Bank	3127	Cameron	TX	76520	
59370	20160630	First Shore Federal Savings And Loan Association	30680	Salisbury	MD	21801	
59754	20160630	The Bank Of Wyandotte	2317	Wyandotte	OK	74370	
60143	20160630	Comerica Bank	983	Dallas	TX	75201	
60330	20160630	PEOPLES BANK OF ALABAMA	22537	CULLMAN	AL	35055	
60545	20160630	THE HOME TRUST & SAVINGS BANK	963	OSAGE	IA	50461	
60554	20160630	First State Bank Minnesota	10162	LeRoy	MN	559510369	
60648	20160630	First National Bank	4324	Cloverdale	IN	46120	
61122	20160630	First United Bank & Trust	4857	Oakland	MD	21550	
61355	20160630	CorTrust Bank, N.A.	6063	Mitchell	SD	57301	
61476	20160630	Pilgrim Bank	26590	Cohasset	MA	2025	
61757	20160630	American Heritage National Bank	8843	Long Prairie	MN	56347	
61832	20160630	The First National Bank of Mount Dora	3579	Mount Dora	Fl	32757	
61953	20160630	First National Bank of Coweta	4071	Coweta	OK	74429	
62044	20160630	SEBREE DEPOSIT BANK	21342	SEBREE	KY	42455	
62110	20160630	Rockefeller Trust Company, N.A.	26622	New York	NY	100201903	
62147	20160630	Community First Bank	12512	Rosholt	WI	54473	
62772	20160630	First Advantage Bank	30698	Clarksville	TN	37040	
63050	20160630	Dolores State Bank, The	17959	Dolores	CO	81323	
63069	20160630	City National Bank	17281	Los Angeles	CA	90071	
63201	20160630	CAYUGA LAKE NATIONAL BANK	6954	UNION SPRINGS	NY	13160	
63573	20160630	Walpole Co-operative Bank	26487	Walpole	MA	02081	
63733	20160630	Citizens Bank	1711	Lafayette	TN	37083	
63742	20160630	HOMETOWN BANK	12781	FOND DU LAC	WI	54935	
63751	20160630	Towanda State Bank	15009	Towanda	KS	67144	
64150	20160630	Wyoming Bank & Trust	8718	Cheyenne	WY	82009	
64543	20160630	BLOOMBANK	15714	BLOOMFIELD	IN	47424	
64552	20160630	Bank2	11521	Oklahoma City	OK	73108	
64730	20160630	Farmers & Merchants Bank	9069	Eatonton	GA	31024	
65205	20160630	Torrington Savings Bank	16636	Torrington	CT	06790	
65241	20160630	Clarke County State Bank	14980	Osceola	IA	50213	
65513	20160630	Delta National Bank and Trust Company	26633	New York	NY	10019	
65559	20160630	Pioneer Bank & Trust	15562	Spearfish	SD	57783	
65746	20160630	Citizens Union Bank of Shelbyville, Inc.	5840	Shelbyville	KY	400660189	
65858	20160630	Emprise Bank	4789	Wichita	KS	67201	
66154	20160630	DECATUR COUNTY BANK	6101	DECATURVILLE	TN	38329	
66275	20160630	FIRST SOUTHERN BANK	29332	FLORENCE	AL	36530	
66677	20160630	Cincinnati Federal	28346	Cincinnati	OH	45247	
67142	20160630	Peoples Trust and Savings Bank	13113	Boonville	IN	476010307	
67151	20160630	Kirkpatrick Bank	20156	Edmond	OK	73013	
67209	20160630	Newburyport Five Cents Savings Bank	90251	Newburyport,	MA	01950	
67254	20160630	Young Americans Bank	27010	Denver	CO	80206	
67311	20160630	FirstMerit Bank, N.A.	13675	Akron	OH	44308	
67656	20160630	FIRST SAVINGS BANK	32629	BERESFORD	SD	57004	
67870	20160630	Thomas County Federal Savings & Loan Association	29331	Thomasville	GA	31792	
68448	20160630	Union National Bank & Trust Co	5325	Sparta	WI	54656	
68671	20160630	Grand Bank for Savings, FSB	31864	Hattiesburg	MS	39402	
68756	20160630	Liberty National Bank	11522	Lawton	OK	73501	
68831	20160630	Bank of Franklin	10594	Meadville	MS	39653	
68840	20160630	Union Bank & Trust Company	15177	Evansville	WI	53536	
68859	20160630	First National Bank of Durango	3014	Durango	CO	81301	
68943	20160630	TruBank	15484	Oskaloosa	IA	52577	
69333	20160630	The Citizens National Bank of Meridian	4993	Meridian	MS	393015853	
69678	20160630	Baker Boyer National Bank	2987	Walla Walla	WA	99362	
70058	20160630	The Farmers & Merchants Bank	1480	Dyer	TN	383300285	
70218	20160630	United Orient Bank	23373	New York	NY	10038	
70414	20160630	THE NORTHUMBERLAND NATIONAL BANK	7666	NORTHUMBERLAND	PA	17857	
70638	20160630	Peoples Bank	9366	Mendenhall	MS	39114	
70955	20160630	Nebraska State Bank	13696	Bristow	NE	68719	
71073	20160630	Home Federal Savings and Loan Association of Niles	28349	Niles	OH	444460311	
71318	20160630	DNB First, National Association	7464	Downingtown	PA	193350904	
71457	20160630	Bruning State Bank	18748	Bruning	NE	68322	
71859	20160630	CBW BANK	13959	WEIR	KS	66781	
72258	20160630	The Converse County Bank	12591	Douglas	WY	82633	
72351	20160630	Farmers State Bank	16941	Wathena	KS	660900219	
72454	20160630	FREEPORT STATE BANK	08210	FREEPORT	MN	56331	
72678	20160630	BELMONT SAVINGS BANK	28348	BELLAIRE	OH	439060654	
73116	20160630	Artisans' Bank	17123	Wilmington	DE	19808	
73152	20160630	THE FARMERS AND MERCHANTS NATIONAL BANK OF FAIRVIEW	4097	Fairview	OK	737370493	
73554	20160630	Pathway Bank	1992	Cairo	NE	68824	
73956	20160630	Security State Bank	12422	Wellington	KS	67152	
74056	20160630	SOUTH CENTRAL STATE BANK	16707	CAMPBELL	NE	689320186	
74140	20160630	Isabella Bank	1005	Mt. Pleasant	MI	48858	
74403	20160630	Merrimack County Savings Bank	17960	Concord	NH	03301	
74449	20160630	First National Bank in Tigerton	14400	Tigerton	WI	54486	
75053	20160630	First Minnesota Bank	5151	Minnetonka	MN	55345	
75259	20160630	First Oklahoma Bank	12484	Jenks	OK	74037	
75446	20160630	South Ottumwa Savings Bank	9099	Ottumwa	IA	52501	
75455	20160630	The Northern State Bank Of Gonvick	10187	Gonvick	MN	56644	
75558	20160630	First Bank Texas, ssb	3086	BAIRD	TX	79504	
75633	20160630	BMO Harris Bank NA	16571	Chicago	IL	60603	
75651	20160630	CERESCOBANK	1993	CERESCO	NE	680170036	
76153	20160630	BANK OF CLARKS	16953	CLARKS	NE	68628	
76443	20160630	The Peoples Bank	1566	Taylorsville	KY	40071	
76854	20160630	GRAND BANK	22065	TULSA	OK	741353247	
77150	20160630	First Farmers & Merchants State Bank Grand Meadow	15621	Grand Meadow	MN	559360188	
77253	20160630	Hondo National Bank, The	15345	Hondo	TX	78861	
77422	20160630	Community Bankers' Bank	26871	Midlothian	VA	23113	
77851	20160630	First Bank & Trust	3973	Brookings	SD	570065057	
78157	20160630	Bandera Bank	26653	Bandera	TX	780031596	
78241	20160630	THE FIRST NATIONAL BANK OF MCGEHEE	21379	MCGEHEE	AR	716540728	
78559	20160630	Summit National Bank	25054	Hulett	WY	82720	
79042	20160630	West Point Bank	12166	Radcliff	KY	40160	
79127	20160630	Home National Bank	6680	Racine	OH	45771	
79145	20160630	Farmers & Merchants State Bank	13242	Waterloo	WI	53594	
79257	20160630	First State Bank of Grove City	8857	Grove City	MN	56243	
79855	20160630	CITY BANK   TRUST CO.	05396	CRETE,	NE	68333-0288	
80020	20160630	Manor Bank	7907	Manor	PA	15665	
80150	20160630	First Fidelity Bank	1122	Burke	SD	57523	
80374	20160630	First Federal Savings And Loan Association	29345	Delta	OH	43515	
80431	20160630	UNION BANK & TRUST COMPANY	9179	LIVINGSTON	TN	38570	
80552	20160630	State Bank Of Hamburg	8199	Hamburg	MN	55339	
80936	20160630	Capital Bank	19195	Fort Oglethorpe	GA	30742	
81175	20160630	Equitable Bank	31485	Grand Island	NE	68801	
81429	20160630	Clover Community Bank	27055	Clover	SC	29710	
82033	20160630	First National Bank of Pasco	26829	Dade City	FL	33525	
82257	20160630	BRYANT STATE BANK	06064	BRYANT	SD	57221	
82350	20160630	THE LAUDERDALE COUNTY BANK	22835	HALLS	TN	38040	
82659	20160630	CITIZENS STATE BANK OF HAYFIELD	10957	HAYFIELD	MN	55940	
83151	20160630	Flagship Bank Minnesota	8188	Wayzata	MN	55391	
83236	20160630	Bank of the South	19125	Pensacola	FL	32506	
83375	20160630	CENTURY BANK	28362	SANTA FE	NM	875041507	
83638	20160630	MERCANTIL COMMERCEBANK, N.A.	22953	CORAL GABLES	FL	33134	
83834	20160630	AMERICAN BANK & TRUST COMPANY	17906	OPELOUSAS	LA	70571	
83852	20160630	Richland State Bank	1675	Bruce	SD	572200338	
83955	20160630	GREENFIELD BANKING COMPANY	15255	GREENFIELD	TN	38230	
84046	20160630	FIRST TRUST AND SAVINGS BANK	10123	CORALVILLE	IA	52241	
84251	20160630	FARMERS STATE BANK	10652	EWING	NE	687350004	
84541	20160630	Guaranty Bank and Trust Company	15953	Belzoni	MS	39038	
84804	20160630	Citizens Bank of Cape Vincent	8908	Cape Vincent	NY	13618	
85052	20160630	Uinta Bank	1167	Mountain View	WY	82939	
85258	20160630	Exchange State Bank	8212	Luverne	MN	56156	
85454	20160630	BANK OF LAVERNE	4130	LAVERNE	OK	738481147	
85472	20160630	Oceanfirst Bank	28359	Toms River	NJ	08753	
85931	20160630	PATTERSON STATE BANK	12609	PATTERSON	LA	70392	
