"IDRSSD"	RCONG350	RCONG351	RCONG352	RCONG353	RCONG354	RCONG355	RCONG356	RCONG357	RCONG358	RCONG359	RCONG360	RCONG361	RCONG362	RCONG363	RCONG364	RCONG365	RCONG366	RCONG367	RCONG368	RCONG369	RCONG370	RCONG371	RCONG372	RCONG373	RCONG374	RCONG375	RCONHT50	RCONHT51	RCONHT52	RCONHT53	RCONHT54	RCONHT55	RCONHT56	RCONHT57	RCONHT58	RCONHT59	RCONHT60	RCONHT61	RCONK142	RCONK143	RCONK144	RCONK145	RCONK146	RCONK147	RCONK148	RCONK149	RCONK150	RCONK151	RCONK152	RCONK153	RCONK154	RCONK155	RCONK156	RCONK157	
	SFP TPS ISS FNC INST AFS AMRTZ COST	SFP TPS ISS FNC INST AFS FV	SFP TPS ISS RE INV TR HTM AMRTZ COST	SFP TPS ISS RE INV TRS HTM FV	SFP TPS ISS RE INV TR AFS AMRTZ COST	SFP TPS ISS RE INV TR AFS FV	SFP CORP & SIMILAR LN HTM AMRTZ COST	SFP CORP & SIMILAR LN HTM FV	SFP CORP & SIMILAR LN AFS AMRTZ COST	SFP CORP & SIMILAR LN AFS FV	SFP 1T4 RES MBS I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS I OR G GSE HTM FV	SFP 1T4 RES MBS I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS I OR G GSE AFS FV	SFP 1T4 MBS N I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS N I OR G GSE HTM FV	SFP 1T4 MBS N I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS N I OR G GSE AFS FV	SFP DVRS (MIXED) POOLS SFP HTM AMRTZ	SFP DVRS (MIXED) POOLS SFP HTM FV	SFP DVRS (MIXED) POOLS SFP AFS AMRTZ	SFP DVRS (MIXED) POOLS SFP AFS FV	SFP OTHR CLTRL REF ASSET HTM AMRTZ	SFP OTHR CLTRL REF ASSET HTM FV	SFP OTHR CLTRL REF ASSET AFS AMRTZ	SFP OTHR CLTRL REF ASSET AFS FV	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	MBS CMRL PT SCTY GUAR FNMA HTM AMTRZ	MBS CMRL PT SCTY GUAR FNMA HTM FV	MBS CMRL PT SCTY GUAR FNMA AFS AMTRZ	MBS CMRL PT SCTY GUAR FNMA AFS FV	MBS CMRL PT SCTY OTHR HTM AMTRZ	MBS CMRL PT SCTY OTHR HTM FV	MBS CMRL PT SCTY OTHR AFS AMTRZ	MBS CMRL PT SCTY OTHR AFS FV	MBS CMRL OTHR CMRL GUAR FNMA HTM AMT	MBS CMRL OTHR CMRL GUAR FNMA HTM FV	MBS CMRL OTHR CMRL GUAR FNMA AFS AMT	MBS CMRL OTHR CMRL GUAR FNMA AFS FV	MBS CMRL OTHR CMRL OTHR CMRL HTM AMT	MBS CMRL OTHR CMRL OTHR CMRL HTM FV	MBS CMRL OTHR CMRL OTHR CMRL AFS AMT	MBS CMRL OTHR CMRL OTHR CMRL AFS FV	
3052813																											0	0	4204	4218					0	0	0	0	0	0	5811	6201	0	0	0	0	0	0	6679	7177	0	0	4875	5222	
3057818																											0	0	19405	19725	0	0	45244	45572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10419	10410	0	0	0	0	
3058114																											0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3066025																																																							
3067929																											0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3068579																											0	0	13588	13590					0	0	0	0	0	0	514	546	0	0	0	0	0	0	0	0	0	0	0	0	
3070545																											0	0	5838	6111	0	0	16847	17233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3075474																											0	0	16465	17049	0	0	4854	4927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3076220																											0	0	46641	45670	0	0	339736	349570	321050	308807	225448	221239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59823	60991	
3076248	0	0	0	0	0	0	2600845	2497248	1140156	1110659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76205	76404					2600845	2497248	1140156	1110659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27578	28606	
3076453																											0	0	10635	10549	0	0	2461	2450	0	0	0	0	0	0	2786	2785	0	0	0	0	0	0	0	0	0	0	0	0	
3076604																											0	0	10077	10312					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3089752																											0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3090833																											0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3102893																											0	0	0	0	0	0	28	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3103591																											0	0	2765	2832					0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	513	0	0	0	0	
3109043																											0	0	1100	1103					0	0	0	0	0	0	8125	9049	0	0	0	0	0	0	0	0	0	0	0	0	
3109146																											1098	1142	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3110197																											0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3116519																											0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3120646																											0	0	0	0	0	0	11790	11979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3120897																											0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3121072																											0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3122994																											0	0	0	0	6839	7079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3125315																											0	0	3494	3620	0	0	1208	1260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3125557																											0	0	0	0	0	0	20816	21444	0	0	0	0	0	0	15245	15670	0	0	0	0	0	0	9404	9599	0	0	0	0	
3128923																											0	0	1797	1867	0	0	7293	7519	0	0	500	500	0	0	446	460	0	0	0	0	0	0	0	0	0	0	0	0	
3131400																											0	0	0	0	0	0	4884	4894	0	0	0	0	0	0	7582	7887	0	0	0	0	0	0	7240	7528	0	0	0	0	
3133570																											0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3134399																											0	0	1707	1707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3134698																											0	0	1578	1583	0	0	8655	8753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3138146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	7302	0	0	0	0	0	0	0	0					0	0	50	7302	0	0	17627	18786	0	0	0	0	0	0	78929	81624	0	0	30000	30000	
