"IDRSSD"	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
30650	0	4636	1785																																	5484	0	1714								
30810																																	0													
31134	0	2395	2358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			2851	0	3697								
31255	0	16266	39350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	21578	3493	746								
31657	0	1619	0																																	2264	0	3675								
31826	0	1212	9804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			491	0	11834								
31835	0	0	0																																	2623	0	10433								
32234	0	225	138																																	9196	0	1404								
32766	0	200	247																																	0	0	2								
32971	0	4852	6134																																	11959	0	2617								
33147	42500	363	1695																																	7877	0	10915								
33259	0	9728	34195																																	18649	0	8506								
33268	0	1989	1633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			4868	0	4482								
33370	0	0	688																																	0	0	0								
33839	0	0	0																																	303	0	2160								
33857	0	22961	19400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	31643	0	68606								
34425	31000	18734	63354																																	54131	0	4653								
34434	30000	4092	4249																																	9836	0	15572								
34537	0	128075	119919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	3862	0	346502	0	416671								
34555	0	1922	7962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			1978	0	5360								
34742	24450	26331	13236																																	11244	0	5478								
35057	0	786	1507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			2085	0	7780								
35301																																	0													
35570	4021000	151562	581046	0	0	21876	0	0	0	0	0	0	0	21876	0	0	0	0	0	0	0	6072	0	0	0	0	0	0	0	0	0	0	0	0	0	677066	0	308725								
35646	0	258	0																																	1859	0	1								
35879	0	996	283																																	0	0	3282								
36456	0	0	0																																	698	0	12081								
36933	0	5442	6885																																	704	0	1063								
37051	0	450	497																																	806	0	6662								
37341	0	0	0																																	192	0	972								
37435	0	41843	54771																																	14864	0	6698								
37640	0	28343	127179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	16632	26595	215240	0	155342								
37659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			483	0	447								
37949	0	0	0																																	0	0	19777								
38740	0	581	7082																																	3522	0	2364								
39327	0	8417	29014																																	12515	0	10759								
39756	18825	24187	20267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	51863	0	22256								
40033	0	0	384																																	850	0	304								
40499	115350	14277	212678	0	0	82722	51624	0	0	23565	59157	0	0	0	0	14511	37113	0	0	0													0	0	0	100568	0	22835								
40855	0	90	1318																																	0	0	2451								
41245	0	0	0																																	97	0	501								
41553	0	38	84																																	155	0	665								
41629	0	528	4598																																	3581	1242	2779								
41825	0	1750	23985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	81681	0	3916								
41955	0	0	0																																	0	0	8452								
