"IDRSSD"	RCFD0010	RCFD0022	RCFD0070	RCFD0082	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0080	RCON0082	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BALANCES WITH BKS IN FGN COUNTRIES	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	
139740						47370	41890	0	4060	382	1038	
139834												
139843						41368	21861	0	10427	5472	3608	
139955												
140018						26007	42	0	10369	12275	3321	
140157												
140362						125230	936	0	1071	10664	112559	
140634												
141211												
141341												
141350												
141556						80201	6455	0	1939	2531	69276	
141677												
141958												
142049												
142179												
142656												
142955						62629	5392	0	4242	154	52841	
143372												
143662						621758	169355	2967	113016	50832	285588	
143859												
143952												
144034												
144052												
144155						19135	5140	0	2579	8146	3270	
144436												
144678												
144856												
144913												
145059												
145545												
145554												
145741												
145750												
145844												
145956												
146056												
146663						20869	4357	0	6897	1658	7957	
146672						409091	132810	0	126219	2032	148030	
147633												
147651												
147679												
147857												
147923						31830	0	0	5384	26446	0	
148171												
148238												
148340												
148470												
148715												
148809						31388	0	0	1774	1247	28367	
148920												
149150												
150035						40273	24453	0	11343	777	3700	
150044												
150156												
150727												
151546												
151957												
152057												
152253												
152431												
152440												
153054						33189	7202	0	2161	407	23419	
153353												
154154												
154770												
155759												
156457												
156635												
156952												
156970												
157155												
157379												
157650												
157744												
157856												
158376												
158741												
159636						70664	27	0	12692	1585	56360	
159645												
159953												
159971												
160360												
160454												
160650						16655	7677	0	1604	2504	4870	
160959						121674	12836	0	5167	3238	100433	
161273												
161602						66714	27905	0	14897	5612	18300	
162337												
163343												
163370												
163549						41435	28	0	5833	34413	1161	
163857												
164153												
164331												
164377												
164957												
164975												
165039						22286	6643	0	3679	2544	9420	
165628						269003	91527	0	91201	34867	51408	
165758												
165806						22140	13805	0	4156	1599	2580	
166111												
166531												
166652						26912	10	0	2652	14250	10000	
166849												
167453												
167565	18850	0	1248	15594	2008	2009	0	0	0	1	2008	
167752												
167864												
168357												
168571												
169327												
169354												
169653						396028	57714	0	46005	15810	276499	
169756												
170257												
170275												
170332												
170640												
171133	41710	1950	0	29358	10402	41710	457	0	1493	29358	10402	
171656												
171759												
171768						39062	4387	0	5915	15412	13348	
172158												
172251												
172457												
172475												
172859												
173306						29937	3567	0	1370	5778	19222	
173342												
173548												
173557												
173575						14221	8037	0	2210	2763	1211	
173641												
173959												
174321												
174367												
174572						42059	22550	0	13534	476	5499	
175056												
175140						15446	0	0	1952	12958	536	
175458												
175609												
176101						18371	8479	0	3893	1134	4865	
176325												
176437												
176464						32488	5717	0	7477	19164	130	
176642												
177135												
177443												
177500												
177555												
177751												
177920						107110	7970	0	3510	2012	93618	
178150												
178244												
178356												
178851												
179148												
179335												
179700						13740	8519	0	1437	3127	657	
180144												
180443												
180537												
180845												
181963												
182353												
182951												
183668												
183770												
183846												
183958												
184142						21778	0	0	6939	6410	8429	
184656												
184759												
185251												
185448												
185859												
186221						39915	926	0	6791	13827	18371	
186548												
186717												
186744						22679	15832	0	2527	3512	808	
186856												
187648												
187947						28526	11560	0	8675	1291	7000	
188056												
188177												
188430												
188449												
188720												
188739												
188917												
189044						28060	0	0	4301	3401	20358	
189129												
189549												
189745						51809	11	0	2673	9828	39297	
189950												
190563												
190648												
190947												
190956												
191355												
191449												
191935												
192147						17786	0	0	2437	2706	12643	
192558						21409	2576	0	5076	6977	6780	
192651												
192857												
193162												
193247												
193537												
193649												
193809						9637	3856	0	3332	685	1764	
194440												
194570												
194936												
195111												
195157												
195456												
196752												
196800						35893	4242	0	4120	3407	24124	
197142												
197254												
197302												
197478	3282377	295554	1187382	355481	1443960	2231946	146699	137022	148784	355481	1443960	
197759												
198046												
198073												
198149												
198251												
198961												
199137												
199351												
199436												
199463												
200042												
200378						390179	10779	0	17821	5226	356353	
200435						55378	0	0	6959	610	47809	
200640												
201254												
201647												
201834						200213	0	0	5371	29209	165633	
202514												
202541												
202907						201273	86357	164	75709	13539	25504	
203043												
203052												
203070												
203575												
204004						86195	0	0	33864	48420	3911	
204077												
204237												
204826												
205243												
205346												
205458												
205542												
205654						16644	4858	0	5296	1841	4649	
206156												
206174												
206473												
206772												
206950												
207041												
207050												
207452												
207470												
207555												
207845						39112	22802	0	10135	5906	269	
207872												
207957												
208057						15586	4654	0	1419	9205	308	
208244	317165	104587	112	19174	193292	317053	5431	0	99156	19174	193292	
208347												
208440												
208459												
208570												
208655												
208972												
209148						59571	0	0	2464	2647	54460	
209362												
209447												
209559												
209830												
209858												
210238												
210256												
210434	38913888	246663	17673250	169309	20824666	17783651	129456	83422	111402	25150	17434221	
210452												
210779												
211114												
211271						18314	2925	0	3196	9178	3015	
211338												
211851												
212018						11326	4840	0	2113	3181	1192	
212335						20935	17	0	3788	4523	12607	
212344												
212465	8213749	1799755	93355	14998	6305641	8213749	813048	93355	986707	14998	6305641	
212522						52393	7419	0	16707	5852	22415	
