"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF601	RCFDF608	RCFDF609	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK167	RCFDK168	RCFDK195	RCFDK196	RCFDK203	RCFDK204	RCFDK207	RCFDK208	RCFDK209	RCFDK212	RCFDK267	RCFNK289	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF601	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK167	RCONK168	RCONK195	RCONK196	RCONK203	RCONK204	RCONK207	RCONK208	RCONK209	RCONK212	RCONK256	RCONK267	RIADG377	
164153																																																																																0	3788	0		769			14790	768	0	1823	52164	0	0	611	4266	1463	36	15439	345	821	642	1205	650	603	3999	10274	6388	7341	10575	8763								0	238			0	0	2197	366	12906	4552			0			53	0																							0	0	0	0	0	0	0	0	0	0	0	0		10019		0	0							0	1668	0	0	0	411	0			0	0	0				0	0	2570			0	0	0		
164331																																																																																0	0	0		0			20297	2002	0	0	94312	0	0	0	52521	584	1909	6754	2391	362	2168	10437	33401	3535	10122	2048	8430	9616	11198	109								0	4			0	0	248	0	6504	2621			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		0		0	50							0	2921	0	0	0	0	0			0	0	0				0	0	6560			0	0	0		
164377																																																																																0	0	2598		0			335	1660	0	740	56095	242	0	0	44428	1928	1698	1155	494	1114	380	1679	11671	28418	3688	125	1087	541	5250	1035								0	6			0	0	0	841	0	3534			0			168	0																							0	0	0	0	0	0	0	0	0	0	0	0		0		0	2							0	0	0	0	0	0	0			0	0	0				0	0	265			0	0	0		
164854																																																																																0	10253	7393		3806			23499	6744	0	2477	171101	0	0	0	32526	3490	16106	29597	5936	4852	8636	7659	3548	1209	39366	18050	28036	36787	14249	296								0	53		0	0	0	5090	7003	50353	16176			0			221	0																							0	0	0	0	0	0	0	0	0	0	0	0		44378		0	80							0	1569	0	0	0	636	0			0	0	0				0	0	589			0	161	0		
164957																																																																																0	2839	0		2306			8611	610	0	0	42481	0	11	0	13021	709	2262	10232	1184	2966	4759	1485	2328	299	3034	5295	7353	5421	6738	1619								0	4			0	0	2160	1203	0	9989			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		8121		0	0							0	643	0	0	0	0	0			0	0	0				0	0	375			0	0	0		
164975																																																																																0	0	654		0			83	2612	0	0	59654	0	0	0	50714	1145	24131	286	1457	3875	12962	3489	14008	14924	2674	696	3546	505	755	495								0	0			0	0	0	0	3917	0			0			0	260																							0	0	0	0	0	0	0	0	0	0	0	0		49312		0	5							0	217	0	0	0	0	0			0	0	0				0	0	307			0	0	0		
165039																																																																																0	5857	1365	0	134	16819	0	16819	11368	0	5107	281533	378	0	0	100590	2479	35373	48513	5135	9026	20012	18215	27165	18733	24558	23319	43911	50895	29920	142		0	0	0		0	0	2237	538	0		14011	12403	1641	13218	29561	78414	0	0	0			463	87	0	0	0	7452	0	0	0	0	0	0	0	0	0	0	7301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		223777	0	0	0							0	5311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7272	0	0	0	0	0		
165628	3366763			6680	6601	1191911	0		0	97094	4799052	0	21245			692348	1508632	212182	434426	890926	650909	334454	0	0	0	0	0	25031	3752	0		350703	292443					0	73216	0	0	0	0	0	0	0	0	0	0	551042	810394	10327	37012	43284	285	4455	5862	37	1980	2055	44	3052296	0	11476	1253	0	620	0	0	0	0	0	0	16528	0	0	0	0	0		63234	183495	698	6601	1191911	0		467997	0	97094	4799052	0	73216		729843	22452	381669		53397	107562	56584	94584	197257	210552							0			0	0			25031	3752					22315	216317	812385	848725			0			6335	6594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0															5584	398									11476	0	0	0	3102	2309				0			0	0			16528	0	0					
165758																																																																																0	2429	1847		9			7145	4366	0	37	45286	0	0	0	5428	689	0	14940	268	1531	2896	448	285	0	11035	6608	8033	10046	3744	27								0	29			0	0	597	4313	8407	6706			0			1053	0																							0	0	0	0	0	0	0	0	0	0	0	0		4275		1994	6							0	293	0	135	0	409	0			499	499	0				0	0	991			0	68	0		
165806																																																																																0	54300	54382	0	49351	152297	0	152297	39225	0	26547	775212	0	0	0	167165	7362	36966	88528	2458	3544	11803	10029	86972	51603	81625	51560	71750	133512	182838	84763		0	0	0		0	0	0	600	0		0	0	8039	29453	65888	111724	0	0	0			38	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		109950	54	0	54							0	3838	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	4987	0	0	0	0	0		
