"IDRSSD"	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
54049	20130630	Bank of Poynette	11603	Poynette	WI	53955	
54058	20130630	The Bank of Tescott	1868	Tescott	KS	67484	
54375	20130630	YOUR COMMUNITY BANK	28915	NEW ALBANY	IN	471510939	
54441	20130630	AMERICAN BANK & TRUST WISCONSIN	6183	CUBA CITY	WI	538070827	
54656	20130630	Citizens State Bank	12501	Buffalo	TX	75831	
54973	20130630	American Savings Bank, FSB	32526	Honolulu	HI	96813	
55176	20130630	Home Savings Bank of Albemarle, SSB	30668	Albemarle	NC	280020489	
55336	20130630	METAIRIE BANK & TRUST	16539	METAIRIE	LA	70004	
55635	20130630	Citizens Savings Bank & Trust	10319	Nashville	TN	37208	
55653	20130630	Fidelity State Bank   Trust Co.	01150	Topeka	KS	66603	
55970	20130630	Evergreen Federal Savings And Loan Association	28914	Grants Pass	OR	97526	
56258	20130630	Citizens Bank & Trust Co., Hutchinson, Minn.	10218	Hutchinson	MN	553500339	
56351	20130630	Citizens National Bank	3250	Henderson	TX	756531009	
56427	20130630	The Citizens National Bank of Meyersdale	7919	Meyersdale	PA	15552	
56548	20130630	DMB Community Bank	14769	DeForest	WI	535321156	
56557	20130630	CoBiz Bank	22683	Denver	CO	80202	
56717	20130630	The Dime Bank	9888	Honesdale	PA	18431	
57040	20130630	First National Bank at Darlington	14468	Darlington	WI	535300050	
57228	20130630	New Windsor State Bank	5866	New Windsor	MD	217760489	
57255	20130630	FIRST NATIONAL BANK OF BYERS	3122	BYERS	TX	76357	
57451	20130630	Dairy State Bank	17162	Rice Lake	WI	54868	
57572	20130630	FAMILYFIRST BANK	26594	WARE	MA	10820849	
58177	20130630	Ripley Federal Savings Bank	29323	Ripley	OH	45167	
58207	20130630	First Colebrook Bank	6212	Colebrook	NH	3576	
58225	20130630	FARMERS BANK & SAVINGS CO.	769	Pomeroy	OH	45769	
58243	20130630	Johnson Bank	20296	Racine	WI	53403	
58355	20130630	VANTAGE BANK	9733	KENT	MN	56553	
58551	20130630	Security State Bank	421	Cheyenne	OK	73628	
58636	20130630	CENTURY BANK	11448	LUCEDALE	MS	39452	
58757	20130630	Kensington Bank	1409	Kensington	MN	56343	
58971	20130630	Washington Trust Bank	1281	Spokane	WA	992102127	
59316	20130630	Wayne Bank	698	Honesdale	PA	184310269	
59352	20130630	CITIZENS NATIONAL BANK	3127	CAMERON	TX	76520	
59370	20130630	First Shore Federal Savings And Loan Association	30680	Salisbury	MD	21801	
59754	20130630	THE BANK OF WYANDOTTE	2317	WYANDOTTE	OK	74370	
60143	20130630	Comerica Bank	983	Dallas	TX	75201	
60330	20130630	PEOPLES BANK OF ALABAMA	22537	CULLMAN	AL	35055	
60545	20130630	THE HOME TRUST & SAVINGS BANK	963	OSAGE	IA	50461	
60554	20130630	First State Bank Minnesota	10162	LeRoy	MN	559510369	
60648	20130630	First National Bank	4324	Cloverdale	IN	46120	
61122	20130630	First United Bank & Trust	4857	Oakland	MD	21550	
61177	20130630	Home Federal Savings and Loan Association of Nebraska	30695	Lexington	NE	68850	
61355	20130630	CorTrust Bank, N.A.	6063	Mitchell	SD	57301	
61476	20130630	Pilgrim Bank	26590	Cohasset	MA	2025	
61757	20130630	American Heritage National Bank	8843	Long Prairie	MN	563470509	
61832	20130630	The First National Bank of Mount Dora	3579	Mount Dora	Fl	32757	
61953	20130630	FIRST NATIONAL BANK OF COWETA	4071	COWETA	OK	74429	
62044	20130630	SEBREE DEPOSIT BANK	21342	SEBREE	KY	42455	
62110	20130630	Rockefeller Trust Company, N.A.	26622	New York	NY	100201903	
62147	20130630	Community First Bank	12512	Rosholt	WI	54473	
62772	20130630	First Advantage Bank	30698	Clarksville	TN	37040	
63050	20130630	The Dolores State Bank	17959	Dolores	CO	81323	
63069	20130630	City National Bank	17281	Los Angeles	CA	90071	
63078	20130630	Whidbey Island Bank	18412	Oak Harbor	WA	98277	
63201	20130630	CAYUGA LAKE NATIONAL BANK	6954	UNION SPRINGS	NY	13160	
63573	20130630	Walpole Co-operative Bank	26487	Walpole	MA	02081	
63733	20130630	Citizens Bank	1711	Lafayette	TN	37083	
63742	20130630	HOMETOWN BANK	12781	FOND DU LAC	WI	54935	
63751	20130630	TOWANDA STATE BANK	15009	TOWANDA	KS	67144	
64150	20130630	Wyoming Bank & Trust	8718	Cheyenne	WY	82009	
64543	20130630	BLOOMFIELD STATE BANK	15714	BLOOMFIELD	IN	47424	
64552	20130630	Bank2	11521	Oklahoma City	OK	73108	
64619	20130630	Sterling National Bank	7220	New York	NY	100196108	
64730	20130630	Farmers & Merchants Bank	9069	Eatonton	GA	31024	
65205	20130630	Torrington Savings Bank	16636	Torrington	CT	06790	
65241	20130630	Clarke County State Bank	14980	Osceola	IA	50213	
65513	20130630	Delta National Bank and Trust Company	26633	New York	NY	10019	
65559	20130630	Pioneer Bank & Trust	15562	Spearfish	SD	57783	
65746	20130630	Citizens Union Bank of Shelbyville, Inc.	5840	Shelbyville	KY	400660189	
65858	20130630	Emprise Bank	4789	Wichita	KS	67201	
66015	20130630	BPD  BANK	26508	NEW YORK	NY	10004	
66154	20130630	DECATUR COUNTY BANK	6101	DECATURVILLE	TN	38329	
66275	20130630	FIRST SOUTHERN BANK	29332	FLORENCE	AL	36530	
66677	20130630	Cincinnati Federal Savings And Loan Association	28346	Cincinnati	OH	45247	
67142	20130630	Peoples Trust and Savings Bank	13113	Boonville	IN	476010307	
67151	20130630	Kirkpatrick Bank	20156	Edmond	OK	73013	
67209	20130630	Newburyport Five Cents Savings Bank	90251	Newburyport,	MA	01950	
67254	20130630	Young Americans Bank	27010	Denver	CO	80206	
67311	20130630	FirstMerit Bank, N.A.	13675	Akron	OH	44308	
67656	20130630	First Savings Bank	32629	Beresford	SD	57004	
67870	20130630	Thomas County Federal Savings & Loan Association	29331	Thomasville	GA	31792	
68345	20130630	Peoples Bank Of Bullitt County, The	1884	Shepherdsville	KY	40165	
68448	20130630	Union National Bank & Trust Co	5325	Sparta	WI	54656	
68671	20130630	Grand Bank for Savings, FSB	31864	Hattiesburg	MS	39402	
68756	20130630	Liberty National Bank	11522	Lawton	OK	73501	
68831	20130630	Bank of Franklin	10594	Meadville	MS	39653	
68840	20130630	Union Bank & Trust Company	15177	Evansville	WI	53536	
68859	20130630	The First National Bank of Durango	3014	Durango	CO	81301	
68943	20130630	TRUBANK	15484	OSKALOOSA	IA	525770420	
69333	20130630	The Citizens National Bank of Meridian	4993	Meridian	MS	393015853	
69678	20130630	Baker Boyer National Bank	2987	Walla Walla	WA	99362	
70049	20130630	Community Bank	13147	Noblesville	IN	46060	
70058	20130630	The Farmers & Merchants Bank	1480	Dyer	TN	383300285	
70218	20130630	United Orient Bank	23373	New York	NY	10038	
70414	20130630	THE NORTHUMBERLAND NATIONAL BANK	7666	NORTHUMBERLAND	PA	17857	
70638	20130630	Peoples Bank	9366	Mendenhall	MS	39114	
70955	20130630	Nebraska State Bank	13696	Bristow	NE	68719	
71073	20130630	Home Federal Savings and Loan Association of Niles	28349	Niles	OH	444460311	
71318	20130630	DNB First, National Association	7464	Downingtown	PA	193350904	
