"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON8492	RCON8495	RCON8496	RCON8499	RCONA511	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	
24453	0	0					1911	0	8073					20786			0	0	0	0	0									
24659	1987	0					5	4915	0					0			2332	0	0	0	0									
24668	0	0					2976	0	214351					0			0	140831	0	0	3538									
24949	0	0					2727	0	54090					0			0	4844	0	0	4822									
25357	0	0					3149	57614	32329					0			0	210	0	0	0									
25647	0	0					0	350	214					0			350	214	0	0	0									
26176	0	0					2573	0	15209					72000			0	0	0	0	0									
26242	0	0					2954	0	83240					9000			0	30546	0	0	3533									
26457	0	1001					0	0	4509					0			0	0	0	0	0									
26765	0	0					1667	1529	46698					0			1426	1813	0	0	0									
27070	0	0					3865	0	214200					0			0	53957	0	0	0									
27548	0	0					2294	0	172144					0			0	45840	2075	12202	0									
27614	0	0					1531	0	172846					25000			0	63915	1624	0	0									
27847	0	0					1658	1102	127775					16334			0	58790	0	0	0									
28013	0	9108					24985	10298	544927					492827			0	0	2459	0	12370									
28152	0	503					553	5702	13463					230			3599	7103	0	0	0									
28255	4485	21296					936	31693	42095					11018			7027	9121	0	0	0									
28349	0	0					681	1178	4473					0			1178	0	0	0	0									
28406	623	0					18178	196578	245890					255000			0	17165	56195	0	0									
28675	0	0					400	0	50320					2000			0	4896	14	0	0									
28732	0	0					227	0	18444					0			0	5983	0	0	0									
29476	0	0					201	90	1944					2441			90	1944	0	0	0									
29636	0	0					1706	151878	349283					20045			0	90551	0	0	94836									
29878	50165	0					2178	65736	0					0			0	0	0	0	0									
30052	0	0					113	0	1706					189			0	0	0	0	0									
30502	0	0					2911	0	257133					32918			0	36284	15102	0	31302									
30650	0	0					374	0	18606					0			0	7282	0	0	0									
30810	0	1179402					0	131021	3695178					21922630			4600	0	871928	0	0									
30874	0	0					6285	144528	135826					99903			0	0	0	0	30000									
31134	0	0					347	0	14511					5000			0	11701	0	0	0									
31255	0	0					2482	0	99542					32000			0	28442	0	0	2829									
31657	0	0					255	60568	0					0			0	0	0	0	0									
31826	0	0					829	0	65029					0			0	36555	149	0	0									
31835	0	3019					1347	2210	32180					2500			2210	14873	791	0	0									
32234	0	5004					82	0	38161					0			0	3476	2278	0	16446									
32766	0	0					24	12700	11					0			12700	0	0	0	0									
32971	0	0					1350	8	38829					18236			0	33714	7	0	0									
33147	0	0					2651	0	20037					20809			0	4953	0	0	0									
33259	0	45585					799	0	49434					0			0	2679	0	0	0									
33268	0	0					0	0	75167					0			0	48764	0	0	0									
33370	0	0					463	3258	0					1546			0	0	0	0	0									
33839	0	0					122	0	6748					0			0	4846	0	0	0									
33857	0	0					1559	0	107092					19554			0	32405	0	0	0									
34425	0	0					2574	0	51180					35000			0	25862	0	0	6012									
34434	0	0					431	11089	31401					0			11089	0	0	0	0									
34452	0	0					57	22	48035					0			0	30684	0	0	0									
34537	0	100					16684	198231	905183					50000			0	59520	6500	0	210860									
34555	0	0					3642	0	104146					3800			0	62572	0	0	0									
34742	0	0					1123	0	12059					9000			0	4892	0	0	0									
34836	0	0					0	0	5203					0			0	2307	0	0	0									
35057	0	1006					1430	0	9126					4600			0	3912	0	0	0									
35301	17503625	5848597	617486	1529169	855420	1459706	377258	26486058	53098788	0	158731383	33215498	104125453	1705187	4619082	494208	0	10026167	3232	3642847	4144851	37878	5033937	550340	13200061	2087803	10774797	214424	4728914	
35570	0	0					190240	1887000	1309853					3461582			38868	0	4843	0	155938									
35646	0	0					111	20141	5833					0			20141	4838	0	0	0									
35879	0	0					1244	0	73762					19237			0	18102	0	0	0									
36456	0	0					277	0	23447					0			0	11394	0	0	0									
36933	0	0					103	0	14551					0			0	3942	0	0	0									
37051	0	0					280	0	4392					0			0	487	0	0	0									
37341	0	0					19	1217	1103					0			1217	0	0	0	0									
37435	0	0					1025	4000	412712					0			4000	51502	3041	0	0									
37640	0	0					13048	0	712068					219660			0	236283	0	0	19330									
37659	0	0					0	2616	574					0			2616	0	0	0	0									
37743	0	0					276	0	16648					0			0	12005	0	0	0									
37949	0	0					205	0	90591					0			0	56465	0	0	7484									
38740	0	0					853	0	25886					10000			0	7205	0	0	0									
39327	39991	40819					0	85175	41166					0			21391	347	0	0	5845									
39756	0	0					1285	0	42616					13136			0	9057	0	0	4779									
40033	0	0					231	70	16490					0			0	8182	0	0	0									
40350	0	0					250	1192	7257					6930			1192	127	3	0	0									
40499	0	0					18874	62461	120905					269597			25965	0	0	0	0									
40855	0	0					627	0	24787					8033			0	9804	0	0	0									
41245	0	802					45	1110	11180					0			1110	9019	0	0	1525									
41553	500	1044					207	14037	51027					0			13534	0	0	0	0									
41629	0	0					880	0	6235					13500			0	3114	0	0	0									
41825	0	1007					427	0	49278					5000			0	8246	0	0	0									
41937	0	0					174	0	31350					0			0	11867	0	0	188									
41955	0	0					215	2	9659					1161			0	1560	0	0	0									
42037	0	0					0	0	11946					0			0	5248	0	0	0									
42354	0	0					88	0	73294					0			0	17654	0	0	0									
42372	0	0					309	0	29569					0			0	8370	0	0	0									
42420	0	0					62803	396444	868490					1418175			33893	27832	0	0	109742									
42448	0	0					6184	0	105218					85000			0	90097	1532	0	0									
42457	0	0					64	6855	10050					0			6606	0	1953	0	0									
43052	0	0					446	0	18465					0			0	7478	113	0	0									
43351	0	0					0	0	2833					2000			0	1250	0	0	0									
43856	0	997					463	2109	17511					0			2109	8454	0	0	0									
43959	0	0					66	0	102674					0			0	33158	0	0	0									
44040	0	0					883	0	102102					0			0	38123	0	0	0									
44433	0	0					3031	0	67801					40000			0	12794	0	0	495									
44741	0	0					1643	2166	90825					0			2166	39720	48	0	20984									
44750	0	0					1002	0	27839					0			0	13253	0	0	0									
44929	0	13536					1237	0	33739					0			0	8109	0	0	0									
45038	0	0					313	706	36737					0			706	20313	0	0	12615									
45047	0	0					535	0	13234					0			0	0	0	0	0									
45056	0	0					195	8342	6981					0			8336	151	0	0	0									
45430	0	0					664	11135	19568					1596			11135	0	0	0	0									
45458	0	0					552	0	14590					8027			0	2954	27	0	0									
45551	0	0					2558	0	46225					18100			0	32963	0	0	0									
45560	0	0					9259	182201	342903					140075			21119	37747	0	0	0									
45775	0	0					687	4539	5366					14000			1497	532	0	0	0									
46053	0	0					2308	0	47251					0			0	15221	0	0	0									
46941	0	0					524	3151	21919					2579			3151	709	0	0	0									
47247	0	0					1835	379	73967					40100			377	29978	0	0	0									
47256	0	0					214	0	100					0			0	0	0	0	0									
47452	494	12335					36	494	14658					2000			0	398	0	0	0									
47500	0	1020					2448	0	69084					27500			0	37782	16416	0	0									
48057	0	10200					178	0	40991					0			0	15054	0	0	0									
48150	0	0					246	0	4050					0			0	1580	6	0	0									
48374	0	0					8547	0	23694					113000			0	1109	3088	0	890									
48440	0	0					378	1429	32263					600			1429	16111	0	0	0									
49054	0	0					935	0	8666					7917			0	1168	0	0	0									
49148	0	0					422	0	48917					0			0	15622	0	0	0									
49241	0	0					3460	56539	17911					16478			9146	12306	0	0	0									
49344	0	1002					1197	500	22975					18450			0	10930	0	0	0									
49652	0	0					483	0	51589					6679			0	35298	0	0	0									
49821	0	0					2256	0	204275					28667			0	64266	0	0	8000									
49858	0	0					503	0	9271					7000			0	0	0	0	0									
49951	0	0					247	0	10192					0			0	200	0	0	0									
50144	0	0					285	40387	0					0			11428	0	0	0	0									
