"IDRSSD"	RCFDF236	RCFDF237	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFDK652	RCFDK653	RCFDK654	RCFDK655	RCFDK656	RCFDK657	RCFDK658	RCFDK659	RCFDK660	RCFDK661	RCFDK663	RCFDK664	RCFDK665	RCFDK666	RCFDK667	RCFDK668	RCFDK669	RCFDK670	RCFDK671	RCFDK672	RCFDK673	RCFDK674	RCFDK675	RCFNF234	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ944	RCONJ945	RCONK652	RCONK653	RCONK654	RCONK655	RCONK656	RCONK657	RCONK658	RCONK659	RCONK660	RCONK661	RCONK663	RCONK664	RCONK665	RCONK666	RCONK667	RCONK668	RCONK669	RCONK670	RCONK671	RCONK672	RCONK673	RCONK674	RCONK675	RCONK676	RCONK677	RCONK678	RCONK679	RCONK680	RCONK681	RCONK682	TEXTA545	
933340																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	7222	233	312	1	61056	4433	11522	23	80112	0	0	0	0	0	0	0	0	0	0	1339	4	87453	1	8072	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
933377																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	18344	1141	1130	3	215321	19186	164015	199	398810	0	0	0	0	0	0	0	0	0	0	13329	28	515167	1	39649	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
933621																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF		645703	0	74294	2891	15403	41	1226130	71760	669443	1078	1985270	0	0	0	0	0	0	0	0	0	0	124153	207	2361244	1	231499	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
933863																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	17026	495	2414	7	385930	14959	251008	376	656378	0	0	0	0	0	0	0	0	0	25022	39369	64	879108	1	114759	1659	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
933957	1909236	14303	0	0	0	0	0	0	0	0	2273012	1	279954	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF	14303	333521	0	39910	2468	2447	8	1029432	85129	823144	961											0	369503	397											CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
933966																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF		2069483	0	20872	1058	2613	9	1778959	58271	2800566	2918	4603011	0	0	0	0	0	0	0	0	0	300280	1061490	1281	6414279	1	707620	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
933975																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	10994	519	1539	5	343016	25137	264716	353	620265	0	0	0	0	0	0	0	0	0	3130	49631	88	728562	1	85654	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
934329																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF		6303012	0	13302	1024	2465	5	1575122	66315	9810654	4308	11401544	0	0	0	0	0	0	0	0	30000	0	2484726	401	13077616	1	897843	0	false			true	3782403	104036	CONF	CONF	CONF	CONF	CONF	CONF	0	0	0	0	CONF	CONF	CONF	5985	0	3017719	0	0	0	0		
934646																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1833	47	314	1	52827	5383	20995	22	75969	0	0	0	0	0	0	0	0	0	0	796	2	92084	2	17584	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
934954																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	7402	1066	305	1	92122	8503	17978	37	117807	0	0	0	0	0	0	0	0	0	0	3318	8	156323	1	11626	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
935111																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	9664	815	1392	3	189778	17821	45018	76	245852	0	0	0	0	0	0	0	0	0	0	6591	13	290699	1	26862	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
935250																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	45191	2478	1051	3	323117	31165	54733	101	424092	0	0	0	0	0	0	0	0	0	0	14268	47	473017	1	40836	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
935308																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	3652	263	0	0	279359	18770	35318	41	318330	0	0	0	0	0	0	0	0	0	0	3063	5	554078	1	28224	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
935559																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	13100	464	998	3	159712	13545	54632	61	228442	0	0	0	0	0	0	0	0	0	0	10161	16	259947	1	28872	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
