"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDJA29	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONJA29	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONN517	RCONN518	RCONN519	RCONN520	RCONN521	RCONN522	RCONN523	RCONN524	RCONN527	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
28013																																		1405	850	122080	129	480293	true	1276	0	0	0	0	850	706	0	129	0	true	0	5690	0	122080	188502	127500	12500	0	5690	0	0	24021	0	5690	true	false	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	true																										www.enorthfield.com	
28152																																		0	78	508	0	670	true	0	0	0	78	0	0	419	0	0	0	true	0	0	0	508	17	18	127	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												www.facebook.com/harvestbankmn																www.harvestbankmn.com	
28255																																		0	1410	0	0	0	true	0	1059	283	0	0	68	6574	3	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0																																																			http://www.fnbsotx.com	
28406																																		2004	3649	100000	1598	170000	true	406	0	0	3649	0	0	0	0	1598	0	false	0	0	0	110000	60000	0	0	10000	0	0	0	0	0	0	false	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												www.nantucketbank.com	Nantucket Bank, a Division of Blue Hills Bank															https://www.bluehillsbank.com/	
28675																																		296	0	10000	296	10000	true	0	0	0	0	0	0	106	0	296	0	false	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	true																										www.cumberlandfederal.com	
28732																																		0	0	0	0	0		0	0	0	0	0	0	2284	2	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0					0																																														www.bankwithpeoples.com	
29476																																		0	135	3148	0	4851		0	0	0	135	0	0	1227	1	0	0			0	0	3148	1703	0	0	0	0	0	0	0	0	0					0																																														eriverbank.com	
29636																																		0	3435	0	0	22	true	0	315	1019	159	0	1942	303	0	0	0	false	0	0	0	0	0	0	0	0	0	3	19	0	0	22	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.thecitizensbankphila.com	
29878																																		0	6408	0	0	0	true	0	1104	0	3136	1675	493	2089	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	true																										www.maspethfederal.com	
30052																																		0	0	0	0	158	true	0	0	0	0	0	0	135	0	0	0			0	0	0	0	0	158	0	0	0	0	0	0	0																																																			http://www.amistadbank.com	
