"IDRSSD"	RCFDF236	RCFDF237	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFDK652	RCFDK653	RCFDK654	RCFDK655	RCFDK656	RCFDK657	RCFDK658	RCFDK659	RCFDK660	RCFDK661	RCFDK663	RCFDK664	RCFDK665	RCFDK666	RCFDK667	RCFDK668	RCFDK669	RCFDK670	RCFDK671	RCFDK672	RCFDK673	RCFDK674	RCFDK675	RCFNF234	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ944	RCONJ945	RCONK652	RCONK653	RCONK654	RCONK655	RCONK656	RCONK657	RCONK658	RCONK659	RCONK660	RCONK661	RCONK663	RCONK664	RCONK665	RCONK666	RCONK667	RCONK668	RCONK669	RCONK670	RCONK671	RCONK672	RCONK673	RCONK674	RCONK675	RCONK676	RCONK677	RCONK678	RCONK679	RCONK680	RCONK681	RCONK682	TEXTA545	
1557																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1922	284	0	0	36550	2629	14257	28	52729	0	0	0	0	0	0	0	0	0	0	7117	10	61164	1	5767	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1669																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	11575	495	400	1	134789	12249	47405	45	194169	0	0	0	0	0	0	0	0	0	0	18466	15	245229	1	41893	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1829																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	19480	1623	3940	6	238310	23505	74773	116	336503	0	0	0	0	0	0	0	0	0	1710	25644	41	409028	1	32902	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1856																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	0	0	0	0	68866	824	0	0	68866	0	0	0	0	0	0	0	0	0	0	0	0	147076	1	22272	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2040																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	7953	446	0	0	110955	8041	29081	52	147989	0	0	0	0	0	0	0	0	0	10450	4084	11	205116	2	20410	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2161																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	7005	303	0	0	73919	6953	35150	40	116074	0	0	0	0	0	0	0	0	0	0	5603	9	131923	1	14194	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2376																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF		144000	0	76148	3879	1798	6	1032318	51693	264671	487	1374936	0	0	0	0	0	0	0	0	0	0	18359	33	2567994	1	409726	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2554																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	27	2	0	0	9133	585	1172	2	10332	0	0	0	0	0	0	0	0	0	0	422	1	11691	2	883	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2732																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	14999	584	589	2	227209	10257	202489	207	445286	0	0	0	0	0	0	0	0	0	0	33325	46	520375	1	74196	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2750																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1948	118	0	0	32302	2150	10501	21	44751	0	0	0	0	0	0	0	0	0	0	860	2	59768	1	5482	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3252																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	5956	254	261	1	66185	6493	50720	53	123122	0	0	0	0	0	0	0	0	0	4614	28476	27	155979	1	19186	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3458																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	634	24	0	0	19135	1802	5975	10	25744	0	0	0	0	0	0	0	0	0	0	629	2	33406	1	3296	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3720																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	6964	292	638	2	110525	12252	48679	57	166806	0	0	0	0	0	0	0	0	0	0	4836	9	198159	1	28720	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3953																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	0	0	0	0	39025	2514	11996	21	51021	0	0	0	0	0	0	0	0	0	0	8628	10	53686	1	1539	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
4156																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	5847	281	923	3	126968	9156	33262	47	167000	0	0	0	0	0	0	0	0	0	12747	7043	12	195193	1	17936	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
4231																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	12190	312	7539	20	76502	6602	17553	23	113784	0	0	0	0	0	0	0	0	0	0	4113	6	124848	1	14711	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
4437																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	11247	601	609	2	169862	15078	49787	81	231505	0	0	0	0	0	0	0	0	0	4489	7401	15	260581	1	26007	604	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
4839																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	8995	417	1670	2	206969	36592	47686	77	265397	77	0	0	0	0	0	0	0	0	0	5261	12	321959	1	31776	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5005																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	20154	1136	521	2	208705	16985	30311	69	259691	0	0	0	0	0	0	0	0	0	0	3551	9	331419	1	13471	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5069																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	969	27	535	2	211340	1870	102640	167	315484	0	0	0	0	0	0	0	0	0	0	14035	22	449169	1	123115	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5135																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	16574	1010	820	3	191128	13650	91911	120	300433	0	0	0	0	0	0	0	0	0	0	16043	22	337272	1	38486	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5210																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	59798	7747	1374	5	620124	12707	104830	180	786127	0	0	0	0	0	0	0	0	0	1659	19419	35	998268	1	82456	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5331																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	8020	731	291	1	161338	10843	45529	81	235281	20103	0	0	0	0	0	0	0	0	6383	15760	13	401468	1	37002	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5461																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	4184	190	1141	1	190770	12451	207553	245	403648	0	0	0	0	0	0	0	0	0	16293	48698	80	471104	1	44799	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5751																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	5042	199	0	0	48171	3295	44043	43	97256	0	0	0	0	0	0	0	0	0	0	1704	5	114656	1	26256	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
6039																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	7678	531	605	2	50708	4613	21553	28	80544	0	0	0	0	0	0	0	0	0	0	6416	9	86428	1	8830	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
6141																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1241	49	0	0	28496	2273	27880	32	57617	0	0	0	0	0	0	0	0	0	0	16264	12	57814	1	4924	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
6329																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	12840	613	1630	4	304388	28206	75765	167	394623	0	0	0	0	0	0	0	0	0	0	18684	34	435560	1	29492	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
6972																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	27771	1405	540	2	427190	36028	224631	325	680132	0	0	0	0	0	0	0	0	0	13294	93358	95	794178	1	95919	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
7009																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	999	20	24385	7	142050	4682	500464	459	667898	0	0	0	0	0	0	0	0	0	0	59268	2	740673	1	49470	0	false			true	362714	64592	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
7045																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	5762	415	920	2	74539	9081	57689	47	138910	0	0	0	0	0	0	0	0	0	0	9599	11	145159	1	15153	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
7157																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	3280	107	272	1	30061	3027	10604	12	44217	0	0	0	0	0	0	0	0	0	0	2819	2	48175	1	4273	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
7456																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2715	378	0	0	38030	3883	12645	22	53414	24	0	0	0	0	0	0	0	0	0	3487	7	58164	1	4606	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
7634																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	4498	181	264	1	45567	2637	4481	9	54810	0	0	0	0	0	0	0	0	0	0	510	1	61559	2	5295	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
8033																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	5608	178	0	0	100171	4980	29171	44	134950	0	0	0	0	0	0	0	0	0	0	9671	14	166629	2	16074	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
8462																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	3682	162	757	2	56641	5135	76010	82	137090	0	0	0	0	0	0	0	0	0	0	25406	25	146078	1	14952	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
8631																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2735	110	427	1	41970	3675	6424	14	51556	0	0	0	0	0	0	0	0	0	0	1978	5	58027	1	6549	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
9357																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	674	61	0	0	80059	3920	190295	217	271028	0	0	0	0	0	0	0	0	0	0	53229	84	397154	1	42438	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
9553																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	6891	224	0	0	55865	4499	17830	36	80587	0	0	0	0	0	0	0	0	0	0	5826	9	116460	2	9339	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
9807																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF		283506	0	65676	2840	4222	13	1123100	47512	574157	530	1767155	0	45999	0	0	0	0	0	0	0	0	100587	116	2330449	1	293758	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
9955																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1923	189	0	0	60379	6229	30189	40	92491	0	0	0	0	0	0	0	0	0	0	4746	9	107444	1	12322	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
10250																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	48818	2333	2607	9	230701	28827	67522	135	349648	0	0	0	0	0	0	0	0	0	2257	15063	24	380681	1	15689	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
10849																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	8845	363	266	1	181453	5204	41578	64	232142	0	0	0	0	0	0	0	0	0	0	23019	23	262932	1	24549	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
10858																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	6586	701	284	1	182181	20036	126740	129	315791	0	0	0	0	0	0	0	0	0	12879	19886	38	391797	1	30381	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
11145																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	7116	367	1693	3	95801	13869	37122	58	141732	0	0	0	0	0	0	0	0	0	0	2145	6	168397	1	15707	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
11640																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	14547	581	2909	9	141982	9719	107216	129	266654	0	0	0	0	0	0	0	0	0	0	26022	36	319340	1	31331	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
11837																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	4017	237	0	0	48657	3559	32376	17	85050	0	0	0	0	0	0	0	0	0	0	0	0	97725	1	10996	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12030																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	22579	1047	1767	6	195054	16943	55052	86	274452	0	0	0	0	0	0	0	0	0	0	30340	34	305618	2	37423	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12142																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	7767	304	350	1	112949	10022	34178	78	155244	0	0	0	0	0	0	0	0	0	0	11760	23	182685	1	20667	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12245																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	7241	324	0	0	76546	9049	10554	23	94341	0	0	0	0	0	0	0	0	0	2454	933	2	116339	1	13248	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12311	53638513	8524325	29300	0	0	35000	64960	144226	111953	838905	54393339	1	4222256	0	false			true	5252834	134812	CONF	CONF	CONF	CONF	CONF	CONF	125	129804	0	0	CONF	CONF	CONF	8524325	8053097	0	1233930	8895	24108	73	26642946	2833616	17213204	13275											294861	6589614	4106											CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF	402243	13454	506057	27261	49742	79926	4614		
12647																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	5305	199	252	1	41147	3967	45978	36	92682	0	0	0	0	0	0	0	0	0	0	6475	12	102931	1	9978	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12656																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	726	39	0	0	14272	1440	259	1	15257	0	0	0	0	0	0	0	0	0	0	0	0	16844	1	1408	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12937																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	4469	164	2122	3	76404	4699	98678	80	181673	0	0	0	0	0	0	0	0	0	0	69584	28	225732	1	32658	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12946																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	29006	936	2572	6	352826	25468	250147	262	634551	0	0	0	0	0	0	0	0	0	399	45943	55	725329	2	64230	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12955																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	5483	266	0	0	67429	7485	31225	46	104137	0	0	0	0	0	0	0	0	0	0	4181	10	120513	1	12350	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
13103																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF		194463	0	55962	3142	6628	17	555975	47167	411071	438	1029636	0	0	0	0	0	0	0	0	0	0	42514	75	1311010	1	168876	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
13251																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2116	369	553	1	31576	2225	2418	3	37216	553	0	0	0	0	0	0	0	0	0	0	0	40625	1	3657	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
13457																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1033	69	0	0	11888	1319	2101	5	15022	0	0	0	0	0	0	0	0	0	0	0	0	21075	1	5681	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
14052																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2392	106	537	2	43502	5718	7947	16	54378	0	0	0	0	0	0	0	0	0	0	3283	5	61045	1	6593	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
14155																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	4775	307	272	1	73390	9875	19153	24	97771	181	0	0	0	0	0	0	0	0	1191	5278	5	117208	1	14331	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
14650																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1327	58	0	0	18171	2448	3341	5	22839	0	0	0	0	0	0	0	0	0	0	252	1	26469	1	2898	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
14753																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	3987	150	0	0	28469	3294	6120	10	38576	0	0	0	0	0	0	0	0	0	0	2197	4	42033	1	2604	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
14865																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	10532	556	0	0	166396	17244	53672	85	230600	0	0	0	0	0	0	0	0	0	11525	10857	20	261499	1	27771	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
14977																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2695	110	0	0	30325	1585	5148	13	38168	0	0	0	0	0	0	0	0	0	0	292	1	45516	1	7582	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
16458																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	9726	625	1568	4	156536	14682	91601	108	259431	0	62	0	0	0	0	0	0	0	0	14788	20	289060	1	32576	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
16551																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	22358	1371	3097	10	139167	16824	36652	54	201274	0	0	0	0	0	0	0	0	0	0	14220	13	233023	1	19871	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
