"IDRSSD"	RCONK123	RCONK124	RCONK125	RCONK126	RCONK127	RCONK128	RCONK130	RCONK131	RCONK132	RCONK138	RCONK139	RCONK140	RCONK213	RCONK214	RCONK215	RCONK216	RCONK217	RCONK218	RCONK257	RCONK258	RCONK259	RCONK274	RCONK275	RCONK276	RCONK277	RCONK278	RCONK279	RCONK280	RCONK281	RCONK282	RCONL183	RCONL184	RCONL185	RCONL186	RCONL187	RCONL188	
	LN RSTR CMRL IND LN NUS ADR PD 30 - 	LN RSTR CMRL IND LN NUS ADR PD 90	LN RSTR CMRL IND LN NUS ADR NACRL	LN RSTR ALL OTHR LN LEASE PD 30 - 89	LN RSTR ALL OTHR LN LEASE PD 90	LN RSTR ALL OTHR LN LEASE NACRL	ITEMIZE LN FARM PD 30 - 89	ITEMIZE LN FARM PD 90	ITEMIZE LN FARM NACRL	ITEMIZE LN FINANCE AGRI FARM PD 30 -	ITEMIZE LN FINANCE AGRI FARM PD 90	ITEMIZE LN FINANCE AGRI FARM NACRL	AUTO LN TO IND HH FAM PD 30 - 89	AUTO LN TO IND HH FAM PD 90	AUTO LN TO IND HH FAM NONACCRUAL	OTHR LN TO IND HH FAM PD 30 - 89	OTHR LN TO IND HH FAM PD 90	OTHR LN TO IND HH FAM NONACCRUAL	LN RSTR CMRL IND LN PD 30 - 89	LN RSTR CMRL IND LN PD 90	LN RSTR CMRL IND LN NACRL	CREDIT CARD LN HOUSE FAMILY PD 30 - 	CREDIT CARD LN HOUSE FAMILY PD 90	CREDIT CARD LN HOUSE FAMILY NACRL	ITEMIZE AUTO LN HOUSE FAMILY PD 30 -	ITEMIZE AUTO LN HOUSE FAMILY PD 90	ITEMIZE AUTO LN HOUSE FAMILY NACRL	OTHR CNSMR LN HOUSE FAMILY PD 30 - 8	OTHR CNSMR LN HOUSE FAMILY PD 90	OTHR CNSMR LN HOUSE FAMILY NACRL	PURCH CREDIT IMPR LN BAL PD 30 - 89	PURCH CREDIT IMPR LN BAL PD 90	PURCH CREDIT IMPR LN BAL NACRL	PURCH CREDIT IMPR LN CARRY PD 30 - 8	PURCH CREDIT IMPR LN CARRY 90	PURCH CREDIT IMPR LN CARRY NACRL	
13251				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
13457				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
14155				0	0	0	0	0	0	0	0	0	79	1	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
14650				0	0	1	0	0	0				36	40	13	81	32	12	0	0	0	0	0	0	0	0	0	0	0	1							
14753				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
14865				0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	163	0	0	0	0	0	0	0	0	0							
14977				0	0	0	0	0	0	0	0	0	92	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
16551				0	0	0	0	0	0	0	0	0	18	0	5	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0							
16748				0	0	0	0	0	0				0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0							
17110				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
17147	0	0	0	0	0	0	0	0	0	0	0	0	144	0	8	248	0	10	0	0	239	0	0	0	0	0	0	0	0	0							
17259				0	0	0	0	0	0	0	0	0	48	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
17950				0	0	0	0	0	0	0	0	0	41	0	0	34	0	0	0	0	33	0	0	0	0	0	0	0	0	0							
17978				0	0	0	0	0	0	0	0	0	45	0	0	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0							
18050				0	0	0	0	0	0	0	0	0	13	0	0	171	13	0	0	0	0	0	0	0	0	0	0	0	0	0							
18135				0	0	0	0	0	0				0	0	0	0	0	29	0	0	157	0	0	0	0	0	0	0	0	0							
18827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	143	0	0	0	0	0	0	0	0	0							
18836				162	0	90	162	0	0	0	0	0	32	0	0	320	49	90	0	0	0	0	0	0	0	0	0	0	0	90							
18854	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
19356				0	0	0	0	0	0				86	0	28	36	19	0	0	0	0	0	0	0	0	0	0	0	0	0							
19936				0	0	19	0	0	0	0	0	0	53	0	68	36	0	53	0	0	128	0	0	0	0	0	0	0	0	0							
19972				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20053				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
20633				0	0	0	0	0	0				0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0							
20857				0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
21256				0	0	0	0	0	0				0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
21359				0	0	0	0	0	0	0	0	0	5	3	0	0	16	8	0	0	0	0	0	0	0	0	0	0	0	0							
21658				0	0	0	0	0	0	0	0	0	41	0	7	82	0	50	0	0	0	0	0	0	0	0	0	0	0	0							
22048				8	0	0	0	0	0				55	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
22543				0	0	0	0	0	0				0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0							
22552				0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	73	0	0	0	0	0	0	0	0	0							
22730				0	0	0	0	0	0				0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
22936				0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
23456				0	0	0	0	0	0	0	0	0	64	0	0	117	11	0	0	0	0	0	0	0	0	0	0	0	0	0							
