"IDRSSD"	RCON9224	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	ID_LEI	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
213538		20190331	BANK OF ABBEVILLE & TRUST COMPANY	11782	ABBEVILLE	LA	70510	
213912		20190331	The Apple Creek Banking Company	737	Apple Creek	OH	44606	
213958	549300X6N7SHY5D9U195	20190331	CITIZENS STATE BANK OF WAVERLY, INC	9337	WAVERLY	MN	55390	
214106	549300G0QSZVT1E3RS89	20190331	The Bank Of Greene County	21591	Catskill	NY	12414	
214414		20190331	FARMERS AND MERCHANTS STATE BANK	5969	ARCHBOLD	OH	43502	
214722	254900YJPIZ3RCMEM452	20190331	Chesapeake Bank	6862	Kilmarnock	VA	22482	
214807	8EWQ2UQKS07AKK8ANH81	20190331	DEUTSCHE BANK TRUST COMPANY AMERICAS	623	New York	NY	10005	
214843		20190331	First National Bank In Creston, The	4444	Creston	IA	50801	
215345	254900U7G0LJ4QNSFC86	20190331	Manufacturers Bank & Trust Company	16307	Forest City	IA	50436	
215354		20190331	Meramec Valley Bank	19200	Valley Park	MO	63088	
215653		20190331	Welcome State Bank	11417	Welcome	MN	56181-0238	
215662	5493006XE7ZLYUW25E11	20190331	American Bank Of Commerce	18609	Wolfforth	TX	79382	
215710		20190331	The Juniata Valley Bank	7614	Mifflintown	PA	17059	
216164		20190331	First State Bank	24498	Graham	TX	76450	
216230		20190331	FIRST NATIONAL BANK NW FL	25122	PANAMA CITY	FL	32405	
216632	549300438JG7EP075C16	20190331	Columbia Bank	5677	Lake City	FL	32056	
216922	254900L67A0ZTJRS6614	20190331	FIRST BANK	15019	Southern Pines	NC	28387	
217059	549300TIX8J3RRFKXZ81	20190331	First Farmers & Merchants Bank Cannon Falls	10168	Cannon Falls	MN	55009	
218131	549300Y5CMBB4R90KT81	20190331	CBBC Bank	21227	Maryville	TN	37802	
218261		20190331	ZAPATA NATIONAL BANK	18454	ZAPATA	TX	78076	
218850		20190331	STATE BANK OF ODELL	10644	ODELL	NE	68415	
218878	549300BGIT0LFI12Z304	20190331	SECURITY BANK, S.B.	27723	SPRINGFIELD	IL	62701	
219044		20190331	Collins State Bank	14914	Collins	WI	54207	
219343	549300SP2BPE296CC590	20190331	The Bank of Edwardsville	1039	Edwardsville	IL	62025	
219651		20190331	CNB Bank	2241	Carlsbad	NM	88220	
219679		20190331	Carrollton Federal Bank	29774	Carrollton	KY	41008	
220059	25490099UNYWX2PZ4J91	20190331	WNB FINANCIAL, N.A.	5280	WINONA	MN	55987	
220527	5493006HXEF6V2NZED40	20190331	Peoples Bank	5956	Newton	NC	28658	
220844	254900JG0TE6ZVYQ7857	20190331	DENVER SAVINGS BANK	12857	DENVER	IA	50622	
220974		20190331	First Federal Bank	29782	Dickson	TN	37055	
221775		20190331	Interamerican Bank, A Federal Savings Bank	31823	Miami	FL	33165	
222156		20190331	First State Bank Of Wyoming	1609	Wyoming	MN	55092	
222446	5493004OOUJA3N8LL077	20190331	Denmark State Bank	13240	Denmark	WI	542080130	
222558		20190331	Bank Of Baker, The	352	Baker	MT	59313	
222754	549300ZTZPT51D3DK456	20190331	First Westroads Bank, Inc.	19742	Omaha	NE	68118	
223005		20190331	Putnam Bank	18240	Putnam	CT	06260	
223322		20190331	The First Bank and Trust Company	22918	Lebanon	VA	24266	
223331	MXUKQJKNI44KEXCGF743	20190331	MIDSOUTH BANK, NATIONAL ASSOCIATION	25884	LAFAYETTE	LA	705023745	
223452		20190331	Peoples Bank Of Wyaconda	15415	Kahoka	MO	63445	
223751	549300JT42BM03B8DD11	20190331	Belt Valley Bank	15362	Belt	MT	59412	
223845		20190331	Danville State Savings Bank	14772	New London	IA	52645	
224552		20190331	Almena State Bank	15426	Almena	KS	67622	
224954		20190331	HEADWATERS STATE BANK	09035	LAND O'LAKES	WI	54540	
225054		20190331	ANDOVER STATE BANK	16410	ANDOVER	KS	67002	
225157		20190331	Ultima Bank Minnesota	08867	Winger	MN	56592	
225241		20190331	STATE BANK OF BURNETTSVILLE	14061	BURNETTSVILLE	IN	47926	
225335		20190331	Countryside Bank	21952	Countryside	IL	60525	
225559	5493001EXVWX6Q13MY44	20190331	Bank of Bartlett	23123	Bartlett	TN	38134	
225942		20190331	Heritage Bank	18463	Marion	IA	52302	
226949		20190331	Grand Rivers Community Bank	10816	Grand Chain	IL	62941	
227151		20190331	Union State Bank	1869	Arkansas City	KS	67005	
227357		20190331	Brenham National Bank, The	3113	Brenham	TX	77833	
227656		20190331	Brighton Bank	9189	Brighton	TN	38011	
227777	549300686RMBOL8Y1T93	20190331	Milford Federal Bank	29835	Milford	MA	01757	
228000		20190331	Franklin Savings Bank	19836	Farmington	ME	04938	
228055		20190331	Farmers Security Bank	9122	Washburn	ND	58577	
228158		20190331	First Midwest Bank Of Poplar Bluff	19212	Poplar Bluff	MO	63901	
228279	549300KTSX5SM2W0VV58	20190331	Crossroads Bank	29839	Wabash	IN	46992	
228345	254900KSSD1QWXBEPB68	20190331	State Bank Of Newburg	9529	Newburg	WI	53060	
229070		20190331	First Federal Savings And Loan Association Of San Rafael	31406	San Rafael	CA	94901	
229173		20190331	Auburn Savings Bank, FSB	28288	Auburn	ME	04210	
229342		20190331	State Bank & Trust Co.	15651	Nevada	IA	502010327	
229454		20190331	FIRST STATE BANK OF BROWNSBORO	11181	BROWNSBORO	TX	75756	
229801	KI0VI4JRMCIJ329YTN75	20190331	Valley National Bank	9396	Passaic	NJ	07055	
229913	51KMXRLB0RIEGI0WJN58	20190331	Mizuho Bank (USA)	21843	New York	NY	100201104	
230423		20190331	THE FIRST CITIZENS NATIONAL BANK	14355	UPPER SANDUSKY	OH	43351	
230610		20190331	Hocking Valley Bank	18858	Athens	OH	45701	
230759		20190331	International Bank of Commerce - Brownsville	25679	Brownsville	TX	78522	
231149		20190331	State Bank	15503	New Hampton	IA	50659	
231279		20190331	CHESTER NATIONAL BANK	30220	CHESTER	IL	62233	
231336	549300YJEIYIINWT8473	20190331	The First National Bank of McHenry	20081	McHenry	IL	60050	
231671		20190331	Washington Savings Bank	29281	Philadelphia	PA	19154	
232847	549300EL0TXZ1J1WU248	20190331	First State Bank Shannon-Polo	1781	Shannon	IL	61078	
232856		20190331	Texas Bank	19559	Brownwood	TX	76801	
233031		20190331	Regions Bank	12368	Birmingham	AL	35203	
233246		20190331	First Community Bank	14904	Newell	IA	505680295	
233358		20190331	Citizens National Bank At Brownwood	14779	Brownwood	TX	76801	
233442		20190331	Iuka State Bank, The	11317	Iuka	IL	62849	
233527		20190331	BLUE RIDGE BANK NATIONAL ASSOCIATION	35274	MARTINSVILLE	VA	24112	
233554		20190331	Western State Bank	09123	Devils Lake	ND	58301	
234355		20190331	Central National Bank	4702	Junction City,	KS	66441	
234506		20190331	The National Bank Of Coxsackie	7018	Coxsackie	NY	12051	
234739	54930095LY1EDFTWAG29	20190331	First Volunteer Bank	10307	Chattanooga	TN	37402	
234841		20190331	New Albin Savings Bank	8506	New Albin	IA	521600008	
235174		20190331	Mutual Federal Bank	28302	Chicago	IL	60608	
235231		20190331	Union Bank	6088	Jamestown	TN	38556	
235316		20190331	Rockhold Bank	16193	Bainbridge	OH	45612	
235446		20190331	Shelby County State Bank	11702	Shelbyville	IL	62565	
235530	254900ZOIZTP7ZF6AH17	20190331	Resource Bank, N.A.	3701	DeKalb	IL	60115	
235558		20190331	CITIZENS STATE BANK	18724	CARLETON	NE	68326	
235950		20190331	Johnson State Bank	15237	Johnson	KS	67855	
236153	5493002LPXKMOZNXUY90	20190331	First International Bank & Trust	10248	Watford City	ND	58854	
236256		20190331	Bank Of Brookfield-Purdin National Association	9385	Brookfield	MO	64628	
236603		20190331	Delaware National Bank Of Delhi, The	7025	Delhi	NY	13753	
236706	549300FZJCP0WM3QJH15	20190331	Peapack-Gladstone Bank	11035	Bedminster	NJ	07921	
236957		20190331	UPPER PENINSULA STATE BANK	1090	Escanaba	MI	49829	
237066		20190331	WEST TEXAS NATIONAL BANK	22957	Midland	TX	797055525	
237619	549300256FCWXUM5FR50	20190331	Pioneer Savings Bank	20741	Albany	NY	12211	
237954		20190331	IDABEL NATIONAL BANK	4241	IDABEL	OK	74745	
238139	549300VBLC1LTYHXGB54	20190331	First Bank of Manhattan	3702	Manhattan	IL	60442	
238250		20190331	Peoples State Bank	13196	Westhope	ND	58793	
238737		20190331	Terrabank, National Association	26442	Miami	FL	33145	
239275	549300M43WLX8F5V6M79	20190331	Entegra Bank	31445	Franklin	NC	28744	
239556		20190331	First Bank Upper Michigan	14276	Gladstone	MI	49837	
239613	2549001VTOPU7JA6G249	20190331	FNCB Bank	7472	Dunmore	PA	18512	
239659	549300LO3MP4RAI32X70	20190331	First Bank	3121	Burkburnett	TX	763540458	
239752		20190331	First National Bank of Chadron	16859	Chadron	NE	69337	
240954		20190331	First National Bank of Burleson	23430	Burleson	TX	76097	
241009		20190331	The First National Bank of Dryden	7031	13053	NY	13053	
241157		20190331	Vision Bank, National Association	4029	Ada	OK	74820	
241559		20190331	Columbus Bank and Trust Co	15010	Columbus	NE	686014913	
241607	DZHW4H2BUS3DOGKT0727	20190331	Gorham Savings Bank	17748	Gorham	ME	4038	
242257		20190331	Peoples Savings Bank Of Rhineland	15264	Rhineland	MO	65069	
242444		20190331	Tri City National Bank	18922	Oak Creek	WI	53154	
242949		20190331	FNNB Bank	4482	Newton	IA	50208	
242958		20190331	Baybank	1092	Gladstone	MI	49837	
242976		20190331	Bay-Vanguard Fsb	32527	Sparrows Point	MD	21219	
243375		20190331	Green Dot Bank	22653	Provo	UT	84604	
243414		20190331	First National Bank Of Bellevue, The	6528	Bellevue	OH	44811	
243955		20190331	PEOPLES BANK & TRUST CO.	2331	Ryan	OK	73565	
244037		20190331	Friend Bank	2828	Slocomb	AL	36375	
244149		20190331	Bank of England	13303	England	AR	72046	
244158		20190331	WAYPOINT BANK	5394	COZAD,	NE	69130	
244251		20190331	American State Bank & Trust Company	15444	Williston	ND	58802	
245016		20190331	Habib American Bank	25093	New York	NY	10016	
245276	549300ZLPU75MU7O0T38	20190331	ORIENTAL BANK	31469	San Juan	PR	918	
245351		20190331	Frazer Bank	4031	Altus	OK	73521	
245557		20190331	Superior National Bank and Trust Company	5058	Hancock	MI	49930	
246022	549300XQK88HRDZZFE27	20190331	Bank of South Carolina	26912	Charleston	SC	29401	
246134		20190331	First Southern State Bank	2829	Stevenson	AL	35772	
246237		20190331	STATE BANK OF CERRO GORDO	11311	CERRO GORDO	IL	618180440	
246451	254900QQIJN4KR6ZBW98	20190331	Citizens Bank of Rogersville	8572	Rogersville	MO	65742	
246657	QSP7HRK0K2UU3EDN8D71	20190331	Bank Of Labor	1874	Kansas City	KS	66101	
246947		20190331	First National Bank of Sparta	3837	Sparta	IL	62286	
246956	5493008SS1YH3EWLDY29	20190331	Alva State Bank & Trust Company	9465	Alva	OK	73717	
247140		20190331	Oregon Community Bank	22334	Oregon	WI	53575	
247355	549300KLIO6FT2J64B78	20190331	Security State Bank and Trust	15809	Fredericksburg	TX	78624	
247476		20190331	Roanoke Rapids Savings Bank, Ssb	28314	Roanoke Rapids	NC	27870	
247551		20190331	High Plains Bank	3017	Flagler	CO	80815	
247908		20190331	Kennebunk Savings Bank	13063	Kennebunk	ME	04043	
248240		20190331	Bank Of Springfield	19506	Springfield	IL	62703	
248352		20190331	Western Nebraska Bank	1983	Curtis	NE	69025	
248455		20190331	FIRST NATIONAL BANK & TRUST CO.	14801	WILLISTON	ND	58801	
248633		20190331	First Jackson Bank	23376	Stevenson	AL	35772	
248745	254900UDJNXYZSDOKI36	20190331	Oostburg State Bank	10380	Oostburg	WI	53070	
249416	549300ZNYJDVRF2ZLJ91	20190331	UNB BANK	7631	Mt.Carmel	PA	17851	
249612	549300N1UWZ4871DND44	20190331	Apple Bank For Savings	16068	Manhasset	NY	11030	
249658		20190331	Rocky Mountain Bank & Trust	3019	Florence	CO	81226	
250430		20190331	First State Bank Of The South, Inc.	21050	Sulligent	AL	35586	
250476		20190331	GN BANK	29399	Chicago	IL	60653	
250850		20190331	Community Bank	25750	Alva	OK	73717	
251352	549300YQ1PCVEIB6IB51	20190331	Banccentral, National Association	4033	Alva	OK	73717	
251558		20190331	FIRST NATIONAL BANK & TRUST CO. OF IRON MOUNTAIN, THE	5062	IRON MOUNTAIN	MI	49801	
251745	549300UHLXT004ITEJ56	20190331	FIRST NATIONAL BANK OF EASTERN ARKANSAS	3863	FORREST CITY	AR	72336	
251857		20190331	Security State Bank	8642	Wishek	ND	58495	
251978		20190331	Homeland Federal Savings Bank	32459	Columbia	LA	71418	
252041		20190331	City State Bank	14410	Norwalk	IA	50211	
252256		20190331	Eagle State Bank	21809	Eagle	NE	68347	
252452	254900RVMJYW1GVSVC74	20190331	PREFERRED BANK	10628	ROTHVILLE	MO	64676	
252658		20190331	COMMUNITY FIRST BANK	12426	KANSAS CITY	KS	66105	
253356		20190331	Moody National Bank	3210	Galveston	TX	77550	
253468	549300TGUS6Y1N77GV58	20190331	River City Bank	18983	Sacramento	CA	95833	
253646		20190331	Nsb Bank	8094	Mason City	IA	50401	
253730		20190331	Sweet Water State Bank	9615	Sweet Water	AL	36782	
253776		20190331	First Savanna Savings Bank	30241	Savanna	IL	61074	
254317		20190331	Bank Of Utica	13397	Utica	NY	13502	
254504		20190331	CATTARAUGUS COUNTY BANK	12959	LITTLE VALLEY	NY	14755	
254849		20190331	First Independence Bank	20179	Detroit	MI	48202	
255350		20190331	The Miners State Bank	10928	Iron River	MI	499350351	
255547		20190331	Community Bank Of Trenton	18889	Trenton	IL	62293	
255556		20190331	CITIZENS BANK AND TRUST COMPANY	22717	ARDMORE	OK	73402	
255574	549300LE3ZOZXUS7W648	20190331	Fidelity Bank	28316	New Orleans	LA	70170	
255659		20190331	Bank of Colorado	16980	Fort Collins	CO	80525	
255873		20190331	Home Savings Bank	30248	Madison	WI	53703	
256049		20190331	Texico State Bank	19693	Texico	IL	62889	
256058		20190331	AMERICAN NATION BANK	24472	ARDMORE	OK	73401	
256076		20190331	Rio Grande Savings And Loan Association	28315	Monte Vista	CO	81144	
256179		20190331	Utah Independent Bank	22514	Salina	UT	84654	
256553	549300UQPFB0RR8JCA42	20190331	Dacotah Bank	17437	Aberdeen	SD	57401	
257233		20190331	First Bank of Alabama	02832	Talladega	AL	35160	
257345		20190331	Peshtigo National Bank	5317	Peshtigo	WI	54157	
257466		20190331	Community Bank Of Snyder	14776	Snyder	TX	79549	
257578	549300XUKQ6W1CY6QK47	20190331	First Federal Savings Bank	31516	Rochester	IN	46975	
257653		20190331	Farmers And Merchants Bank	13415	Arnett	OK	73832	
257756		20190331	FMS Bank	23764	Fort Morgan	CO	80701	
258146		20190331	North Adams State Bank	23244	Ursa	IL	62376	
258306		20190331	The Milford Bank	16101	Milford	CT	06460	
258379		20190331	Taylorsville Savings Bank, Ssb	32348	Taylorsville	NC	28681	
258445	549300EKGRBBO8HEKR21	20190331	Marine Bank	20250	Springfield	IL	62704	
258539		20190331	State Bank Of Cherry	11686	Cherry	IL	61317	
258771	01KWVG908KE7RKPTNP46	20190331	HomeStreet Bank	32489	Seattle	WA	98101	
258874		20190331	Worthington Federal Savings Bank, F.S.B.	29426	Worthington	MN	56187	
259059		20190331	F&M Bank - Falls City	5401	Falls City	NE	68355	
259330		20190331	First Us Bank	17077	Birmingham	AL	35243	
259442	549300C70VBQUGXHPR07	20190331	Mound City Bank	9037	Platteville	WI	538180263	
259956		20190331	State Savings Bank Of Manistique, The	13249	Manistique	MI	49854	
260055	OYWNLMHNBQQ7BAH3EE86	20190331	Alpine Bank	23091	Glenwood Springs	CO	81601	
260831		20190331	The Bank of Soperton	889	Soperton	GA	30457	
260868	254900PTELTRJ8RGJD53	20190331	Spirit of Texas Bank, ssb	22327	College Station	TX	77840	
261146		20190331	Magnolia Bank	8120	Magnolia	KY	42757	
261360	549300DLHIZLJ7617Q04	20190331	Citizens State Bank	16753	Somerville	TX	77879	
261940		20190331	Anstaff Bank	3869	Green Forest	AR	72638	
262059	549300U0JNFQTFMNJ219	20190331	AVB Bank	2326	Broken Arrow	OK	74012	
262237		20190331	First Port City Bank	21784	Bainbridge	GA	39819	
262358	549300VR7DBNPPSMHV60	20190331	American State Bank	9967	Arp	TX	75750	
262741	549300P8KQYPAVPZL931	20190331	Farmers Bank & Trust Company	12869	Marion	KY	42064	
262844		20190331	Peoples State Bank	12814	Prairie du Chien	WI	53821	
262956		20190331	PEOPLES STATE BANK OF MUNISING	15165	MUNISING	MI	49862	
263243		20190331	FIRST KENTUCKY BANK, INC.	21247	MAYFIELD	KY	42066	
263627		20190331	The First National Bank Of Waverly	6725	Waverly	OH	45690	
264455		20190331	First State Bank	15206	Athens	TX	75751	
264772	549300DFPDZFD8DWQX71	20190331	Radius Bank	32551	Boston	MA	2210	
265340		20190331	Farmers Bank Of Milton, The	12163	Milton	KY	40045	
265407	254900PJVECT3YD6KY88	20190331	Bank Of New Hampshire	18012	Laconia	NH	03246	
265452		20190331	The Stockgrowers State Bank	18165	Maple Hill	KS	66507	
265676		20190331	CENTRAL BANK	31545	SAVANNAH	TN	38372	
266066		20190331	First National Bank	26219	Spearman	TX	79081	
266244	254900CHU7PX7ZS6RI74	20190331	State Bank Of Waterloo	12706	Waterloo	IL	62298	
266253		20190331	Acb Bank	4061	Cherokee	OK	73728	
266271	549300GJGUHNTC6JI536	20190331	TCF National Bank	28330	Sioux Falls	SD	57106	
266655		20190331	First Bank & Trust of Fullerton	5405	Fullerton	NE	68638	
266851	5493001IZBTDOCW8MX74	20190331	Farmers And Merchants Bank Of St. Clair	14056	Saint Clair	MO	63077	
266945		20190331	Monticello Banking Company	292	Monticello	KY	42633	
267652		20190331	Security State Bank of Aitkin	16656	Aitkin	MN	56431	
268006		20190331	Mascoma Bank	18013	Lebanon	NH	03766	
268136		20190331	The Citizens Bank Of Swainsboro	11295	Swainsboro	GA	30401	
268677		20190331	Carver Federal Savings Bank	30394	NEW YORK	NY	10027	
268828		20190331	Grundy National Bank	19011	Grundy	VA	24614	
268976		20190331	Winchester Cooperative Bank	27238	Winchester	MA	01890	
269049	254900040LMONERSH242	20190331	VisionBank of Iowa	11763	Ames	IA	50010	
269058	549300YSKDQJCQKT0775	20190331	Lake Central Bank	10989	Annandale	MN	55302	
269571		20190331	Armstrong County Building and Loan Association	29471	Ford City	PA	16226	
