"IDRSSD"	RCON9224	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	ID_LEI	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
269759		20190331	Farmers And Merchants State Bank Of Appleton	8845	Appleton	MN	56208	
270148		20190331	State Bank of Whittington	19689	Benton	IL	62812	
270353		20190331	Arlington State Bank	01391	Arlington	MN	55307	
270504		20190331	Community National Bank	6271	Derby	VT	05829	
270531		20190331	Brickyard Bank	22811	Lincolnwood	IL	60712	
270652		20190331	Security State Bank	16448	Alexandria	SD	573110430	
271136		20190331	Bank of Louisiana	17878	New Orleans	LA	70130	
271275		20190331	Dean Co-operative Bank	27269	Franklin	MA	02038	
271341		20190331	Peoples Bank Mt Washington	5847	Mount Washington	KY	40047	
271529	549300III1DMY3SLAW56	20190331	Countybank	9155	Greenwood	SC	29646	
271752		20190331	BANK OF CUSHING	4075	CUSHING	OK	74023	
272030		20190331	The Peoples Bank of Georgia	170	Talbotton	GA	31827	
272058		20190331	State Bank of Bellingham	17062	Bellingham	MN	56212	
272151		20190331	Granger National Bank, The	3232	Granger	TX	76530	
272272	549300YKBMBBIIMQJS94	20190331	Southern Bank	28332	Poplar Bluff	MO	63901	
272302		20190331	Institution for Savings	90250	Newburyport	MA	01950	
273336	549300H3F1P2EQW0FC36	20190331	The Bank Of Tampa	21031	Tampa	FL	33606	
273550	549300NBFJM2PBH24L77	20190331	Citizens State Bank, The	17672	Moundridge	KS	67107	
273653		20190331	Concorde Bank	9727	Blomkest	MN	56216	
273662		20190331	First State Bank Of Uvalde	9978	Uvalde	TX	78801	
273840		20190331	Community First Bank Of The Heartland	3846	Mount Vernon	IL	62864	
273859		20190331	Farmers and Merchants Bank	12284	Duke	OK	735320190	
274025		20190331	The Mt. Victory State Bank	9438	Mt. Victory	OH	43340	
274052		20190331	Farmers and Merchants Bank of Mound City, Kansas	14024	Mound City	KS	66056	
274164		20190331	Texas Star Bank	5567	Van Alstyne	TX	754950608	
274548		20190331	Northwestern Bank	13411	Orange City	IA	51041	
274641		20190331	H.F.GEHANT BANKING CO.	9264	WEST BROOKLYN	IL	61378	
274829		20190331	TruPoint Bank	21883	Grundy	VA	24614	
274856		20190331	Citizens State Bank Of Arlington	1118	Arlington	SD	57212	
275255		20190331	BANNER CAPITAL BANK, INC.	19274	HARRISBURG	NE	69345	
275358	549300T03X096VF60C57	20190331	American Bank & Trust	1117	Wessington Springs	SD	57382	
275479		20190331	Commonwealth Cooperative Bank	29842	Hyde Park	MA	02136	
275657		20190331	FIRST STATE BANK	10503	NESS CITY	KS	67560	
276074		20190331	Seneca Savings	29496	Baldwinsville	NY	13027	
276159		20190331	Southwind Bank	04735	Natoma	KS	67651	
276551		20190331	The First National Bank of Hugo	3029	Hugo	CO	808210158	
276579	8WH0EE09O9V05QJZ3V89	20190331	Zions Bancorporation, National Association	2270	Salt Lake City	UT	841331109	
276645		20190331	American State Bank	26944	Osceola	IA	50213	
276654		20190331	First Farmers & Merchants State Bank Brownsdale	1600	Brownsdale	MN	55918	
276850		20190331	SECURITY FIRST BANK	5415	LINCOLN	NE	68516	
276953		20190331	COMMUNITY BANK	1687	AVON	SD	57315	
277053		20190331	First State Bank of Colorado	12373	Hotchkiss	CO	81419	
277240		20190331	First Nation Bank	22282	Chicago	IL	60631	
277277		20190331	Slovak Savings Bank	30431	Pittsburgh	PA	15237	
277679		20190331	Interstate Federal Savings and Loan Association of McGregor	29501	McGregor	IA	52157	
277736		20190331	PEOPLES BANK OF THE SOUTH	4945	LAFOLLETTE	TN	37766	
277820		20190331	PALMETTO STATE BANK	17563	Hampton	SC	29924	
278078	549300VL5YQZY88SDD73	20190331	Wellesley Bank	26605	Wellesley	MA	02482	
278153		20190331	Peoples Bank	9882	Tulsa	OK	74104	
278256		20190331	The Farmers State Bank of Oakley, Kansas	1867	Oakley	KS	677480160	
278555	549300O5QDIJU8S7O105	20190331	Stride Bank, N.A.	4091	Enid	OK	73701	
278733		20190331	The Citizens Bank Of Cochran	16275	Cochran	GA	31014	
278751		20190331	WESTERN NATIONAL BANK, CASS LAKE	5110	CASS LAKE	MN	56633	
278818	549300PJX0ZHPQ614C72	20190331	Peoples Security Bank And Trust Company	7514	Scranton	PA	18503	
278872		20190331	Eagle Savings Bank	30439	Cincinnati	OH	45248	
279105		20190331	Florence Bank	23293	Florence	MA	01062	
279842		20190331	River Bank	14995	Stoddard	WI	54658	
279954	549300S46DHLT3EQ9F05	20190331	Citizens Alliance Bank	1402	Clara City	MN	56222	
280110	HUX2X73FUCYHUVH1BK78	20190331	KeyBank National Association	17534	Cleveland	OH	44114	
280138		20190331	West Central Georgia Bank	21526	Thomaston	GA	30286	
280352		20190331	FIRST  BANK	4092	ERICK	OK	73645	
280558		20190331	The First National Bank Of Cokato	5115	Cokato	MN	55321	
282048		20190331	PEOPLES BANK & TRUST CO	8129	OWENTON	KY	40359	
282075	5493000M096YV1VLKD70	20190331	Washington Financial Bank	29520	Washington	PA	153014395	
282226	254900Y0OOKETVQMUW35	20190331	Farmers And Merchants Bank Of South Carolina	1660	Holly Hill	SC	29059	
282824	254900FK0S1L00V2UL14	20190331	Elderton State Bank	12985	Elderton	PA	15736	
283157		20190331	State Bank of Danvers	1401	Benson	MN	56215	
283438		20190331	Liberty Bank And Trust Company	20856	New Orleans	LA	70127	
283652		20190331	Triad Bank, National Association	24677	Tulsa	OK	74133	
283737		20190331	First National Bank of Tennessee	19502	Livingston	TN	38570	
283867		20190331	Wallis Bank	20845	Wallis	TX	774850339	
284154		20190331	Oklahoma Capital Bank	18856	Tulsa	OK	74126	
284239		20190331	bank of perry county	1713	lobelville	TN	37097	
284248	549300VXBTQBE5NEW917	20190331	Partnership Bank	10007	Cedarburg	WI	53012	
284556	5493001PJI787KH02821	20190331	Stockmans Bank	12285	Altus	OK	73521	
284752		20190331	Northwoods Bank Of Minnesota	1415	Park Rapids	MN	56470	
284958		20190331	FIRST STATE BANK	08604	HORDVILLE	NE	68846	
285151		20190331	Colorado Bank & Trust Company Of La Junta, The	1141	La Junta	CO	81050	
285348		20190331	State Bank	22971	Wonder Lake	IL	60097	
285544		20190331	Capitol National Bank	24199	Lansing	MI	48933	
285553		20190331	THE SECURITY STATE BANK	15749	EMERY	SD	57332	
285740		20190331	Paducah Bank And Trust Company, The	16664	Paducah	KY	42001	
