"IDRSSD"	RCONFT04	RCONFT05	RCONHT81	RCONHT82	RCONHT86	RCONL191	RCONL192	RCONM288	RIADHT85	
	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	Retail originations during the quart	Wholesale originations and purchases	Repurchases and indemnification of 1	REP AND WARRNTY TO US GOVT AGCY	REP AND WARRNTY TO OTHR PARTIES	REP WARRNTY TO US GOVT AGCY TOTAL	Noninterest income for the quarter f	
126553	88044	11764	88300	0	0	CONF	CONF	0	0	
126834						CONF	CONF			
127055						CONF	CONF			
127224						CONF	CONF			
128258						CONF	CONF			
128904	102196	4649	103832	0	0	CONF	CONF	0	2227	
129349						CONF	CONF			
129358	48253	22145				CONF	CONF			
129479	52570	17850				CONF	CONF			
129732	0	0	0	0	0	CONF	CONF	0	0	
129853						CONF	CONF			
129910	27220	7548				CONF	CONF			
130345						CONF	CONF			
130541	166405	13053	163545	0	0	CONF	CONF	0	7504	
130813						CONF	CONF			
131034						CONF	CONF			
131173	30878	5259				CONF	CONF			
131436	0	0	0	0	0	CONF	CONF	0	0	
131650	270996	12371	270528	0	7	CONF	CONF	0	3780	
131717	0	0	0	0	0	CONF	CONF	0	0	
131940						CONF	CONF			
132107	47705	9317				CONF	CONF			
132451						CONF	CONF			
132554	66429	6502	68751	0	0	CONF	CONF	0	1968	
132778						CONF	CONF			
132938						CONF	CONF			
133579	297	0	297	0	0	CONF	CONF	0	-126	
133850	60364	18916				CONF	CONF			
133971						CONF	CONF			
134156						CONF	CONF			
134437	35311	988	0	0	0	CONF	CONF	0	258	
134455						CONF	CONF			
134848						CONF	CONF			
135836						CONF	CONF			
135854						CONF	CONF			
136048						CONF	CONF			
136338						CONF	CONF			
136459						CONF	CONF			
136655						CONF	CONF			
137205						CONF	CONF			
137447						CONF	CONF			
137456						CONF	CONF			
137559						CONF	CONF			
137643						CONF	CONF			
137652	731649	181790	721089	842	1140	CONF	CONF	481	40523	
137915	30750	2132	32260	0	0	CONF	CONF	0	1514	
138051						CONF	CONF			
138257						CONF	CONF			
138556						CONF	CONF			
139133						CONF	CONF			
139478						CONF	CONF			
139553						CONF	CONF			
139656	28047	9053	32298	0	0	CONF	CONF	0	878	
139740						CONF	CONF			
139834						CONF	CONF			
139843	44905	19731	53306	0	85	CONF	CONF	0	2028	
139955						CONF	CONF			
140157						CONF	CONF			
140362	0	0	0	0	0	CONF	CONF	0	0	
140634						CONF	CONF			
141211						CONF	CONF			
141341						CONF	CONF			
141350						CONF	CONF			
141556						CONF	CONF			
141677						CONF	CONF			
141958						CONF	CONF			
142049						CONF	CONF			
142179						CONF	CONF			
142955						CONF	CONF			
143372						CONF	CONF			
