"IDRSSD"	RCONC223	RCONC224	RCONC968	RCONC969	RCONC970	RCONC971	RCONC972	RCONC973	RCONC974	RCONC975	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG419	RCONG420	RCONG421	RCONG422	RCONG423	RCONG424	RCONG425	RCONG426	RCONG427	RCONG428	RCONG429	RCONG430	RCONG431	RCONG432	RCONG433	RCONG434	RCONG435	RCONG436	RCONG437	RCONG438	RCONG439	RCONG440	RCONG441	RCONG442	RCONG443	RCONG444	RCONG445	RCONG446	RCONG447	RCONG448	RCONG449	RCONG450	RCONG451	RCONG452	RCONG453	RCONG454	RCONG455	RCONG456	RCONG457	RCONG458	RCONG459	RCONG460	RCONG461	RCONG462	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	RCONJ477	RCONJ478	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
17147	0	0	0	0	0	0	0	0	0	0	0	13845	171473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	1077309	0	136703										
17259	0	0	0	0	0	0	0	0	0	0	0	50	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	563										
17464	0	0	0	0	0	0	0	0	0	0	0	0	63335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														17738	9373	116919	0	120084										
17950	0	0	0	0	0	0	0	0	0	0	0	2279	2774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	6092	0	5508										
17978	0	0	0	0	0	0	0	0	0	0	17500	2487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	0	0	0						COMMITMENTS TO ORIGINATE S/FAMILY 1ST Mtg. Loans	COMMT'S TO ORIGINATE M/FAMILY 1ST MTG> LOANS	COMMT'S TO ORIGINATE OTHER MORTGAGE LOANS	COMMIT'S TO ORIGINATE CONSUMER LOANS	
18050	0	4857	0	0	0	0	0	0	0	0	0	2247	15387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	4735	0	2510										
18135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																6832	0	96										
18377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	309										
18827	0	0	0	0	0	0	0	0	0	0	0	4452	7092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	13287	0	0										
18836	0	0	0	0	0	0	0	0	0	0	0	82	2665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																462	0	2612										
18854	0	0	0	0	0	0	0	0	0	0	16099	14758	9653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	29229	0	23119										
19356	0	0	0	0	0	0	0	0	0	0	0	452	682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																1542	0	1139										
19730	0	0	0	0	0	0	0	0	0	0	0	7845	43187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	153895	16480	28567										
19936	0	0	0	0	0	0	0	0	0	0	3500	269	1941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																8665	0	3968										
19972	0	0	0	0	0	0	0	0	0	0	0	1458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	0										
