"IDRSSD"	RCFA2170	RCFA3128	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAJJ30	RCFAJJ31	RCFAJJ32	RCFAKW00	RCFAKW03	RCFAKX77	RCFAKX78	RCFAKX79	RCFAKX80	RCFAKX81	RCFAKX82	RCFAKX83	RCFALB58	RCFALB59	RCFALB60	RCFALB61	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP845	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP852	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFAS540	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP851	RCFWP852	RCFWP853	RCFWP854	RCFWP855	RCFWP856	RCFWP857	RCFWP858	RCFWP859	RCFWP870	RCOA2170	RCOA3128	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAJJ30	RCOAJJ31	RCOAJJ32	RCOAKW00	RCOAKW03	RCOAKX77	RCOAKX78	RCOAKX79	RCOAKX80	RCOAKX81	RCOAKX82	RCOAKX83	RCOALB58	RCOALB59	RCOALB60	RCOALB61	RCOALE74	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP845	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP852	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCOAS540	RCOWH312	
6039																																																																																						337608	0				10.1674%			32482		319473	251	0										1445	319473	0	0.0000%	22860	0	519	23379	6.9249%	0	0	0	0	1	31037		1	0	32733	0	0	0	251		0	0	0		0	32482	0	0	32482	0	0	0	0	0	0						0		0	0		
6329																																																																																								96475	9671	9671	8.2458%	12.5504%	11.2923%	86804	768700	1052702	739	0			4.5504%							47831	1053729								0	0	0		0	40000	11.2923%	1	0	88570	0	0	1027	739		0	0	0		0	86804	0	0	86804	0	0	0	0	0	0	0	0	0	9671	0	1027		0			
7009																																																																																								87007	0	0	8.8834%	22.1091%	22.1091%	87007	393534	979434	1944	0			14.1091%							85955	979434								0	0	0		0	1052	22.1091%	1	0	88951	0	0	0	1944		0	0	0		0	87007	0	0	87007	0	0	0	0	0	0	0	0	0	0	0	0		0			
7045																																																																																						235525	0				9.6087%			22776		237036	2970	0										20351	237036	0	0.0000%	8937	0	208	9145	3.8828%	0	0	0	0	1	2425		1	0	25746	0	0	0	2970	0	0	0	0		0	22776	0	0	22776	0	0	0	0	0	0						0		0	0		
7072																																																																																								35371	2668	2668	9.7035%	15.0283%	13.8948%	32703	235362	337023	-20	0			7.0283%							34983	343363								0	0	0		0	4060	13.8948%	1	0	39023	3707	797	1836	24		0	-44	0		0	32703	0	0	32703	0	0	0	0	0	0	0	0	0	2668	0	6340		0			
7456																																																																																								10604	885	885	8.7466%	12.6942%	11.6348%	9719	83534	111117	381	0			4.6942%							2719	111117								0	0	0		0	7000	11.6348%	1	0	10100	0	0	0	381		0	0	0		0	9719	0	0	9719	0	0	0	0	0	0	0	0	0	885	0	0		0			
7634																																																																																						76402	0				14.0186%			10503		74922	346	0										2243	74922	0	0.0000%	1726	0	0	1726	2.2591%	0	0	0	0	1	8260		1	0	10849	0	0	0	346		0	0	0		0	10503	0	0	10503	0	0	0	0	0	0						0		0	1119		
8033																																																																																						327591	0				13.9459%			45235		324360	65	0										37235	324360	0	0.0000%	43442	0	1010	44452	13.5694%	0	0	0	0	1	8000		1	0	45300	0	0	0	65	0	0	0	0		0	45235	0	0	45235	0	0	0	0	0	0						0		0	0		
8462																																																																																						183072	0				14.0258%			25655		182913	2325	0										24955	182913	0	0.0000%	0	0	289	289	0.1579%	0	0	0	0	1	700		1	0	27980	0	0	0	2325		0	0	0		0	25655	0	0	25655	0	0	0	0	0	0						0		0	5515		
8631																																																																																						65963	0				10.8976%			7162		65721	90	0										5862	65721	0	0.0000%	2429	0	205	2634	3.9931%	0	0	0	0	1	1300		1	0	7252	0	0	0	90		0	0	0		0	7162	0	0	7162	0	0	0	0	0	0						0		0	0		
9357																																																																																								65046	4587	4587	9.3576%	11.7418%	10.9137%	60459	553971	646093	1066	0			3.7418%							38830	679625								0	0	0		0	55161	10.9137%	1	0	95057	28667	4865	0	1066		0	0	0		0	60459	0	0	60459	0	0	0	0	0	0	0	0	0	4587	0	33532		0			
9553																																																																																						196693	0				9.3144%			18219		195601	574	0										16119	195601	0	0.0000%	0	0	75	75	0.0381%	0	0	0	0	1	2100		1	0	18793	0	0	0	628	0	0	0	-54		0	18219	0	0	18219	0	0	0	0	0	0						0		0	23745		
9807																																																																																								390975	25336	25336	14.9132%	19.3553%	18.1010%	365639	2019988	2451776	5477	0			11.3553%							233367	2451776								0	0	0		0	132272	18.1010%	1	0	371116	0	0	0	5477		0	0	0		0	365639	0	0	365639	0	0	0	0	0	0	0	0	0	25336	0	0		0			
9955																																																																																						180292	0				12.7053%			22679		178501	770	0										19546	178501	0	0.0000%	16020	0	1113	17133	9.5029%	0	0	0	0	1	3133		1	0	23449	0	0	0	770		0	0	0		0	22679	0	0	22679	0	0	0	0	0	0						0		0	0		
10250																																																																																								46712	3888	3888	8.2575%	15.0396%	13.7878%	42824	310594	518607	4959	2192			7.0396%							9324	520799								0	0	0		0	33500	13.7878%	1	0	47783	0	0	0	4959	0	0	0	0		0	42824	0	0	42824	0	0	0	0	0	0	0	0	0	3888	0	0	0	0			
10849																																																																																						258862	0				9.7573%			25590		262264	1724	0										11587	263653	0	0.0000%	12870	0	44	12914	4.9888%	0	0	0	0	1	15391		1	0	28702	694	0	694	1724		0	0	0		0	25590	0	0	25590	0	0	0	0	0	0						1389		0	0		
11145																																																																																								29494	2548	2548	8.7021%	14.2486%	13.0176%	26946	206996	309650	61	0			6.2486%							13396	310100								0	0	0		0	14000	13.0176%	1	0	27457	450	0	0	61	0	0	0	0		0	26946	0	0	26946	0	0	0	0	0	0	0	0	0	2548	0	450	0	0			
