"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDK178	RCFDK179	RCFDK180	RCFDK181	RCFDK182	RCFDK183	RCFDK184	RCFDK185	RCFDK186	RCFDK192	RCFDK193	RCFDK194	RCFDK273	RCFN5513	RCFNK260	RCFNK290	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK178	RCONK179	RCONK180	RCONK181	RCONK182	RCONK183	RCONK184	RCONK185	RCONK186	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONK273	RCONL133	RCONL135	RCONN512	RCONN514	RCONN515	RCONN516	RCONN517	RCONN518	RCONN519	RCONN520	RCONN521	RCONN522	RCONN523	RCONN524	RCONN527	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
259059																																											359	0	0	0	848	true	359	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	848	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false	true	false	false	false	true	1	2	1	0																	www.fmbankfc.com	
259330																																											0	10384	0	0	5000	true	0	2336	0	1058	0	6990	3371	1	0	0	false	0	0	0	0	5000	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0			false	false	false	false	false	false	false	false	false	0	0	0	0																	http://www.firstusbank.com	
259442																																											0	665	0	0	9484	true	0	259	0	0	0	406	1362	0	0	0	true	0	0	0	8000	0	0	1484	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false	true	false	false	false	false	0	0	0	0																	http://www.moundcitybank.com	
259657																																											1759	27933	10000	0	10000	true	1146	89	0	999	379	26466	5916	1	0	613	false	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	false	false	0	0	367	920	825	376	15339	9876	19420	66567	58825	0	4710	0	0	11	0	0	0	0	89	0	999	379	15081	13238	0	0	0			true	false	false	false	true	false	false	false	true	1	49	2140	0																	http://www.unitedcentralbank.com	
259956																																											128	1227	0	0	3576	true	128	0	0	54	0	1173	900	0	0	0	false	0	0	0	0	0	576	3000	3000	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false	true	false	false	false	false	0	0	0	0																	http://statesavingsbank.com	
260055																																											0	15525	0	0	6413	true	0	3813	0	3304	0	8408	5331	3	0	0	false	0	0	0	5978	0	435	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	true	false	true	false	true	false	true	1	143	873	0																	http://alpinebank.com	
260354																																											101	26	0	0	2540	true	101	0	0	26	0	0	243	0	0	0	true	0	0	0	0	0	0	2540	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false	true	false	false	false	false																					www.richardsoncountybank.com	
260831																																											0	803	0	0	0	true	0	764	0	31	0	8	324	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false	false	false	false	false	false																					www.bankofsoperton.com	
260868																																											5360	0	415	0	33586	true	5360	0	0	0	0	0	3553	1	0	0	false	0	0	0	415	609	6074	26488	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false	false	false	false	false	false	0	0	0	0																	http://www.spiritoftexasbank.com	
261146																																											0	0	0	0	8343	true	0	0	0	0	0	0	2080	1	0	0	false	0	0	0	4700	672	343	2628	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false	false	false	false	false	false																					www.magnoliabank.com	
261258																																											0	1038	0	0	5000	true	0	1038	0	0	0	0	6548	2	0	0	true	0	0	0	5000	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	true	false	false	false	false	false	false	false	0	0	0	0	http://www.industrialbankkck.biz		http://www.industrialbankkck.net		http://www.industrialbankkck.org												http://www.industrialbankkck.com	
261360																																											0	730	0	0	0	true	0	0	0	126	0	604	3324	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	true	false	false	true	true	false	false	true	1	105	156	0																	http://www.csbtx.com	
261940																																											0	3337	2095	0	7523	true	0	3193	0	144	0	0	850	1	0	0	true	0	0	0	2095	5000	148	280	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false	true	false	false	false	false	1	3	67	0																	WWW.FNBGF.COM	
262059																																											0	865	0	0	13500	true	0	865	0	0	0	0	93	0	0	0	true	0	0	0	13500	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false	true	false	false	false	false	0	0	0	0																	http://www.bankavb.com	
262237																																											0	0	0	0	2553	true	0	0	0	0	0	0	5362	2	0	0	false	0	0	0	0	0	553	2000	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false	false	false	false	false	false																					www.firstportcity.com	
262358																																											158	3342	0	0	0	true	158	0	0	0	0	3342	288	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false	true	false	false	false	false					www.americanstatetexas.com		www.myamericanstatebank.com		www..arpstatebank.com												www.asbtx.com	
262741																																											0	9	0	0	9705	true	0	0	0	9	0	0	1896	1	0	0	false	0	0	0	1838	2899	1901	3067	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	true	true	false	true	true	true	false	false																					www.farmersbankmarion.com	
262844																																											3915	194	0	0	5412	true	3915	0	0	134	0	60	21359	2	0	0	true	0	0	0	3383	483	1109	437	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false	true	false	false	false	false	0	0	0	0																	http://www.peoplesfinancial.com	
262956																																											325	976	2500	0	3500	true	325	0	0	509	0	467	334	0	0	0	false	0	0	0	2500	1000	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false	false	false	false	false	false	0	0	0	0																	http://www.bankatpsb.com	
263243																																											454	68	2035	0	17937	true	454	0	0	68	0	0	426	0	0	0	true	0	0	0	2035	10002	1000	4900	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false	true	false	false	false	false																					www.firstkentucky.com	
263551																																											0	179	1000	0	1000	true	0	7	0	172	0	0	2126	2	0	0	false	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false	true	false	false	false	false																					http://www.gladewaternational.com	
263627																																											0	385	0	0	0	true	0	0	0	0	0	385	5222	4	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false	false	false	false	false	false																					www.thefirstnational.com	
264455																																											0	205	0	0	0	true	0	130	0	0	0	75	3767	4	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false	true	false	false	false	false																					www.fsbathens.com	
264772																																											162	4600	0	162	30000	false	0	0	0	0	0	4600	46	0	159	0	false	0	0	0	0	10000	20000	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	true	false	false	false	false	false	false	false	false	false	0	0	0	0																	http://www.ftub.com	
