"IDRSSD"	RCON6979	TEXT6980	
	NO COMMENT-BK MANAGEMENT STATEMENT	BANK MANAGEMENT STATEMENT	
387671	false		
388155	false		
388258	false		
388557	false		
388744	false		
388753	false		
388874	false		
388940	false		
389059	false		
389358	false		
389376	false		
389826	false		
390336	false		
390372	false		
390840	false		
391418	false		
391557	false		
391575	false		
391959	false		
391977	false		
392152	false		
392255	false		
392778	false		
393252	false		
393355	false		
393850	false		
393953	false		
394156	false		
394259	false		
395238	false		
395274	false		
396057	false		
396244	false		
396253	false		
396356	false		
396954	false		
397456	false		
397531	false		
397540	false		
397559	false		
397755	false		
397858	false		
398051	false		
398248	false		
398631	false		
398668	true	The amounts reported on the Schedule RC-T are subject to revision and to fluctuation from Call Report to Call Report as the reporting institution refines asset and account classification, business interpretations underlying RC-T classifications, valuation and validation practices and due to other factors including market conditions.	
398837	false		
399357	false		
399517	false		
399731	false		
399973	false		
400057	false		
400141	false		
400365	false		
400767	false		
400945	false		
401072	false		
401559	false		
401755	false		
401906	false		
401951	false		
402462	false		
402846	false		
402873	false		
403067	false		
403106	false		
403151	false		
403179	false		
403254	false		
403357	false		
403656	false		
403870	false		
403946	false		
404653	false		
404943	false		
406022	false		
406059	false		
406666	false		
406778	false		
406974	false		
407168	false		
407506	false		
407645	false		
407850	false		
408307	false		
408642	false		
408875	false		
409265	false		
410159	false		
410560	false		
410748	false		
410917	false		
410944	false		
411062	false		
411174	false		
411231	false		
411240	false		
411473	false		
411512	false		
411549	false		
411576	false		
411624	false		
411651	false		
412153	false		
412452	false		
412555	false		
412667	false		
412751	false		
412845	false		
412872	false		
413141	false		
413208	false		
413347	false		
413543	false		
413646	false		
413673	false		
413758	false		
413851	false		
414102	false		
414652	false		
414764	false		
414858	false		
415770	false		
415855	false		
416245	false		
416272	false		
416339	false		
416357	false		
416656	false		
416674	false		
416973	false		
417626	false		
417710	false		
418100	false		
418249	false		
418436	false		
418856	false		
419255	false		
419406	false		
419460	false		
419675	false		
419947	false		
420578	false		
420644	false		
420653	false		
420877	false		
421445	false		
421539	false		
422059	false		
422116	false		
422433	false		
422657	false		
423159	false		
423449	false		
423636	false		
423739	false		
423841	false		
424156	false		
424240	false		
424352	false		
424437	false		
424633	false		
425050	false		
425108	false		
425818	false		
425845	false		
425911	false		
426057	false		
426141	false		
426534	false		
426758	false		
426945	false		
427241	false		
427353	false		
427858	false		
427960	false		
428060	false		
428462	false		
428471	false		
428547	false		
428855	false		
429021	false		
429487	false		
430036	false		
430054	false		
430344	false		
431172	false		
431323	false		
431350	false		
431846	false		
431958	false		
432012	false		
432058	false		
432432	false		
433158	false		
433505	false		
433550	false		
433608	false		
433859	false		
433943	false		
434203	false		
434539	false		
435059	false		
435077	false		
435255	false		
435666	false		
435750	false		
436159	false		
436542	false		
436739	false		
436953	false		
437044	false		
437914	false		
438050	false		
438434	false		
439132	false		
439338	false		
439356	false		
439404	false		
439730	false		
440857	false		
440978	false		
441050	false		
441078	false		
441135	false		
441256	false		
441359	false		
441434	false		
441470	false		
441630	false		
442011	false		
442057	false		
442244	false		
442655	false		
442806	false		
443148	false		
443205	false		
443353	false		
443625	false		
443634	false		
444350	false		
444556	false		
444677	false		
444958	false		
445674	false		
445777	false		
445852	false		
445955	false		
446130	false		
446149	false		
446176	false		
446877	false		
447070	false		
447100	false		
447557	false		
447874	false		
448040	false		
448554	false		
449038	false		
449430	false		
449832	false		
449841	false		
449935	false		
450472	false		
450632	false		
450669	false		
450753	false		
450856	false		
450959	false		
451068	false		
451246	false		
451273	false		
451965	false		
452104	false		
452159	false		
452739	false		
452841	false		
452850	false		
453147	false		
453370	false		
453446	false		
453839	false		
454340	false		
454546	false		
454658	false		
454676	false		
454975	false		
455150	false		
455253	false		
455459	false		
455477	false		
455552	false		
455945	false		
455972	false		
456045	false		
456054	false		
456157	false		
456250	false		
456344	false		
456755	false		
457060	false		
457220	false		
457426	false		
457752	false		
458142	false		
458544	false		
458553	false		
458665	false		
458946	false		
459130	false		
459354	false		
459372	false		
459644	false		
459671	false		
460033	false		
460275	false		
460332	false		
460341	false		
460350	false		
460556	false		
460770	false		
461058	false		
462774	false		
463203	false		
463342	false		
463605	false		
463650	false		
463735	false		
463977	false		
464255	false		
464853	false		
465038	false		
465243	true	If the information in RC-C memoranda item #2 could be reported without regard of being at the contractual floor or ceiling, the information would be reported as follows: M2a (1) 5,234 (2) 5,785 (3) 10,711 (4) 22,274 (5) 63,509 (6) 7,354 and M2b would be reported as follows: M2b (1) 10,374 (2) 9,548 (3) 9,126 (4) 12,226 (5) 12,835 (6) 474.	
465337	false		
465524	false		
465618	false		
465672	false		
466044	false		
466240	false		
466754	false		
466857	false		
466932	false		
467144	false		
467265	false		
467470	false		
467658	false		
467733	false		
468673	false		
468806	false		
469250	false		
469559	false		
469737	false		
470032	false		
470050	false		
470434	false		
470452	false		
471057	false		
472018	false		
472045	false		
472148	false		
472250	false		
472531	false		
472616	false		
472643	false		
472951	false		
472979	false		
473042	false		
473257	false		
473266	false		
473501	false		
473930	false		
474058	false		
474245	false		
474254	false		
474357	false		
474450	false		
474544	false		
474656	false		
474759	false		
474777	false		
474919	false		
475046	false		
475345	false		
475354	false		
475653	false		
475756	false		
476342	false		
476445	false		
476472	false		
476539	false		
476810	false		
477303	false		
477321	false		
477349	false		
477376	false		
477639	false		
477648	false		
477844	false		
478140	false		
478195	false		
478252	false		
478430	false		
478533	false		
478766	false		
479071	false		
479268	false		
479370	false		
479446	false		
479567	false		
479754	false		
479839	false		
480059	false		
