"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
899736	241348	6	13299	14859	0	42454	0	0	0	0	322250	0	74964		20290	44761	7248	27645	247019	1504	267	2195	0	0	3790	9010	8639	8583	12800	0	257	3312	2549	9733	6118	0	257	0	true							
900034	182358	0	8579	19635	0	30285	0	0	0	0	273583	0	3316		21028	45812	9375	21389	270018	317	249	2499	0	0	19605	14124	4042	2321	31113	653	3118	1550	0	19066	5320	0	3770	7193	true							
900146	37587	0	50402	34121	0	193922	0	0	45635	0	202345	0	13208		47706	69567	16174	143520	188170	0	967	2080	45635	45635	29447	26613	20558	8596	56060	510	5332	2504	1631	37508	9977	0	5842	0	true							
900306	551192	0	7100	62346	0	86045	0	0	338567	0	1697504	0	61113		319191	411796	31692	78787	1548064	158	88327	10215	338567	198927	81879	143153	335421	60282	225032	7622	26756	74362	5041	301544	113781	0	34378	82538	true	11539	18823	151540	239003	237862	305951	
900379	2881	0	0	9115	0	9115	0	0	0	0	70832	0	950		17213	28745	10187	9115	69882	0	0	4776	0	0	2652	12107	12007	8577	14759	543	642	1585	1092	18131	3862	0	1185	0	false							
900502	117587	0	0	61113	0	95303	0	0	0	0	164628	0	0		23984	5608	13348	95303	164628	0	0	2603	0	0	8907	12856	8337	3465	21763	6156	666	1044	0	9582	7866	0	6822	0	true							
900678	26164	0	0	12240	0	33889	0	0	1933	0	152041	0	20081		49552	18725	22193	33889	131960	0	0	9636	0	0	5985	23025	19967	23160	29010	7301	23188	3971	555	22585	35015	0	30489	0	false							
901134	45070	0	1360	48126	0	90717	0	0	0	0	89077	0	1400		15471	13166	3780	89357	86682	0	995	875	0	0	4551	12037	9240	858	16588	375	1827	887	1067	11214	4156	0	2202	995	true							
901358	226578	0	5361	35636	0	35636	0	0	38909	0	330388	0	46271		19798	52918	7109	30272	281655	3	2462	1280	38909	25116	21005	13395	9479	6142	34400	251	0	311	309	30223	871	0	251	0	true							
901451	4106	0	482	12823	0	20255	105	0	0	0	22220	0	207		6275	969	827	19597	22013	71	0	135	0	0	4605	7554	63	0	12159	1082	2068	1773	0	5947	4923	0	3150	0	false							
901741	28163	0	0	37450	0	56780	0	0	0	0	96851	0	0		35823	21703	6536	55043	96851	1737	0	656	0	0	9536	16260	13941	5755	25796	0	549	944	0	9669	1493	0	549	0	true							
901938	63550	0	19993	119101	0	182996	0	0	0	0	355402	0	67799		82172	74840	31559	163003	287603	0	0	12360	0	0	22805	59664	30120	43959	80192	16034	33452	4731	6247	74376	60464	0	49235	0	true							
901974	15324	0	4203	29489	0	29489	0	0	0	0	66139	0	11598		23668	12171	7410	25286	54541	0	0	1774	0	0	5623	9978	11948	3004	15601	2262	5829	0	0	6885	8091	0	8091	0	true							
902645	4713	0	665	4171	0	12336	0	0	0	0	13567	0	791		4017	0	2887	11671	12776	0	0	1273	0	0	3740	3274	700	0	7014	0	1141	0	0	3697	1141	0	1141	0	false							
902672	104402	4	1340	45935	0	80360	0	0	3000	0	210474	0	13467		45175	0	29914	79016	197007	0	0	13495	3000	3000	10998	33878	33563	9273	44876	3615	4557	7304	2885	42537	18361	0	8172	0	true							
