"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP755	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	DEP OTHR TRNS ACCTS INDV PRTNRS CRPS	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
847979	31680	0	1684	1064	0	6782	0	0	0	0	0	56068	0	204		12085	6428	4714	5223	0	1994	3229	4908	1954	589	2236	1817	1233	5098	55864	0	0	841	0	4734	1141	0	0	2312	513	0	true								
848248	29904	0	0	1280	0	1318	0	0	0	0	0	345024	0	130260		38213	189220	16180	37373	0	11874	25499	840	0	38515	48522	650	0	1318	214764	0	0	7684	0	33056	54631	0	0	32207	54631	0	false								
848453	4636	0	2379	5657	0	21541	0	0	0	0	0	18105	0	1510		7745	1718	1358	7300	0	3204	4096	445	0	2018	1789	199	0	19162	16595	0	0	338	0	3253	753	0	0	3054	753	0	true								
849076	4321	0	0	3221	0	10206	0	0	0	0	0	83189	0	0		27707	13364	12247	16727	0	5144	11583	7382	3598	5291	15269	12295	4942	10206	83189	0	0	5810	0	29268	8529	0	0	16214	4346	0	true								
849348	36720	3	15551	27118	0	55810	0	0	7212	8415	0	73606	0	16648		22090	0	4567	8616	1736	2609	6055	8356	5070	4293	4126	6254	123	40256	56958	0	0	706	1203	5284	9512	1203	0	2397	4897	0	true								
849357	134784	0	3002	15606	0	23738	0	0	0	0	0	186199	0	30236		25535	0	7000	23533	0	7609	15930	1801	195	7270	17619	752	239	20413	155963	323	0	2859	0	11290	14590	0	0	10299	14590	0	false								
849432	20899	0	2669	30256	0	37537	0	0	0	0	0	66877	0	4565		19833	6452	6837	12698	0	3580	9118	7135	0	3073	10013	6606	0	34868	62312	0	0	1248	0	16254	3438	0	0	11025	2061	0	false								
849450	10886	0	32509	77478	0	117790	0	0	459	12588	0	90256	0	18292		14227	53712	3123	10596	459	2856	7740	3002	629	1624	8855	853	100	85270	71830	11	134	407	12129	10635	797	12129	0	9953	525	0	false								
849647	14286	0	16293	23281	0	68259	0	0	0	2578	0	50761	0	2354		14452	17463	2312	7265	0	2160	5106	5793	1393	101	790	984	2685	51448	48407	518	0	0	150	2132	2428	0	0	891	0	0	false								
849777	112149	0	601	2884	0	11681	0	0	0	0	0	217734	2	314		41149	41808	23187	18708	0	7434	11275	12914	9526	2625	7045	7270	5688	11080	217418	0	0	8177	0	17754	4874	0	0	8004	1666	0	true								
850036	1000817	7	10001	197661	0	299130	0	0	125407	309149	0	2141001	0	80007		272295	600441	29762	145433	20791	54550	91451	68159	58135	193082	54115	18041	2210	279481	2054363	9641	6631	5075	183742	247879	19569	182940	0	230389	16808	4356	true	25892	134700	118890	266461	314168	572489	389222	
850054	19084	0	15868	23384	0	56631	0	0	3000	3000	0	63023	0	13999		20461	10913	4282	13858	2000	6470	7432	6146	413	5380	4852	2333	0	40763	49024	0	0	806	0	9379	3186	0	0	6239	3186	0	false								
850456	19255	7	13688	25225	0	62195	0	0	0	0	0	81507	0	10570		31358	12908	6542	21196	0	5647	15549	8064	2098	4930	9695	2681	680	48500	70937	0	0	1003	0	13850	4136	0	0	11040	3585	0	true								
851060	6800	0	179	42543	0	61600	0	0	0	0	0	34040	0	306		3175	18932	979	2702	0	1731	1139	211	94	2052	1407	0	1675	61421	33734	0	0	319	0	2406	2728	0	0	1717	1528	0	false								
