"IDRSSD"	RCFDF236	RCFDF237	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFDK652	RCFDK653	RCFDK654	RCFDK655	RCFDK656	RCFDK657	RCFDK658	RCFDK659	RCFDK660	RCFDK661	RCFDK663	RCFDK664	RCFDK665	RCFDK666	RCFDK667	RCFDK668	RCFDK669	RCFDK670	RCFDK671	RCFDK672	RCFDK673	RCFDK674	RCFDK675	RCFDL189	RCFDL194	RCFDL195	RCFDL196	RCFNF234	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ944	RCONJ945	RCONK652	RCONK653	RCONK654	RCONK655	RCONK656	RCONK657	RCONK658	RCONK659	RCONK660	RCONK661	RCONK663	RCONK664	RCONK665	RCONK666	RCONK667	RCONK668	RCONK669	RCONK670	RCONK671	RCONK672	RCONK673	RCONK674	RCONK675	RCONK676	RCONK677	RCONK678	RCONK679	RCONK680	RCONK681	RCONK682	RCONL189	RCONL190	RCONL194	RCONL195	RCONL196	RCONL197	TEXTA545	
3614846																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	530	23	267	1	51958	1981	13042	34	65797	0	0	0	0	0	0	0	0	0	0	253	1	84814	1	6907	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3614930																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	2190	48	262	1	161219	6932	212258	271	375929	0	0	0	0	0	0	0	0	0	0	65706	98	422168	1	42371	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3614958																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	0	0	0	0	69884	1169	210569	220	280453	0	0	0	0	0	0	0	0	0	18729	57012	90	345907	1	37111	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3614976																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	5282	130	295	1	176050	4125	203358	365	385000	15	0	0	0	0	0	0	0	0	13624	42696	58	415874	1	39771	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3615021																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	0	0	0	0	32354	424	30502	60	62856	0	0	0	0	0	0	0	0	0	96	3031	7	78545	1	16299	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3616309																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	8225	267	269	1	126296	3766	24272	58	159063	0	0	0	0	0	0	0	0	0	3071	3867	4	216082	1	17585	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3616680																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF																																							CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF														Virginia National Bank	
3617856																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	3801	123	265	1	48923	3349	21765	54	74753	0	0	0	0	0	0	0	0	0	0	3391	6	86674	1	9415	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3619216																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	1973	48	0	0	98948	2663	76120	102	177041	0	0	0	0	0	0	0	0	0	0	17146	29	195786	1	25276	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3619739																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	9246	194	0	0	170390	7050	102731	168	282366	0	0	0	0	0	0	0	0	0	0	21451	29	338040	1	42935	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF														www.bankfirstatlantic.com	
