"IDRSSD"	RCFDF236	RCFDF237	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFDK652	RCFDK653	RCFDK654	RCFDK655	RCFDK656	RCFDK657	RCFDK658	RCFDK659	RCFDK660	RCFDK661	RCFDK663	RCFDK664	RCFDK665	RCFDK666	RCFDK667	RCFDK668	RCFDK669	RCFDK670	RCFDK671	RCFDK672	RCFDK673	RCFDK674	RCFDK675	RCFNF234	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ944	RCONJ945	RCONK652	RCONK653	RCONK654	RCONK655	RCONK656	RCONK657	RCONK658	RCONK659	RCONK660	RCONK661	RCONK663	RCONK664	RCONK665	RCONK666	RCONK667	RCONK668	RCONK669	RCONK670	RCONK671	RCONK672	RCONK673	RCONK674	RCONK675	RCONK676	RCONK677	RCONK678	RCONK679	RCONK680	RCONK681	RCONK682	TEXTA545	
1557																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1935	289	0	0	35414	2632	22727	42	60076	0	0	0	0	0	0	0	0	0	0	12698	22	66098	1	5748	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1669																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	11761	495	0	0	136476	12381	54176	46	202413	0	0	0	0	0	0	0	0	0	0	18992	15	245368	1	42398	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1829																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	19124	1607	3969	6	245443	23273	73597	122	342132	0	0	0	0	0	0	0	0	0	1206	21504	44	405623	1	33402	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1856																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	0	0	0	0	65196	804	0	0	65196	0	0	0	0	0	0	0	0	0	0	0	0	140921	1	21690	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2040																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	8141	446	0	0	108489	7979	39776	58	156406	0	0	0	0	0	0	0	0	0	11400	4865	9	196927	2	20491	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2161																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	7090	337	251	1	74686	7135	37831	44	119859	0	0	0	0	0	0	0	0	0	0	10454	21	132864	1	14056	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2376																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF		153000	0	75534	3912	1368	5	1057329	54018	273925	486	1408157	0	0	0	0	0	0	0	0	0	0	20119	35	2570976	1	412401	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2554																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	26	1	0	0	9460	605	1568	4	11054	0	0	0	0	0	0	0	0	0	0	310	1	11983	2	905	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2732																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	15185	581	590	2	227699	10161	211771	208	455245	0	0	0	0	0	0	0	0	0	0	31134	41	532379	1	75113	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2750																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1950	121	0	0	33830	2122	12844	27	48624	0	0	0	0	0	0	0	0	0	0	2093	5	58641	1	5156	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3177																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	48774	1747	6833	16	487709	45144	226308	242	769624	0	0	0	0	3933	0	0	0	0	0	10990	29	992831	2	95560	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3252																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	6164	258	262	1	72685	6580	65729	66	144840	0	0	0	0	0	0	0	0	0	4818	45450	40	157993	1	19535	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3458																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	648	24	0	0	20490	1819	5545	7	26683	0	0	0	0	0	0	0	0	0	0	0	0	34201	1	3296	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3720																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	6759	291	614	2	115808	12564	49524	60	172705	0	0	0	0	0	0	0	0	0	0	4325	9	209771	1	28990	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3953																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	0	0	0	0	39616	2483	5220	13	44836	0	0	0	0	0	0	0	0	0	0	3638	7	48867	1	1319	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3971																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	33087	1358	1268	4	445215	46098	54621	118	534191	0	0	0	0	0	0	0	0	0	0	8636	16	666667	1	83411	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
4156																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	6056	277	918	3	129312	9154	30708	60	166994	0	0	0	0	0	0	0	0	0	14609	7204	16	200231	1	18569	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
4231																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	11613	305	7714	21	75300	6477	17852	30	112479	0	0	0	0	0	0	0	0	0	0	4889	9	125776	1	14685	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
4437																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	10832	617	611	2	171461	15145	44323	72	227226	0	0	0	0	0	0	0	0	0	3837	4830	11	259935	1	25568	613	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
4839																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	11820	418	1675	2	204614	31110	49412	84	267585	64	0	0	0	0	0	0	0	0	0	6699	16	320654	1	32227	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5005																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	19419	1091	523	2	204317	16630	27251	66	251510	0	0	0	0	0	0	0	0	0	0	4635	11	343356	1	27267	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5069																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	856	26	539	2	212495	1823	100818	160	314708	0	0	0	0	0	0	0	0	0	0	10537	19	441654	1	128956	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5135																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	16712	568	823	3	199824	11978	87134	117	304493	0	0	0	0	0	0	0	0	0	0	20397	27	370580	1	39077	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5210																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	59285	7843	1389	5	634806	12196	95432	183	790913	0	0	0	0	0	0	0	0	0	1546	17076	37	990028	1	83133	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5331																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	7723	717	1069	3	177745	10720	45383	79	234993	3073	0	0	0	0	0	0	0	0	6349	8823	11	402412	1	37264	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5461																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	4117	184	1144	1	197134	12530	205239	241	407634	0	0	0	0	0	0	0	0	0	18611	48977	88	470408	1	44551	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5751																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	4995	201	0	0	49003	3292	40730	47	94728	0	0	0	0	0	0	0	0	0	0	854	3	123718	1	26702	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
6039																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	7582	495	587	2	52310	4634	13479	22	73958	0	0	0	0	0	0	0	0	0	0	6507	8	85394	1	8767	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
6141																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1234	47	0	0	29281	2290	28847	30	59363	0	0	0	0	0	0	0	0	0	0	13454	9	63280	1	5008	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
6329																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	12809	613	1621	4	311120	28962	77581	167	403131	0	0	0	0	0	0	0	0	0	0	17653	35	434048	1	31896	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
7009																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1260	23	3152	4	156101	4705	591183	480	751696	0	0	0	0	0	0	0	0	0	0	88254	3	781107	1	50627	0	false			true	334644	74697	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
7045																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	5670	418	923	2	79427	9110	48095	35	134115	0	0	0	0	0	0	0	0	0	0	6482	8	149715	1	15397	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
7072																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	16399	491	301	1	74584	5152	9397	22	100681	0	0	0	0	0	0	0	0	0	0	0	0	134369	2	24227	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
7157																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	3130	105	273	1	31132	3026	10076	12	44611	0	0	0	0	0	0	0	0	0	0	1562	1	48774	1	4322	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
7456																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2711	375	0	0	41766	3890	11631	22	56108	0	0	0	0	0	0	0	0	0	0	3119	7	58299	1	5065	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
7634																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	4665	183	264	1	46776	2669	4465	11	56170	0	0	0	0	0	0	0	0	0	0	320	1	61173	2	5525	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
8033																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	5425	178	0	0	99119	4986	31269	47	135813	0	0	0	0	0	0	0	0	0	0	10661	14	166608	2	16080	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
8462																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	3726	165	761	2	58995	5203	84128	89	147610	0	0	0	0	0	0	0	0	0	0	25226	28	159191	1	14648	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
8631																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2730	110	428	1	42183	3678	7980	19	53321	0	0	0	0	0	0	0	0	0	0	2105	6	59007	1	6567	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
9357																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	645	57	0	0	78540	3912	202073	220	281258	0	0	0	0	0	0	0	0	0	0	42797	77	368478	1	42767	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
9553																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	6982	219	0	0	61038	4639	21875	48	89895	0	0	0	0	0	0	0	0	0	0	8490	19	118163	2	9215	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
9807																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF		266764	0	64849	2986	3972	12	1122827	46483	560449	559	1752097	0	0	0	0	0	0	0	0	0	0	95493	110	2295053	1	286544	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
9955																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1910	187	0	0	66100	6239	29855	42	97865	0	0	0	0	0	0	0	0	0	0	4158	8	110816	1	12553	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
10250																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	48150	2304	2609	9	233690	28738	63815	119	348264	0	0	0	0	0	0	0	0	0	870	11179	18	370485	1	18676	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
10849																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	8835	342	267	1	184262	5121	39134	70	232498	0	0	0	0	0	0	0	0	0	0	19709	22	266683	1	25702	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
10858																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	6439	683	0	0	187473	20011	140608	159	334520	0	0	0	0	0	0	0	0	0	12883	23451	46	412040	1	31348	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
11145																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	8941	373	1701	3	96502	13897	45860	62	153004	0	0	0	0	0	0	0	0	0	0	2597	7	176579	1	16481	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
11275																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF		97054	0	43407	3575	3006	9	766162	48829	302508	546	1115083	0	4060	0	0	0	0	0	0	0	136923	69710	89	1299876	1	135223	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF								0	
11640																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	14684	588	2931	9	144615	9812	134863	143	297093	0	0	0	0	0	0	0	0	0	0	46174	40	352614	1	31849	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
11837																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	3940	232	312	1	47870	3554	30627	21	82749	0	0	0	0	0	0	0	0	0	0	789	2	105061	1	10998	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12030																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	22238	1047	2110	7	199319	16946	51409	89	275076	0	0	0	0	0	0	0	0	0	0	27418	34	314583	2	38047	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12142																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	7850	303	351	1	115430	10155	53399	90	177030	0	0	0	0	0	0	0	0	0	0	12239	26	188918	1	20066	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12179																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2499	155	0	0	25949	1866	4032	4	32482	0	0	0	0	0	0	0	0	0	0	1773	1	39817	1	6631	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12245																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	7552	333	0	0	77579	9144	13777	23	98908	0	0	0	0	0	0	0	0	0	2453	1434	4	120151	1	13150	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12311	49174912	2932343	35972	0	0	35000	64973	143467	111506	736580	54397898	1	4359556	0	false			true	4687211	86022	CONF	CONF	CONF	CONF	CONF	CONF	0	129085	0	0	CONF	CONF	CONF	2932343	7487980	0	1238545	88917	26405	82	27129160	2971357	17848459	13665											291224	6876327	4341											CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF	397476	14243	489988	20400	63966	132028	5677		
12647																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	5119	200	503	2	45276	3939	41055	28	91953	0	0	0	0	0	0	0	0	0	0	2055	5	103343	1	9755	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12656																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	714	41	0	0	14382	1398	550	2	15646	0	0	0	0	0	0	0	0	0	0	272	1	17143	1	1466	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12937																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	4546	160	1996	3	74676	4532	98024	87	179242	0	0	0	0	0	0	0	0	0	0	25685	29	225149	1	32837	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12946																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	29350	931	2581	6	361569	25826	260460	283	653960	0	0	0	0	0	0	0	0	0	1176	46007	66	738506	2	67271	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12955																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	5620	260	0	0	69835	7725	28386	51	103842	0	0	0	0	0	0	0	0	0	0	2926	6	119958	1	12655	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
13103																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF		194722	0	55974	3103	6125	15	563709	47513	411784	450	1037592	0	0	0	0	0	0	0	0	0	0	53135	77	1328172	1	166110	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
13251																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2031	369	556	1	24231	2224	12612	19	39430	0	0	0	0	0	0	0	0	0	0	0	0	42223	1	3454	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
13457																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1095	71	0	0	12872	1339	2226	4	16193	0	0	0	0	0	0	0	0	0	0	0	0	22056	1	5993	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
14052																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2522	106	540	2	43355	5688	4869	11	51286	0	0	0	0	0	0	0	0	0	0	2219	3	60226	1	6716	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
14155																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	4756	292	273	1	77382	9051	16751	24	99162	0	0	0	0	0	0	0	0	0	6145	4302	3	117638	1	14365	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
14650																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1288	56	0	0	18628	2461	4930	5	24846	0	0	0	0	0	0	0	0	0	0	262	1	27502	1	2791	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
14753																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	3902	147	0	0	29056	3294	6458	11	39416	0	0	0	0	0	0	0	0	0	0	4032	6	44185	1	2566	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
