"IDRSSD"	RCFD0071	RCFD0081	RCFD1754	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1754	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	
4156																																							7461	4014	0	40345	0	1783	6417	24	8228	225054	186848	751	202788	0	1988	14600	0	22266	1200	225054	0	0	15471	0	0	6657	0	45458	141390			0	158525	156537	-1062	245	0	0	589	22266		
4231																																							18943	1752	0	43022	0	0	794	962	1283	110041	93907	307	94214	0	622	0	0	15827	500	110041	0	0	4768	0	0	12100	0	25688	68219			0	43907	43285	-1541	0	0	0	0	15827		
5069																																							97161	894	0	28036	0	0	39283	4223	6354	486121	285743	9342	295085	0	11550	0	0	191036	4500	486121	0	0	180039	0	0	4129	0	61378	224365			0	321720	310170	2368	0	0	0	0	191036		
5135																																							39787	6630	0	56753	0	1042	5547	269	22209	512857	406092	3121	443189	0	4635	33976	0	69668	651	512857	0	0	45691	0	0	24391	0	60717	345375			0	385255	380620	-1065	0	0	0	0	69668		
5210																																							45551	18145	33517	162957	1663	15151	25055	63	72768	1636026	1359533	10827	1483101	0	13414	74216	0	152925	4798	1636026	0	0	113809	0	0	43353	1112	68047	1291486			0	1272446	1259032	-9035	0	0	0	38525	152925	1012	
5461																																							46843	15405	0	150335	0	102	12075	0	16373	668028	605408	5582	610990	0	6137	0	0	57038	2059	668028	0	0	54908	0	0	4241	0	228666	376742			0	433032	426895	-4170	0	0	0	0	57038		
5751																																							0	5270	0	32108	0	1207	2463	143	6836	197108	159913	1862	162633	0	2085	0	0	34475	600	197108	0	0	25584	0	0	8752	434	25046	134867			0	150732	148647	-461	0	0	858	0	34475		
6039																																							43915	2741	0	20992	556	0	7500	2732	2955	274214	242503	2274	244777	0	2895	0	0	29437	469	274214	0	0	-1314	0	0	30568	0	72155	170349			0	188918	186023	-286	6800	0	0	0	29437		
6329																																							17171	26854	0	28817	0	0	24162	530	26437	750800	670182	7409	680591	0	10794	3000	0	70209	2600	750800	0	0	45450	0	0	22400	1915	223045	447137			0	625708	614914	-241	10000	0	0	0	70209		
7009																																							31205	843	0	334374	0	0	3184	0	11088	654839	566915	10284	577199	0	0	0	0	77640	500	654839	5535	0	75245	0	0	553	0	154997	411918			0	268610	268610	1342	0	0	0	0	77640		
