"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
809940	17847	0	10224	37926	0	65878	0	0	0	0	102127	0	2450	0	26506	21662	12124	55654	99677	0	0	6826	0	0	9426	27386	8671	89	36812	3003	12291	1401	351	19066	17046	0	0	14545	0	true							
810544	24000	0	17756	34917	0	84282	0	0	0	0	87866	0	6784	21246	25243	23354	5767	66334	81082	192	0	1172	0	0	5963	12224	13711	2317	17999	1121	3902	676	598	8972	6297	0	0	5023	0	false							
810777	723567	0	27381	95351	0	127243	0	0	120505	0	1395888	0	207304	0	232441	184795	83151	99495	1175765	367	12819	27616	120505	90261	89680	139585	138940	48566	229264	13175	33854	17599	6129	184329	70757	8694	0	47028	12317	true	52548	31517	100420	39088	425348	183088	
810919	2638350	0	10885	340000	0	340000	0	0	210200	0	3975645	0	101759	91899	600335	511025	167474	329115	3873886	0	0	40151	210200	45836	145598	230868	267701	108476	330266	19636	35124	9854	9013	152308	73627	1162	0	54760	0	true	53114	22890	297216	213809	1799701	736889	
811046	106685	0	32171	309896	0	392497	0	0	45992	0	3012137	0	338582	349822	320357	2009243	48112	351625	2671838	8701	1717	17421	45992	45992	185751	252511	112471	10325	438262	82062	216740	34115	2234	240701	335151	31070	0	298802	0	true	96074	74560	469346	1539897	75352	31333	
811279	147695	1	9617	137767	0	237954	0	0	10435	0	482003	0	15627	22569	138629	87610	42880	228336	466376	0	0	17075	10435	9153	22167	48797	93494	45951	70964	4119	11377	11986	8807	71778	36289	0	0	15496	0	true							
811457	3028	0	478	10217	0	12214	0	0	0	0	8439	0	0	0	2063	1172	0	11736	8439	0	0	0	0	0	1051	2583	0	0	3634	0	605	0	0	1571	605	0	0	605	0	true							
811541	9105	0	2279	21012	0	28685	0	0	0	0	39328	0	6364	6032	7879	8268	3559	26406	32964	0	0	1506	0	0	4905	8488	3114	1140	13373	861	2224	1223	0	9768	4308	0	0	3084	0	true							
811550	13778	0	5120	11421	0	25727	0	0	2111	0	33152	0	2781	4999	11690	167	1393	20607	30371	0	0	0	2111	0	3064	11143	3325	0	13787	776	898	0	0	5841	1674	0	0	1674	0	true							
811747	19578	0	10694	28056	0	64890	0	0	2115	0	127579	0	12812	22248	31119	18581	13582	54079	93806	117	20961	5877	2115	1041	10868	25438	34314	2182	36306	4033	7201	5003	381	41683	16618	0	0	11234	20961	true							
812164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false							
812379	11664	0	5032	11711	0	32184	0	0	7173	0	61435	0	7953	0	11782	5777	2591	26907	53000	245	482	978	7173	6009	4975	14278	7474	1696	19253	4014	8212	793	2553	16641	15571	851	0	12226	0	false							
