"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON8492	RCON8495	RCON8496	RCON8499	RCONA511	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONJA22	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Equity securities with readily deter	
2661861	0	0					366	8463	18408					641			8463	5708	0	0	0										
2666400	0	0					2407	4198	4042					0			0	2614	0	0	2303										
2667920	0	0					300	0	0					0			0	0		0	0									0	
2667939	0	0					1148	0	57926					24227			0	30471	0	0	15626										
2667957	0	24897					2507	0	150950					32250			0	79238	0	0	36024										
2668598	0	0					1304	0	70891					14641			0	31129	0	0	0										
2684552	0	0					1237	3109	0					26000			3109	0	0	0	0										
2686211	0	0					649	8900	45362					5000			0	0	0	0	0										
2687133	0	0					1840	0	54852					18432			0	24651	0	0	16750										
2687487	0	0					633	0	3180					3444			0	0	1973	0	0										
2692753	0	0					767	0	168692					0			0	10485	0	0	7739										
2693264	0	0					11688	39574	130942					60000			14574	9627		0	2178									3254	
2694681	0	0					1843	0	71032					0			0	18287		0	0									0	
2694944	0	0					108	0	8453					0			0	1214	0	0	108										
2696180	0	0					114	0	29712					919			0	3042	0	0	2355										
2697963	0	0					1120	0	81681					17477			0	0	0	0	11045										
2700984	0	0	0	0	0	0	126	0	1109	10382	2522962	0	2234893	188147	0	337	0	472		10545	0	0	300	0	0	0	0	0	0	21940	
2702764	0	0					281	0	42875					2148			0	24454		0	0										
2705112	0	488					187	0	43196					0			0	23001	0	0	0										
2705895	0	0					14566	5212	30277					33000			0	1101	0	0	0										
2708122	0	0					2256	0	64930					15000			0	17738	0	0	13704										
2710554	0	0					245	0	29436					0			0	19980	0	0	0										
2713920	0	0					401	0	12718					0			0	0	8308	0	0										
2716088	0	0					4105	0	43752					53000			0	20803	0	0	0										
2716828	0	0					726	4086	17122					0			4086	0	0	0	0										
2717012	0	2964					8447	0	30803					40727			0	0		0	0									0	
2718596	0	0					279	0	103095					0			0	42552	0	0	29729										
2719427	0	0					26630	65101	664045					230000			6199	237		0	4948									10860	
2719810	0	0					364	0	98					0			0	0		0	0										
2723376	0	465					637	0	86141					0			0	16911	1705	0	0										
2724766	0	1723					62	0	11383					0			0	307	0	0	0										
2726050	0	2477					259	6508	3907					5525			6508	0	0	0	0										
2728661	0	0					907	0	20608					7000			0	2766	0	0	0										
2728746	0	0					276	1573	792					5500			771	0	0	0	0										
2729677	0	0					46497	0	2264521					1688813			0	12816		0	20000										
2730431	0	0					2136	0	0					49920			0	0		0	0									0	
2732565	0	0					544	0	94965					0			0	54463		0	0										
2733263	0	0					1633	50	55844					4136			0	9493	0	0	0										
2734729	0	9822					9938	0	829266					32000			0	177305	0	0	0										
2735137	0	0					1820	3942	0					29044			920	0		0	0									0	
2735146	0	156211					304235	110307	1276593					6821042			0	0		0	0									15099	
2735173	0	0					232	0	7539					0			0	0	0	0	0										
2735324	0	3468					301	0	13854					0			0	0		0	0										
2736219	0	0					4099	0	50819					80000			0	1096	3123	0	0										
2736291	0	234994					84051	0	1781334					631271			0	0		0	263318									3610	
2736451	0	0					2625	0	67033					7258			0	4292		0	0									0	
2736714	0	0					3575	0	62207					0			0	5180		0	0									515	
2737980	0	0					10350	0	1446					205000			0	0	1446	0	0										
2743244	0	0					1273	8253	324380					137			8253	60624	3843	0	0										
2744782	0	0					2657	0	108253					32000			0	17306	0	0	0										
2745426	0	0					1354	0	80526					6591			0	32896	0	0	0										
2745529	0	98					0	0	25358					0			0	0	0	0	0										
2746245	0	0					271	0	24341					0			0	9866	0	0	0										
2746263	0	0					4677	92660	66566					4515			27801	14203	0	0	19634										
2747279	0	0					545	0	5072					1014			0	2482		0	0									0	
2747466	0	0					632	0	31628					3500			0	11627	0	0	1670										
2747587	0	0					5130	0	135940					113998			0	1007	0	0	6173										
2748502	1000	23834					826	37195	73063					0			10195	1521	0	0	0										
2749059	0	0					714	0	7613					14200			0	0	0	0	0										
2751007	0	0					2065	0	46044					47000			0	18294	0	0	0										
2753917	0	0					124	0	734					0			0	0	0	0	0										
2754222	0	0					593	0	0					11300			0	0	0	0	0										
2754389	0	0					65	0	0					0			0	0	0	0	0										
