"IDRSSD"	RCFDF236	RCFDF237	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFDK652	RCFDK653	RCFDK654	RCFDK655	RCFDK656	RCFDK657	RCFDK658	RCFDK659	RCFDK660	RCFDK661	RCFDK663	RCFDK664	RCFDK665	RCFDK666	RCFDK667	RCFDK668	RCFDK669	RCFDK670	RCFDK671	RCFDK672	RCFDK673	RCFDK674	RCFNF234	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ944	RCONJ945	RCONK652	RCONK653	RCONK654	RCONK655	RCONK656	RCONK657	RCONK658	RCONK659	RCONK660	RCONK661	RCONK663	RCONK664	RCONK665	RCONK666	RCONK667	RCONK668	RCONK669	RCONK670	RCONK671	RCONK672	RCONK673	RCONK674	RCONK675	RCONK676	RCONK677	RCONK678	RCONK679	RCONK680	RCONK681	RCONK682	TEXTA545	
219259																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	4397	205	302	1	100326	9517	28532	61	133557	0	0	0	0	0	0	0	0	0	0	4173	10	152581	1	14714	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
219343																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF		258956	0	65290	2712	4157	13	771745	60728	365440	309	1206632	0	0	0	0	0	0	0	0	0	29351	27182	51	1450289	1	127618	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
219651																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	9338	374	875	3	113837	9717	65490	98	189540	0	0	0	0	0	0	0	0	0	0	6047	7	213445	1	21515	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
219857																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	748	52	0	0	13383	1523	3539	5	17670	0	0	0	0	0	0	0	0	0	0	520	1	19623	1	2301	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
220059																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	12905	969	260	1	176156	21408	47264	84	236585	0	0	0	0	0	0	0	0	0	0	8818	16	305974	1	28543	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
220527																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF		90444	0	47229	1799	5481	16	628223	56755	166817	210	847750	0	0	0	0	0	0	0	0	0	38406	42530	70	1068989	1	98697	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
220844																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	4099	177	0	0	70070	4543	15899	30	90068	0	0	0	0	0	0	0	0	0	11003	1204	3	111865	1	8775	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF								NA	
221476																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	14436	780	1329	4	227985	21704	55792	89	299542	0	0	0	0	0	0	0	0	0	0	4413	8	393422	2	40720	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
222147																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF		695143	0	283834	21578	11680	29	5519548	521752	1693011	2275	7508073	0	0	0	0	0	0	0	0	0	1497	607088	687	9369593	1	702855	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF	0	26254	0	0	CONF	CONF	CONF	10040	0	129292	960	95709	3151	5565		
222156																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	13338	1242	514	2	83259	9550	19696	32	116808	0	0	0	0	0	0	0	0	0	0	3331	4	140096	1	21456	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
