"IDRSSD"	RCFA2170	RCFA3128	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAJJ30	RCFAJJ31	RCFAJJ32	RCFAKW00	RCFAKW03	RCFAKX77	RCFAKX78	RCFAKX79	RCFAKX80	RCFAKX81	RCFAKX82	RCFAKX83	RCFALB58	RCFALB59	RCFALB60	RCFALB61	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP845	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP852	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFAS540	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP851	RCFWP852	RCFWP853	RCFWP854	RCFWP855	RCFWP856	RCFWP857	RCFWP858	RCFWP859	RCFWP870	RCOA2170	RCOA3128	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAJJ30	RCOAJJ31	RCOAJJ32	RCOAKW00	RCOAKW03	RCOAKX77	RCOAKX78	RCOAKX79	RCOAKX80	RCOAKX81	RCOAKX82	RCOAKX83	RCOALB58	RCOALB59	RCOALB60	RCOALB61	RCOALE74	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP845	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP852	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCOAS540	RCOWH312	
1669																																																																																						332878	0				15.3075%			50663		330969	1089	0										49063	330969	0	0.0000%	12363	0	193	12556	3.7720%	0	0	0	0	1	1600		1	0	51752	0	0	0	1089		0	0	0		0	50663	0	0	50663	0	0	0	0	0	0						0		0	0		
1856																																																																																						91574	0				12.2660%			11347		92508	445	0										213	92606	0	0.0000%	5796	0	0	5796	6.3293%	0	0	0	0	1	11232		1	0	11890	98	0	0	445		0	0	0		0	11347	0	0	11347	0	0	0	0	0	0						98		0	0		
2161																																																																																								24365	1993	1993	10.3123%	14.2287%	13.0648%	22372	171239	216945	226	45601			6.2287%							15423	262546								0	0	0		0	6949	13.0648%	1	0	22598	0	0	0	226		0	0	0		0	22372	0	0	22372	0	0	0	0	0	0	0	0	0	1993	0	0		0			
2732																																																																																						686145	0				15.0556%			100932		670397	654	0										96255	671509	0	0.0000%	90357	0	401	90758	13.2272%	0	0	0	0	1	5789		1	0	102698	0	1112	0	654		0	0	0		0	100932	0	0	100932	0	0	0	0	0	0						1112		0	6833		
2750																																																																																								7955	436	436	12.1339%	16.5000%	15.5957%	7519	48212	61967	89	0			8.5000%							506	61967								0	0	0		0	7013	15.5957%	1	0	7608	0	0	0	89		0	0	0		0	7519	0	0	7519	0	0	0	0	0	0	0	0	0	436	0	0		0			
3252																																																																																								30338	1627	1627	12.3053%	23.8336%	22.5554%	28711	127291	233323	955	0			15.8336%							28211	233323								0	0	0		0	500	22.5554%	1	0	29666	0	0	0	955		0	0	0		0	28711	0	0	28711	0	0	0	0	0	0	0	0	0	1627	0	0		0			
3458																																																																																								5908	546	546	8.4356%	12.6746%	11.5032%	5362	46613	63564	66	0			4.6746%							4161	63564								0	0	0		0	1201	11.5032%	1	0	5428	0	0	0	66		0	0	0		0	5362	0	0	5362	0	0	0	0	0	0	0	0	0	546	0	0		0			
3720																																																																																						311894	0				12.8669%			39965		310603	1844	0										22165	310603	0	0.0000%	16354	0	338	16692	5.3518%	0	0	0	0	1	17800		1	0	41809	0	0	0	1844		0	0	0		0	39965	0	0	39965	0	0	0	0	0	0						0		0	0		
3971																																																																																								107282	6681	6681	12.4391%	15.6880%	14.7110%	100601	683847	808746	494	1671			7.6880%							5586	816327								0	0	0		0	100925	14.7110%	1	0	107005	363	5352	195	494		0	0	0		0	100601	0	0	100601	0	0	0	0	0	0	0	0	0	6681	0	5910		0			
4156																																																																																						264210	0				8.7033%			22842		262453	1113	0										16768	264236	0	0.0000%	23960	0	285	24245	9.1764%	0	0	0	0	1	7857		1	0	25738	1783	0	0	1113		0	0	0		0	22842	0	0	22842	0	0	0	0	0	0						1783		0	0		
4231																																																																																						130312	0				14.1184%			18117		128322	1060	0										5522	128327	0	0.0000%	3384	0	0	3384	2.5968%	0	0	0	0	1	12600		1	0	19182	0	0	5	1060	0	0	0	0		0	18117	0	0	18117	0	0	0	0	0	0						5		0	1690		
5069																																																																																								196488	4149	4149	45.8443%	59.8978%	58.6330%	192339	328039	419548	1674	0			51.8978%							183710	419548								0	0	0		0	8629	58.6330%	1	0	194013	0	0	0	1674		0	0	0		0	192339	0	0	192339	0	0	0	0	0	0	0	0	0	4149	0	0		0			
5135																																																																																						545033	0				14.4761%			80161		553746	37	0										56161	554788	0	0.0000%	45506	0	1476	46982	8.6200%	0	0	0	0	1	25042		1	0	81240	1042	0	0	37		0	0	0		0	80161	0	0	80161	0	0	0	0	0	0						1042		0	1906		
5210																																																																																								241142	19293	19293	9.2172%	14.1725%	13.0386%	221849	1701480	2406896	-1846	-6720			6.1725%		0					139841	2431306								0	0	0		0	113138	13.0386%	1	0	251133	27842	3288	0	4874		0	-6720	0		0	221849	0	0	221849	0	0	0	0	0	0	0	0	0	19293	0	31130		0			
5461																																																																																						755920	0				9.4025%			71648		762012	4768	0										65433	762097	0	0.0000%	46827	0	4659	51486	6.8110%	0	0	0	0	1	6300		1	0	76501	0	85	0	4768		0	0	0		0	71648	0	0	71648	0	0	0	0	0	0						85		0	6109		
5751																																																																																						229826	0				15.9324%			37221		233619	1332	0										29019	234769	0	0.0000%	22959	0	436	23395	10.1794%	0	0	0	0	1	9352		1	0	39703	1089	61	0	1332		0	0	0		0	37221	0	0	37221	0	0	0	0	0	0						1150		0	100		
6039																																																																																						340617	0				9.6962%			32984		340173	277	0										1947	340173	0	0.0000%	22997	0	475	23472	6.8910%	0	0	0	0	1	31037		1	0	33261	0	0	0	277		0	0	0		0	32984	0	0	32984	0	0	0	0	0	0						0		0	0		
6329																																																																																								99894	9950	9950	7.8880%	12.6419%	11.3827%	89944	790183	1140263	631	0			4.6419%							50993	1141312								0	0	0		0	40000	11.3827%	1	0	91624	0	0	1049	631		0	0	0		0	89944	0	0	89944	0	0	0	0	0	0	0	0	0	9950	0	1049		0			
7009																																																																																								91996	0	0	9.7916%	21.6039%	21.6039%	91996	425831	939536	1569	0			13.6039%							90944	939536								0	0	0		0	1052	21.6039%	1	0	93565	0	0	0	1569		0	0	0		0	91996	0	0	91996	0	0	0	0	0	0	0	0	0	0	0	0		0			
7045																																																																																						238715	0				9.8337%			23417		238130	3091	0										20992	238130	0	0.0000%	9611	0	208	9819	4.1133%	0	0	0	0	1	2425		1	0	26508	0	0	0	3091	0	0	0	0		0	23417	0	0	23417	0	0	0	0	0	0						0		0	0		
7072																																																																																								37936	2848	2848	9.9745%	15.9532%	14.7556%	35088	237795	351776	65	0			7.9532%							35503	356251								0	0	0		0	4060	14.7556%	1	0	39628	3707	768	0	109		0	-44	0		0	35088	0	0	35088	0	0	0	0	0	0	0	0	0	2848	0	4475		0			
7456																																																																																								10796	885	885	8.8737%	13.8476%	12.7124%	9911	77963	111689	411	0			5.8476%							2911	111689								0	0	0		0	7000	12.7124%	1	0	10322	0	0	0	411		0	0	0		0	9911	0	0	9911	0	0	0	0	0	0	0	0	0	885	0	0		0			
7634																																																																																						77661	0				13.9251%			10823		77723	344	0										2563	77723	0	0.0000%	1379	0	0	1379	1.7757%	0	0	0	0	1	8260		1	0	11167	0	0	0	344		0	0	0		0	10823	0	0	10823	0	0	0	0	0	0						0		0	1011		
8033																																																																																						344216	0				13.7506%			46410		337512	68	0										38410	337512	0	0.0000%	46982	0	900	47882	13.9105%	0	0	0	0	1	8000		1	0	46478	0	0	0	68	0	0	0	0		0	46410	0	0	46410	0	0	0	0	0	0						0		0	0		
8462																																																																																						178076	0				14.4510%			26061		180341	2407	0										25361	180341	0	0.0000%	0	0	314	314	0.1763%	0	0	0	0	1	700		1	0	28468	0	0	0	2407		0	0	0		0	26061	0	0	26061	0	0	0	0	0	0						0		0	7197		
8631																																																																																						65613	0				11.0471%			7269		65800	68	0										5969	65800	0	0.0000%	2071	0	205	2276	3.4688%	0	0	0	0	1	1300		1	0	7337	0	0	0	68		0	0	0		0	7269	0	0	7269	0	0	0	0	0	0						0		0	0		
9357																																																																																						971866	0				9.5026%			67377		709034	943	48434										44086	790834	0	0.0000%	9720	0	823	10543	1.0848%	0	0	0	0	1	56660		1	0	101689	28667	4699	0	946		0	0	0		0	67377	0	0	67377	0	0	0	0	0	0						33366		0	406782		
9553																																																																																						202284	0				9.4229%			18714		198601	686	1746										16614	200347	0	0.0000%	0	0	75	75	0.0371%	0	0	0	0	1	2100		1	0	19400	0	0	0	707	0	0	0	-21		0	18714	0	0	18714	0	0	0	0	0	0						0		0	21512		
9807																																																																																								389018	25366	25366	14.3183%	19.2360%	17.9817%	363652	2022341	2539767	5193	0			11.2360%							231380	2539767								0	0	0		0	132272	17.9817%	1	0	368845	0	0	0	5193		0	0	0		0	363652	0	0	363652	0	0	0	0	0	0	0	0	0	25366	0	0		0			
9955																																																																																						179423	0				12.7349%			23041		180928	853	0										19915	180928	0	0.0000%	17441	0	9	17450	9.7256%	0	0	0	0	1	3133		1	0	23901	0	0	0	860		0	0	0		0	23041	0	0	23041	0	0	0	0	0	0						0		0	0		
10250																																																																																								47589	3857	3857	7.9267%	15.4643%	14.2110%	43732	307734	551703	4914	0			7.4643%							10232	551703								0	0	0		0	33500	14.2110%	1	0	48646	0	0	0	4914	0	0	0	0		0	43732	0	0	43732	0	0	0	0	0	0	0	0	0	3857	0	0	0	0			
10849																																																																																						258376	0				10.1912%			25942		254552	1892	0										11823	255824	0	0.0000%	10512	0	44	10556	4.0855%	0	0	0	0	1	15391		1	0	29106	694	0	578	1892		0	0	0		0	25942	0	0	25942	0	0	0	0	0	0						1272		0	0		
11145																																																																																								30304	2570	2570	8.4418%	14.9416%	13.6745%	27734	202816	328530	192	0			6.9416%							14184	328980								0	0	0		0	14000	13.6745%	1	0	28376	450	0	0	192	0	0	0	0		0	27734	0	0	27734	0	0	0	0	0	0	0	0	0	2570	0	450	0	0			
11640																																																																																						362343	0				13.2771%			48054		361932	2355	0										5559	361932	0	0.0000%	41046	0	252	41298	11.3975%	0	0	0	0	1	42495		1	0	50409	0	0	0	2355		0	0	0		0	48054	0	0	48054	0	0	0	0	0	0						0		0	0		
11837																																																																																								16039	760	760	13.6737%	26.3986%	25.1477%	15279	60757	111740	1457	0			18.3986%							3279	111740								0	0	0		0	12000	25.1477%	1	0	16736	0	0	0	1457	0	0	0	0		0	15279	0	0	15279	0	0	0	0	0	0	0	0	0	760	0	0	0	0			
12030																																																																																								72802	3800	3800	15.0479%	24.5971%	23.3132%	69002	295978	458550	98	0			16.5971%							68402	458550								0	0	0		0	600	23.3132%	1	0	69100	0	0	0	98	0	0	0	0		0	69002	0	0	69002	0	0	0	0	0	0	0	0	0	3800	0	0	0	0			
12142																																																																																						262917	0				10.7489%			27975		260258	-799	0										10076	260258	0	0.0000%	6356	0	274	6630	2.5217%	0	0	0	0	1	17900		1	0	27177	0	0	0	1648		0	-2446	0		0	27975	0	0	27975	0	0	0	0	0	0						0		0	15057		
12311			12004763	1106744	1442266	9.0081%	13.5937%	11.9605%	10562497	88311157	117255858	289103	0			5.5937%						2334803	119393792								0	0	0		9202059	10.6430%	0	11825965	1881357	189107	58665	269628		301689	-224562	-57653		8805	9398929	0	0	9398929	780000	0	383568	1163568	0	1163568	335522	0	0	1442266	0	2137934		0																																						2																	0			1																																	
12647																																																																																								19126	1073	1073	10.0739%	16.1592%	15.2526%	18053	118360	179206	0	0			8.1592%							1347	179806								0	0	0		0	17306	15.2526%	1	0	18653	0	600	0	0	0	0	0	0		0	18053	0	0	18053	0	0	0	0	0	0	0	0	0	1073	0	600	0	0			
12656																																																																																								2141	138	138	10.3120%	19.5169%	18.2589%	2003	10970	19424	0	0			11.5169%							1552	19433								0	0	0		0	460	18.2589%	1	0	2012	0	0	9	0		0	0	0		0	2003	0	0	2003	0	0	0	0	0	0	0	0	0	138	0	9		0			
12946																																																																																								182138	17125	17125	9.4606%	13.3313%	12.0779%	165013	1366243	1744219	3619	0			5.3313%							113203	1760513								0	0	0		0	68104	12.0779%	1	0	184926	14516	1778	0	3619		0	0	0		0	165013	0	0	165013	0	0	0	0	0	0	0	0	0	17125	0	16294		0			
13103																																																																																								292426	18220	18220	10.3387%	12.6389%	11.8514%	274206	2313705	2652225	-8924	7129			4.6389%							270365	2690032								0	0	0		0	34519	11.8514%	1	0	295960	18407	12271	0	-1795		0	-7129	0		0	274206	0	0	274206	0	0	0	0	0	0	0	0	0	18220	0	30678		0			
13251																																																																																								6661	485	485	11.3734%	17.1999%	15.9475%	6176	38727	54302	21	0			9.1999%							3676	54302								0	0	0		0	2500	15.9475%	1	0	6197	0	0	0	21	0	0	0	0		0	6176	0	0	6176	0	0	0	0	0	0	0	0	0	485	0	0	0	0			
13457																																																																																						25039	0				25.2916%			6396		25289	38	0										494	25289	0	0.0000%	3697	0	0	3697	14.7650%	0	0	0	0	1	5902		1	0	6434	0	0	0	38	0	0	0	0		0	6396	0	0	6396	0	0	0	0	0	0						0		0	0		
14155																																																																																						257860	0				10.2546%			26626		259649	475	0										26290	259649	0	0.0000%	25240	0	850	26090	10.1179%	0	0	0	0	1	336		1	0	27101	0	0	0	475	0	0	0	0		0	26626	0	0	26626	0	0	0	0	0	0						0		0	0		
14650																																																																																						45812	0				11.5118%			5159		44815	0	0										4749	44905	0	0.0000%	2067	0	0	2067	4.5119%	0	0	0	0	1	500		1	0	5249	90	0	0	0		0	0	0		0	5159	0	0	5159	0	0	0	0	0	0						90		0	0		
14753																																																																																						52929	0				8.5925%			4565		53128	79	0										2988	53128	0	0.0000%	3864	0	0	3864	7.3003%	0	0	0	0	1	1577		1	0	4644	0	0	0	79		0	0	0		0	4565	0	0	4565	0	0	0	0	0	0						0		0	0		
14865																																																																																						692812	0				9.1073%			50777		557543	28	81350										36920	640635	0	0.0000%	131517	0	3343	134860	19.4656%	0	0	0	0	1	15599		1	0	52547	0	1450	292	28	0	0	0	0		0	50777	0	0	50777	0	0	0	0	0	0						1742		0	0		
14977																																																																																								10511	524	524	19.7868%	25.1839%	23.9284%	9987	41737	50473	0	0			17.1839%		0					9987	50473								0	0	0		0	0	23.9284%	1	0	9987	0	0	0	0	0	0	0	0		0	9987	0	0	9987	0	0	0	0	0	0	0	0	0	524	0	0	0	0			
16551																																																																																						378337	0				11.1334%			41216		370200	1240	0										23711	372695	0	0.0000%	24917	0	446	25363	6.7038%	0	0	0	0	1	20000		1	0	44951	2433	62	0	1240		0	0	0		0	41216	0	0	41216	0	0	0	0	0	0						2495		0	0		
16748																																																																																						88538	0				11.2035%			10001		89267	232	0										7001	89267	0	0.0000%	0	0	20	20	0.0226%	0	0	0	0	1	3000		1	0	10233	0	0	0	232		0	0	0		0	10001	0	0	10001	0	0	0	0	0	0						0		0	7617		
17110																																																																																								30212	350	350	17.4686%	19.3685%	19.1441%	29862	155985	170947	0	0			11.3685%							22576	170947								0	0	0		0	7286	19.1441%	0	0	29862	0	0	0						0	0	29862	0	0	29862	0	0	0	0	0	0	0	0	0	350	0	0		0			
