"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	
655839																																								36486	6290	0	0	21720	0	7488	3195	5255	491559	412551	2404	438955	0	4252	0	24000	0	52604	49	491559	0	0	32619	0	0	20084	0	97983	314568	2b	1231	0	408577	404325	-148	6800	0	0	0	52604	0	
656032																																								10408	7929	231	1629	75047	0	2328	357	2716	200795	175000	677	180263	0	1507	0	0	0	20533	150	200796	0	0	16640	0	0	5060	0	38604	136396	6	1231	0	101454	99947	-1317	203	0	0	4586	20533		
656247																																								3815	1320	0	4211	5947	0	21	17	1551	45969	35164	713	37994	0	257	0	2117	0	7975	45	45969	0	0	6807	0	0	1205	0	9410	25754	5	1231	0	29316	29059	-82	28	0	0	0	7975		
656359																																								11473	7931	503	0	48103	0	5533	0	8425	212400	188461	2210	191572	0	1386	0	901	0	20828	2300	212400	0	0	5392	0	3000	10700	0	59986	128475	4	1231	0	131818	130432	-564	0	0	0	0	20828		
656377																																								128551	128257	10935	1716566	1269271	0	265388	15904	578667	15633548	11235223	94987	13655210	0	127576	301368	2325000	0	1978338	0	15633548	0	0	1169771	0	0	799668	0	1423882	9811341	2b	0930	0	11346217	11218641	8899	0	0	0	0	1978338		
656470																																								36836	10865	2800	0	235092	0	17865	0	35208	1018482	859198	11596	884875	0	9605	0	0	0	133607	255	1018482	0	0	132778	0	0	4113	1138	229482	629716	2b	1231	0	688098	678493	-3539	185	0	0	14081	133607		
656658																																								9630	1694	0	14773	19358	0	1319	0	1546	101754	91807	144	91951	0	714	0	0	0	9803	700	101754	0	0	6410	0	0	2905	0	29827	61980	1a	1231	0	38427	37713	-212	15721	0	0	0	9803		
656733	50624	332707	344425	933319	1679011	131172	262286	14713	967065	20111535	363856	17171093	2123	161712	1003548	1131474	172938	2938319	5200	20111535	46724	46180	410753	0	0	2526097	561549	2a	0	13934980	13773268	-3731	0	225962	2940442	11124	0	0	0				933319	1679011						15113966						1131474					46724	46180						6400620	8713346		1231					0	0	116717	225962		11124	
656779																																								16139	762	421	7248	13147	229	2847	578	4271	151368	130136	386	130522	0	917	0	0	0	20846	0	151368	0	0	21079	0	0	0	0	3873	126263	1a	630	0	106643	105726	-233	0	0	0	0	20846		
657178																																								10204	665	0	19649	4103	0	1211	0	4659	114613	90557	2202	95759	0	835	0	3000	0	18854	0	114613	0	0	18716	0	0	0	0	1587	88970	1a	1231	0	74957	74122	138	0	0	0	0	18854		
657271																																								35876	15278	10286	5671	114405	483	58268	471	12091	2106130	1798247	12792	1871039	0	10982	0	60000	0	235091	0	2106130	0	0	236777	0	0	0	10712	213241	1585006	1a	1231	0	1853571	1842589	-1686	0	0	0	0	235091	0	
657365																																								31028	120583	11332	0	570351	0	26240	1660	128837	5302500	4389060	25706	4634766	0	31777	11031	220000	0	667734	14	5302500	0	0	105187	13650	0	570740	6008	1352415	3036645	2a	1231	0	4413557	4381780	-8207	0	0	0	0	667734	0	
657459																																								8748	17882	2290	0	362044	0	26848	3451	111591	1880482	1401167	12501	1692375	0	15807	17343	196000	0	188107	12886	1880482	0	0	80606	0	0	98956	3066	84985	1316182	2a	1231	0	1343017	1327210	-4341	9	0	5355	77352	188107	0	
657758																																								14103	3050	23	0	26949	0	705	0	3019	108524	95674	353	96027	0	1157	1901	0	0	12497	1300	108524	0	0	4074	0	0	7300	0	29340	66334	8	1231	0	59931	58774	-177	0	0	0	0	12497		
657954																																								410	2507	117	0	17874	165	2322	0	3254	116046	102343	428	105771	0	1067	0	3000	0	10275	400	116046	0	0	2412	0	0	7600	0	29268	73075	4	1231	0	90464	89397	-137	0	0	0	0	10275		
658072																																								33015	367	0	8803	449	0	1498	0	1758	84238	78264	647	78911	0	315	0	0	0	5327	0	84238	0	0	5327	0	0	0	0	11816	66448	1a	1231	0	38663	38348	0	0	0	0	0	5327		
658474																																								6756	166	0	29470	0	0	349	0	1610	119978	87235	189	87424	0	745	0	0	0	32554	0	119978	0	0	32554	0	0	0	0	182	87053	1a	1031	0	81372	80627	0	1000	0	0	0	32554		
658924																																								37602	5156	0	16507	11668	0	1762	187	1339	138062	119617	555	120172	0	1483	0	0	0	17890	500	138062	0	0	17088	0	0	500	0	39602	80015	1b	1231	0	64867	63384	-198	457	0	0	0	17890		
659341																																								2629	13939	208	0	68573	0	11274	0	3585	339668	302676	1207	303883	0	3911	10	0	0	35785	2660	339668	0	0	29638	0	0	4109	228	101099	201577	7	1231	0	242818	238907	-622	315	0	0	0	35785		
659453																																								540	3805	92	17326	21326	0	1822	0	4080	120854	100928	1259	105818	0	1386	16	3631	0	15036	250	120854	0	0	9736	0	0	5450	0	22319	78609	8	1231	0	73233	71847	-400	0	0	0	0	15036		
