"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	
749635	222033	3642	1563	36419	0	48197	0	0	16514	16514	0	619620	2160	100101		121918	135761	46127	59080	0	16368	43913	37695	23942	18539	56259	38430	26680	42992	517359	0	0	23525	0	77459	62449	0	0	37689	36558	0	
749840	8783	0	967	4035	0	9626	0	0	0	0	0	19110	0	819		3419	5312	3005	2433	0	957	1476	986	0	605	889	102	0	8659	18291	0	0	0	0	1596	0	0	0	1494	0	0	
749943	35579	1	180	22462	0	33177	0	0	0	0	0	122002	0	2151		42282	18455	13456	32521	0	10515	22006	8911	851	6624	10916	6881	1264	32996	119851	0	0	0	0	22952	2733	0	0	16124	1416	0	
749952	2916	0	5310	9536	0	20942	0	0	0	0	0	51425	0	8655		9098	2719	3351	5806	0	1950	3965	1627	1556	11068	7625	7339	10660	15619	42770	13	0	1556	0	16779	19913	0	0	6857	6690	0	
750051	64835	0	1854	27753	0	76431	0	0	0	0	0	143511	0	112		60380	0	15005	36454	0	13269	23186	20484	3441	4738	5431	7056	1071	74577	143399	0	0	2314	0	16179	2117	0	0	8764	1405	0	
750127	32110	8	551	47512	0	65941	0	0	0	0	0	135268	0	757		58486	14920	16302	15126	0	3163	12642	25796	16885	2328	9259	11888	6277	65382	134511	0	0	4102	0	20553	9199	0	0	5866	5491	0	
750154	17019	0	14099	29875	0	49036	0	0	0	0	0	145212	0	12941		38371	36493	13331	31444	0	13856	18453	5213	849	26097	21300	3607	2325	34937	132271	0	0	5446	0	32758	20571	0	0	25642	21755	0	
750239	137537	0	9465	60803	0	119718	0	0	0	0	0	928885	1001	33897		113327	610014	59095	90328	0	34364	55975	18769	4219	23179	26819	12953	5056	110253	893987	0	0	19512	0	51286	16721	0	0	37221	12671	0	
750341	39624	0	1789	12923	0	17723	0	0	0	0	0	206651	245	25940		27406	129524	9762	21289	0	6317	14972	2921	3196	1473	5841	648	2137	15674	180332	260	134	2341	0	8700	1399	0	0	5915	1399	0	
750444	3953	0	1934	4989	0	11736	0	0	0	0	0	31715	0	954		12968	7276	2209	8080	0	2043	6037	4279	608	1131	3612	2063	711	9802	30496	0	265	588	0	6664	853	0	0	4478	265	250	
750846	2844	0	1194	14896	0	22136	0	0	0	0	0	56765	0	3984		16835	14521	2867	93	0	163	12845	2605	1223	0	8552	8878	5135	20942	52781	0	0	919	0	14520	8045	0	0	3428	2413	0	
750864	4417	2	1	248914	130	248914	0	0	0	0	0	807248	0	0		12236	657895	0	12181	0	8240	3941	55	0	87938	44762	0	0	248760	807248	21	0	0	0	29795	102905	0	0	29795	102905	0	
751254	6719	0	2672	15255	0	35417	0	0	0	0	0	61625	0	6938		16369	30836	4643	12255	0	3016	9239	3899	215	2650	3596	1255	200	32745	54687	0	0	1048	0	6358	1343	0	0	4653	1593	0	
751656	646031	0	5715	51482	0	52537	0	0	0	0	0	1168557	0	56413		193731	267857	67039	123690	0	37583	86107	55158	14883	16605	24734	14924	4674	45762	1112144	1060	0	13723	0	48067	12870	0	0	21740	19599	0	
751759	44060	0	55454	224282	0	292971	0	0	20003	20003	0	684654	0	78569		112343	305948	20634	101620	20003	31747	69873	9024	1699	55377	137408	25985	3533	237517	604243	0	1842	6413	0	126976	95327	0	0	111709	81076	2015	
751852	8442	0	0	44742	0	46837	0	0	535	7648	0	68722	0	6116		11665	24799	1124	10303	456	3815	6488	1093	269	8414	10048	5197	157	46837	61450	0	1156	180	7113	14977	8839	5413	0	12193	6268	0	
751955	8005	0	20	3244	0	14252	0	0	0	300	0	25876	0	3953		11933	442	958	8314	0	2205	6186	2879	663	1996	2118	606	774	14232	21923	0	0	0	300	4472	1022	0	0	3092	1022	0	
752644	9623	0	19441	30886	0	82651	0	0	664	4929	0	107821	0	401		37914	1745	19656	25007	361	7159	17849	8804	4103	5729	30532	14400	7878	63210	107420	0	0	10681	4265	45507	13032	4067	0	29868	6393	0	
752653	21850	0	19745	52515	0	109503	0	0	95	1001	0	115730	0	5525		36089	17214	9480	26223	95	7072	19151	8955	911	8334	20858	10864	522	89758	110205	0	0	3886	906	30527	10051	906	0	17541	6746	0	
752831	8955	0	21162	30630	0	62669	0	0	0	5132	0	105546	0	15481		34272	21084	10217	27800	0	7496	20304	5604	868	15281	20943	4256	755	41507	90065	0	0	2671	5132	23266	17969	5132	0	13425	22799	0	
753052	5205	0	1288	5169	0	13276	0	0	0	0	0	23704	0	1298		11459	0	1557	6328	0	1659	4669	4101	1030	706	2131	3189	1014	11988	22406	0	0	0	0	5247	1793	0	0	2837	0	0	
753324	225235	0	3007	43729	0	58822	0	0	10182	12282	0	416616	0	24102		66262	88301	6826	40444	277	20341	21992	21615	2314	12787	15584	6703	1744	55815	392514	0	0	1189	2100	28631	8187	2100	0	20739	6379	0	
753548	13010	0	36980	28279	0	71649	0	0	0	0	0	47404	0	3870		17704	4613	7600	12404	0	3689	9235	4490	290	1585	8693	1296	503	34669	43534	0	0	2571	0	7765	4312	0	0	6222	0	0	
753641	9364	0	5793	6169	0	15404	0	0	0	0	0	32634	0	1038		15324	0	9658	4914	0	1848	3066	6803	3607	744	993	3809	2400	9611	31596	0	0	4701	0	4665	3281	0	0	1080	657	0	
753856	2330	0	1760	5967	0	11931	0	0	0	0	0	20449	0	3921		6205	2628	851	6115	0	2627	3488	85	5	3720	4946	620	0	10171	16528	0	0	238	0	7730	1556	0	0	7110	1556	0	
754068	4407	0	710	41122	0	56328	0	0	184	4605	0	71949	0	1590		10900	43139	1845	9557	184	3830	5727	1343	0	5655	7438	410	0	55618	70161	0	198	347	4421	11505	1998	4421	0	11095	1998	0	
754246	4403	0	3703	6478	0	14017	0	0	0	0	0	10534	0	647		5272	641	507	3226	0	997	2229	1753	293	0	218	0	0	10314	9887	0	0	0	0	218	0	0	0	218	0	0	
754536	12371	13	12774	21150	0	48101	0	0	0	0	0	50997	0	8216		14842	5777	4600	14321	0	4464	9858	521	0	6916	10156	934	0	35311	42781	3	0	761	0	8382	9624	0	0	8228	8844	0	
754826	51734	0	53640	72584	0	182739	0	0	0	0	0	476870	0	29372		189088	116210	62327	118369	0	23755	94614	49976	20743	10466	62304	29691	17377	128857	447498	242	0	21466	0	79079	40759	0	0	45050	27355	0	
754853	136599	0	7024	100710	0	130177	0	0	0	17512	0	380817	0	43457		80730	117187	36700	43296	0	13208	30088	36532	902	5586	23992	16472	251	92813	337360	30340	0	10340	17512	33441	12860	17512	0	19297	10281	0	
754929	416634	5	17970	47027	0	92860	0	0	0	0	0	845782	0	149972		155811	169547	49400	84363	0	25373	60704	41922	27812	23886	42373	24690	12841	74546	695810	339	0	12267	0	74721	29069	0	0	45137	20060	0	
755047	116604	0	2506	39700	0	49777	0	0	1121	1121	0	237761	0	28390		51283	39715	18992	33862	1121	9380	24482	13826	3595	7173	13695	6345	2946	47271	209371	0	0	5397	0	23733	6426	0	0	15380	5488	0	
755252	17818	1099	9992	53603	0	87257	0	0	773	15287	0	153674	0	9629		41324	32350	8723	34959	604	16103	18856	5420	945	15353	34890	10186	1753	76166	142754	0	1291	3335	14514	47188	14994	11931	0	40189	10054	0	
755421	2686	0	559	4125	0	5854	0	0	0	0	0	26346	0	244		11864	6161	1844	6510	0	2012	4498	3896	1458	508	1751	2019	1357	5295	25158	0	944	811	0	5340	295	0	0	1964	295	944	
755458	27159	0	45	18664	0	26177	0	0	421	3678	0	101271	0	2124		44023	3142	15960	20738	0	10572	12182	13357	7912	4032	7987	9008	5920	26132	95717	0	3430	3749	3257	23859	3088	1143	0	10061	1728	0	
755850	9641	0	5033	30618	0	72275	0	0	5005	5005	0	98518	0	15138		30259	30680	9867	15814	5005	5191	12527	10117	2424	3267	12913	9380	2378	67191	82984	51	396	847	0	15575	12363	0	0	9896	6179	396	
756343	4097	0	1068	12909	0	23040	0	0	0	249	0	43922	0	8315		14028	12234	5253	10983	0	2523	8460	3042	3	2720	6882	3962	0	21972	35358	0	249	3324	249	9485	4079	0	0	6931	2671	0	
756848	8266	0	13645	16750	0	50903	0	0	105	105	0	80219	0	6749		32680	17006	8212	15794	105	4049	11745	9048	7838	2602	6183	7887	5595	37258	73470	0	0	4176	0	18545	3722	0	0	7326	1459	0	
757377	311773	0	0	6617	0	28157	0	0	0	0	0	622722	0	0		206801	3552	91609	119365	0	45044	74321	65426	22010	21181	31169	39474	8772	28157	622722	0	0	28211	0	86083	14513	0	0	45437	6913	0	
757452	25141	0	4458	26933	0	67388	0	0	41	2368	0	98797	0	12743		37173	16367	7853	29405	15	8171	21235	5753	2014	3833	12856	2117	1310	62929	85856	1	198	1670	2327	14039	6077	1676	0	10612	6077	198	
757612	27327	0	23891	34621	0	133898	0	0	0	0	0	144816	0	12448		53730	31142	24393	23994	0	10465	14279	17186	11800	10212	5389	7162	9854	109991	132368	16	0	8905	0	21524	11093	0	0	5587	9619	0	
757779	18803	4	0	4988	0	21187	0	0	522	5520	0	86778	0	1696		39308	6490	9816	15243	225	6348	8895	14172	9893	2700	4353	10825	4299	21183	85082	0	0	2988	4998	21040	1137	149	0	5916	1137	99	
