"IDRSSD"	RCONHT81	RCONHT82	RCONHT83	RCONHT84	RCONHT86	RCONL191	RCONL192	RCONM288	RIADHT85	
						REP AND WARRNTY TO US GOVT AGCY	REP AND WARRNTY TO OTHR PARTIES	REP WARRNTY TO US GOVT AGCY TOTAL		
68671						CONF	CONF			
68756	0	0	0	0	0	CONF	CONF	0	0	
68831						CONF	CONF			
68840						CONF	CONF			
69333	11528	0	12716	0	0	CONF	CONF	0	140	
69678						CONF	CONF			
70058						CONF	CONF			
70218	0	0	0	0	0	CONF	CONF	0	0	
70414						CONF	CONF			
70638						CONF	CONF			
70955						CONF	CONF			
71073						CONF	CONF			
71318						CONF	CONF			
71457						CONF	CONF			
71859						CONF	CONF			
72258						CONF	CONF			
72351						CONF	CONF			
72454						CONF	CONF			
72678						CONF	CONF			
73116						CONF	CONF			
73152						CONF	CONF			
73554						CONF	CONF			
73956						CONF	CONF			
74056	0	0	0	0	0	CONF	CONF	0	0	
74140	9894	0	8503	2811	0	CONF	CONF	0	332	
74403						CONF	CONF			
74449						CONF	CONF			
75053						CONF	CONF			
75259						CONF	CONF			
75446						CONF	CONF			
75455						CONF	CONF			
75558						CONF	CONF			
75633	192778	0	217728	57420	991	CONF	CONF	9985	8265	
75651						CONF	CONF			
76153	0	0	0	0	0	CONF	CONF	0	0	
76443						CONF	CONF			
76854						CONF	CONF			
77150	0	0	0	0	0	CONF	CONF	0	0	
77253						CONF	CONF			
77422						CONF	CONF			
77851	22410	0	22344	3102	0	CONF	CONF	0	786	
78157						CONF	CONF			
78241						CONF	CONF			
78559						CONF	CONF			
79042						CONF	CONF			
79127						CONF	CONF			
79145						CONF	CONF			
79257						CONF	CONF			
79855						CONF	CONF			
80150						CONF	CONF			
80374						CONF	CONF			
80431						CONF	CONF			
80552						CONF	CONF			
80936	0	0	0	0	0	CONF	CONF	0	0	
81175						CONF	CONF			
81429						CONF	CONF			
82033						CONF	CONF			
82257						CONF	CONF			
82350						CONF	CONF			
82659	0	0	0	0	0	CONF	CONF	0	0	
83151						CONF	CONF			
83236						CONF	CONF			
83375						CONF	CONF			
83638	3296	0	3232	0	0	CONF	CONF	0	40	
83834	0	0	0	0	0	CONF	CONF	0	0	
83852						CONF	CONF			
83955						CONF	CONF			
84046						CONF	CONF			
84541						CONF	CONF			
84804						CONF	CONF			
85052						CONF	CONF			
85258						CONF	CONF			
85454						CONF	CONF			
85472	1161	0	7254	732	0	CONF	CONF	985	12	
85931						CONF	CONF			
86349						CONF	CONF			
86358	0	0	0	0	0	CONF	CONF	0	0	
86554						CONF	CONF			
86675						CONF	CONF			
87047						CONF	CONF			
87159						CONF	CONF			
87234						CONF	CONF			
87476						CONF	CONF			
87579						CONF	CONF			
88231	255584	52412	324446	67398	11	CONF	CONF	0	8034	
88240						CONF	CONF			
88259						CONF	CONF			
88352	0	0	0	0	0	CONF	CONF	0	0	
88455						CONF	CONF			
