"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
2332666																																							17831	469	0	0	22205	0	2500	0	5359	131022	123207	1321	125081	0	2793	0	553	0	5942	2900	131023	0	0	-7960	0	0	10814	0	34083	89124	1	1231	0	85446	82653	188	5	0	0	0	5942	
2332910																																							2254	4883	0	1249	22487	0	849	1366	10546	496638	398263	1571	399834	0	10265	0	0	0	96804	70000	496638	0	0	26671	0	0	0	0	49445	348818	1	1231	0	453269	443004	133	10000	0	0	0	96804	
2333140																																							1589	5825	0	0	822	0	1744	491	5016	103679	95081	1081	96162	0	4770	0	0	0	7517	6364	103679	0	0	-5195	0	0	6343	0	15066	80015	2	1231	0	81592	76822	5	11370	0	0	0	7517	
2333298																																							120851	5944	0	0	127973	0	2270	0	10325	763792	700203	827	701030	0	8315	0	0	0	62762	1520	763792	0	0	38098	0	0	22651	0	220095	480108	2	1231	0	504744	496429	493	0	0	0	0	62762	
2337335																																							0	0	0	0	0	0	0	0	3008	3008	0	1	1	0	0	0	0	0	3007	1000	3008	0	0	7	0	0	2000	0	0	0	2	1231	0	0	0	0	0	0	0	0	3007	
2339535																																							3010	6755	0	0	48658	43	10926	27600	3162	277070	243512	5981	253243	0	10329	0	3750	0	23827	2625	277070	0	0	-22351	0	0	42232	0	6865	236648	2	1231	0	187245	176916	1321	0	0	0	0	23827	
2339599																																							35623	4014	0	4750	56128	0	2508	0	6334	283830	244140	1171	259594	0	5248	0	11931	0	24236	500	283830	0	0	15866	0	0	7400	582	44262	199878	6	1231	0	179139	173891	470	0	0	0	2352	24236	
2339795																																							6360	12754	132	0	144461	0	27225	5415	25637	1159200	967354	4644	1057364	0	10696	5133	39000	16000	101836	2500	1159200	1501	1476	23382	0	0	76092	0	133497	833857	2	1231	0	897778	887082	-138	43500	0	0	28890	101836	
2339900																																							540	8538	0	5000	142445	0	6635	3912	8677	343232	286529	8284	316061	0	3206	6	10000	0	27171	1000	343232	0	0	8359	0	0	16050	1206	68716	217813	2	1231	0	152829	149623	1762	16650	0	0	11248	27171	
2342160																																							38931	4545	10280	0	39085	0	2891	16460	13695	425888	362320	2995	384502	0	14861	0	19187	0	41386	2000	425888	0	0	450	0	0	39007	30014	23602	338718	1	1231	0	284461	269600	-71	387	0	0	0	41386	
2343167																																							9726	27576	0	42970	4987	0	3146	423	1670	242519	226029	248	226277	0	1698	0	0	0	16242	1000	242519	0	0	5037	0	0	10233	0	20537	205492	1	1231	-3	144524	142826	-25	9195	0	0	0	16242	
2344753																																							46358	3106	0	0	11108	0	5109	237	7630	478707	423700	1436	433317	0	7565	3372	6948	0	45390	4000	478707	5314	0	31419	0	0	9885	0	41885	381815	2	1231	0	403982	396417	86	56	0	0	1233	45390	
2347044																																							28291	3525	0	0	33688	0	10402	590	9477	270720	186923	2047	247409	0	2836	0	58439	0	23311	1500	270720	0	0	13193	0	0	8592	0	18113	168810	2	0331	0	177239	174403	26	10344	0	0	0	23311	
2349301																																							76608	4613	0	0	73880	0	6076	4176	13271	507636	458197	3172	461369	0	6945	0	0	0	46267	20	507636	0	0	27865	0	0	17329	1012	107437	350760	1	1231	0	333982	327037	1053	963	0	0	0	46267	
2349459																																							3222	5015	0	0	52844	0	2289	6193	1532	186822	170974	517	171491	0	3054	0	0	0	15331	3648	186822	0	0	-4099	0	0	15579	0	19189	151785	1	1231	0	118215	115161	203	566	0	0	0	15331	
2352235																																							103139	13523	823	0	19512	0	33048	5533	24793	1084506	907312	5860	970645	0	11785	3063	57473	0	113861	1700	1084506	0	0	66022	0	0	46200	8190	51432	855880	2	1231	0	879838	868053	-61	4829	0	0	0	113861	
2353595																																							73060	36552	2214	2874	471017	915	50860	3829	99926	2181667	1596209	21633	1894982	0	25800	75599	150000	0	286685	6240	2181667	0	0	132068	270	40000	113176	3522	254312	1341897	1	1231	0	1386829	1361029	-4799	0	0	0	127140	286685	
2354323																																							6193	9501	0	0	39983	0	4395	3562	5106	160455	125902	1564	146966	0	3326	0	19500	0	13489	3986	160455	0	0	3111	0	0	5972	505	16750	109152	2	12/31/2011	0	83201	79875	420	11335	0	0	0	13489	
2354387																																							15588	600	478	0	17699	0	6445	9369	14629	339523	292182	1194	303814	0	5270	0	10000	0	35709	2500	339523	0	0	10470	0	0	22540	0	28404	263778	2	1231	0	279985	274715	199	0	0	0	438	35709	
2354985																																							79114	11710	72	281417	27951	0	9378	10630	78672	1974905	1809179	6290	1828469	0	15400	3629	11000	2000	146436	29361	1974905	0	0	17780	0	0	99620	175868	138494	1670685	1	1231	0	1311864	1296464	-325	0	0	0	0	146436	
2356091																																							841	10640	0	0	71108	0	3385	180	6548	204856	149470	916	180130	0	2232	0	12150	0	24726	200	204856	0	0	13415	0	0	7545	460	22703	126767	1	1231	0	113926	111694	3566	0	0	570	17024	24726	
2358769																																							47647	9174	0	0	254588	0	16089	9445	25620	688578	600293	8026	618913	0	10547	0	0	0	69665	1500	688578	0	0	4985	0	0	58693	61907	123691	476602	2	1231	0	274655	264108	4487	0	0	0	10594	69665	
2360904																																							6160	3398	0	0	13486	0	2867	3067	2971	160419	138523	320	146608	0	6423	0	7765	0	13811	1354	160419	0	0	2334	0	0	9761	0	14211	124312	2	1231	0	124393	117970	362	10500	0	0	0	13811	
2361901																																							6725	4066	0	0	9405	0	130	2494	3778	150318	131545	617	132162	0	2282	0	0	0	18156	100	150318	0	0	1690	0	0	16150	0	24762	106783	2	1231	0	125885	123603	216	117	0	0	0	18156	
2362074																																							78746	8000	438	250	114549	0	31891	12558	24537	826854	652390	1411	749752	0	5713	0	92951	3000	77102	60064	826854	0	0	-8308	0	7233	17509	0	77927	574463	1	1231	-27	561598	555885	631	0	0	0	0	77102	
2362458																																							1000	12000	20000	0	0	0	0	31000	479000	35504000	30432000	188000	32120000	0	758000	0	1500000	0	3384000	2000	35504000	0	0	217000	0	0	3165000	15263000	21378000	9054000	2	1231	0	12212000	11454000	0	8244000	0	0	0	3384000	
2370994																																							16095	1111	0	0	39669	0	6273	7943	10314	184064	172656	939	176874	0	3536	0	968	0	7191	1023	184065	0	0	-4915	0	0	10999	0	23752	148904	2	1231	0	106195	102659	84	0	0	0	2311	7191	
2371508																																							14203	726	0	0	3744	0	2739	648	1021	96902	83928	387	84915	0	1100	2867	600	0	11987	1375	96902	0	0	-641	0	0	11155	19321	2765	81163	4	1231	0	52089	50989	98	644	0	0	0	11987	
2371816																																							158	2305	0	0	39886	0	1172	903	14723	332715	270222	3360	290242	0	12107	0	16660	0	42473	2000	332715	0	0	29742	0	0	9683	0	12054	258168	1	1231	0	279193	267086	1048	6482	0	0	0	42473	
2372774																																							26855	4049	315	0	290217	0	22025	61584	69666	1435123	1017317	7214	1298130	0	18522	1488	172643	0	136993	7752	1435123	0	0	65849	0	0	59306	1126	94094	923223	2	1231	0	976320	957798	4086	0	0	956	100000	136993	
2376464																																							43815	8213	109	0	27651	3204	10149	7718	12460	392795	351652	1925	355137	0	5132	1232	1560	0	37658	1080	392795	0	0	15183	0	0	21342	0	52930	298722	2	1231	0	277577	272445	53	5799	0	0	0	37658	
2380470																																							7902	1228	139	327	5308	0	1459	1089	851	53413	51296	232	51528	0	828	0	0	0	1885	1969	53413	0	0	-5086	0	0	5161	0	8727	42569	2	1231	0	35938	35110	-159	0	0	0	0	1885	
2382308																																							0	13241	0	0	13078	0	1498	0	5911	375882	325499	4231	329730	1044	8948	5664	0	0	45108	3201	375882	0	0	17208	0	0	24583	0	534	324965	2	1231	0	345438	336490	116	0	0	0	0	46152	
2385514																																							38524	7544	2584	8491	230396	0	22555	6386	15778	720799	604979	17111	650400	0	4372	9362	13310	0	70399	5149	720799	0	0	24060	0	0	40279	2300	73436	531543	2	1231	0	380445	376073	911	806	0	0	15000	70399	
2388784																																							48343	2831	0	0	40122	0	4873	4948	7588	251095	223925	1866	229968	0	6072	0	2000	0	21126	3000	251094	0	0	7755	0	0	10000	0	29029	194897	1	1231	0	148462	142390	371	0	0	0	2177	21126	
2389857																																							4935	634	0	0	3703	6	2405	4912	966	74774	66127	142	66269	0	1255	0	0	0	8505	2183	74774	0	0	-3403	0	0	9667	0	4863	61264	1	1231	0	58468	57213	58	0	0	0	0	8505	
2390929																																							123686	13478	126	0	134214	0	11010	2535	30112	795519	703641	6678	739757	0	8957	0	7886	0	55762	3000	795519	0	0	21758	0	0	29542	5450	148030	555611	1	12-31	0	483865	474908	1462	0	0	0	21552	55762	
2391494																																							0	3959	0	0	31248	0	6661	1307	10298	236038	180244	3140	209894	0	2470	130	16350	0	26144	1000	236038	0	0	8378	0	0	15845	598	33440	146804	6	1231	0	160798	158328	921	23509	0	0	10160	26144	
2391588																																							749	2404	17	0	4701	0	1033	2634	628	51582	46402	175	46577	0	730	632	0	0	5005	200	51582	0	0	-4432	0	0	9131	0	5973	40429	1	1231	0	35812	35082	106	3702	0	0	0	5005	
2392950																																							14404	5630	0	0	6914	0	968	3035	9689	157411	142477	354	143831	0	3127	0	1000	0	13580	2500	157411	0	0	6566	0	0	4300	0	9788	132689	2	1231	0	119218	116091	214	680	0	0	0	13580	
2396547																																							1798	6221	96	0	42130	0	5070	2535	10814	304541	256778	2551	271364	0	3479	1637	0	0	33177	2505	304541	0	0	10385	0	0	20064	7982	56982	199796	1	1231	0	216644	213165	223	13093	0	0	12035	33177	
2396592																																							1242	1864	0	0	23052	0	1877	257	1252	94810	86024	426	86450	0	928	0	0	0	8360	1250	94810	0	0	5614	0	0	1250	0	17827	68197	3	1231	0	59350	58422	246	6844	0	0	0	8360	
2396604																																							3824	3243	0	4651	35370	0	2267	517	1570	121759	107452	490	109735	0	1682	0	0	0	12024	552	121759	0	0	8894	0	0	2665	0	16204	91248	4	1231	0	66218	64536	-87	5781	0	0	1793	12024	
2398596																																							33152	1733	19	63	88250	0	5650	18957	11480	416068	317912	1000	380357	0	6024	0	40000	0	35711	590	416068	0	0	10995	0	0	23045	504	49596	268316	2	1231	0	262284	256260	1081	0	0	0	21445	35711	
2398701	17520	4617	1021	5632	275579	0	160	6626	8464	657791	7440	600711	0	6385	2821	0	0	57080	801	657791	6	0	-25770	0	8489	78379	0	2	-1362	341730	335345	-3457	0	40000	57080	410	0	410				5632	275579						552861						0												17731	535130		1231					0	0	0	40000		
2399119																																							61016	2999	0	0	66483	125	11523	2102	12454	465554	357950	3079	424649	0	3325	0	62698	0	40905	1678	465554	0	0	7365	0	0	31324	3049	33531	324418	2	1231	0	309024	305699	538	104	0	0	922	40905	
2413510																																							4662	288	0	0	16058	0	253	33	1766	44012	33777	139	38447	0	493	0	4531	0	5565	300	44012	0	0	1409	0	0	3700	0	5495	28281	9	1211	0	21445	20952	156	0	0	0	0	5565	
2434113																																							24	19426	20851	0	261766	0	11464	1603	83398	1650112	1150689	33549	1430132	0	1456	93575	200310	0	219980	0	1650112	1284	1347	1738	0	0	218535	0	1020526	130163	2	1231	0	1157490	1156034	-293	687	0	0	44237	219980	
2435660																																							191	2140	0	0	4205	0	6346	2412	4935	183685	159491	1164	161997	0	1690	4331	0	0	21688	4766	183685	0	0	-9420	0	0	26244	741	24467	135024	2	1231	0	142730	141040	98	17344	0	0	1342	21688	
2445052																																							35527	3745	0	0	25084	0	8747	360	5246	315302	293210	1178	294388	0	13256	0	0	0	20914	1880	315302	0	0	10429	0	0	8370	4810	43840	249370	2	1231	0	245039	231783	235	0	0	0	0	20914	
2446152																																							33518	15814	0	0	59629	0	8019	1141	14328	349421	308237	3168	311405	0	5472	0	0	0	38016	9020	349421	0	0	10152	0	0	18100	0	113630	194607	1	1231	0	222444	216972	744	0	0	0	0	38016	
