"IDRSSD"	RCFD0071	RCFD0081	RCFD1754	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1754	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	
1669																																							7401	2375	38583	63341	0	0	3416	59	14159	283358	233254	179	237433	0	2958	0	0	45925	800	283358	0	0	45076	0	0	800	0	56049	177205			0	156982	154024	-751	0	0	4000	0	45925		
1856																																							31229	495	0	30312	0	98	424	0	2795	106129	62740	158	92898	0	575	30000	0	13231	500	106129	0	0	255	0	0	13732	0	3107	59633			0	41351	40776	-1256	0	0	0	0	13231		
2040																																							2579	3605	0	40875	0	0	1905	0	7831	197286	154661	867	174031	0	2831	18500	0	23255	480	197286	0	0	18752	0	0	4270	0	26631	128029			0	130727	127896	-247	12595	0	0	3	23255		
2161																																							12101	8353	0	17208	0	0	3718	43	5466	161021	142891	1615	144506	0	1465	0	0	16515	1000	161021	0	0	14157	0	0	1356	0	38784	104107			0	112212	110747	2	3385	0	0	0	16515		
2376																																							469	18591	348767	37294	0	0	13143	636	187259	4089332	2930786	63738	3583173	58	28639	586930	0	506101	500	4089332	0	0	452484	0	0	62161	0	167095	2763691			-15789	3511812	3483173	6745	0	0	1719	0	506159	0	
2554																																							1545	401	250	1539	0	289	230	0	315	15689	11940	21	14083	0	156	2122	0	1606	50	15689	0	0	296	0	0	1350	0	3449	8491			0	11276	11120	-90	0	0	0	0	1606		
2732																																							92121	11575	0	66302	0	1112	3293	145	4274	600844	504508	1258	505766	0	4934	0	0	95078	0	600844	0	0	89427	0	0	5789	0	131552	372956			0	426956	422022	-138	0	0	0	0	95078		
2750																																							1251	2100	0	8195	0	0	244	0	3318	62074	51459	1038	54887	0	867	2390	0	7187	116	62074	0	0	658	0	0	6700	0	5526	45933			0	47833	46966	-287	0	0	0	0	7187		
3252																																							0	4435	0	80474	0	0	580	81	4729	190536	155459	320	165079	0	4510	7300	0	25457	200	190536	0	0	25655	0	0	300	0	31780	123679			0	104747	100237	-698	0	0	2000	0	25457		
3458																																							1786	1162	4773	4274	0	0	330	0	790	53775	48189	203	48892	0	366	0	0	4883	100	53775	0	0	3719	0	0	1101	0	5335	42854			0	40763	40397	-37	263	0	0	500	4883	0	
3720																																							24103	6747	36	76000	0	0	3643	972	10743	271637	229741	2411	234398	0	1685	0	0	37239	2400	271637	0	0	17605	0	0	18600	0	49400	180341			0	151078	149393	-1366	0	0	0	2246	37239		
3971																																							32655	4434	0	60525	905	10887	7924	439	28747	786287	578980	14749	683901	0	211	90172	0	102386	2	786287	0	0	984	0	0	100966	2741	100051	478929			0	635987	635776	434	1254	0	0	0	102386		
4156																																							8047	5332	0	38443	0	1783	6330	23	7983	227912	202612	603	205301	0	1851	1250	0	22611	1200	227912	0	0	15480	0	0	6657	88	45648	156964			0	160069	158218	-726	1665	0	0	836	22611		
4231																																							25701	1124	0	42473	0	0	859	938	1006	114716	98254	165	98419	0	676	0	0	16297	500	114716	0	0	4750	0	0	12100	0	25208	73046			0	43291	42615	-1053	0	0	0	0	16297		
5069																																							132266	494	0	26903	0	0	42011	0	6273	477796	275971	5169	281140	0	8275	0	0	196656	4500	477796	0	0	186755	0	0	4129	0	58522	217449			0	278124	269849	1272	0	0	0	0	196656		
5135																																							55614	6430	0	54800	0	1042	5615	269	16332	487589	387316	2511	416286	0	4943	26459	0	71303	651	487589	0	0	47070	0	0	24391	0	77615	309701			0	352430	347487	-809	0	0	0	0	71303	0	
5210																																							20800	20106	27266	161730	1631	15052	25036	155	72248	1633945	1356189	11241	1477294	0	13964	75248	0	156651	4798	1633945	0	0	117717	0	0	43353	408	70733	1285456			0	1302465	1288501	-9217	0	0	0	34616	156651	1012	
5461																																							4682	19254	0	161518	0	104	11969	0	16809	636243	562931	5730	574911	0	6141	6250	0	61332	2059	636243	0	0	57063	0	0	4241	0	214553	348378			0	428048	421907	-2031	0	0	0	0	61332		
5751																																							924	5778	0	36334	0	1222	2406	118	6711	202887	167057	1536	168593	0	2079	0	0	34294	600	202887	0	0	25040	0	0	8752	48	28414	138643			0	147785	145706	-98	3640	0	0	0	34294		
6039																																							31281	2826	0	21671	603	0	7375	1738	2721	273757	242194	1449	243643	0	2949	0	0	30114	469	273757	0	0	-753	1	0	30568	0	71728	170466			0	201690	198741	-170	6800	0	0	0	30114		
6329																																							12015	26628	0	22070	0	0	24854	433	23309	762088	682551	3978	689529	0	11712	3000	0	72559	2600	762088	0	0	32633	0	0	37400	1097	229555	452996			0	652185	640473	-74	11209	0	0	0	72559		
7009																																							182880	1203	0	384662	0	0	3066	0	8599	837802	753785	10032	763817	0	0	0	0	73985	500	837802	4863	0	72031	0	0	553	0	232734	521051			0	252529	252529	901	0	0	0	0	73985		
7045																																							9765	4059	0	114494	0	0	1835	165	3505	211883	192197	660	192857	0	1256	0	0	19026	100	211883	0	0	18923	0	0	2325	0	26224	165973			0	79316	78060	-2322	0	0	0	0	19026		
7072																																							425	6121	972	20483	0	5638	6635	159	14205	321789	259451	4344	286456	0	1962	22661	0	35333	0	321789	0	0	31807	0	0	4060	2869	36548	222903			0	264131	262169	-534	2113	0	0	0	35333	0	
7456																																							1750	3000	0	10878	0	0	891	0	3713	93313	80004	149	84551	0	816	2843	0	8762	400	93313	0	0	2011	0	0	6350	0	20232	59771			0	73897	73081	1	0	0	1555	0	8762		
7634																																							6466	656	1	11434	0	0	444	300	828	71404	60528	152	61430	0	1075	750	0	9974	200	71404	0	0	1951	0	0	8060	0	12467	48061			0	52350	51275	-237	0	0	0	0	9974		
8033																																							5116	4614	0	5802	0	0	5996	432	5401	271920	212528	2988	233652	0	1418	18136	0	38268	774	271920	0	0	30339	0	0	7226	0	52905	159623			0	233052	231634	-71	12925	0	0	0	38268	0	
8462																																							5072	13135	0	90009	0	0	366	0	1013	172423	150362	144	150506	0	1097	0	0	21917	350	172423	0	0	22576	0	0	350	0	68211	82151			0	58360	57263	-1359	5565	0	0	0	21917		
8631																																							6699	2001	0	11782	0	0	3304	93	3160	67368	59837	717	60554	0	427	0	0	6814	500	67368	0	0	5663	0	0	800	0	18320	41517			0	36552	36125	-149	4204	0	0	0	6814		
9357																																							29728	15828	0	69243	800	34519	527	0	3390	481310	382013	13505	395518	0	4065	0	0	85792	500	481310	0	0	32011	0	0	54661	0	141045	240968			0	331295	327230	-1380	45	0	0	0	85792		
9553																																							3794	2233	31232	20260	0	0	918	0	8049	166724	103739	1202	151317	0	1209	46236	0	15407	400	166724	0	0	14106	0	0	1700	0	24474	79265			0	101447	100238	-799	0	0	140	0	15407		
9807																																							86781	18493	0	370585	84	0	14024	26059	129416	2308821	1918435	4591	1956339	0	32206	0	0	352482	20000	2308821	0	0	220775	0	0	112272	0	96680	1821755			0	1694360	1662154	-565	0	0	0	33313	352482	1225	
9955																																							12892	2218	0	48007	0	0	996	0	2371	151862	115396	203	132277	0	1811	16678	0	19585	110	151862	0	0	16782	0	0	3023	0	23757	91639			0	87189	85378	-330	0	0	0	0	19585		
10250																																							12177	6786	0	109272	0	0	9275	676	4631	425006	385821	1368	387189	0	3533	0	0	37817	1500	425006	0	0	7107	0	0	31000	0	94645	291176			0	285722	282189	-1790	0	0	0	0	37817		
10849																																							9380	1458	0	111422	0	694	6809	3996	3282	268042	244163	514	244677	0	1347	0	0	23365	16	268042	0	0	10302	0	0	15375	0	31576	212587			0	132348	131001	-2328	0	0	0	0	23365	0	
11145																																							9621	5748	0	21169	143	450	5475	825	9218	265318	215379	1905	241339	0	2452	24055	0	23979	1000	265318	0	0	10124	0	0	13000	0	51291	164088			0	212121	209669	-145	3000	0	0	0	23979		
11640																																							3782	7754	0	102865	0	0	4242	0	21465	362904	316113	1886	317999	0	3608	0	0	44905	650	362904	0	0	3588	0	0	41845	0	94229	221884			0	226404	222796	-1178	0	0	0	0	44905		
11837																																							17285	1052	0	46186	0	0	1397	620	1504	110968	97594	58	97652	0	833	0	0	13316	314	110968	0	0	2381	0	0	11686	0	7901	89693			0	43757	42924	-1065	0	0	0	0	13316		
12030																																							28105	23208	2344	23595	0	0	3853	2274	12529	371807	310486	3023	313509	0	8140	0	0	58298	300	371807	0	0	57737	0	0	300	0	87683	222803			0	272180	264040	-39	11859	0	0	0	58298		
12142																																							8851	5527	308	69342	0	0	4984	0	9009	226828	198636	3330	205466	0	1686	3500	0	21362	1250	226828	0	0	9073	0	0	14650	0	66878	131758			0	125843	124157	-3611	4650	0	0	0	21362	0	
12179																																							5426	328	9	411	0	0	1135	0	2918	42530	34108	595	34703	0	121	0	0	7827	0	42530	0	0	7831	0	0	0	0	7911	26197			0	32424	32303	-4	0	0	0	0	7827		
12311	1611824	980297	8564641	13774826	0	2472336	788094	23019	4584578	108672320	1416149	97179002	383572	771875	5143597	1113046	11109746	39999	108672320	216651	169569	1844789	772152	780000	9039260	803621		0	74842629	74070754	-594302	0	123981	11493318	9527						0	0							87332660										0	0						24358873	62973787							0		1880000			0	
12647																																							20615	5040	30425	0	0	930	4301	306	1221	166862	141488	92	148686	0	1073	0	0	18176	250	166862	0	0	870	0	0	17056	204	50587	90901			0	104893	103820	0	0	0	7106	0	18176		
12656																																							2481	921	845	0	0	0	164	53	135	16965	15042	32	15074	0	220	0	0	1891	72	16965	0	0	1431	0	0	388	0	4134	10908			0	10080	9860	0	2506	0	0	0	1891		
12937																																							40047	2293	0	0	0	0	10817	0	1043	195532	157837	2242	160079	0	2138	0	0	35453	750	195532	0	0	29453	0	0	5250	0	59615	98222			0	143470	141332	0	0	0	0	0	35453	0	
12946																																							38378	23342	0	220975	32	17633	22216	747	35278	1537103	1318043	13508	1377643	0	18458	46092	0	159460	1	1537103	0	0	103471	12316	0	59756	1971	178963	1139080			0	1179758	1161300	-3768	0	0	0	0	159460	2915	
13103																																							12239	19140	0	328553	0	21858	21673	0	34322	2176759	1702506	30606	1893317	13539	15677	160205	0	269903	500	2176759	0	0	230751	0	0	34019	160	255600	1446906			0	1754491	1738814	4633	0	0	0	0	283442		
13251																																							13152	1455	0	2476	0	0	115	159	1296	48636	43210	159	43369	0	462	0	0	5266	25	48635	0	0	3276	0	0	1975	0	8912	34298			0	29136	28674	-10	1309	0	0	0	5266		
13457																																							4369	434	0	5974	0	0	7	0	1666	23034	16692	158	16865	0	93	0	0	6169	50	23034	0	0	299	0	0	5852	0	4770	11922			0	10677	10584	-32	0	0	15	0	6169		
14155																																							1573	6864	0	12326	0	0	7040	183	8299	222158	184814	1411	199725	0	2855	5000	0	22433	176	222158	0	0	22194	0	0	160	816	25050	159764			0	187912	185057	-97	0	0	8500	0	22433		
14650																																							1528	1311	3683	13	0	90	271	100	2168	32356	27407	356	27763	0	568	0	0	4593	200	32356	0	0	4093	0	0	300	0	9375	18032			0	23672	23104	0	88	0	0	0	4593		
14753																																							8820	1315	5542	5414	0	0	103	0	792	45964	40896	73	40969	0	502	0	0	4995	300	45964	0	0	2475	0	977	1277	0	16153	24743			0	23156	22654	-34	1324	0	0	0	4995		
14865																																							17268	13729	2347	31404	0	194	9308	1844	13795	414528	368216	3315	371531	0	3556	0	0	42998	730	414529	0	0	29947	0	0	12381	0	93013	275203			0	328195	324639	-60	0	0	0	0	42998		
14977																																							2789	1477	0	1498	0	0	1662	0	2421	51579	39276	129	42082	0	576	2677	0	9497	0	51579	0	0	9538	0	0	0	0	7414	31862			0	42140	41564	-41	168	0	0	0	9497		
16551																																							2945	6074	22237	32103	623	4188	6581	360	8091	317263	274444	324	277768	0	3008	3000	0	39495	175	317263	0	0	19215	0	0	19825	0	59566	214878			0	237069	234061	280	0	0	0	0	39495	0	
16748																																							5807	1373	12081	8268	0	282	2538	0	2879	81006	71116	716	71832	0	719	0	0	9174	400	81006	0	0	6246	0	0	2600	0	21664	49451			0	48497	47778	-72	0	0	0	0	9174	0	
17110																																							11793	4591	100	26565	0	0	2526	0	3145	128577	97455	7121	104576	0	279	0	0	24001	300	128577	0	0	16715	0	0	6986	0	0	97455			0	80136	79857	0	0	0	0	0	24001		
17147																																							30760	139248	490387	1140089	0	471552	92262	2179	356842	9873896	7843337	41841	8417676	0	80552	314986	0	1456220	10871	9873896	0	0	398832	1884	125	1065423	4778	1536651	6306686			0	7224467	7143915	-19031	0	0	104000	113512	1456220	0	
17259																																							5062	1228	575	10740	0	0	1627	51	2749	60121	48965	1659	54632	0	155	0	0	5489	769	60121	0	0	4093	0	0	769	0	10791	38174			0	38244	38089	-142	0	0	4008	0	5489		
17950																																							11250	5892	0	223951	0	3717	6299	168	7406	509759	457679	2015	460194	0	4249	0	0	49565	725	509759	0	0	27799	0	0	22737	998	84058	373621			0	254327	250078	-1696	0	0	500	0	49565		
17978																																							7024	3420	149234	0	0	0	6105	1737	6159	303195	184566	327	186793	0	1445	1900	0	116402	0	303195	0	0	116402	0	0	0	0	3414	181152			0	130961	129516	0	0	0	0	0	116402		
18050																																							16012	12342	19154	163794	0	0	10425	0	10853	568889	504326	7629	511955	0	4912	0	0	56934	1214	568889	0	0	51673	0	0	7671	0	184809	319517			0	341221	336309	-3624	0	0	0	0	56934		
18135																																							70	5102	29036	112758	0	0	12504	0	7260	285798	239507	719	261785	0	1206	3000	0	24013	456	285798	0	0	19640	0	0	6056	0	89706	149801			0	89674	88468	-2139	30600	0	0	18559	24013		
18827																																							8221	18826	0	120350	1756	11895	28331	331	41164	1257130	1098487	7105	1125592	0	7404	20000	0	131538	528	1257130	0	0	35703	0	0	97791	0	326336	772152			0	1033660	1026256	-2484	0	0	0	0	131538		
18836																																							2651	2159	0	8844	0	0	3843	1425	6186	153628	130285	2323	136189	0	1297	3581	0	17439	180	153628	0	0	15638	0	0	1676	0	30738	99547			0	129817	128520	-55	0	0	0	0	17439		
18854																																							143366	16527	0	0	0	984	7755	111	8175	769508	676251	5881	682132	0	7832	0	0	87377	40	769509	0	0	73139	0	0	14198	512	180946	495305			0	599910	592078	0	0	0	0	0	87377		
19356																																							49	1225	0	17566	0	809	1398	16	3605	89936	75923	199	81254	0	998	0	0	8682	2025	89936	0	0	3436	0	0	3950	0	18671	57252			0	66266	65268	-729	0	0	5132	0	8682		
19936																																							76992	2271	20412	39487	0	0	4444	36	9032	324192	286318	997	295074	0	3477	7759	0	29118	420	324192	0	0	15572	0	0	13580	0	58108	228210			0	174995	171518	-454	0	0	0	0	29118		
19972																																							18010	2648	24819	0	0	0	469	0	3753	93514	72226	1172	73398	0	400	0	0	20116	0	93514	0	0	20116	0	0	0	0	136	72090			0	44215	43815	0	0	0	0	0	20116		
20053																																							564	2733	0	10010	0	0	308	1	2477	103139	88927	846	89773	0	1220	0	0	13365	150	103138	0	0	7356	0	0	6053	0	22356	66571			0	83445	82225	-194	4821	0	0	0	13365		
20633																																							12065	6776	0	53207	0	0	5894	11184	11429	294188	249325	4171	262851	0	3036	9355	0	31337	1106	294188	0	0	28797	0	0	2816	0	24448	224877			0	196405	193369	-1382	264	0	0	0	31337		
20857																																							851	6223	0	61569	0	142	1093	0	2801	139471	106329	64	124435	0	829	18042	0	15036	200	139471	0	0	610	0	0	13800	0	20943	85386			0	67621	66792	426	0	0	0	0	15036		
21256																																							2740	209	0	2743	0	0	47	0	417	10157	9007	1	9008	0	78	0	0	1149	105	10157	0	0	594	0	0	495	0	2488	6519			0	4054	3976	-45	25	0	0	0	1149		
21359																																							5079	2707	236	8110	0	197	243	95	1495	52839	47016	108	47170	0	344	46	0	5669	550	52839	0	0	1878	0	0	3350	0	12408	34608			0	35021	34677	-109	0	0	0	0	5669		
21658																																							7846	3396	0	27448	0	0	1665	100	4700	175044	151006	1644	158308	0	1833	5658	0	16736	100	175044	0	0	12855	0	0	4157	0	21570	129436			0	129379	127546	-376	2343	0	0	0	16736		
22048																																							3337	4899	0	36340	0	0	3904	3869	8366	211122	181477	1497	190366	0	1475	7392	0	20756	1000	211122	0	0	14207	0	0	6400	0	37183	144294			0	150032	148557	-851	1850	0	0	0	20756		
22543																																							8324	8201	0	12238	0	2344	4544	217	1882	215321	182482	1317	191399	0	1111	5000	0	23922	602	215321	0	0	11881	0	0	11698	390	51490	130992			0	154689	153578	-259	23603	0	2600	0	23922		
22552																																							5417	2838	378	1405	0	0	2665	0	2105	101477	80523	606	91944	0	1413	4000	0	9533	100	101477	0	0	3035	0	0	6400	0	19110	61413			0	88082	86669	-2	0	0	6815	0	9533		
22730																																							1769	4319	0	85299	0	0	3169	0	5046	191010	167705	1160	176290	0	899	404	0	14720	250	191010	0	0	15366	0	0	300	0	64517	103188			0	92175	91276	-1196	132	0	0	7021	14720	0	
22936																																							18924	1897	0	35203	0	0	3435	1390	5286	186795	166500	639	167139	0	1152	0	0	19656	725	186795	0	0	-1989	0	0	21481	0	59794	106706			0	117712	116560	-561	4100	0	0	0	19656		
23456																																							1251	1619	324	56917	0	0	2761	46	2088	205351	180202	300	180871	0	1550	369	0	24480	126	205351	0	0	23812	0	0	1012	0	22690	157512			0	137671	136121	-470	4224	0	0	0	24480		
23504																																							153223	142145	160163	680886	0	110324	35008	175	173115	4699432	3887930	38306	4167208	119	31418	240433	0	532105	600	4699432	0	0	236523	0	0	310094	0	1450143	2437787			0	3275811	3244393	-15112	0	0	0	539	532224	0	
23643																																							4887	1235	0	71703	0	0	1609	486	6945	213142	176950	248	195608	0	1122	18410	0	17534	200	213142	0	0	18050	0	0	2300	364	37317	139633			0	121635	120513	-3016	5400	0	0	0	17534		
23755																																							7625	1474	0	48996	0	989	5980	0	4018	203815	183032	1177	185595	0	1711	0	0	18220	110	203815	0	0	14507	0	0	4615	0	49465	133567			0	136444	134733	-1012	0	0	1386	0	18220		
24006																																							129805	10100	365686	92686	0	6482	11429	572	37880	1554749	1301590	8201	1349007	20	4943	38873	0	205722	0	1554749	343	343	120968	0	0	103819	0	162813	1138777			-12594	903159	898216	-6471	1550	0	0	0	205742		
24378																																							4305	777	791	9018	0	0	1715	38	808	61422	53972	138	54110	0	187	0	0	7312	0	61422	0	0	7335	0	0	0	0	7322	46650			0	43954	43767	-23	203	0	0	0	7312		
24453																																							67951	3083	0	15754	0	2369	14500	357	3534	317935	280014	1077	281091	0	3193	0	0	36844	929	317935	0	0	5979	0	0	29926	0	32449	247565			0	213361	210168	10	219	0	0	0	36844	0	
24659																																							15727	1688	6430	0	0	0	601	11	451	63874	57376	227	57603	0	426	0	0	6271	50	63874	0	0	1771	0	0	4450	0	14915	42461			0	38581	38155	0	811	0	0	0	6271		
24668																																							36843	19619	0	511000	0	746	19804	275	37187	1915036	1444414	3863	1691982	0	13026	240000	0	223054	625	1915036	0	0	73971	0	0	156588	372	236834	1207580			0	1302216	1289190	-8130	0	0	0	3705	223054		
24949																																							57907	7991	0	61509	0	934	4727	153	17459	394825	350469	3837	355292	0	4628	0	0	39533	1800	394825	0	0	5573	0	0	33223	10112	94059	256410			0	238661	234033	-1063	0	0	986	0	39533	0	
25357																																							7774	6601	24509	14107	0	3931	5685	539	9163	438494	361664	598	394307	0	3084	25000	0	44187	1608	438494	0	0	5918	501	0	36907	0	51131	310533			0	368768	365684	-246	0	0	7045	0	44187	0	
25647																																							19726	435	0	9987	0	0	2011	112	3384	148993	125302	1149	131951	0	1639	5500	0	17041	12	148992	0	0	-6932	0	0	24079	0	15196	110106			0	114977	113338	-118	0	0	0	0	17041		
26176																																							15572	1080	0	14722	0	18	2242	833	10574	407170	284223	1726	355949	0	2929	70000	0	51221	1	407170	0	0	22980	342	0	29550	6231	25517	258706			-1027	358485	355556	-283	0	0	0	0	51221		
26242																																							38483	9336	0	67682	0	10846	12215	50	20148	525645	459863	1192	470933	0	3113	7000	0	54712	1	525645	0	0	30112	0	0	25669	0	30567	429296			0	368498	365385	-1070	1500	0	0	2878	54712		
26457																																							650	610	0	6211	0	0	152	0	267	29606	26212	33	26245	0	210	0	0	3361	100	29606	0	0	3023	0	0	250	0	4571	21641			0	21926	21716	-12	0	0	0	0	3361		
26765																																							146491	25938	1328	135697	0	14374	43044	1170	85073	1916572	1634921	7612	1642533	0	9619	0	0	274039	2359	1916572	0	0	658	0	0	273632	2792	623414	1011507			0	1470284	1460665	-2610	0	0	0	0	274039		
27070																																							14246	3041	0	172138	239	0	6328	0	10524	581840	444816	1379	448318	0	1000	0	0	133523	0	581841	0	0	136070	0	0	0	0	16241	428575			0	376324	375324	-2547	0	0	2123	0	133523	0	
27548																																							797	16634	0	198669	0	8006	14874	104	26809	815070	694336	5137	735973	0	7339	36500	0	79097	250	815070	0	0	45593	0	0	33281	5164	9398	684938			0	549099	541760	-27	3	0	0	0	79097	2250	
27614																																							3105	6093	0	158666	0	3066	8571	0	13684	396389	327742	4195	358152	0	1342	26215	0	38237	1515	396389	0	0	32953	0	0	6139	0	76579	251163			0	204546	203204	-2370	0	0	0	0	38237		
27847																																							3881	9053	345	136568	0	0	10492	100	17371	604904	524068	2296	546228	0	4849	19864	0	58676	430	604904	0	0	51712	0	0	7982	0	96459	427609			0	431943	427094	-1448	0	0	0	0	58676		
