"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP755	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	DEP OTHR TRNS ACCTS INDV PRTNRS CRPS	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
526452	757	0	457	7887	0	13425	0	0	346409	346409	0	511122	0	14103		454397	13105	1170	68070	0	15562	52508	38167	348159	9041	16896	15451	1475	12968	497019	0	0	142	0	37501	5362	0	0	21140	4797	123543	true								
526519	137483	4	10304	26366	0	48979	0	0	0	0	0	734240	694	72271		223912	256610	95159	103235	0	48419	61117	90483	23893	26442	36236	44236	9321	38354	656373	317	4902	29644	0	75396	40839	0	0	33272	27568	0	true								
526676	10490	3	5538	45248	0	116073	0	0	810	1798	0	57532	0	6724		15869	8406	4229	8982	260	2420	6823	5708	918	6309	6147	7895	2416	110525	50808	7	0	1275	988	10810	11957	988	0	4274	7194	0	false								
526751	3374	12	1319	6630	0	12294	0	0	0	0	0	20086	0	4829		8283	5089	4018	6751	0	3701	3063	1411	108	1560	1675	105	0	10963	15257	0	0	1418	0	2270	1070	0	0	2165	1070	0	true								
526854	64799	0	8842	50480	0	85295	0	0	34500	34500	0	281942	0	21154		114557	2352	24026	113712	34500	25759	87953	659	186	28390	71844	0	0	75813	260788	640	0	7120	0	71206	29028	0	0	71206	29028	9157	false								
527057	9758	0	1858	9461	0	17889	0	0	0	0	0	65624	0	1642		32742	657	7533	20075	0	6076	14000	7331	5335	3427	9847	4768	4425	16031	62465	0	1517	2538	0	18997	3470	0	0	9542	3719	0	false								
527178	7527	0	15654	10728	0	31265	0	0	0	0	0	63257	0	5647		12990	24730	5945	5766	0	1543	4223	6581	643	2193	5398	10109	309	15611	57262	0	348	2119	0	13740	4269	0	0	7070	521	348	true								
527507	319912	0	14704	38801	0	74643	0	0	0	0	0	492028	0	99		49049	45241	29720	25154	0	8000	17154	16663	7232	15628	21553	34821	5824	59939	491929	0	0	9599	0	40954	36872	0	0	19531	17650	0	true								
527600	100473	4	474	81271	0	114506	0	0	0	0	0	328537	0	2405		84024	90607	41978	58059	0	17373	40686	20684	5281	9658	20332	18846	4597	114028	326132	0	0	14638	0	34157	19276	0	0	20989	9001	0	true								
527749	13505	0	556	16451	0	26825	0	0	0	0	0	67297	0	2087		18070	29232	3091	10903	0	3726	7177	6995	172	1736	2751	2002	0	26269	65210	0	0	606	0	6189	300	0	0	4487	0	299	true								
527954	3110054	95	61438	1078030	0	1183309	0	0	465971	659013	0	12702850	2432	970122		1187341	7681668	365311	743629	445818	236237	507392	302201	141511	92475	265118	230464	135730	789737	11661818	332039	68478	92958	191741	453014	270773	185456	1300	227825	129768	0	true	55735	97462	636542	3225958	3496333	3005232	96657	
528102	57740	0	3811	18421	0	44811	0	0	0	0	0	165442	0	5887		57151	23955	20393	38562	0	11763	26799	17629	960	8066	12089	6118	323	41000	159555	0	0	4717	0	21088	5508	0	0	15530	4625	0	true								
528241	25227	0	13737	35595	0	77585	0	0	0	5029	0	76182	0	10815		20140	22448	8185	17315	0	5622	11693	2825	0	1761	6140	466	0	63848	65367	0	0	221	5029	4008	4359	5029	0	3542	4359	0	true								
