"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDK178	RCFDK179	RCFDK180	RCFDK181	RCFDK182	RCFDK183	RCFDK184	RCFDK185	RCFDK186	RCFDK192	RCFDK193	RCFDK194	RCFDK273	RCFN5513	RCFNK260	RCFNK290	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK178	RCONK179	RCONK180	RCONK181	RCONK182	RCONK183	RCONK184	RCONK185	RCONK186	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONK273	TEXT4087	
338945																																											0	61	0	0	0	true	0	0	0	20	0	41	577	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.1stcommunitybanks.com	
339054																																											0	0	0	0	0	true	0	0	0	0	0	0	367	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.gruverstatebank.com	
339353																																											0	422	0	0	550	true	0	0	0	0	0	422	0	0	0	0	false	0	0	0	0	0	0	550	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.fsbcanby.com	
339456																																											0	143	0	0	17500	true	0	0	24	0	0	119	6911	3	0	0	false	0	0	0	4000	13000	0	0	0	500	0	0	0	0	500	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fcbot.com/	
339607																																											0	277	21000	0	148714	true	0	0	0	277	0	0	635	0	0	0	true	0	0	0	21000	45369	59031	23000	48500	314	0	0	0	0	314	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.sbsavings.com	
339773																																											134	1442	36000	134	75953	true	0	1151	0	291	0	0	2084	2	134	0	false	0	0	0	36000	37000	2500	453	9500	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.needhambank.com	
339858	99062	107398	3565	93723	73059	true	5339	423073	5	93723	0	true	2585952	16320	3565	100	0	0	0	16320	36108	0	16966	36108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					73059			17925	0	30338	1333	41458								16344										0		true	true			0	0	0	0	0	0	0	0	0										0	0	0	0	0					www.bankofoklahoma.com	
339951																																											0	39574	0	0	10000	true	0	18658	0	0	0	20916	255	0	0	0	true	0	0	0	5000	5000	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://WWW.VALLEYVIEWBANK.COM	
340135																																											0	5881	0	0	35847	true	0	5366	0	260	0	255	1930	2	0	0	true	0	0	0	0	23000	0	12755	25000	0	0	0	92	0	92	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.bankoftennessee.com	
340144																																											1154	3447	15000	1154	55124	true	0	2345	0	356	0	746	10583	4	1154	0	true	0	0	0	15000	32584	6540	1000	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.psbwi.com	
340256																																											0	9876	0	0	3200	true	0	7915	0	0	0	1961	2628	1	0	0	false	0	0	0	2600	600	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://21stcenturybank.com	
340443																																											162	186	0	162	1000	true	0	0	0	186	0	0	498	0	162	0	false	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.fnbpville.com	
340555																																											0	569	0	0	1524	false	0	569	0	0	0	0	1938	2	0	0	false	0	0	0	117	233	233	941	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fnbordway.com	
340649																																											0	1124	500	0	2500	true	0	411	713	0	0	0	210	0	0	0	true	0	0	0	1000	500	500	500	500	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.csbpoky.com	
340742																																											0	7040	5000	0	5237	true	0	5611	0	1329	0	100	3001	1	0	0	false	0	237	0	5000	0	0	0	0	237	0	0	0	0	237	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.cibmbank.com	
340751																																											0	258	0	0	5	true	0	0	0	0	0	258	5674	2	0	0	false	0	5	0	0	0	0	0	0	5	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fnbab.com	
341178																																											0	41239	0	0	0	true	0	6484	0	28799	168	5788	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.blueridgesavings.com	
