"IDRSSD"	RIADC899	RIADC900	RIADC901	RIADC902	RIADC903	RIADC904	RIADC905	RIADC906	RIADC907	RIADC908	RIADC909	RIADC910	RIADC911	RIADC913	RIADC914	
	TOTAL INTEREST INCOME IN FOREIGN OFF	TOT INTEREST EXPENSE IN FOREIGN OFFI	PROVISION LOAN&LEASE LOSSES FRGN OFF	NONINT INCOME FRGN OFFICS:TRADNG REV	NONINT INC FRG OFFCS:INVMT BKG,ADVRY	NONINT INC FRG OFFCS:NT SECURIZATION	NONINT INC FRGN OFFICS:OTHER NONINTE	REALZD GAINS(LOSS) ON H-T-M & A-F-S 	TOTAL NONINT EXPENSE IN FOREIGN OFFI	ADJMTS TO PRETAX INC FOREIGN OFFICES	APPLICABLE INCOME TAXES	EXTRAORDINARY ITEMS&OTHER ADJMNTS,ET	NET INC ATTRIBUTABLE TO FRGN OFFICES	ELIMINATIONS ARISING FRM CONSOLIDATN	CONSOLIDTD NET INC ATTRIBTLE FRGN OF	
163473	2888	0	0	0	0	0	0	309	47	0	1071	0	2079	0	2079	
163549																
163857																
164153																
164331																
164377																
164854																
164957																
164975																
165039																
165628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
165758																
165806																
166111																
166531																
166652																
166803																
166849																
167060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
167453																
167556																
167565																
167752																
167864																
168357																
168441																
168571																
169073																
169327																
169354																
169653																
169756																
169952																
170051																
170257																
170275																
170332																
170640																
170716																
170976																
171133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
171656																
171759																
171768																
172158																
172251																
172457																
172475																
172859																
173306																
173342																
173548																
173557																
173575																
173641																
173959																
174321																
174367																
174572																
175056																
175140																
175458																
175609																
175672																
176053																
176101																
176325																
176437																
176464																
176642																
177135																
177443																
177500																
177546																
177555																
177751																
177920																
177957																
178057																
178150																
178244																
178271																
178356																
178851																
179148																
179335																
179700																
179755																
180041																
180078																
180144																
180443																
180537																
180845																
181347																
181459																
181758																
181963																
182353																
182652																
182951																
183051																
183154																
183668																
183770																
183846																
183958																
184142																
184245																
184656																
184759																
185251																
185448																
185457																
185859																
186221																
186548																
186717																
186744																
186838																
186856																
187358																
187451																
187648																
187899																
187947																
188056																
188177																
188430																
188449																
188720																
188739																
188757																
188917																
188926																
189044																
189129																
189352																
189549																
189745																
189820																
189866																
189950																
190246																
190451																
190554																
190563																
190639																
190648																
190947																
190956																
191355																
191449																
191805																
191935																
192147																
192156																
192558																
192651																
192857																
193162																
193247																
193537																
193649																
193809																
194253																
194440																
194570																
194936																
195111																
195157																
195456																
196257																
196743																
196752																
196800																
197142																
197254																
197302																
197478	44406	14361	-1954	0	6	0	-1555	0	12147	0	5757	0	12546	-2194	10352	
197759																
198046																
198073																
198103																
198149																
198251																
198831																
198859																
198961																
199052																
199137																
199351																
199436																
199454																
199463																
200042																
200378																
200435																
200640																
201049																
201254																
201441																
201638																
201647																
201834																
202251																
202514																
202541																
202550																
202578																
202907																
203043																
203052																
203070																
203418																
203575																
204004																
204077																
204237																
204376																
204826																
205159																
205243																
205346																
205458																
205542																
205654																
206156																
206174																
206473																
206772																
206950																
207041																
207050																
207452																
207470																
207555																
207845																
207872																
207957																
208057																
208244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
208347																
208440																
208459																
208570																
208655																
208972																
209148																
209362																
209447																
209559																
209830																
209858																
210238																
210256																
210434	207143	98367	-715	127979	0	0	910858	0	912195	-5621	86673	0	143839	-127858	15981	
210452																
210555																
210779																
211114																
211271																
211338																
211851																
212018																
212335																
212344																
212465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
212522																
212577																
213471																
213538																
213912																
213958																
214106																
214414																
214722																
214807	33000	25000	0	24000	0	0	4000	0	8000	30000	207000	0	-149000	-23000	-172000	
214843																
215130																
215251																
215345																
215354																
215653																
215662																
215710																
216164																
216230																
216632																
216922																
217059																
217620																
218131																
218261																
218757																
218775																
218850																
218878																
219044																
219259																
219343																
219576																
219651																
219679																
219857																
220059																
220527																
220844																
220974																
221476																
221775																
222147																
222156																
222446																
222558																
222754																
223005																
223322																
223331																
223452																
223751																
223845																
224178																
224552																
224637																
224655																
224954																
225054																
225157																
225241																
225335																
225559																
225942																
226752																
226949																
227151																
227179																
227357																
227656																
227777																
228000																
228055																
228158																
228279																
228345																
229070																
229173																
229342																
229454																
229801																
229874																
229913	12	4441	0	0	0	0	0	0	0	0	1	0	-4430	136	-4294	
229940																
229959																
230254																
230357																
230423																
230610																
230740																
230759																
231149																
231242																
231279																
231336																
231671																
232258																
232847																
232856																
233031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
233246																
233358																
233442																
233451																
233527																
233554																
234056																
234355																
234506																
234739																
234841																
235017																
235174																
235231																
235316																
235446																
235530																
235558																
235950																
236050																
236153																
236256																
236603																
236706																
236957																
237066																
237150																
237619																
237954																
238045																
238139																
238241																
238250																
238737																
238755																
239042																
239275																
239556																
239613																
239659																
239752																
240002																
240356																
240459																
240954																
241009																
241157																
241559																
241607																
242248																
242257																
242444																
242949																
242958																
242976																
243375																
243414																
243647																
243955																
244037																
244149																
244158																
244251																
245016	706	40	0	0	0	0	804	0	0	0	434	0	1036	0	1036	
245276																
245351																
245557																
245856																
246022																
246134																
246237																
246451																
246657																
246947																
246956																
247140																
247355																
247476																
247551																
247908																
248240																
248352																
248455																
248633																
248745																
249153																
249416																
249546																
249564																
249612																
249658																
249957																
250047																
250430																
250476																
250850																
251352																
251558																
251745																
251857																
251978																
252041																
252256																
252452																
252658																
253262																
253356																
253440																
253468																
253646																
253730																
253776																
254317																
254504																
254652																
254670																
254849																
255136																
255350																
255547																
255556																
255574																
255659																
255873																
256049																
256058																
256076																
256179																
256553																
256964																
257233																
257345																
257466																
257578																
257653																
257756																
257868																
258146																
258306																
258351																
258379																
258445																
258539																
258632																
258771																
258874																
259059																
259330																
259442																
259657																
259956																
260055																
260354																
260831																
260868																
261070																
261146																
261258																
261360																
261940																
262059																
262237																
262358																
262741																
262844																
262956																
263243																
263551																
263627																
264156																
264455																
264558																
264772																
265340																
265407																
265452																
265676																
266066																
266244																
266253																
266271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
266655																
266851																
266879																
266945																
267652																
268006																
268136																
268257																
268556																
268677																
268828																
268976																
269049																
269058																
269478																
269571																
269759																
270148																
270353																
270504																
270531																
270652																
271136																
271154																
271275																
271341																
271529																
271631																
271743																
271752																
272030																
272058																
272151																
272245																
272272																
272302																
272870																
273149																
273251																
273336																
273550																
273653																
273662																
273840																
273859																
274025																
274052																
274164																
274548																
274641																
274678																
274753																
274829																
274856																
275255																
275358																
275479																
275509																
275657																
275750																
276074																
276159																
276355																
276551																
276579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
276645																
276654																
276850																
276953																
277053																
277240																
277277																
277558																
277567																
277679																
277736																
277820																
278078																
278153																
278256																
278555																
278733																
278751																
278818																
278872																
278957																
279105																
279338																
279673																
279842																
279954																
280044																
280110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
280138																
280352																
280558																
281210																
281751																
282048																
282075																
282226																
282329																
282824																
283157																
283438																
283652																
283737																
283858																
283867																
284154																
284190																
284239																
284248																
284556																
284574																
284752																
284958																
285151																
285348																
285544																
285553																
285740																
285759																
285777																
285852																
285928																
286251																
286279																
286457																
286840																
287007																
287342																
287650																
287856																
287922																
287959																
288152																
288358																
288376																
288853																
289056																
289225																
289449																
289515																
289702																
289739																
289757																
290052																
290230																
290249																
290838																
290922																
291059																
291273																
291330																
291376																
291611																
291732																
292234																
292467																
292524																
292850																
292908																
293053																
293352																
293437																
293651																
293754																
294023																
294153																
294256																
294564																
294676																
294751																
294779																
294827																
295011																
295057																
295646																
296456																
296474																
296559																
296755																
296858																
297051																
297257																
297378																
297547																
297631																
297761																
298049																
298218																
298245																
299046																
299251																
299653																
299868																
300009																
300036																
300063																
300157																
300250																
300353																
300456																
300933																
300942																
300960																
301574																
301640																
301800																
302030																
302133																
302553																
302656																
302665																
303550																
303653																
303701																
303747																
303952																
304155																
304173																
304520																
304575																
304762																
304913																
305059																
305077																
305152																
305237																
305433																
305442																
305648																
305750																
306056																
306140																
306159																
306270																
306337																
306579																
306739																
306908																
307062																
307334																
307361																
307679																
307745																
307932																
307950																
308256																
308340																
308443																
308836																
309150																
309570																
309655																
309851																
309972																
310071																
310437																
310754																
310875																
310950																
310978																
311050																
311144																
311256																
311265																
311603																
311649																
311658																
311845																
311939																
312244																
312356																
312570																
312730																
313009																
313157																
313175																
313223																
313401																
313577																
313773																
314257																
314444																
315339																
315357																
315629																
315656																
315674																
315852																
316354																
316840																
316859																
316934																
317100																
317258																
317342																
317379																
317650																
318639																
318835																
318947																
318974																
319047																
319458																
319542																
319551																
320034																
320052																
320070																
320119	30523	4521	549	2965	0	0	9237	1493	30771	0	1044	0	7333	0	7333	
320155																
320771																
321152																
321255																
321273																
321330																
321947																
322056																
322177																
322449																
322476																
322551																
322757																
322850																
323035																
323204																
323651																
323718																
324153																
324229																
324256																
324274																
324340																
324649																
324854																
324863																
324975																
325141																
325459																
325534																
325824																
326054																
326344																
326858																
326979																
327015																
327220																
327305																
327435																
327453																
327556																
327855																
327949																
328058																
328151																
328357																
328423																
328450																
328656																
328777																
329149																
329345																
329550																
329952																
330239																
330248																
330453																
330855																
330873																
330949																
331076																
331375																
331544																
331553																
331713																
332055																
332224																
332345																
332402																
332671																
332756																
333034																
333052																
333203																
333650																
333856																
333940																
334255																
334264																
334648																
334657																
335346																
335355																
335757																
336147																
336361																
336576																
336950																
337247																
337340																
338178																
338646																
338758																
338851																
338945																
339054																
339072																
339353																
339456																
339607																
339773																
339858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
339876																
339951																
340135																
340144																
340256																
340443																
340649																
340742																
340751																
341310																
341851																
341954																
342054																
342175																
342362																
342410																
342634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
343051																
343248																
343257																
343378																
343770																
343903																
343958																
344647																
344816																
344852																
345149																
345309																
345345																
345747																
345756																
345877																
346379																
346566																
346771																
347022																
347639																
347657																
347956																
348159																
348207																
348458																
348542																
348551																
348720																
348748																
349129																
349165																
349343																
349370																
350572																
350657																
350750																
351131																
351560																
351850																
351878																
352035																
352370																
352651																
352745																
352772																
352820																
353238																
353470																
353546																
353555																
353724																
353957																
354057																
354253																
354310																
354552																
354851																
354954																
355120																
355559																
355737																
355746																
355821																
355858																
356145																
356239																
356659																
356752																
357049																
357151																
357526																
357553																
357777																
357937																
358112																
358149																
358233																
358448																
358756																
359324																
359360																
359472																
359650																
359744																
359838																
359856																
360777																
360843																
360955																
361055																
361167																
361279																
361354																
361439																
361653																
362043																
362155																
362717																
362753																
362856																
362940																
363264																
363442																
363648																
363657																
363778																
364131																
364270	177	13	8	0	0	0	75	0	246	0	0	0	-15	0	-15	
364337																
364430																
364449																
364850																
365325																
365455																
365576																
365745																
365848																
365875																
365950																
366078																
366238																
366247																
366359																
366658																
366854																
367150																
367178																
367244																
367431																
367543																
367954																
368054																
368175																
368344																
368429																
368522																
368755																
368933																
368951																
369453																
369659																
370020																
370271																
370347																
370721																
370758																
370833																
370954																
371223																
371232																
371362																
371559																
371755																
371849																
371858																
371924																
371942																
372248																
372257																
372444																
372538																
372556																
372640																
372770																
372855																
373058																
373115																
373272																
373553																
373601																
374130																
374354																
374653																
374774																
375034																
375043																
375155																
375379																
375502																
375566																
375650																
376068																
376125																
376237																
376273																
376433																
376442																
376657																
376947																
377663																
377850																
377908																
378026																
378044																
378110																
378549																
378558																
378642																
378651																
378950																
379050																
379153																
379171																
379359																
379470																
379649																
379920																
380346																
380458																
380533																
380654																
380841																
380878																
380944																
381026																
381343																
381754																
381839																
381932																
381950																
382050																
382069																
382256																
382274																
382443																
382537																
382649																
382658																
382667																
382742																
382854																
383534																
384018																
384278																
384335																
384353																
384652																
384830																
385350																
385471																
385547																
385686																
386049																
386142																
386432																
386450																
386731																
386825																
386852																
387055																
387671																
388155																
388258																
388557																
388744																
388753																
388874																
388940																
389059																
389358																
389376																
389826																
390167																
390336																
390372																
390457																
390840																
391418																
391557																
391575																
391959																
391977																
392152																
392255																
392778																
393252																
393355																
393757																
393850																
393953																
394156																
394259																
394352																
395238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
395274																
395779																
395836																
396057																
396244																
396253																
396356																
396954																
397175																
397456																
397531																
397540																
397559																
397755																
397858																
398051																
398248																
398350																
398631																
398668																
398837																
399357																
399517																
399731																
399973																
400057																
400141																
400365																
400552																
400767																
400945																
401072																
401148																
401447																
401559																
401755																
401906																
401951																
402275																
402462																
402846																
402873																
403067																
403106																
403151																
403179																
403254																
403357																
403656																
403870																
403937																
403946																
404653																
404943																
405173																
405959																
406022																
406059																
406666																
406778																
406974																
407168																
407506																
407645																
407850																
408147																
408307																
408642																
408875																
409265																
410159																
410560																
410748																
410917																
410944																
411053																
411062																
411174																
411231																
411240																
411473																
411512																
411549																
411576																
411624																
411651																
412135																
412153																
412452																
412555																
412667																
412751																
412845																
412872																
413141																
413208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
413271																
413347																
413543																
413646																
413673																
413730																
413758																
413851																
414102																
414652																
414764																
414858																
415677																
415770																
415855																
416245																
416272																
416339																
416348																
416357																
416656																
416674																
416973																
417149																
417251																
417626																
417710																
418100																
418249																
418436																
418856																
419255																
419406																
419460																
419675																
419947																
420457																
420578																
420644																
420653																
420877																
421445																
421539																
422059																
422116																
422433																
422657																
423159																
423449																
423458																
423636																
423739																
423841																
424156																
424240																
424343																
424352																
424437																
424633																
425050																
425108																
425818																
425845																
425911																
425957																
425975																
426057																
426141																
426534																
426758																
426945																
427241																
427353																
427456																
427858																
427960																
428060																
428462																
428471																
428547																
428631																
428855																
428958																
429021																
429487																
430036																
430054																
430278																
430344																
430670																
431172																
431323																
431350																
431743																
431846																
431958																
432012																
432058																
432432																
432478																
433158																
433505																
433550																
433608																
433859																
433943																
434203																
434539																
435059																
435077																
435255																
435349																
435358																
435666																
435750																
436131																
436159																
436542																
436711																
436739																
436823																
436953																
437044																
437053																
437138																
437455																
437914																
438050																
438434																
439132																
439338																
439356																
439404																
439730																
440110																
440259																
440446																
440857																
440978																
441050																
441078																
441135																
441256																
441359																
441434																
441470																
441630																
442011																
442057																
442244																
442655																
442758																
442806																
443148																
443205																
443353																
443625																
443634																
444051																
444350																
444471																
444556																
444677																
444958																
445674																
445777																
445852																
445955																
446130																
446149																
446176																
446877																
447034																
447070																
447100																
447342																
447557																
447874																
448040																
448554																
449038																
449430																
449832																
449841																
449935																
450034																
450472																
450632																
450641																
450650																
450669																
450753																
450856																
450959																
451068																
451246																
451273																
451853																
451965	667000	225000	148000	1000	17000	0	369000	0	311000	0	136000	0	234000	65000	299000	
452104																
452159																
452476																
452739																
452841																
452850																
453026																
453147																
453370																
453446																
453839																
454340																
454546																
454658																
454676																
454975																
455150																
455253																
455459																
455477																
455552																
455879																
455945																
455972																
456045																
456054																
456157																
456250																
456344																
456447																
456755																
456960																
457060																
457220																
457426																
457547																
457659																
457752																
458049																
