"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDK178	RCFDK179	RCFDK180	RCFDK181	RCFDK182	RCFDK183	RCFDK184	RCFDK185	RCFDK186	RCFDK192	RCFDK193	RCFDK194	RCFDK273	RCFN5513	RCFNK260	RCFNK290	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK178	RCONK179	RCONK180	RCONK181	RCONK182	RCONK183	RCONK184	RCONK185	RCONK186	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONK273	RCONL133	RCONL135	RCONN517	RCONN518	RCONN519	RCONN520	RCONN521	RCONN522	RCONN523	RCONN524	RCONN527	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
926650																																											0	0	0	0	1500	false	0	0	0	0	0	0	163	0	0	0	false	0	0	0	1500	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																													
926959																																											0	198	0	0	18	true	0	27	0	151	0	20	573	0	0	0	false	0	0	0	0	0	0	0	0	0	0	18	0	0	18	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.bankofcoushatta.com	
927077																																											0	1126	0	0	11250	true	0	222	0	904	0	0	2962	2	0	0	false	0	0	0	0	2000	0	9250	11250	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.monroesavings.com	
927134																																											0	684	0	0	8000	true	0	0	0	215	0	469	377	0	0	0	false	0	0	0	7000	1000	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.fsbil.com	
927479																																											115	0	33884	115	90249	true	0	0	0	0	0	0	957	1	115	0	false	0	0	0	33884	44466	11899	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.bogotasavingsbank.com	
928056																																											891	719	2500	891	30534	true	0	0	0	219	386	114	100	0	891	0	false	0	0	0	2500	3030	6244	18760	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													Yates Center Branch Bank		Bucklin National Bank		Offerle National Bank		Clay Center Branch Bank		Holton National Bank		Horton National Bank					http://www.gn-bank.com	
928421																																											1838	763	7500	0	137029	true	1838	169	0	594	0	0	2869	1	0	0	true	0	0	0	25000	7500	14500	0	47000	90029	0	0	0	0	90029	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								1	40	560	0																	www.cffc.com	
928618																																											0	172	59988	0	100988	true	0	0	0	172	0	0	1454	0	0	0	true	0	0	0	59988	28000	13000	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												AmeriServ.com	
929174																																											0	0	0	0	1204	true	0	0	0	0	0	0	720	1	0	0	false	0	0	0	0	0	0	1204	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	true																										www.merrillfederal.com	
929352																																											7486	307	777	7486	28090	true	0	219	0	24	0	64	102059	4	7486	0	true	0	0	0	777	16220	11052	41	16000	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.bellbanks.com	
