"IDRSSD"	RCFDHU20	RCFDHU21	RCFDHU22	RCFDHU23	RCFDJ981	RCFDJF77	RCFDJF78	RCFDJF84	RCFDJF85	RCFDJF86	RCFDJF87	RCFDJF88	RCFDJF89	RCFDJF90	RCFDJF91	RCFDJF92	RCFDJF93	RCFDK009	RCFDK030	RCFDK033	RCONHU20	RCONHU21	RCONHU22	RCONHU23	RCONJ981	RCONJF77	RCONJF78	RCONJF84	RCONJF85	RCONJF86	RCONJF87	RCONJF88	RCONJF89	RCONJF90	RCONJF91	RCONJF92	RCONJF93	RCONK009	RCONK030	RCONK033	
	Assets of considated variable intere	Assets of considated variable intere	Assets of considated variable intere	Assets of considated variable intere	ASST CNSL VIE CASH DUE FROM DI SCTY 	Total assets of ABCP conduit VIE	Total liabilities of ABCP conduit VI	Assets of consoidated variable inter	Liabilities of consolidated VIEs for	Liabilities of consolidated VIEs for	All other assets of consolidated VIE	All other assets of consolidated VIE	Assets of consoidated variable inter	Assets of consoidated variable inter	Assets of consolidated variable inte	Liabilities of consolidated VIEs for	Liabilities of consolidated VIEs for	ASST CNSL VIE OTHR RE OWNED SCTY TRS	ALL OTHR ASST CNSL VIE NT INCL SCTY 	ALL OTHR LIAB CNSL VIE NT INCL SCTY 	Assets of considated variable intere	Assets of considated variable intere	Assets of considated variable intere	Assets of considated variable intere	ASST CNSL VIE CASH DUE FROM DI SCTY 	Total assets of ABCP conduit VIE	Total liabilities of ABCP conduit VI	Assets of consoidated variable inter	Liabilities of consolidated VIEs for	Liabilities of consolidated VIEs for	All other assets of consolidated VIE	All other assets of consolidated VIE	Assets of consoidated variable inter	Assets of consoidated variable inter	Assets of consolidated variable inte	Liabilities of consolidated VIEs for	Liabilities of consolidated VIEs for	ASST CNSL VIE OTHR RE OWNED SCTY TRS	ALL OTHR ASST CNSL VIE NT INCL SCTY 	ALL OTHR LIAB CNSL VIE NT INCL SCTY 	
67656																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
67870																																									
68448																																									
68671																																									
68756																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
68831																																									
69333																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
69678																																									
70058																																									
70218																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
70414																																									
70638																																									
70955																																									
71073																																									
71318																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
71457																																									
71859																																									
72258																																									
72351																																									
72454																																									
72678																																									
73116																																									
73152																																									
73554																																									
73956																																									
74056																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
74140																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
74403																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
74449																																									
75053																																									
75259																																									
75446																																									
75455																																									
75558																																									
75633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																					
75651																																									
76153																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
76443																																									
76854																																									
77150																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
77253																																									
77422																																									
77851																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
78157																																									
78241																																									
78559																																									
79042																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
79127																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
79145																																									
79257																																									
79855																																									
80150																																									
80374																																									
80431																																									
80552																																									
81175																																									
82033																																									
82257																																									
82350																																									
82659																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
83151																																									
83236																																									
83375																																									
