"IDRSSD"	RCON8774	RCON8775	RCON8776	RCON8777	RCON8778	RCON8779	RCONA000	RCONA001	RCONA002	RCONA167	RCONA221	RCONA222	RCONA223	RCONA224	RCONA250	RCONB503	RCONB504	RCONB505	RCONB520	RCONB528	RCONB541	RCONB542	RCONB543	RCONB546	RCONB547	RCONB548	RCONB581	RCONB582	RCONB583	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB596	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	RCONC063	RCONC064	RCONC225	RCONC227	RCONC228	RCONC869	RCONF264	RCONG591	RCONG592	RCONG593	RCONG594	RCONG595	RCONG596	RCONG597	RCONG598	RCONG599	RCONG600	RCONG601	RCONG602	
1557	0	0	0	0	0	0	0	0	0	0	0	0	39665	58288	0	0	0	0	0	34106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	2337	0	0	0	10912	849	258	86	0	4569	0	0	0	0	0	0	0	0	0	0	2548	31558	0	0	0	0	0	1525	0	0	0	0	-395	34	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	490	0	0	0	328	20503	3397	33865	0	4101	1699	33865	39665	0	2685	2685	5528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1669	0	0	0	0	0	0	0	0	0	0	0	1596	109458	245436	0	0	0	0	0	81810	0	0	0	0	0	0	0	0	0	0	0	777	0	0	0	0	0	0	22229	4516	0	0	0	48051	0	20004	2149	7061	47321	0	0	0	0	0	0	0	0	0	0	42768	39042	0	0	0	0	0	12946	777	647	1132	0	-58	0	0	0	0	0	30	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29937	101020	42768	69466	0	20204	21384	69466	111054	0	0	0	42139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1829	0	0	0	0	0	0	0	0	0	0	354	946	236419	402738	0	0	0	0	0	255130	102	1275	1275	0	0	0	0	0	0	0	0	8558	0	0	0	0	0	0	51588	10481	0	0	0	0	0	0	1947	1197	66443	3636	1486	0	0	0	0	0	0	0	162	94492	160476	0	0	0	0	0	19939	8558	5	2847	276	6592	30	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	656	0	0	0	656	0	0	0	52790	79933	98404	172176	0	15987	49202	172176	237365	0	0	0	32308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1856	0	0	0	0	0	0	0	0	0	0	0	0	53176	161178	0	0	0	0	0	35340	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	44585	1152	0	0	0	9814	0	0	1695	0	59447	1365	0	0	0	0	0	0	0	0	211	1952	33177	0	0	0	0	0	4275	98	34	3017	27	1132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2500	0	0	0	2500	0	0	0	44619	73641	3344	36776	0	14728	1672	36776	53176	0	0	0	21336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2040	0	0	0	0	0	0	0	0	0	0	0	1256	149900	206060	0	0	0	0	0	139034	0	0	0	668	668	0	0	0	668	0	0	0	0	0	0	0	0	0	1384	4360	0	0	0	0	0	0	603	2263	30178	8262	3408	0	0	0	480	0	0	0	1792	24393	112849	0	0	0	0	0	10971	0	0	1447	0	-2550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3647	40695	33135	126449	0	8139	16568	126449	151156	0	2918	2918	20265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2161	0	0	0	0	0	0	0	0	0	0	0	0	63635	129976	0	0	0	0	0	59365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1148	14638	0	0	1	0	0	0	1000	506	37460	0	0	0	0	0	0	0	0	0	0	29290	30075	0	0	0	0	0	6947	0	0	0	0	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	0	0	0	0	0	0	1901	59838	29290	37022	0	11968	14645	37022	63635	0	7740	7740	13159	0	0	0	2281	228	228	0	0	0	0	0	0	0	0	0	
2376	0	0	0	0	0	0	0	0	0	0	0	3442	1842318	2531571	0	0	0	0	0	1668307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18369	114799	0	0	3425	34185	0	0	5802	0	588035	0	2000	0	0	0	0	0	0	0	0	186229	1482078	0	0	0	0	0	142333	0	0	26844	0	-20712	305	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21794	763863	186229	1599872	0	152773	93115	1599872	1845760	0	0	0	415516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2554	0	0	0	0	0	0	0	0	0	0	0	23	6612	10695	0	0	0	0	0	5225	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	4365	0	0	0	0	732	0	1	0	300	0	13	0	0	0	0	0	0	0	0	454	4771	0	0	0	0	0	554	289	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4964	1186	5049	0	993	593	5049	6635	0	299	299	850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2732	0	0	0	0	0	0	0	0	0	0	0	1403	367609	513483	0	0	0	0	0	369743	0	0	0	2722	2722	0	0	0	2722	0	0	1112	0	0	0	0	0	0	41488	16695	0	0	0	0	0	0	1796	0	77533	0	550	0	0	0	0	0	0	0	185	65082	304476	0	0	0	0	0	12520	1112	1568	0	0	-3108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43056	94413	65082	317588	0	18883	32541	317588	369012	0	0	0	72907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2750	0	0	0	0	0	0	0	0	0	0	0	149	42149	57813	0	0	0	0	0	35605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	599	698	0	0	0	0	0	0	95	3924	8524	2118	2799	0	0	0	0	0	0	0	1022	2278	32305	0	0	0	0	0	3035	0	160	511	36	-573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	61	0	0	0	4683	12945	4432	37493	0	2589	2216	37493	42298	0	2190	2190	5331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3252	0	0	0	0	0	0	0	0	0	0	0	446	84361	149420	0	0	0	0	0	82452	0	0	0	94	94	0	0	0	94	0	0	0	0	0	0	0	0	0	1963	3711	0	0	0	0	653	0	1080	21185	30058	1835	685	0	0	0	0	0	0	0	14833	602	67017	0	0	0	0	0	4587	0	98	479	14	-426	192	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	315	0	0	0	23246	54781	3104	72299	0	10956	1552	72299	84807	0	5700	5700	18573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3458	0	0	0	0	0	0	0	0	0	0	0	15	24579	33131	0	0	0	0	0	14198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5994	0	0	0	0	2606	127	0	8210	0	452	0	0	0	0	0	0	0	0	2860	11338	0	0	0	0	0	1132	0	0	0	0	-195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8210	2860	21522	0	1642	1430	21522	24594	0	0	0	3206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3720	0	0	0	0	0	0	0	0	0	0	0	136	110815	192094	0	0	0	0	0	114807	0	0	0	255	255	0	0	0	255	0	0	0	0	0	0	0	0	0	16472	2179	0	0	0	2838	1099	0	1301	5794	36848	887	0	0	0	0	0	0	0	0	5112	25991	83704	0	0	0	0	0	10249	208	0	9035	1006	-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1298	0	0	0	1298	0	0	0	22266	56012	28983	85257	0	11202	14492	85257	110951	0	0	0	27546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3953	0	0	0	0	0	0	0	0	0	0	0	1554	95144	116909	0	0	0	0	0	92337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5968	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	7747	0	0	9389	10070	72878	0	0	0	0	0	8737	0	434	497	0	-2763	575	0	0	0	575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6402	13267	10070	89010	0	2653	5035	89010	96698	0	3375	3375	8623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4156	0	0	0	0	0	0	0	0	0	0	0	498	131878	190071	0	0	0	0	0	122141	0	0	0	364	364	0	0	0	364	0	0	1783	0	0	0	0	0	0	1503	1544	0	0	0	0	0	0	847	2030	20407	7084	2269	0	0	0	0	132	0	0	4993	36352	80796	0	0	0	0	0	17245	1783	503	2551	0	477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4792	0	0	0	4792	0	0	0	4036	49485	43436	100761	0	9897	21718	100761	132376	0	19990	19990	17678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4231	0	0	0	0	0	0	0	0	0	0	0	0	87800	120190	0	0	0	0	0	77048	0	0	0	483	483	0	0	0	483	0	0	0	0	0	0	0	0	0	0	9228	0	0	0	0	0	0	11	0	24232	9630	0	0	0	0	0	0	0	0	0	13270	63778	0	0	0	0	0	5397	0	0	0	0	-844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33460	22900	69658	0	6692	11450	69658	87800	0	0	0	14641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4437	0	0	0	0	0	0	0	0	0	0	0	1360	163727	261266	0	0	0	0	0	152360	0	0	0	3901	3901	0	0	0	3901	0	0	0	0	0	0	0	0	0	19185	1968	0	0	0	380	0	0	1874	0	65989	10724	525	0	0	0	0	0	0	0	0	52883	99477	0	0	0	0	0	15213	0	869	1239	126	-1550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2422	0	0	0	2422	0	0	0	20054	69579	63733	119304	0	13916	31867	119304	165087	0	3	3	25390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
