"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	
449832	6625	0	5361	20380	0	35269	0	0	0	990	0	177123	0	14247		66500	38949	14360	26171	0	5490	20681	14336	25993	7512	14702	7665	35170	29908	162876	0	0	4769	990	51761	13288	990	0	19123	3091	0	
449841	3648	0	200	4250	0	12954	0	0	0	2170	0	24278	0	95		12435	151	3758	7382	0	2623	4789	2617	2406	597	2301	2442	2704	12754	24183	0	0	1156	0	4295	3749	0	1090	1542	1356	0	
450034	9760	0	9591	33729	0	72291	0	0	4995	6927	0	256266	0	12974		60741	111819	10804	80	2505	16203	26065	11636	6836	17922	32342	15006	8676	62502	232131	198	11161	5716	1932	54937	19009	1932	0	34193	14138	11161	
450632	12456	0	5989	19766	0	35549	0	0	0	0	0	82740	0	1794		35360	8749	11552	31000	0	7770	23230	4191	169	6584	16588	1839	1164	29560	80946	0	0	3119	0	22725	3450	0	0	20340	2831	0	
450641	85627	4	337	59141	0	97975	0	0	607	8297	0	206065	0	7924		56246	16453	12927	33901	115	14390	19511	17504	4841	16014	14513	14798	2414	97277	197900	357	241	4325	7690	26987	20752	2165	0	12909	15481	0	
450650	0	0	172	3397	0	12253	0	0	0	0	0	17714	0	2127		3134	0	720	2381	0	704	1677	679	74	2380	5807	5893	500	12081	12025	0	3562	277	0	10788	3792	0	0	4395	3792	6047	
450669	11793	0	178	15746	0	15746	0	0	0	0	0	58393	0	15080		0	46600	2456	0	0	0	0	0	0	0	0	0	0	15568	43313	0	0	0	0	0	0	0	0	0	0	0	
450753	36237	0	171	13238	0	15270	0	0	0	0	0	223110	0	31821		48088	35416	27376	41970	0	11414	30563	5054	1057	24629	62857	13649	2235	15099	190414	0	875	0	0	67091	36279	0	0	54236	33250	0	
450856	124836	0	13970	49183	0	141970	0	0	133201	468847	0	1897327	0	67350		558258	893412	220636	281457	124075	73877	208571	178137	97673	45971	124096	104654	46100	125979	1824326	2021	5651	49347	309226	265178	55643	281453	26423	140502	29125	0	
450959	15099	0	7059	18309	0	43417	0	0	37105	38280	0	168446	20	1054		73926	62993	13703	32771	13247	12475	25724	30209	5517	6895	1163	7649	721	35818	166973	540	399	2319	1175	14656	1772	1175	0	7118	940	0	
451068	191571	57	8364	24835	0	31255	0	0	0	0	0	388585	0	33341		54935	53222	13697	36231	0	16377	19854	9282	9422	35170	31780	11440	10467	22834	355244	0	0	4823	0	40199	48658	0	0	17602	49348	0	
