"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	
770853			3368	154	11	0	3243	40	0																				
771047			124	3	0	0	121	0	0																				
771140			7129	1125	62	0	6045	103	0			0	0																
771458			12991	835	81	0	12387	312	0																				
771609			13146	2060	101	0	11246	261	0																				
771748			496	150	8	0	413	75	0																				
771878			1900	405	75	0	1425	5	0																				
772008			15406	2955	147	0	12452	148	0																				
772446			0	0	0	0	0	0	0				0																
772754			577	0	6	0	609	38	0																				
773032			1135	150	34	0	1039	88	0			0	0																
773171			817	160	41	0	774	158	0																				
773247		0	47093	22179	791	0	28028	16688	12783					0	0	0	0	0	0	0	0	126	0	0	126	0	0	0	
773443			2194	91	12	0	2106	15	0			0	0																
773470			3640	116	4	0	3523	3	0																				
773546			551	0	30	0	539	18	0																				
773742			1690	0	46	0	1671	27	0																				
774132			4899	1697	125	0	3161	84	0				0																
774235			1285	45	71	0	1183	14	0																				
774253			517	4	0	0	513	0	0																				
774262		0	39678	13276	520	0	25280	272	874					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
774347			3756	350	13	0	3619	226	0																				
775054			4611	560	76	0	3981	6	0																				
775241			335	30	0	0	316	11	0			0	0																
775456			8570	3487	98	0	5772	787	0																				
775773			616	220	7	0	389	0	0																				
776369			1870	120	75	0	1694	19	0																				
776547			391	213	1	0	182	5	0				0																
777254			573	0	2	0	594	23	0																				
777366			16762	1578	0	0	15391	207	0				0																
777441			172	12	15	0	237	92	0																				
777870			1904	342	0	0	1569	7	0																				
778738			9047	3380	86	0	6158	577	0																				
779016			3984	225	25	0	3826	92	0																				
779351			25291	5935	625	0	19214	555	72			0	0																
779360			2723	0	9	0	2734	20	0																				
779641			327	28	10	0	289	0	0																				
779650			3634	225	1	0	3419	11	0																				
779968			10337	1275	13	0	9049	0	0																				
780049			2004	269	15	0	1773	53	0																				
780218			5589	1450	31	0	4131	23	0				0																
780263			1846	167	7	0	1914	242	0																				
780562			1840	345	23	0	1472	0	0																				
780722			9000	421	240	0	8825	486	0			0	0																
780955			1852	120	38	0	1712	18	0																				
781028			12394	4200	321	0	8585	712	0				156																
782016			673	10	0	0	672	9	0																				
782306		0	87517	43607	555	0	40923	4025	6457					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
782548			449	24	0	0	429	4	0																				
783161			13631	1450	22	0	12356	197	0																				
783246			2001	100	1	0	2556	656	0																				
783349			226	167	8	0	326	275	0			0	0																
783648			55173	11920	948	0	43405	1100	0				0																
783844			5235	400	213	0	4642	20	0			0	0																
783910			1568	131	23	0	1431	17	0																				
784159			4670	533	220	0	4188	271	0																				
784430			949	0	3	0	983	37	0																				
785147			4950	676	123	0	4506	355	0																				
785473			14640	4685	63	0	10530	638	0																				
785857			2909	350	107	0	2666	214	0																				
785923			5016	1189	147	0	4045	365	0																				
785932			2092	0	89	0	2344	341	0																				
785950			4738	760	13	0	3983	18	0																				
786210			14338	525	142	0	13805	134	0																				
786256			310	0	0	0	311	1	0			0	0																
786340			1921	100	93	0	1865	137	0																				
786555			2160	150	7	0	2006	3	0																				
786612			11067	1600	22	0	9515	70	0				0																
786733			2349	325	25	0	2036	37	0																				
786948			2822	370	8	0	2495	51	0																				
787141			259	0	0	0	259	0	0																				
787459			5888	473	649	0	5023	257	0																				
787842			1659	108	25	0	1660	134	0																				
788559			1537	25	9	0	1529	26	0																				
788652			889	200	1	0	711	23	0																				
788773			4082	40	49	0	4026	33	0																				
789051			182	11	0	0	171	0	0																				
790150			520	0	10	0	615	105	0																				
