"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLG24	RCONLG25	RIADG377	
55970																																																																0	22293		0			13976	6128		3408	379440	0	0	0	126378	1496	90416	32003	1708	2344	767	7239	68417	45387	14043	26392	32402	39042	135221	5565				0	0			0	0	21022	17453	50071	116028			0			0	0														379412	0	0	0	1121		0	3							0	0	0	0	0	0	1121			0	0	0	0	0	1184	0	CONF	CONF		
56258																																																															0	11834	247		15976			47472	7430		2044	171677	0	0	0	47174	870	0	34002	370	2772	3187	5253	34278	1314	20753	16920	41413	31329	11775	1354				0	56			0	0	9	0	27400	7539			0			382	0													0	21756	0	0	0	2417		0	62							0	868	0	0	0	0	0			1217	0	0	0	0	2696	818	CONF	CONF	0	
56351																																																																36311	47292	0	13393	316820	0	316820	6461		7150	1560041	0	12617	3378	376999	12888	296535	176518	7228	9757	27883	25116	109998	196995	88551	113655	335549	194745	301360	141505	0	0	0	0	683	0		0	0	46691	107179	203130	276759	0	12617	0			88	55	0	0	0	0	0	0	0	0	0	0	0	0	0	615011				6657	600	12175	600							0	45945	0	0	0	4180	2139	250	0	0	0	0	0	0	36948	250	CONF	CONF	0	
56548																																																															0	34644	165188		9024			5036	8622		1856	439055	0	0	0	109530	1945	31007	84561	6353	10966	33745	50963	7503	0	35364	31878	87273	159272	15737	0				578	0			0	0	1979	1589	22301	75164			0			0	0														256214	0	0	0	0		0	0							0	80	0	0	0	0	0			0	0	0	0	0	1519	0	CONF	CONF		
56717																																																																2162	5864		448			164762	12930		13768	639384	2897	0	0	94439	9725	46213	58141	2428	6144	7220	10518	28903	37764	94639	36635	126667	49143	110929	122590				0	61			0	0	4187	22808	256834	36081			0			472	293													0	434914	0	0	0	4851		237	7204							0	6923	0	0	0	4377	0			0	0	0	0	0	3848	2	CONF	CONF	0	
57040																																																															0	59556	302		17725			8516	368		1060	106689	0	0	0	9254	316	1930	23714	1106	824	2808	3670	774	0	13231	10483	26173	38118	6512	2766				0	0			0	0	564	0	0	5089			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		0				0		0	0							0	1919	0	0	0	0	0			0	0	0	0	0	2020	0	CONF	CONF		
57451																																																																11448	5733		6798			69601	4107		12098	248700	0	0	0	39777	1841	11214	41472	1573	5296	10559	12814	8970	208	18176	23882	71314	61622	33314	235				157	120			0	0	3922	8937	35499	44131			0			0	263													0	37159	0	0	0	2796		0	8							0	1442	0	0	0	0	46			0	0	0	0	0	3081	2750	CONF	CONF	0	
58225																																																															0	4200	9656		1082			34374	10602		2540	261792	848	0	0	114830	5206	57606	14270	2551	5242	27610	20977	16198	41041	10768	20461	46902	37262	24930	6604				0	49			0	0	2069	6017	47702	6886			0			223	396													0	150770	0	0	0	1072		0	110							0	12388	0	0	241	608	0			0	0	0	0	0	4929	0	CONF	CONF	0	
58243																																																																4706	448343	4777	110	1461712	0	1461712	268579		23175	4770922	0	27749	0	939523	29207	700911	2009427	29743	84280	203224	187691	313770	117163	1742994	152410	998875	617307	299893	2857	0	0	0	14426	53608	0		0	0	125269	212364	568393	470553	0	27749	0			2493	3189	0	0	0	0	0	0	0	0	0	0	0	0	0	2653055				2493	65725	37777	70502							0	760	0	0	0	0	0	0	0	0	0	0	0	0	14166	0	CONF	CONF	0	
58355																																																																1413	106		956			6477	2237		0	33346	0	0	0	6702	2744	225	7007	28	842	2008	3518	45	262	1466	5422	9244	9345	1175	0				0	423			0	0	1391	1773	4063	2882			0			0	0														4237	0	0	0	0		0	1							0	882	0	0	0	0	0			0	0	0	0	0	1296	0	CONF	CONF		
58551																																																																20681	0		15603			12416	0		0	113064	0	4286	0	32101	158	9504	19426	4262	3225	5278	11041	7337	249	30160	14376	14663	7848	10091	2627				0	0			0	0	512	0	0	21083			0			0	0														0	0	0	0	0		0	20							0	4464	0	0	0	0	0			0	0	0	0	0	1740	0	CONF	CONF		
58636																																																																18765	878		583			40932	6322		0	251099	0	0	68	45403	533	39498	28897	4246	3333	11181	10148	3476	12850	18338	25922	72137	55280	16690	16044				807	276			0	0	11895	26352	26288	34839			0			0	0														35000	0	0	0	2853		0	514							0	26679	0	0	0	205	2361			185	0	0	0	0	10033	102	CONF	CONF		
58757																																																																45208	2966		21333			48051	7397		8960	225880	818	0	0	19726	2916	8775	44084	977	1627	5478	6947	1092	3473	22946	27015	67901	50932	23222	11337				0	240			397	397	7073	9373	18333	31058			0			370	0														27615	0	0	0	414		0	1161							0	916	0	44	0	0	0			0	0	0	0	0	1987	0	CONF	CONF		
58971																																																																38487	171223	0	292706	2162730	0	2162730	176649		37748	5726372	0	0	90922	768366	32472	358671	1105115	23820	48223	63285	53000	323057	254295	750338	606120	1943611	625642	951104	70487	0	0	0	12351	55426	0		0	0	87700	380797	652331	693181	0	0	0			107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3331857				980	85889	17765	85889							0	11588	0	0	0	0	179	667	0	27	0	0	0	0	48963	667	CONF	CONF	0	
