"IDRSSD"	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAKW00	RCFAKW03	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP845	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP851	RCFAP852	RCFAP853	RCFAP854	RCFAP855	RCFAP856	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP870	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAKW00	RCOAKW03	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP845	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP851	RCOAP852	RCOAP853	RCOAP854	RCOAP855	RCOAP856	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCOW3792	RCOW5310	RCOW5311	RCOW7205	RCOW7206	RCOWA223	RCOWH312	RCOWP793	RCOWP870	
723112	18806617	1296963	2215622	10.2614%	13.3693%	11.7942%	16590995	140670203	161683906	1635450	32249			5.3693%			5567338	166612116	15919618	11.7942%	0	23122406	4160547	165545	1862	1158173		518853	-41576	0		567542	0	16591460	0	0	0	0	465	465	16590995	0	0	0	0	465	0	918659	0	0	2215622	0	4895961		0																															1																																													
723158																																																																	13682	1179	1179	11.0108%	14.5783%	13.3220%	12503	93852	113552	-17	0			6.5783%				5503	113552	7000	13.3220%	1	0	12486	0	0	0	-17	0	0	0	0		0	0	12503	0	0	0	0	0	0	12503	0	0	0	0	0	0	0	0	0	1179	0	0	0	0										
723550																																																																	8289	290	290	9.9644%	13.8519%	13.3673%	7999	59840	80276	275	0			5.8519%				7649	80276	350	13.3673%	1	0	8274	0	0	0	275	0	0	0	0		0	0	7999	0	0	0	0	0	0	7999	0	0	0	0	0	0	0	0	0	290	0	0	0	0										
723653																																																																	23787	1213	1213	11.9882%	24.9248%	23.6538%	22574	95435	188302	1165	0			16.9248%				17459	188302	5115	23.6538%	1	0	23739	0	0	0	1165	0	0	0	0		0	0	22574	0	0	0	0	0	0	22574	0	0	0	0	0	0	0	0	0	1213	0	0	0	0										
723756																																																																	6799	423	423	12.2878%	19.4507%	18.2406%	6376	34955	51889	214	0			11.4507%				4511	52467	2443	18.2406%	1	0	7168	578	0	0	214	0	0	0	0		0	0	6376	0	0	0	0	0	0	6376	0	0	0	0	0	0	0	0	0	423	0	578	0	0										
723822																																																																	26685	1085	1085	11.6300%	18.6782%	17.9188%	25600	142867	220121	-1230	0			10.6782%				13171	220121	12429	17.9188%	1	0	24370	0	0	0	-77	0	0	-1153	0		0	0	25600	0	0	0	0	0	0	25600	0	0	0	0	0	0	0	0	0	1085	0	0	0	0										
723868																																																																	22217	508	508	11.5076%	32.3589%	31.6190%	21709	68658	188650	912	0			24.3589%				14259	188650	7450	31.6190%	1	0	22621	0	0	0	912	0	0	0	0		0	0	21709	0	0	0	0	0	0	21709	0	0	0	0	0	0	0	0	0	508	0	0	0	0										
724230																																																																	36936	3515	3515	9.1192%	12.0965%	10.9454%	33421	305344	366492	29	0			4.0965%				31591	366492	1830	10.9454%	1	0	33450	0	0	0	29		0	0	0		0	0	33421	0	0	0	0	0	0	33421	0	0	0	0	0	0	0	0	0	3515	0	0		0										
724548																																																																	20958	451	451	25.2158%	58.2150%	56.9623%	20507	36001	81326	148	0			50.2150%				14883	81326	5650	56.9623%	1	0	20681	0	0	0	174	0	0	0	0		0	0	20507	0	0	0	0	0	0	20507	0	0	0	0	0	0	0	0	0	451	0	0	0	0										
724744																																																																	73645	4797	4797	12.6266%	15.1532%	14.1662%	68848	486003	545261	502	0			7.1532%				44772	551634	29863	14.1662%	1	0	75137	6373	0	0	-84	0	0	0	0		0	0	68848	0	0	0	0	0	0	68848	0	0	0	0	0	0	0	0	0	4797	0	6373	0	0										
724904																																																																	33679	3580	3580	9.0159%	11.8209%	10.5644%	30099	284911	333842	9	0			3.8209%				-5000	333842	35099	10.5644%	1	0	30108	0	0	0	9	0	0	0	0		0	0	30099	0	0	0	0	0	0	30099	0	0	0	0	0	0	0	0	0	3580	0	0	0	0										
724940																																																																	8479	84	84	18.5455%	32.8452%	32.5199%	8395	25815	45267	0	0			24.8452%				6395	45267	2000	32.5199%	1	0	8395	0	0	0	0	0	0	0	0		0	0	8395	0	0	0	0	0	0	8395	0	0	0	0	0	0	0	0	0	84	0	0	0	0										
725077																																																																	47767	2765	2765	15.1428%	21.5895%	20.3398%	45002	221251	297184	327	0			13.5895%				21319	298018	24517	20.3398%	1	0	46163	650	184	0	327	0	0	0	0		0	0	45002	0	0	0	0	0	0	45002	0	0	0	0	0	0	0	0	0	2765	0	834	0	0										
725732	245793	16569	16569	9.9712%	18.5527%	17.3021%	229224	1324836	2298863	598	0			10.5527%			158070	2298870	60450	16.4936%	0	219118	0	0	7	598		0	0	0		0	0	218513	0	0	0	0	0	0	218513	10625	0	86	10711	0	10711	0	0	0	16569	0	7		0																															1																																													
725741																																																																	16572	718	718	13.1230%	28.9220%	27.6689%	15854	57299	120811	465	0			20.9220%				12079	120811	3775	27.6689%	1	0	16319	0	0	0	465	0	0	0	0		0	0	15854	0	0	0	0	0	0	15854	0	0	0	0	0	0	0	0	0	718	0	0	0	0										
725853																																																																	19698	1404	1404	10.5679%	12.1160%	11.2524%	18294	162578	173109	20	0			4.1160%				13038	173296	5443	11.2524%	1	0	18501	187	0	0	20	0	0	0	0		0	0	18294	0	0	0	0	0	0	18294	0	0	0	0	0	0	0	0	0	1404	0	187	0	0										
726458																																																																	5603	0	0	8.6248%	12.1569%	12.1569%	5603	46089	64964	64	0			4.1569%				151	67498	7986	12.1569%	1	0	8201	1458	1076	0	64	0	0	0	0		0	0	5603	0	0	0	0	0	0	5603	0	0	0	0	0	0	0	0	0	0	0	2534	0	0										
