"IDRSSD"	RCONB642	RCONB643	RCONB644	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	RCONC063	RCONC064	RCONC225	RCONC869	RCONG591	RCONG592	RCONG593	RCONG594	RCONG595	RCONG596	RCONG597	RCONG598	RCONG599	RCONG600	RCONG601	RCONG602	
636771	68686	2104	8772	1026	0	0	0	1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12933	12933	0	0	12933	0	0	0	0	0	0	0	15145	0	0	0	15145	0	397	0	269280	427050	485706	1094716	0	85410	242853	1094716	1422979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
637170	1264	321	-2342	898	0	0	0	898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40992	42168	117823	260409	0	8434	58912	260409	327755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
637451	211189	21229	200921	3875	0	0	0	3875	0	0	0	0	0	0	0	0	0	91879	91879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187103	0	0	0	187103	0	3111	0	830766	1432275	1692684	4658302	0	286455	846342	4658302	5791099	0	27460	27460	0	0	0	0	0	0	0	0	0	0	0	0	0	
637554	1087	0	-3059	40	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13620	95	1547	600	11378	0	0	0	2034	57645	17058	187893	0	11529	8529	187893	207951	0	17112	17112	0	0	0	0	0	0	0	0	0	0	0	0	0	
637750	345	0	-2023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6637	0	0	0	6637	0	0	0	48674	38100	8233	107946	0	7620	4117	107946	119683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
638131	1470	265	-15	94	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	253	0	0	0	15330	65632	76400	64159	0	13126	38200	64159	115485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
638346	0	0	-267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	689	0	0	0	689	0	0	0	631	18932	7367	20552	0	3786	3684	20552	28022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
638355	0	0	-1159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	168	0	0	0	0	3259	69220	25533	86044	0	13844	12767	86044	112655	0	12100	12100	0	0	0	0	0	0	0	0	0	0	0	0	0	
638850	990	0	1858	18	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2664	0	0	0	2664	0	0	0	64404	53390	4985	40728	0	10678	2493	40728	53899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
639174	252	0	-1968	149	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1283	0	0	1256	27	0	0	0	21196	38101	57468	30534	0	7620	28734	30534	66888	0	74	74	0	0	0	0	0	0	0	0	0	0	0	0	0	
639343	353	0	-1589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1676	45108	44638	62977	0	9022	22319	62977	94318	0	1525	1525	0	0	0	0	0	0	0	0	0	0	0	0	0	
639549	0	0	-2036	0	0	0	0	0	127	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4223	0	0	0	4223	0	0	0	17788	29324	56161	215750	0	5865	28081	215750	249696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
639567	0	0	11106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25258	52218	0	26950	0	10444	0	26950	37394	0	48845	48845	0	0	0	0	0	0	0	0	0	0	0	0	0	
639633	62	202	-723	349	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27051	27660	56705	78044	0	5532	28353	78044	111929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
639651	0	0	-1174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364	0	0	0	364	0	0	0	1035	34618	7120	25408	0	6924	3560	25408	35892	0	5674	5674	0	0	0	0	0	0	0	0	0	0	0	0	0	
639857	0	0	-277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	620	0	0	71	549	0	0	0	0	10728	6031	12191	0	2146	3016	12191	17353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
640143	254	11	2560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533	533	0	0	0	533	0	0	0	0	0	0	911	0	0	0	911	0	0	0	21698	24174	10210	22815	0	4835	5105	22815	32755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
640170	8156	510	-28795	0	0	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445497	82673	159229	483945	0	16535	79615	483945	580095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
640246	4412	99	2818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99179	173170	44078	124396	0	34634	22039	124396	181069	0	104	104	0	0	0	0	0	0	0	0	0	0	0	0	0	
640442	452	48	-1236	418	0	0	0	418	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1444	0	4	0	1440	0	0	0	576	15975	10010	113863	0	3195	5005	113863	122063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
640554	0	0	-571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3875	9321	2270	36602	0	1864	1135	36602	39601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
640956	0	0	-965	140	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2647	0	2647	0	0	0	0	0	21887	64195	17325	53353	0	12839	8663	53353	74855	0	1680	1680	0	0	0	0	0	0	0	0	0	0	0	0	0	
641047	78	0	-572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	86	0	0	0	6074	18894	8110	32764	0	3779	4055	32764	40598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
641355	2209	136	17393	1728	0	0	0	1728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17416	0	0	16	17400	0	0	0	104448	126828	55750	543582	0	25366	27875	543582	596823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
641364	0	0	-742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	131	0	0	0	7904	4057	18424	11265	0	811	9212	11265	21288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
641449	875	545	-683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	815	0	0	0	815	0	0	0	16595	26460	46677	28854	0	5292	23339	28854	57485	0	395	395	0	0	0	0	0	0	0	0	0	0	0	0	0	
641579	978	107	-2183	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4328	0	0	1423	2905	0	0	0	6838	66766	32752	74916	0	13353	16376	74916	104645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
641775	1181	0	-5415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1312	0	0	0	1312	0	0	0	85456	96930	273257	69376	0	19386	136629	69376	225391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
642259	966	290	3941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5610	0	0	0	5610	0	0	0	76405	234028	122350	469457	0	46806	61175	469457	577438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
642437	280	0	-972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17939	45354	16822	68212	0	9071	8411	68212	85694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
642549	24934	0	-9917	3057	0	0	0	3057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1692	1692	0	0	0	1692	47615	47615	0	0	0	47615	68720	0	0	0	68720	0	0	8194	107467	215789	224858	951156	0	43158	112429	951156	1106743	0	41150	41150	0	0	0	0	0	0	0	0	0	0	0	0	0	
642857	1387	36	-2482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15329	105497	20246	109415	0	21099	10123	109415	140637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
642866	216	3	-332	0	0	0	0	0	14	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	173	0	0	0	1591	30362	5271	38858	0	6072	2636	38858	47566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
643078	1751	696	-4084	89	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	66	112	0	0	0	94110	16665	135561	179023	0	3333	67781	179023	250137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
643274	574	37	-153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	190	0	0	0	1907	14409	11911	3601	0	2882	5956	3601	12439	0	1291	1291	0	0	0	0	0	0	0	0	0	0	0	0	0	
643340	766	383	-2509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2402	0	0	2402	0	0	0	0	24511	113955	31599	117302	0	22791	15800	117302	155893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
643368	85	10	2986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	272	0	0	0	1071	30371	1243	8974	0	6074	622	8974	15670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
643452	144	0	1092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1416	0	0	0	1416	0	0	0	19554	58624	24871	80663	0	11725	12436	80663	104824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
643546	741	99	-792	0	0	0	0	0	24	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2407	0	0	0	2407	0	0	0	2818	25845	21744	66912	0	5169	10872	66912	82953	0	13975	13975	0	0	0	0	0	0	0	0	0	0	0	0	0	
643658	316	0	-946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	43745	390	5880	32934	0	78	2940	32934	35952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
644057	0	0	-623	175	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7256	19837	12305	19666	0	3967	6153	19666	29786	0	12300	12300	0	0	0	0	0	0	0	0	0	0	0	0	0	
644141	227	0	-528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1099	0	0	0	1099	0	0	0	12129	39364	12934	31808	0	7873	6467	31808	46148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
644440	0	0	-1943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	612	0	0	0	612	0	0	0	656	23681	6070	13210	0	4736	3035	13210	20981	0	1850	1850	0	0	0	0	0	0	0	0	0	0	0	0	0	
644459	0	0	-1985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1447	22688	8416	21933	0	4538	4208	21933	30679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
644646	789	60	-1163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3256	70851	12254	59530	0	14170	6127	59530	79827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
644673	0	0	-926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	186482	41226	59405	0	37296	20613	59405	117314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
644776	339	38	-1890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	225	0	0	0	2402	71918	11970	7524	0	14384	5985	7524	27893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
